distribucion,numero_capas,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
16-11-4,3,KNN,DeepONMF_H3,1,PROMEDIO_MACRO,163,763,37,37,0.9259999999999999,0.8149999999999998,0.9537500000000001,0.82888182299947,0.884375,200
16-11-4,3,KNN,DeepONMF_H3,2,PROMEDIO_MACRO,164,764,36,36,0.9280000000000002,0.8200000000000001,0.9550000000000001,0.830807714123653,0.8875,200
16-11-4,3,KNN,DeepONMF_H3,3,PROMEDIO_MACRO,158,758,42,42,0.916,0.7899999999999999,0.9475,0.8052680652680653,0.86875,200
16-11-4,3,KNN,DeepONMF_H3,4,PROMEDIO_MACRO,171,771,29,29,0.942,0.8550000000000001,0.9637500000000001,0.8539621190722781,0.909375,200
16-11-4,3,KNN,DeepONMF_H3,5,PROMEDIO_MACRO,168,768,32,32,0.9359999999999999,0.8400000000000001,0.96,0.8552246071113995,0.9,200
16-11-4,3,KNN,DeepONMF_W,1,PROMEDIO_MACRO,131,731,69,69,0.8619999999999999,0.655,0.91375,0.6722989851678377,0.784375,200
16-11-4,3,KNN,DeepONMF_W,2,PROMEDIO_MACRO,125,725,75,75,0.85,0.625,0.90625,0.6391432963172093,0.7656250000000001,200
16-11-4,3,KNN,DeepONMF_W,3,PROMEDIO_MACRO,118,718,82,82,0.836,0.5900000000000001,0.8975,0.6218461596250643,0.74375,200
16-11-4,3,KNN,DeepONMF_W,4,PROMEDIO_MACRO,125,725,75,75,0.85,0.625,0.90625,0.6383928091475262,0.7656249999999999,200
16-11-4,3,KNN,DeepONMF_W,5,PROMEDIO_MACRO,129,729,71,71,0.8579999999999999,0.645,0.9112500000000001,0.6772420634920635,0.778125,200
16-11-4,3,SVM,DeepONMF_H3,1,PROMEDIO_MACRO,179,779,21,21,0.958,0.8950000000000001,0.9737499999999999,0.8990322076297685,0.934375,200
16-11-4,3,SVM,DeepONMF_H3,2,PROMEDIO_MACRO,176,776,24,24,0.952,0.8800000000000001,0.97,0.8833025581700025,0.925,200
16-11-4,3,SVM,DeepONMF_H3,3,PROMEDIO_MACRO,175,775,25,25,0.95,0.875,0.96875,0.8752295672963195,0.921875,200
16-11-4,3,SVM,DeepONMF_H3,4,PROMEDIO_MACRO,176,776,24,24,0.952,0.8799999999999999,0.97,0.8803508771929824,0.925,200
16-11-4,3,SVM,DeepONMF_H3,5,PROMEDIO_MACRO,187,787,13,13,0.974,0.9350000000000002,0.98375,0.9385052910682201,0.959375,200
16-11-4,3,SVM,DeepONMF_W,1,PROMEDIO_MACRO,148,748,52,52,0.8959999999999999,0.74,0.9349999999999999,0.7524214234188659,0.8375,200
16-11-4,3,SVM,DeepONMF_W,2,PROMEDIO_MACRO,144,744,56,56,0.8880000000000001,0.72,0.93,0.724873390372483,0.825,200
16-11-4,3,SVM,DeepONMF_W,3,PROMEDIO_MACRO,139,739,61,61,0.8779999999999999,0.6950000000000001,0.9237500000000001,0.7021666666666666,0.809375,200
16-11-4,3,SVM,DeepONMF_W,4,PROMEDIO_MACRO,150,750,50,50,0.9,0.75,0.9375,0.7475763572380114,0.84375,200
16-11-4,3,SVM,DeepONMF_W,5,PROMEDIO_MACRO,143,743,57,57,0.8859999999999999,0.7150000000000001,0.92875,0.7069291581866122,0.821875,200
16-11-4,3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,191,791,9,9,0.982,0.9550000000000001,0.9887499999999999,0.9553021796924236,0.971875,200
16-11-4,3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,183,783,17,17,0.966,0.9149999999999998,0.97875,0.9167663510133159,0.946875,200
16-11-4,3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,178,778,22,22,0.9559999999999998,0.89,0.9724999999999999,0.8928463203463203,0.93125,200
16-11-4,3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9180943300279685,0.946875,200
16-11-4,3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,188,788,12,12,0.976,0.9400000000000001,0.985,0.9408135056870766,0.9625,200
16-11-4,3,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,168,768,32,32,0.9359999999999999,0.8400000000000001,0.96,0.842520325203252,0.9,200
16-11-4,3,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,176,776,24,24,0.952,0.8800000000000001,0.97,0.885060885060885,0.925,200
16-11-4,3,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,170,770,30,30,0.9399999999999998,0.85,0.9625,0.8538726495382842,0.90625,200
16-11-4,3,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,173,773,27,27,0.946,0.865,0.9662499999999999,0.8674185045544025,0.915625,200
16-11-4,3,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,173,773,27,27,0.9460000000000001,0.865,0.9662499999999999,0.8662587500392378,0.915625,200
