distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
17-11-4,3,KNN,DeepONMF_H3,1,158,35,5,2,0.965,0.9875,0.875,0.9693251533742331,0.93125
17-11-4,3,KNN,DeepONMF_H3,2,158,37,3,2,0.975,0.9875,0.925,0.9813664596273292,0.95625
17-11-4,3,KNN,DeepONMF_H3,3,156,32,8,4,0.94,0.975,0.8,0.9512195121951219,0.8875
17-11-4,3,KNN,DeepONMF_H3,4,155,35,5,5,0.95,0.96875,0.875,0.96875,0.921875
17-11-4,3,KNN,DeepONMF_H3,5,159,33,7,1,0.96,0.99375,0.825,0.9578313253012049,0.909375
17-11-4,3,KNN,DeepONMF_W,1,147,33,7,13,0.9,0.91875,0.825,0.9545454545454546,0.871875
17-11-4,3,KNN,DeepONMF_W,2,143,35,5,17,0.89,0.89375,0.875,0.9662162162162162,0.884375
17-11-4,3,KNN,DeepONMF_W,3,146,35,5,14,0.905,0.9125,0.875,0.9668874172185431,0.89375
17-11-4,3,KNN,DeepONMF_W,4,149,34,6,11,0.915,0.93125,0.85,0.9612903225806452,0.890625
17-11-4,3,KNN,DeepONMF_W,5,150,36,4,10,0.93,0.9375,0.9,0.974025974025974,0.91875
17-11-4,3,SVM,DeepONMF_H3,1,159,37,3,1,0.98,0.99375,0.925,0.9814814814814815,0.9593750000000001
17-11-4,3,SVM,DeepONMF_H3,2,156,39,1,4,0.975,0.975,0.975,0.9936305732484076,0.975
17-11-4,3,SVM,DeepONMF_H3,3,154,37,3,6,0.955,0.9625,0.925,0.9808917197452229,0.9437500000000001
17-11-4,3,SVM,DeepONMF_H3,4,154,36,4,6,0.95,0.9625,0.9,0.9746835443037974,0.93125
17-11-4,3,SVM,DeepONMF_H3,5,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
17-11-4,3,SVM,DeepONMF_W,1,147,39,1,13,0.93,0.91875,0.975,0.9932432432432432,0.9468749999999999
17-11-4,3,SVM,DeepONMF_W,2,146,38,2,14,0.92,0.9125,0.95,0.9864864864864865,0.9312499999999999
17-11-4,3,SVM,DeepONMF_W,3,149,37,3,11,0.93,0.93125,0.925,0.9802631578947368,0.9281250000000001
17-11-4,3,SVM,DeepONMF_W,4,150,37,3,10,0.935,0.9375,0.925,0.9803921568627451,0.93125
17-11-4,3,SVM,DeepONMF_W,5,149,37,3,11,0.93,0.93125,0.925,0.9802631578947368,0.9281250000000001
17-11-4,3,UjaNet,DeepONMF_H3,1,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
17-11-4,3,UjaNet,DeepONMF_H3,2,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
17-11-4,3,UjaNet,DeepONMF_H3,3,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
17-11-4,3,UjaNet,DeepONMF_H3,4,157,40,0,3,0.985,0.98125,1.0,1.0,0.990625
17-11-4,3,UjaNet,DeepONMF_H3,5,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
17-11-4,3,UjaNet,DeepONMF_W,1,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
17-11-4,3,UjaNet,DeepONMF_W,2,155,39,1,5,0.97,0.96875,0.975,0.9935897435897436,0.971875
17-11-4,3,UjaNet,DeepONMF_W,3,152,37,3,8,0.945,0.95,0.925,0.9806451612903225,0.9375
17-11-4,3,UjaNet,DeepONMF_W,4,157,34,6,3,0.955,0.98125,0.85,0.9631901840490797,0.9156249999999999
17-11-4,3,UjaNet,DeepONMF_W,5,157,36,4,3,0.965,0.98125,0.9,0.9751552795031055,0.940625
