distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
18-14-10-7-4,5,KNN,DeepONMF_H5,1,158,36,4,2,0.97,0.9875,0.9,0.9753086419753086,0.9437500000000001
18-14-10-7-4,5,KNN,DeepONMF_H5,2,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
18-14-10-7-4,5,KNN,DeepONMF_H5,3,155,28,12,5,0.915,0.96875,0.7,0.9281437125748503,0.834375
18-14-10-7-4,5,KNN,DeepONMF_H5,4,155,34,6,5,0.945,0.96875,0.85,0.9627329192546584,0.909375
18-14-10-7-4,5,KNN,DeepONMF_H5,5,159,34,6,1,0.965,0.99375,0.85,0.9636363636363636,0.921875
18-14-10-7-4,5,KNN,DeepONMF_W,1,146,37,3,14,0.915,0.9125,0.925,0.9798657718120806,0.91875
18-14-10-7-4,5,KNN,DeepONMF_W,2,147,38,2,13,0.925,0.91875,0.95,0.9865771812080537,0.934375
18-14-10-7-4,5,KNN,DeepONMF_W,3,151,34,6,9,0.925,0.94375,0.85,0.9617834394904459,0.896875
18-14-10-7-4,5,KNN,DeepONMF_W,4,145,35,5,15,0.9,0.90625,0.875,0.9666666666666667,0.890625
18-14-10-7-4,5,KNN,DeepONMF_W,5,149,36,4,11,0.925,0.93125,0.9,0.9738562091503268,0.915625
18-14-10-7-4,5,SVM,DeepONMF_H5,1,157,38,2,3,0.975,0.98125,0.95,0.9874213836477987,0.965625
18-14-10-7-4,5,SVM,DeepONMF_H5,2,157,38,2,3,0.975,0.98125,0.95,0.9874213836477987,0.965625
18-14-10-7-4,5,SVM,DeepONMF_H5,3,154,37,3,6,0.955,0.9625,0.925,0.9808917197452229,0.9437500000000001
18-14-10-7-4,5,SVM,DeepONMF_H5,4,155,35,5,5,0.95,0.96875,0.875,0.96875,0.921875
18-14-10-7-4,5,SVM,DeepONMF_H5,5,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
18-14-10-7-4,5,SVM,DeepONMF_W,1,148,39,1,12,0.935,0.925,0.975,0.9932885906040269,0.95
18-14-10-7-4,5,SVM,DeepONMF_W,2,149,38,2,11,0.935,0.93125,0.95,0.9867549668874173,0.940625
18-14-10-7-4,5,SVM,DeepONMF_W,3,148,37,3,12,0.925,0.925,0.925,0.9801324503311258,0.925
18-14-10-7-4,5,SVM,DeepONMF_W,4,148,37,3,12,0.925,0.925,0.925,0.9801324503311258,0.925
18-14-10-7-4,5,SVM,DeepONMF_W,5,148,37,3,12,0.925,0.925,0.925,0.9801324503311258,0.925
18-14-10-7-4,5,UjaNet,DeepONMF_H5,1,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
18-14-10-7-4,5,UjaNet,DeepONMF_H5,2,160,38,2,0,0.99,1.0,0.95,0.9876543209876543,0.975
18-14-10-7-4,5,UjaNet,DeepONMF_H5,3,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
18-14-10-7-4,5,UjaNet,DeepONMF_H5,4,156,38,2,4,0.97,0.975,0.95,0.9873417721518988,0.9624999999999999
18-14-10-7-4,5,UjaNet,DeepONMF_H5,5,158,40,0,2,0.99,0.9875,1.0,1.0,0.99375
18-14-10-7-4,5,UjaNet,DeepONMF_W,1,156,38,2,4,0.97,0.975,0.95,0.9873417721518988,0.9624999999999999
18-14-10-7-4,5,UjaNet,DeepONMF_W,2,159,36,4,1,0.975,0.99375,0.9,0.9754601226993865,0.946875
18-14-10-7-4,5,UjaNet,DeepONMF_W,3,156,34,6,4,0.95,0.975,0.85,0.9629629629629629,0.9125
18-14-10-7-4,5,UjaNet,DeepONMF_W,4,157,36,4,3,0.965,0.98125,0.9,0.9751552795031055,0.940625
18-14-10-7-4,5,UjaNet,DeepONMF_W,5,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
