indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos,capa_5_rango,capa_5_error,capa_5_ortogonalidad_h,capa_5_segundos
0,N,New_N_001.wav,18-14-10-7-4,5,0.511338416678379,126x4,4x212,18,0.03998735437319855,0.36438261113840825,0.010330600001907442,14,0.16383825117494372,0.1841274553286101,0.004445099999429658,10,0.2841808835856739,0.14734989536565252,0.0035199000049033202,7,0.3813467468060563,0.1487924583302916,0.00308470000163652,4,0.47710508921839584,0.14815127722547808,0.002460799994878471
1,N,New_N_002.wav,18-14-10-7-4,5,0.5388354072301719,126x4,4x212,18,0.03791496488985101,0.35803919615990365,0.01004349999857368,14,0.20852349084676952,0.12634601392651135,0.004930199997033924,10,0.39488692079485843,0.09395239630091672,0.0039007000013953075,7,0.4172890715979277,0.08023437490707416,0.0030549000002793036,4,0.5952435138447789,0.11638278657340305,0.0023620000065420754
2,N,New_N_003.wav,18-14-10-7-4,5,0.506523820648549,126x4,4x212,18,0.04822881133559267,0.35985153378891993,0.010673699995095376,14,0.17263041854360925,0.1606901231268959,0.005032900000514928,10,0.24016907676768867,0.1522979086778298,0.0036008000024594367,7,0.3615706206452707,0.13842733637678797,0.0030446000018855557,4,0.49452576624111655,0.1403176434963123,0.002464299999701325
3,N,New_N_004.wav,18-14-10-7-4,5,0.5589289844031021,126x4,4x212,18,0.048519029702798096,0.3843665973815906,0.009842100000241771,14,0.19318873493382183,0.17320100182815107,0.004459700001461897,10,0.3069192668751612,0.13280645446702666,0.0035349999961908907,7,0.41855401093955236,0.15306561567741347,0.003077199995459523,4,0.5068914654286555,0.14785771187336072,0.002376700002059806
4,N,New_N_005.wav,18-14-10-7-4,5,0.4994220136055658,126x4,4x212,18,0.04924518092098266,0.3946543657985263,0.010066100003314205,14,0.18011299329583433,0.23697288288497614,0.006058299994037952,10,0.2604610959916113,0.17909820599808526,0.00425139999424573,7,0.316960860572738,0.17035800652215188,0.003286400002252776,4,0.4996110533621003,0.18021400050313993,0.0022478000028058887
5,N,New_N_006.wav,18-14-10-7-4,5,0.5298519816253628,126x4,4x212,18,0.048862255608477644,0.38525265366813605,0.008955600002082065,14,0.22448627187577702,0.18907668485241455,0.00440369999705581,10,0.35736852876674885,0.13598448679362207,0.003197900005034171,7,0.44119802555790016,0.1318669609502293,0.0027016000021831132,4,0.5424972735395119,0.1833555188484052,0.002103999999235384
6,N,New_N_007.wav,18-14-10-7-4,5,0.5300414145088012,126x4,4x212,18,0.04426350701322152,0.3783608609660023,0.009178000000247266,14,0.19910909637838678,0.16929462193651396,0.0038104999985080212,10,0.27563870300958226,0.13688415389370745,0.003020800002559554,7,0.3552823553690209,0.12346448382017035,0.0026042999961646274,4,0.4926185073439661,0.13260099843923803,0.0020469000010052696
7,N,New_N_008.wav,18-14-10-7-4,5,0.45854249770659283,126x4,4x212,18,0.04866160853406759,0.36640732883790994,0.009062000004632864,14,0.19299472011130134,0.15349427228707496,0.004383499996038154,10,0.3452594079458742,0.11785867035015724,0.00322769999911543,7,0.4234606995257763,0.11231494927835212,0.002649900001415517,4,0.5391460065824085,0.14349407850314844,0.0020465999987209216
8,N,New_N_009.wav,18-14-10-7-4,5,0.47174831702655506,126x4,4x212,18,0.0445595046083653,0.4149437058469773,0.008447000000160187,14,0.167849372657096,0.22331102184288268,0.004067800000484567,10,0.29088797222425156,0.157795219803426,0.002985300001455471,7,0.4270788448978787,0.13126482307608628,0.002559300002758391,4,0.5242227762239164,0.14697799199381711,0.0019915000011678785
9,N,New_N_010.wav,18-14-10-7-4,5,0.5102397140302006,126x4,4x212,18,0.04751037620187488,0.3507195818922024,0.008932099997764453,14,0.19398497139039853,0.11731354272102057,0.004281599998648744,10,0.3855903030376926,0.1162095551640429,0.0029646000039065257,7,0.41914344010249754,0.13267647944317806,0.002555200000642799,4,0.5376893507835087,0.1429867559824242,0.0020428999996511266
10,N,New_N_011.wav,18-14-10-7-4,5,0.5114911285941577,126x4,4x212,18,0.04193795380724595,0.3865719903518112,0.00885559999733232,14,0.23336711423923406,0.12979655673963283,0.004091099996003322,10,0.33343323654448037,0.11144302157844525,0.003393099999811966,7,0.3998104776245414,0.10347140574761607,0.0026972000050591305,4,0.5216744569939845,0.11683062740543011,0.0020647999990615062
11,N,New_N_012.wav,18-14-10-7-4,5,0.5694540507853719,126x4,4x212,18,0.05090480974698423,0.3384427297390087,0.008626399998320267,14,0.18743437899226512,0.12265385051620412,0.0046382999935303815,10,0.24437900152952305,0.09209851706858697,0.0032369000036851503,7,0.368847048254023,0.09323170927509002,0.002696000003197696,4,0.4569300110028278,0.08253812930518063,0.0020664999974542297
12,N,New_N_013.wav,18-14-10-7-4,5,0.4991780844519677,126x4,4x212,18,0.0494401694119791,0.3904557530558613,0.010323499998776242,14,0.21563860580347136,0.2006043275565366,0.004113900002266746,10,0.3172511771656067,0.13977938957547797,0.0030321000012918375,7,0.3996569794299003,0.1392834274337116,0.003151599994453136,4,0.5544908269693769,0.12877748279846993,0.0022228000016184524
13,N,New_N_014.wav,18-14-10-7-4,5,0.5091610573900678,126x4,4x212,18,0.04184514856673872,0.36954289142830377,0.008861200003593694,14,0.24299766349993795,0.17062615642916995,0.005158600004506297,10,0.3657116983804747,0.13349307521460152,0.003034599998500198,7,0.43035916036977,0.12332670786438985,0.002594599995063618,4,0.517949750435983,0.12825443777389375,0.0020116000014240853
14,N,New_N_015.wav,18-14-10-7-4,5,0.47614516655666794,126x4,4x212,18,0.05217396742302461,0.3616887893472706,0.009313400005339645,14,0.1575707682183755,0.1662427572082605,0.0051162000017939135,10,0.23532334324180018,0.12531045976417762,0.002929200003563892,7,0.28735944727636953,0.1376021024132741,0.0026890000008279458,4,0.42206352430711974,0.10980755768034622,0.002372899994952604
15,N,New_N_016.wav,18-14-10-7-4,5,0.45303266483256077,126x4,4x212,18,0.05391326514781169,0.39442945928723416,0.009090700004890095,14,0.19554082598271835,0.25350300617077026,0.00511450000340119,10,0.3070139385213219,0.20116933271535717,0.0031773999944562092,7,0.39772362910227327,0.2050171390353045,0.0026809999981196597,4,0.5580534123446207,0.2202770783175978,0.0020793999938177876
16,N,New_N_017.wav,18-14-10-7-4,5,0.5132391200464309,126x4,4x212,18,0.04842799292026763,0.3803222814589572,0.01011129999824334,14,0.18233613622828224,0.17367794981343984,0.005476400001498405,10,0.2819481013701009,0.13886944213455768,0.003126499999780208,7,0.36728710460381375,0.15980177469134804,0.0026613000009092502,4,0.5053527497125883,0.13304016670833052,0.0022840000019641593
17,N,New_N_018.wav,18-14-10-7-4,5,0.4775039701547347,126x4,4x212,18,0.0446258282803672,0.3703716479811926,0.008774900001299102,14,0.16017236334114468,0.16372559073863735,0.0038507999997818843,10,0.3035846445606142,0.12955076573298197,0.0033151000025100075,7,0.38386942330615115,0.12603205799860215,0.002684600003703963,4,0.5279748094087328,0.13711425544313885,0.002078499994240701
18,N,New_N_019.wav,18-14-10-7-4,5,0.49147315344828735,126x4,4x212,18,0.046334662778477316,0.3733778348034947,0.009282499995606486,14,0.22018582898003064,0.1775342274436277,0.004195000001345761,10,0.34819080377881023,0.1425291353927214,0.0029826999962097034,7,0.3851894459377974,0.1414287702986453,0.0025774999958230183,4,0.5012847334132966,0.13508737343542443,0.002002300003368873
19,N,New_N_020.wav,18-14-10-7-4,5,0.5597881657717866,126x4,4x212,18,0.05000230342571725,0.36118555098481436,0.00995379999949364,14,0.22227672515507893,0.1583716500834894,0.003961299997172318,10,0.29390133256671075,0.127954722997152,0.0029770000037387945,7,0.3985549698233548,0.10576026450299574,0.003061100003833417,4,0.5634718277697515,0.1159214975286794,0.0021278999993228354
20,N,New_N_021.wav,18-14-10-7-4,5,0.4920551694117207,126x4,4x212,18,0.042151671831534024,0.3750635358155912,0.00840819999575615,14,0.1503236248760088,0.17546873027572227,0.004913500000839122,10,0.29614245008000023,0.13239967727487711,0.0031328000040957704,7,0.44502476993369705,0.15515725961445506,0.002688799999305047,4,0.5575404184730379,0.1569018276316014,0.002064800006337464
21,N,New_N_022.wav,18-14-10-7-4,5,0.5043028243433108,126x4,4x212,18,0.04078495761308348,0.3719644770279469,0.010005999996792525,14,0.2106099046767362,0.15631125261096315,0.0038493000029120594,10,0.3395029043057549,0.12187982835144241,0.0030374000052688643,7,0.3728454809408485,0.12015405063528958,0.0026184000016655773,4,0.5025928833368077,0.16492614868765135,0.0022412000034819357
22,N,New_N_023.wav,18-14-10-7-4,5,0.5171725958980504,126x4,4x212,18,0.05083064448479143,0.3708455409991915,0.008969599999545608,14,0.1752267692629974,0.18318488744301611,0.003983200003858656,10,0.3020406885841538,0.1410006542425887,0.0034097000025212765,7,0.34885932409667497,0.11450228089249988,0.0026686000055633485,4,0.4669165291118501,0.09729908267520652,0.0020612000007531606
