indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
0,N,New_N_001.wav,7-5,2,0.14930980452051512,126x5,5x212,7,0.09322156879747431,0.34430199333738304,0.008721599995624274,5,0.2468994071792356,0.1846257384517004,0.003122800000710413
1,N,New_N_002.wav,7-5,2,0.16584904355978175,126x5,5x212,7,0.07793272435234269,0.27996871882912727,0.007271900001796894,5,0.2350894252009628,0.20419851667843547,0.0037089000034029596
2,N,New_N_003.wav,7-5,2,0.15230800716205609,126x5,5x212,7,0.08328075441493622,0.3413557546407408,0.007318799995118752,5,0.2040202453620057,0.11860106976157199,0.0026214000026811846
3,N,New_N_004.wav,7-5,2,0.17368987426025645,126x5,5x212,7,0.08207547266146947,0.25861826189422626,0.007452500001818407,5,0.18651936559229432,0.08759463973715424,0.0027599000022746623
4,N,New_N_005.wav,7-5,2,0.17211765682905988,126x5,5x212,7,0.0777874112540642,0.29090762494541456,0.007281500002136454,5,0.3033708829505888,0.24097570320690737,0.0037171999938436784
5,N,New_N_006.wav,7-5,2,0.17463525266737642,126x5,5x212,7,0.08123038088349642,0.24002460749573387,0.00728979999985313,5,0.21290086503792494,0.14434584424452143,0.002642800005560275
6,N,New_N_007.wav,7-5,2,0.17731901146925894,126x5,5x212,7,0.08496586479951457,0.32640367760238126,0.01028270000097109,5,0.286175361117593,0.17039905876463873,0.0029111000039847568
7,N,New_N_008.wav,7-5,2,0.1446119318498541,126x5,5x212,7,0.06952147808170814,0.4435784340137348,0.008099800004856661,5,0.23340471110329888,0.26885074533086356,0.00273169999854872
8,N,New_N_009.wav,7-5,2,0.14940823194902197,126x5,5x212,7,0.07343243594282868,0.34912658344247405,0.007272499999089632,5,0.22130713215365003,0.22736599413116151,0.003577199997380376
9,N,New_N_010.wav,7-5,2,0.15622687397777482,126x5,5x212,7,0.0765654405012532,0.36220193823173774,0.007380000002740417,5,0.2699397193650662,0.30557718716673365,0.0028669000021182
10,N,New_N_011.wav,7-5,2,0.15951766454487976,126x5,5x212,7,0.09732087620259534,0.31558987488844137,0.007667600002605468,5,0.2769598956276552,0.22865307590360956,0.0030375999995158054
11,N,New_N_012.wav,7-5,2,0.16010915463780714,126x5,5x212,7,0.08327358374217174,0.3052864498180203,0.007362099997408222,5,0.3388070770118806,0.22209417706690618,0.0025581999943824485
12,N,New_N_013.wav,7-5,2,0.17862742576975082,126x5,5x212,7,0.08355910588576128,0.31468256164741387,0.006597700004931539,5,0.26655441405255037,0.18520856157674964,0.0027520000003278255
13,N,New_N_014.wav,7-5,2,0.18041851619468513,126x5,5x212,7,0.0758268379027054,0.2549557935637862,0.006567299999005627,5,0.2618553289978323,0.09666981304203136,0.0023423000020557083
14,N,New_N_015.wav,7-5,2,0.1601527097420892,126x5,5x212,7,0.09885384185618977,0.3449884195768593,0.006718199998431373,5,0.20139568680763972,0.2173723451209019,0.0025089999980991706
15,N,New_N_016.wav,7-5,2,0.154473719822544,126x5,5x212,7,0.07994368048734031,0.3655467585032924,0.0064281000013579614,5,0.23075990674791028,0.20075266285909485,0.0026735999999800697
16,N,New_N_017.wav,7-5,2,0.17501066563889736,126x5,5x212,7,0.07253267320772869,0.39958042546482603,0.006499499999335967,5,0.2738450783109216,0.2131776977336579,0.0022753000012016855
17,N,New_N_018.wav,7-5,2,0.17817686396569743,126x5,5x212,7,0.08827839750745685,0.2832381900467821,0.006187499995576218,5,0.32635879009988195,0.18172685126241275,0.0023237999994307756
18,N,New_N_019.wav,7-5,2,0.16608140382823558,126x5,5x212,7,0.07921373048022969,0.391342898651443,0.006196900001668837,5,0.23133774467688717,0.21972759772707334,0.0022580000004381873
19,N,New_N_020.wav,7-5,2,0.14953480335766836,126x5,5x212,7,0.07857338086917112,0.34887992155285275,0.006665200002316851,5,0.18335360402906356,0.21288040969397262,0.002309600000444334
20,N,New_N_021.wav,7-5,2,0.1600718619475486,126x5,5x212,7,0.07836756602177927,0.31028778285493486,0.00616019999870332,5,0.325814108573891,0.19165876030990148,0.0022232999981497414
21,N,New_N_022.wav,7-5,2,0.1749410369955132,126x5,5x212,7,0.07151405847417842,0.2969355313845006,0.0064798000021255575,5,0.28505353882881207,0.21232368492659473,0.002273799997055903
22,N,New_N_023.wav,7-5,2,0.1654978243482387,126x5,5x212,7,0.08411107710980137,0.3338235873679002,0.006111099995905533,5,0.27148543144777887,0.24059030236207288,0.0037096000014571473
23,N,New_N_024.wav,7-5,2,0.14620387734946552,126x5,5x212,7,0.06942933575853076,0.3523302858072846,0.006118400000559632,5,0.17995438229537628,0.23777105500495804,0.0022388000070350245
24,N,New_N_025.wav,7-5,2,0.1730888108439021,126x5,5x212,7,0.09873595914785753,0.23097452287850834,0.006807500001741573,5,0.24649306605984503,0.15181863316851738,0.002916000004915986
25,N,New_N_026.wav,7-5,2,0.14086385270814294,126x5,5x212,7,0.08950775968392967,0.3570463397527955,0.0063988999972934835,5,0.1589906954204486,0.2401004803600458,0.003280199998698663
26,N,New_N_027.wav,7-5,2,0.153648600625387,126x5,5x212,7,0.07163311922719388,0.3701559184082609,0.00627159999567084,5,0.23891375762370082,0.18304744688822142,0.0022592000022996217
27,N,New_N_028.wav,7-5,2,0.16594462965232332,126x5,5x212,7,0.08085014295459964,0.30210168572921536,0.00633679999737069,5,0.24720844614901047,0.2020880200800117,0.0023021000015432946
28,N,New_N_029.wav,7-5,2,0.14644715310840928,126x5,5x212,7,0.08574451489540821,0.335812642280498,0.006335600002785213,5,0.17285118032914593,0.2045701381118939,0.003274900001997594
29,N,New_N_030.wav,7-5,2,0.16702502089532764,126x5,5x212,7,0.08554216700677528,0.27011663216919934,0.006470899999840185,5,0.23583854008348482,0.1333808870120997,0.002580299995315727
30,N,New_N_031.wav,7-5,2,0.12551475273097573,126x5,5x212,7,0.06763582717526032,0.38963266775799277,0.006183099998452235,5,0.12822374334854197,0.2657304784365284,0.003241499995056074
31,N,New_N_032.wav,7-5,2,0.15367324267466742,126x5,5x212,7,0.07264936758114511,0.3387555024823722,0.006303199996182229,5,0.2676747728255534,0.2669140669488772,0.002466199999616947
32,N,New_N_033.wav,7-5,2,0.19833644553064125,126x5,5x212,7,0.08919220974592122,0.2904866401192151,0.006725100000039674,5,0.3652471103747138,0.1880882643198313,0.0023119999968912452
33,N,New_N_034.wav,7-5,2,0.16260780534661287,126x5,5x212,7,0.08778053754310232,0.3869780349729706,0.006127599997853395,5,0.21560644665596218,0.22082646701899028,0.0027454000010038726
34,N,New_N_035.wav,7-5,2,0.15980933315213486,126x5,5x212,7,0.07553919676503729,0.35631118887418445,0.007013800001004711,5,0.24071945036041356,0.21184822476622744,0.00296360000356799
35,N,New_N_036.wav,7-5,2,0.13021343858303353,126x5,5x212,7,0.07330141413454032,0.35485104392443645,0.007206100002804305,5,0.1770060045258275,0.23138260250445222,0.002725099999224767
36,N,New_N_037.wav,7-5,2,0.15188103385171164,126x5,5x212,7,0.06260989946610612,0.36283434801101083,0.006235200002265628,5,0.25809088973012545,0.15251980397632184,0.0029493999973055907
37,N,New_N_038.wav,7-5,2,0.16122928236199704,126x5,5x212,7,0.06516512055752413,0.3469923556786706,0.006464099998993333,5,0.2894164074273027,0.20076828414527212,0.002237000000604894
38,N,New_N_039.wav,7-5,2,0.16706303784503584,126x5,5x212,7,0.05865789525078179,0.2158946278200052,0.006503299999167211,5,0.239162225989846,0.11401090480127715,0.002420299999357667
39,N,New_N_040.wav,7-5,2,0.12899317929179024,126x5,5x212,7,0.07585205963961865,0.2998371758852344,0.006148699998448137,5,0.14392889119096208,0.10078725344778583,0.0022118000051705167
40,N,New_N_041.wav,7-5,2,0.13162935976970216,126x5,5x212,7,0.07508643167302173,0.411261783136523,0.006532999999762978,5,0.1748036273966907,0.17880777783823795,0.003011300002981443
41,N,New_N_042.wav,7-5,2,0.13622021794826394,126x5,5x212,7,0.06880233844984009,0.39109584970784445,0.006285199997364543,5,0.1775425382841453,0.24663138641450794,0.003041199997824151
42,N,New_N_043.wav,7-5,2,0.13156893899842376,126x5,5x212,7,0.07158346266720556,0.350775042759594,0.006338099999993574,5,0.1917675428925041,0.14303960633059262,0.002274700003908947
43,N,New_N_044.wav,7-5,2,0.12695586696961017,126x5,5x212,7,0.08012324384475607,0.343550153830458,0.006975800002692267,5,0.10107808879073413,0.14671213442086944,0.00325400000292575
44,N,New_N_045.wav,7-5,2,0.16232373397044408,126x5,5x212,7,0.08149550366107054,0.3385173249481101,0.006155999995826278,5,0.21935921355416668,0.13830969577434066,0.0024937999987741932
45,N,New_N_046.wav,7-5,2,0.13415940364934079,126x5,5x212,7,0.06557548878892197,0.32431894460306576,0.00666579999960959,5,0.19904940467812,0.1594381929276742,0.0022282000063569285
46,N,New_N_047.wav,7-5,2,0.13865018869518572,126x5,5x212,7,0.06646298690778113,0.35498734531716486,0.006476199996541254,5,0.1833037910827446,0.26716594284318507,0.0027759000004152767
47,N,New_N_048.wav,7-5,2,0.15238480972268167,126x5,5x212,7,0.07990013293696309,0.32638164648533424,0.006127300002845004,5,0.245249618990032,0.14368911825064892,0.002379300000029616
48,N,New_N_049.wav,7-5,2,0.14849121816479843,126x5,5x212,7,0.07752573541777007,0.4245433365383584,0.006230300001334399,5,0.27254312146311593,0.1886119662402977,0.003574599999410566
49,N,New_N_050.wav,7-5,2,0.13875050898274102,126x5,5x212,7,0.0619882339582096,0.32822981881009894,0.006806799996411428,5,0.19786012483753615,0.15454319377257142,0.0025453000052948482
50,N,New_N_051.wav,7-5,2,0.14187299833837638,126x5,5x212,7,0.06841665774576394,0.31144938650808074,0.006088699999963865,5,0.15633846094430803,0.15087786022040017,0.0027563999974518083
51,N,New_N_052.wav,7-5,2,0.1257621902302779,126x5,5x212,7,0.06518430431097492,0.3468651572669402,0.006230999999388587,5,0.22432061650097926,0.18977279078223408,0.002333099997485988
52,N,New_N_053.wav,7-5,2,0.13098485707642707,126x5,5x212,7,0.07442220307366276,0.3907813127799559,0.0072648999994271435,5,0.14027085901471956,0.17720019603045378,0.0025078999969991855
53,N,New_N_054.wav,7-5,2,0.13867999970530087,126x5,5x212,7,0.07510438503412088,0.325477143146352,0.006771399996068794,5,0.1764661334148594,0.10564726167858449,0.002680300000065472
54,N,New_N_055.wav,7-5,2,0.12039631474146693,126x5,5x212,7,0.06723272256278241,0.433832972990517,0.007027200001175515,5,0.20591658191858106,0.1640017603358262,0.002884900000935886
55,N,New_N_056.wav,7-5,2,0.12605683157388664,126x5,5x212,7,0.07122379717060784,0.426216069876346,0.007453400001395494,5,0.11388633105386084,0.185005785012269,0.002621999999973923
56,N,New_N_057.wav,7-5,2,0.12280805489157666,126x5,5x212,7,0.06457387604832567,0.3783025824661752,0.006970099995669443,5,0.19897414818202042,0.20435402277568393,0.0030197999949450605
57,N,New_N_058.wav,7-5,2,0.11607855376987203,126x5,5x212,7,0.054030842440519145,0.3664466260355431,0.006998699995165225,5,0.12286236913920924,0.28286735127103857,0.002558599997428246
58,N,New_N_059.wav,7-5,2,0.12047172053080112,126x5,5x212,7,0.06704971057590126,0.3809130782081188,0.007463000001735054,5,0.15894045912420465,0.17311562574958378,0.0026289999950677156
59,N,New_N_060.wav,7-5,2,0.14606359800785218,126x5,5x212,7,0.08681406461968902,0.293277243846518,0.006609700001718011,5,0.13183236208651752,0.17008256550200304,0.0026466999988770112
60,N,New_N_061.wav,7-5,2,0.1395956382685891,126x5,5x212,7,0.08412061391179057,0.44133787655360235,0.006483400000433903,5,0.16970730139834952,0.20067970772140428,0.0029073000041535124
61,N,New_N_062.wav,7-5,2,0.1316715010539301,126x5,5x212,7,0.08210898652338804,0.3837119279819542,0.007044400001177564,5,0.11939217338013272,0.2498788779569491,0.002653800002008211
62,N,New_N_063.wav,7-5,2,0.1524185787794675,126x5,5x212,7,0.07909172327674543,0.3827820252676112,0.00619860000006156,5,0.2566977321772081,0.14798377659211912,0.003147199997329153
63,N,New_N_064.wav,7-5,2,0.11717498142223451,126x5,5x212,7,0.06779827928359347,0.43061911300222344,0.006514699998660944,5,0.15079952578981093,0.20760623318417282,0.00225499999942258
64,N,New_N_065.wav,7-5,2,0.13347845357386307,126x5,5x212,7,0.06682079174309387,0.3214954425164495,0.006797399997594766,5,0.3317115359883047,0.15333186497103382,0.002829500001098495
65,N,New_N_066.wav,7-5,2,0.13167504301396157,126x5,5x212,7,0.061811298920371724,0.41463879344018567,0.006218700000317767,5,0.2415199879502631,0.17257855482858936,0.002884400004404597
66,N,New_N_067.wav,7-5,2,0.17066944613515558,126x5,5x212,7,0.07159486481962567,0.2492533550538077,0.006269900004554074,5,0.18554224914844794,0.1408886379242566,0.0022551000001840293
67,N,New_N_068.wav,7-5,2,0.1345723504378889,126x5,5x212,7,0.08152822120600929,0.3816622706587071,0.006550900005095173,5,0.1633663188580874,0.16512957759279956,0.0023489000013796613
68,N,New_N_069.wav,7-5,2,0.1478507861040397,126x5,5x212,7,0.07163149290281048,0.29084679366882976,0.006524600001284853,5,0.18388247603316907,0.1924187437985537,0.0024208000031649135
