distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
7-6-5-3,4,KNN,DeepONMF_H4,1,156,33,7,4,0.945,0.975,0.825,0.9570552147239264,0.8999999999999999
7-6-5-3,4,KNN,DeepONMF_H4,2,157,37,3,3,0.97,0.98125,0.925,0.98125,0.953125
7-6-5-3,4,KNN,DeepONMF_H4,3,155,35,5,5,0.95,0.96875,0.875,0.96875,0.921875
7-6-5-3,4,KNN,DeepONMF_H4,4,158,34,6,2,0.96,0.9875,0.85,0.9634146341463414,0.91875
7-6-5-3,4,KNN,DeepONMF_H4,5,159,33,7,1,0.96,0.99375,0.825,0.9578313253012049,0.909375
7-6-5-3,4,KNN,DeepONMF_W,1,149,34,6,11,0.915,0.93125,0.85,0.9612903225806452,0.890625
7-6-5-3,4,KNN,DeepONMF_W,2,148,34,6,12,0.91,0.925,0.85,0.961038961038961,0.8875
7-6-5-3,4,KNN,DeepONMF_W,3,152,35,5,8,0.935,0.95,0.875,0.9681528662420382,0.9125
7-6-5-3,4,KNN,DeepONMF_W,4,145,35,5,15,0.9,0.90625,0.875,0.9666666666666667,0.890625
7-6-5-3,4,KNN,DeepONMF_W,5,151,35,5,9,0.93,0.94375,0.875,0.967948717948718,0.909375
7-6-5-3,4,SVM,DeepONMF_H4,1,156,36,4,4,0.96,0.975,0.9,0.975,0.9375
7-6-5-3,4,SVM,DeepONMF_H4,2,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
7-6-5-3,4,SVM,DeepONMF_H4,3,154,37,3,6,0.955,0.9625,0.925,0.9808917197452229,0.9437500000000001
7-6-5-3,4,SVM,DeepONMF_H4,4,155,36,4,5,0.955,0.96875,0.9,0.9748427672955975,0.934375
7-6-5-3,4,SVM,DeepONMF_H4,5,159,37,3,1,0.98,0.99375,0.925,0.9814814814814815,0.9593750000000001
7-6-5-3,4,SVM,DeepONMF_W,1,142,39,1,18,0.905,0.8875,0.975,0.993006993006993,0.9312499999999999
7-6-5-3,4,SVM,DeepONMF_W,2,145,38,2,15,0.915,0.90625,0.95,0.9863945578231292,0.928125
7-6-5-3,4,SVM,DeepONMF_W,3,144,37,3,16,0.905,0.9,0.925,0.9795918367346939,0.9125000000000001
7-6-5-3,4,SVM,DeepONMF_W,4,143,39,1,17,0.91,0.89375,0.975,0.9930555555555556,0.934375
7-6-5-3,4,SVM,DeepONMF_W,5,146,38,2,14,0.92,0.9125,0.95,0.9864864864864865,0.9312499999999999
7-6-5-3,4,UjaNet,DeepONMF_H4,1,160,37,3,0,0.985,1.0,0.925,0.9815950920245399,0.9625
7-6-5-3,4,UjaNet,DeepONMF_H4,2,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
7-6-5-3,4,UjaNet,DeepONMF_H4,3,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
7-6-5-3,4,UjaNet,DeepONMF_H4,4,158,40,0,2,0.99,0.9875,1.0,1.0,0.99375
7-6-5-3,4,UjaNet,DeepONMF_H4,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
7-6-5-3,4,UjaNet,DeepONMF_W,1,153,36,4,7,0.945,0.95625,0.9,0.9745222929936306,0.9281250000000001
7-6-5-3,4,UjaNet,DeepONMF_W,2,157,37,3,3,0.97,0.98125,0.925,0.98125,0.953125
7-6-5-3,4,UjaNet,DeepONMF_W,3,155,32,8,5,0.935,0.96875,0.8,0.950920245398773,0.884375
7-6-5-3,4,UjaNet,DeepONMF_W,4,152,39,1,8,0.955,0.95,0.975,0.9934640522875817,0.9624999999999999
7-6-5-3,4,UjaNet,DeepONMF_W,5,159,35,5,1,0.97,0.99375,0.875,0.9695121951219512,0.934375
