distribucion,numero_capas,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
8-6,2,KNN,DeepONMF_H2,1,PROMEDIO_MACRO,156,756,44,44,0.9119999999999999,0.78,0.9450000000000001,0.8310519544535746,0.8625,200
8-6,2,KNN,DeepONMF_H2,2,PROMEDIO_MACRO,159,759,41,41,0.9179999999999999,0.795,0.9487500000000001,0.8266335711072553,0.871875,200
8-6,2,KNN,DeepONMF_H2,3,PROMEDIO_MACRO,151,751,49,49,0.9019999999999999,0.755,0.9387500000000001,0.7845756681050798,0.846875,200
8-6,2,KNN,DeepONMF_H2,4,PROMEDIO_MACRO,163,763,37,37,0.9259999999999999,0.8150000000000001,0.95375,0.8381821497610972,0.884375,200
8-6,2,KNN,DeepONMF_H2,5,PROMEDIO_MACRO,147,747,53,53,0.8940000000000001,0.735,0.9337500000000001,0.7909738401178708,0.834375,200
8-6,2,KNN,DeepONMF_W,1,PROMEDIO_MACRO,125,725,75,75,0.85,0.625,0.90625,0.6634486596140792,0.7656249999999999,200
8-6,2,KNN,DeepONMF_W,2,PROMEDIO_MACRO,95,695,105,105,0.7899999999999999,0.475,0.86875,0.4970677812929612,0.671875,200
8-6,2,KNN,DeepONMF_W,3,PROMEDIO_MACRO,105,705,95,95,0.8099999999999999,0.525,0.88125,0.5632057416267943,0.703125,200
8-6,2,KNN,DeepONMF_W,4,PROMEDIO_MACRO,101,701,99,99,0.8020000000000002,0.505,0.8762500000000001,0.5568808485179398,0.690625,200
8-6,2,KNN,DeepONMF_W,5,PROMEDIO_MACRO,107,707,93,93,0.8139999999999998,0.5349999999999999,0.88375,0.5849818511796733,0.709375,200
8-6,2,SVM,DeepONMF_H2,1,PROMEDIO_MACRO,179,779,21,21,0.958,0.8949999999999999,0.9737500000000001,0.9034797434008338,0.934375,200
8-6,2,SVM,DeepONMF_H2,2,PROMEDIO_MACRO,176,776,24,24,0.952,0.8800000000000001,0.97,0.8824565022839181,0.925,200
8-6,2,SVM,DeepONMF_H2,3,PROMEDIO_MACRO,173,773,27,27,0.9460000000000001,0.865,0.9662499999999999,0.8634030656512099,0.915625,200
8-6,2,SVM,DeepONMF_H2,4,PROMEDIO_MACRO,176,776,24,24,0.952,0.8800000000000001,0.9700000000000001,0.8808682172755399,0.925,200
8-6,2,SVM,DeepONMF_H2,5,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.9280084408345278,0.953125,200
8-6,2,SVM,DeepONMF_W,1,PROMEDIO_MACRO,143,743,57,57,0.8859999999999999,0.715,0.92875,0.7159033759033759,0.821875,200
8-6,2,SVM,DeepONMF_W,2,PROMEDIO_MACRO,140,740,60,60,0.8800000000000001,0.7000000000000001,0.925,0.7008906684713135,0.8125,200
8-6,2,SVM,DeepONMF_W,3,PROMEDIO_MACRO,130,730,70,70,0.86,0.6499999999999999,0.9125,0.6472970632970634,0.78125,200
8-6,2,SVM,DeepONMF_W,4,PROMEDIO_MACRO,139,739,61,61,0.8779999999999999,0.6950000000000001,0.9237499999999998,0.6966032527380455,0.809375,200
8-6,2,SVM,DeepONMF_W,5,PROMEDIO_MACRO,137,737,63,63,0.874,0.685,0.92125,0.6798808295247923,0.803125,200
8-6,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.9612711586112189,0.975,200
8-6,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,183,783,17,17,0.966,0.9149999999999998,0.97875,0.9185372938620417,0.9468749999999998,200
8-6,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.928056213637609,0.953125,200
8-6,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,188,788,12,12,0.976,0.9399999999999998,0.985,0.9409887452607697,0.9625,200
8-6,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.9604511278195489,0.975,200
8-6,2,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,175,775,25,25,0.95,0.875,0.96875,0.8809713979400391,0.921875,200
8-6,2,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,172,772,28,28,0.944,0.86,0.9650000000000001,0.8693199554069121,0.9125,200
8-6,2,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,153,753,47,47,0.906,0.7649999999999999,0.9412499999999999,0.7935533666966526,0.853125,200
8-6,2,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,162,762,38,38,0.924,0.8100000000000002,0.9524999999999999,0.8133134512753774,0.88125,200
8-6,2,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,168,768,32,32,0.9359999999999999,0.8400000000000001,0.96,0.8423615950445218,0.9,200
