distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
9-8,2,KNN,DeepONMF_H2,1,155,31,9,5,0.93,0.96875,0.775,0.9451219512195121,0.871875
9-8,2,KNN,DeepONMF_H2,2,158,37,3,2,0.975,0.9875,0.925,0.9813664596273292,0.95625
9-8,2,KNN,DeepONMF_H2,3,155,30,10,5,0.925,0.96875,0.75,0.9393939393939394,0.859375
9-8,2,KNN,DeepONMF_H2,4,154,36,4,6,0.95,0.9625,0.9,0.9746835443037974,0.93125
9-8,2,KNN,DeepONMF_H2,5,158,29,11,2,0.935,0.9875,0.725,0.9349112426035503,0.85625
9-8,2,KNN,DeepONMF_W,1,145,31,9,15,0.88,0.90625,0.775,0.9415584415584416,0.840625
9-8,2,KNN,DeepONMF_W,2,140,29,11,20,0.845,0.875,0.725,0.9271523178807947,0.8
9-8,2,KNN,DeepONMF_W,3,136,27,13,24,0.815,0.85,0.675,0.912751677852349,0.7625
9-8,2,KNN,DeepONMF_W,4,140,35,5,20,0.875,0.875,0.875,0.9655172413793104,0.875
9-8,2,KNN,DeepONMF_W,5,144,31,9,16,0.875,0.9,0.775,0.9411764705882353,0.8375
9-8,2,SVM,DeepONMF_H2,1,156,38,2,4,0.97,0.975,0.95,0.9873417721518988,0.9624999999999999
9-8,2,SVM,DeepONMF_H2,2,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
9-8,2,SVM,DeepONMF_H2,3,154,37,3,6,0.955,0.9625,0.925,0.9808917197452229,0.9437500000000001
9-8,2,SVM,DeepONMF_H2,4,156,36,4,4,0.96,0.975,0.9,0.975,0.9375
9-8,2,SVM,DeepONMF_H2,5,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
9-8,2,SVM,DeepONMF_W,1,144,38,2,16,0.91,0.9,0.95,0.9863013698630136,0.925
9-8,2,SVM,DeepONMF_W,2,145,37,3,15,0.91,0.90625,0.925,0.9797297297297297,0.915625
9-8,2,SVM,DeepONMF_W,3,148,35,5,12,0.915,0.925,0.875,0.9673202614379085,0.9
9-8,2,SVM,DeepONMF_W,4,149,38,2,11,0.935,0.93125,0.95,0.9867549668874173,0.940625
9-8,2,SVM,DeepONMF_W,5,144,35,5,16,0.895,0.9,0.875,0.9664429530201343,0.8875
9-8,2,UjaNet,DeepONMF_H2,1,160,40,0,0,1.0,1.0,1.0,1.0,1.0
9-8,2,UjaNet,DeepONMF_H2,2,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
9-8,2,UjaNet,DeepONMF_H2,3,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
9-8,2,UjaNet,DeepONMF_H2,4,158,40,0,2,0.99,0.9875,1.0,1.0,0.99375
9-8,2,UjaNet,DeepONMF_H2,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
9-8,2,UjaNet,DeepONMF_W,1,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
9-8,2,UjaNet,DeepONMF_W,2,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
9-8,2,UjaNet,DeepONMF_W,3,156,35,5,4,0.955,0.975,0.875,0.968944099378882,0.925
9-8,2,UjaNet,DeepONMF_W,4,156,37,3,4,0.965,0.975,0.925,0.9811320754716981,0.95
9-8,2,UjaNet,DeepONMF_W,5,160,37,3,0,0.985,1.0,0.925,0.9815950920245399,0.9625
