distribucion,numero_capas,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
10-6-4,3,KNN,DeepONMF_H3,0.9332,0.005215361924162,0.833,0.0130384048104053,0.95825,0.0032596012026013,0.8459910257393373,0.0196103591179287,0.8956250000000001,0.0081490030065033
10-6-4,3,KNN,DeepONMF_W,0.85,0.0166132477258361,0.625,0.0415331193145904,0.90625,0.0103832798286476,0.6494820245317623,0.0393367054830638,0.765625,0.025958199571619
10-6-4,3,SVM,DeepONMF_H3,0.9568,0.0083186537372342,0.892,0.0207966343430854,0.973,0.0051991585857713,0.8951278959573938,0.0217275256838564,0.9325,0.0129978964644283
10-6-4,3,SVM,DeepONMF_W,0.8948,0.0071554175279993,0.737,0.0178885438199982,0.93425,0.0044721359549995,0.746889822840441,0.0220347930290794,0.835625,0.0111803398874989
10-6-4,3,UjaNet,DeepONMF_H3,0.97,0.011916375287813,0.925,0.0297909382195324,0.98125,0.0074477345548831,0.9265715592127396,0.0294490561860468,0.953125,0.0186193363872077
10-6-4,3,UjaNet,DeepONMF_W,0.938,0.0083666002653407,0.845,0.0209165006633519,0.96125,0.0052291251658379,0.8502989224755803,0.0198555707944304,0.903125,0.0130728129145949
15-10-5,3,KNN,DeepONMF_H3,0.918,0.0108627804912001,0.7949999999999999,0.0271569512280005,0.94875,0.006789237807,0.8221552169024692,0.0247210613099195,0.871875,0.0169730945175002
15-10-5,3,KNN,DeepONMF_W,0.8328,0.0162849623886577,0.582,0.0407124059716445,0.8955,0.0101781014929112,0.61344809941709,0.0468261052268168,0.7387499999999999,0.0254452537322777
15-10-5,3,SVM,DeepONMF_H3,0.9544,0.0101390334845093,0.8859999999999999,0.0253475837112731,0.9715,0.0063368959278182,0.8881896176531983,0.0266702793012641,0.92875,0.0158422398195457
15-10-5,3,SVM,DeepONMF_W,0.8864000000000001,0.0118659175793531,0.716,0.0296647939483826,0.929,0.0074161984870956,0.7211477914250988,0.0347273870692733,0.8225,0.0185404962177391
15-10-5,3,UjaNet,DeepONMF_H3,0.972,0.0133416640641262,0.93,0.0333541601603158,0.9825,0.008338540040079,0.931363653470468,0.0327267042399574,0.95625,0.0208463501001973
15-10-5,3,UjaNet,DeepONMF_W,0.9372,0.0112782977438973,0.843,0.0281957443597433,0.96075,0.0070489360899358,0.8475473918477547,0.0287405274491327,0.901875,0.0176223402248395
8-5-3,3,KNN,DeepONMF_H3,0.9356,0.0038470768123342,0.8390000000000001,0.0096176920308356,0.95975,0.0024044230077089,0.8555500177034991,0.0097746286634438,0.899375,0.0060110575192722
8-5-3,3,KNN,DeepONMF_W,0.8596,0.0093166517590816,0.649,0.0232916293977042,0.91225,0.0058229073494261,0.6773538149154336,0.0264100506315472,0.780625,0.0145572683735651
8-5-3,3,SVM,DeepONMF_H3,0.9608,0.0055856960175075,0.902,0.0139642400437689,0.9755,0.0034910600109422,0.904773149056212,0.0166773044888905,0.93875,0.0087276500273555
8-5-3,3,SVM,DeepONMF_W,0.8948,0.0118827606220104,0.737,0.0297069015550258,0.93425,0.0074267253887564,0.7475231932915423,0.0320085121269674,0.835625,0.0185668134718911
8-5-3,3,UjaNet,DeepONMF_H3,0.9751999999999998,0.0123773987574126,0.938,0.0309434968935315,0.9845,0.0077358742233828,0.9401057961694652,0.0289494780105749,0.96125,0.0193396855584572
8-5-3,3,UjaNet,DeepONMF_W,0.9492,0.0050199601592044,0.873,0.0125499003980111,0.96825,0.0031374750995027,0.8814761225997048,0.011564421036186,0.920625,0.0078436877487569
9-8-7,3,KNN,DeepONMF_H3,0.8996000000000001,0.0130690474021636,0.749,0.032672618505409,0.93725,0.0081681546263522,0.79429243858022,0.0270719786205746,0.843125,0.0204203865658806
9-8-7,3,KNN,DeepONMF_W,0.8208,0.0113666177907062,0.552,0.0284165444767656,0.8879999999999999,0.0071041361191914,0.5723008392011482,0.0322257658533425,0.72,0.0177603402979785
9-8-7,3,SVM,DeepONMF_H3,0.954,0.0098994949366117,0.885,0.0247487373415291,0.97125,0.0061871843353822,0.8892995236970721,0.0240309622606102,0.928125,0.0154679608384557
9-8-7,3,SVM,DeepONMF_W,0.882,0.0108627804912002,0.705,0.0271569512280005,0.92625,0.0067892378070001,0.7086501547289049,0.0318913727803672,0.815625,0.0169730945175002
9-8-7,3,UjaNet,DeepONMF_H3,0.9756,0.0105261578935526,0.939,0.0263153947338814,0.98475,0.0065788486834704,0.9403683132374544,0.0255635693468484,0.961875,0.0164471217086759
9-8-7,3,UjaNet,DeepONMF_W,0.9344,0.0077974354758471,0.836,0.0194935886896178,0.959,0.0048733971724044,0.8415429079897642,0.0187249698776152,0.8975,0.0121834929310112
10-3,2,KNN,DeepONMF_H2,0.946,0.0031622776601684,0.865,0.0079056941504208,0.96625,0.0019764235376052,0.870777645498376,0.0096813857560335,0.915625,0.0049410588440131
10-3,2,KNN,DeepONMF_W,0.8503999999999999,0.0105261578935527,0.626,0.0263153947338815,0.9065,0.0065788486834703,0.6550680211639237,0.0332575281119551,0.76625,0.0164471217086759
10-3,2,SVM,DeepONMF_H2,0.964,0.0088317608663278,0.91,0.0220794021658196,0.9775,0.0055198505414549,0.9109966365756138,0.0225592666754589,0.94375,0.0137996263536372
10-3,2,SVM,DeepONMF_W,0.8948,0.0067230945255886,0.737,0.0168077363139715,0.93425,0.0042019340784928,0.7461064941820461,0.021088755714106,0.835625,0.0105048351962322
10-3,2,UjaNet,DeepONMF_H2,0.9788,0.0117132403714771,0.947,0.0292831009286926,0.98675,0.007320775232173,0.9479311250878888,0.028782538391307,0.966875,0.0183019380804329
10-3,2,UjaNet,DeepONMF_W,0.9424,0.0090994505328618,0.8560000000000001,0.0227486263321547,0.964,0.0056871565830386,0.864814401466672,0.0189809891160291,0.91,0.0142178914575966
10-4,2,KNN,DeepONMF_H2,0.9352,0.0041472882706655,0.8379999999999999,0.0103682206766638,0.9595,0.0025920551691659,0.8472538202163491,0.0182042821891968,0.89875,0.0064801379229148
10-4,2,KNN,DeepONMF_W,0.8371999999999999,0.009444575162494,0.5930000000000001,0.0236114379062351,0.89825,0.0059028594765587,0.6282410754062792,0.0356102716604267,0.745625,0.0147571486913969
10-4,2,SVM,DeepONMF_H2,0.96,0.0074833147735478,0.9,0.0187082869338697,0.975,0.0046770717334674,0.9033422919958624,0.0207589769787692,0.9375,0.0116926793336685
10-4,2,SVM,DeepONMF_W,0.8916000000000001,0.0055497747702046,0.729,0.0138744369255116,0.93225,0.0034686092313779,0.7375546179369484,0.0103091254866507,0.8306250000000001,0.0086715230784447
10-4,2,UjaNet,DeepONMF_H2,0.9736,0.0084142735871849,0.934,0.0210356839679626,0.9835,0.0052589209919906,0.9362531320674724,0.0206594466560467,0.95875,0.0131473024799766
10-4,2,UjaNet,DeepONMF_W,0.9412,0.0064187226143524,0.853,0.0160468065358812,0.96325,0.0040117016339703,0.8594283428461061,0.0153042965474048,0.908125,0.0100292540849257
10-5,2,KNN,DeepONMF_H2,0.9316,0.0047749345545254,0.8290000000000001,0.0119373363863133,0.95725,0.0029843340965783,0.8415031224620975,0.0144430888013108,0.8931250000000001,0.0074608352414458
10-5,2,KNN,DeepONMF_W,0.8251999999999999,0.0133865604245451,0.563,0.0334664010613629,0.8907499999999999,0.0083666002653406,0.6098341279901971,0.0350604600658166,0.7268749999999999,0.0209165006633518
10-5,2,SVM,DeepONMF_H2,0.958,0.0046904157598234,0.8949999999999999,0.0117260393995586,0.97375,0.0029315098498896,0.8985262323176182,0.0132268596397556,0.934375,0.0073287746247241
10-5,2,SVM,DeepONMF_W,0.8772,0.0098590060350929,0.693,0.0246475150877325,0.92325,0.0061618787719331,0.6997157387839497,0.0227271530582823,0.8081250000000001,0.0154046969298327
10-5,2,UjaNet,DeepONMF_H2,0.976,0.0077459666924148,0.94,0.019364916731037,0.985,0.0048412291827592,0.9418105795725924,0.0182006774165852,0.9625,0.0121030729568981
10-5,2,UjaNet,DeepONMF_W,0.9356,0.0096332756630338,0.8390000000000001,0.0240831891575846,0.95975,0.0060207972893962,0.8427585728736681,0.0262490551700993,0.899375,0.0150519932234903
10-5-4,3,KNN,DeepONMF_H3,0.9324,0.0043358966777357,0.8310000000000001,0.0108397416943394,0.95775,0.0027099354235848,0.8447501401192161,0.0146620907447072,0.8943749999999999,0.0067748385589621
10-5-4,3,KNN,DeepONMF_W,0.8368,0.0110090871556183,0.592,0.0275227178890458,0.898,0.0068806794722614,0.6265027153046471,0.0285369014532672,0.7450000000000001,0.0172016986806536
10-5-4,3,SVM,DeepONMF_H3,0.9612,0.0109178752511649,0.903,0.0272946881279123,0.97575,0.006823672031978,0.9049166630800052,0.029091332213559,0.939375,0.0170591800799452
10-5-4,3,SVM,DeepONMF_W,0.8911999999999999,0.006572670690062,0.728,0.0164316767251549,0.932,0.0041079191812887,0.7332715373023024,0.0198295124792732,0.8300000000000001,0.0102697979532218
10-5-4,3,UjaNet,DeepONMF_H3,0.976,0.0095916630466254,0.94,0.0239791576165636,0.985,0.0059947894041408,0.9416292356908532,0.0245102036578777,0.9625,0.0149869735103522
10-5-4,3,UjaNet,DeepONMF_W,0.9392,0.0161616830806695,0.8480000000000001,0.0404042077016738,0.962,0.0101010519254185,0.8546267835013378,0.0396012403310627,0.905,0.0252526298135461
10-6,2,KNN,DeepONMF_H2,0.9244,0.0095289033996572,0.8109999999999999,0.0238222584991431,0.95275,0.0059555646247857,0.8379823376775727,0.0214375395246019,0.881875,0.0148889115619645
10-6,2,KNN,DeepONMF_W,0.8171999999999999,0.0110090871556183,0.543,0.0275227178890457,0.88575,0.0068806794722614,0.5782619159056241,0.023355986982273,0.714375,0.0172016986806536
10-6,2,SVM,DeepONMF_H2,0.9584,0.0068410525505948,0.8960000000000001,0.017102631376487,0.974,0.0042756578441217,0.8982189098922774,0.0177858853948948,0.935,0.0106891446103043
10-6,2,SVM,DeepONMF_W,0.874,0.0078740078740118,0.6849999999999999,0.0196850196850295,0.92125,0.0049212549212573,0.6821996044224086,0.0258048703705748,0.803125,0.0123031373031434
10-6,2,UjaNet,DeepONMF_H2,0.9752,0.0096540147089177,0.938,0.0241350367722942,0.9845,0.0060337591930736,0.9400436644234128,0.0243294022102324,0.96125,0.0150843979826839
10-6,2,UjaNet,DeepONMF_W,0.9408,0.0052153619241621,0.852,0.0130384048104052,0.963,0.0032596012026013,0.8562059513483493,0.0147642208312465,0.9075,0.0081490030065033
10-6-3,3,KNN,DeepONMF_H3,0.9444,0.0104307238483242,0.861,0.0260768096208106,0.96525,0.0065192024052026,0.8683954832786954,0.0292543519220491,0.913125,0.0162980060130066
10-6-3,3,KNN,DeepONMF_W,0.8640000000000001,0.0132664991614215,0.66,0.033166247903554,0.915,0.0082915619758884,0.688332005383709,0.0315431808324312,0.7875,0.0207289049397212
10-6-3,3,SVM,DeepONMF_H3,0.9608,0.0096540147089177,0.902,0.0241350367722943,0.9755,0.0060337591930735,0.903445289022956,0.0259965574531814,0.93875,0.015084397982684
10-6-3,3,SVM,DeepONMF_W,0.9,0.0066332495807107,0.75,0.0165831239517769,0.9375,0.0041457809879442,0.7648733767342947,0.0248584481574792,0.84375,0.0103644524698606
10-6-3,3,UjaNet,DeepONMF_H3,0.9776,0.007266360849834,0.944,0.0181659021245849,0.986,0.0045414755311462,0.945496842360263,0.0171845607659228,0.965,0.0113536888278655
10-6-3,3,UjaNet,DeepONMF_W,0.9424,0.0095289033996572,0.8559999999999999,0.0238222584991431,0.964,0.0059555646247857,0.8626640597230274,0.0217857862929878,0.91,0.0148889115619645
10-7,2,KNN,DeepONMF_H2,0.916,0.0120830459735945,0.79,0.0302076149339864,0.9475,0.0075519037334966,0.8111208654891083,0.0311203145236019,0.86875,0.0188797593337415
10-7,2,KNN,DeepONMF_W,0.8084,0.0192561678430574,0.5210000000000001,0.0481404196076436,0.88025,0.0120351049019108,0.5428900418159461,0.0458944430598579,0.7006249999999999,0.0300877622547773
10-7,2,SVM,DeepONMF_H2,0.954,0.006164414002969,0.885,0.0154110350074224,0.97125,0.0038527587518556,0.8878879088970313,0.0161258267685438,0.928125,0.009631896879639
10-7,2,SVM,DeepONMF_W,0.8719999999999999,0.0101980390271854,0.6799999999999999,0.0254950975679639,0.92,0.0063737743919909,0.6774687305026801,0.0298421343014787,0.8,0.0159344359799774
10-7,2,UjaNet,DeepONMF_H2,0.978,0.0077459666924148,0.945,0.019364916731037,0.98625,0.0048412291827593,0.9462675300021954,0.0181418589649511,0.965625,0.0121030729568982
10-7,2,UjaNet,DeepONMF_W,0.9404,0.0085322916030806,0.851,0.0213307290077014,0.96275,0.0053326822519254,0.8543436745855653,0.0211586726934265,0.906875,0.0133317056298134
