indice_interno,distribucion,numero_capas,error_final,forma_h_final,segundos_extraccion,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h
0,2-7-24,3,0.1944558309963011,24x212,0.028747799980919808,2,0.1479943492931178,0.17949546605755423,7,0.03896859541144256,0.3079348361947723,24,0.044783138622466204,0.2544639718801804
1,2-7-24,3,0.19395377649147444,24x212,0.025343099987367168,2,0.14578798628521816,0.1192278703423002,7,0.04199669480707435,0.12064484874491557,24,0.03953276116424997,0.12061563924676258
2,2-7-24,3,0.19932669813002937,24x212,0.025303400005213916,2,0.15189010659731592,0.1306747229423307,7,0.040097357703105276,0.09583969797567471,24,0.045357538935932626,0.11079181322746966
3,2-7-24,3,0.18617269918299859,24x212,0.02024610000080429,2,0.13737658415681991,0.1259298342091516,7,0.039601556260260504,0.17933833708479002,24,0.04050384531046295,0.16184878846009437
4,2-7-24,3,0.1869486350491483,24x212,0.02122969998163171,2,0.14671531339250005,0.2378465204684902,7,0.04365428981345083,0.16453323847858295,24,0.03249591979685182,0.14075109060296154
5,2-7-24,3,0.20790635516385086,24x212,0.03032259998144582,2,0.15763507922056472,0.08869916946155564,7,0.046155471555995635,0.15810229869969647,24,0.04233163982775259,0.13714866932333267
6,2-7-24,3,0.20092800006510514,24x212,0.022971500002313405,2,0.1520347169351231,0.1425907793620288,7,0.03958142595922277,0.17426031140712794,24,0.04639215581243157,0.1605680501336317
7,2-7-24,3,0.2042083235519805,24x212,0.022605300007853657,2,0.15838975892672455,0.15485783711687473,7,0.04778811217710641,0.21155524569456735,24,0.04049493176099489,0.2257124062988857
8,2-7-24,3,0.19780470542144168,24x212,0.023233400017488748,2,0.1531665687690685,0.14058937909799885,7,0.04093685398971034,0.18901878172041803,24,0.039632833491039576,0.15211534554855685
9,2-7-24,3,0.21367841667411516,24x212,0.024909099971409887,2,0.1768531965299632,0.1973384410432711,7,0.04413757158674315,0.2504533007662766,24,0.03718600855767495,0.20606353572870595
10,2-7-24,3,0.210501883121189,24x212,0.030874799995217472,2,0.1618441050148789,0.12664661721322384,7,0.0469023471855722,0.13351949056940532,24,0.04340327288608614,0.16133621070893867
11,2-7-24,3,0.20068505123294975,24x212,0.02215450000949204,2,0.16146857636449338,0.1390623565008549,7,0.04014312930017999,0.19142489165999835,24,0.034841073610031,0.1539521946256479
12,2-7-24,3,0.19949851424751613,24x212,0.024324199999682605,2,0.14436239557615008,0.22343254479539215,7,0.04079337854065451,0.11277948148738644,24,0.07564044487025391,0.15148532948198604
