indice_interno,distribucion,numero_capas,error_final,forma_h_final,segundos_extraccion,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h
0,4-6-10-16,4,0.23766112604977876,16x212,0.0466487999947276,4,0.11632745336027525,0.2718301472900866,6,0.05419418649532559,0.1311944632913763,10,0.05160304029824561,0.10149053267461561,16,0.05075058350757218,0.07505384342351133
1,4-6-10-16,4,0.24208482033284123,16x212,0.04229939999640919,4,0.10475134547990392,0.2231259548157908,6,0.050596961375808394,0.1527655204043472,10,0.052583736982008675,0.11671271128818908,16,0.07282694449682633,0.08505899610579251
2,4-6-10-16,4,0.24311910450140092,16x212,0.05043070000829175,4,0.0957282533764329,0.29659169468368635,6,0.10195780798354034,0.13012169710403895,10,0.05213298629148082,0.10096898416121487,16,0.05865109704231023,0.07920294832249446
3,4-6-10-16,4,0.22855528380385706,16x212,0.045206000009784475,4,0.10063212879703116,0.24486828709531552,6,0.05468834369681261,0.12215011617844371,10,0.04964089763299855,0.09836732133845509,16,0.05822431293777195,0.06814579551719617
4,4-6-10-16,4,0.2413054312950635,16x212,0.03446049999911338,4,0.12365951253280622,0.18003884274268347,6,0.05227061047624803,0.15795110916843455,10,0.05331219930932794,0.09754569642110221,16,0.05439040112500031,0.07914405443500429
5,4-6-10-16,4,0.23807273659288145,16x212,0.03745389997493476,4,0.10991041309103927,0.2626956342661927,6,0.053826855676351155,0.137090132798733,10,0.04828899017321305,0.13085370335389038,16,0.0753050549618897,0.08678658929524179
6,4-6-10-16,4,0.24497825743930443,16x212,0.03828290000092238,4,0.11396052746884378,0.24481083748569699,6,0.05268839782586086,0.14447848312936964,10,0.05136253909233263,0.09558892655029294,16,0.06679809543623613,0.0755179826528932
7,4-6-10-16,4,0.2290214930828179,16x212,0.036181700008455664,4,0.08804318409102173,0.3038121706168827,6,0.05051810936436911,0.17686684649240625,10,0.04942742531919304,0.11096810304580745,16,0.058228304743895454,0.07758414088818393
8,4-6-10-16,4,0.24478319778785768,16x212,0.03571130000636913,4,0.11211878754965794,0.17873454285256,6,0.052524114179738846,0.11115105199736927,10,0.051150943238268284,0.09165326286140056,16,0.07260206924105385,0.09429251668448725
9,4-6-10-16,4,0.27036365391826295,16x212,0.04065499998978339,4,0.11083457905883723,0.2522422508074353,6,0.17505320937272933,0.1841519956965031,10,0.0727175695672327,0.0955521520730333,16,0.11703745256803261,0.0859939805873663
10,4-6-10-16,4,0.24099004961515594,16x212,0.05038739999872632,4,0.10646516980911759,0.2179272282241694,6,0.049916644150702474,0.15542179642525464,10,0.052238059516884185,0.11458734330193461,16,0.056757771220822976,0.10553749847009128
11,4-6-10-16,4,0.23554913595713625,16x212,0.05164319998584688,4,0.11456018773906215,0.30983826208498044,6,0.051045520031383844,0.18974822863275323,10,0.049910485269030115,0.12685113628293213,16,0.04963414851450782,0.0858633943146634
12,4-6-10-16,4,0.2307854283406051,16x212,0.039847200008807704,4,0.10536931236741667,0.26273584740240535,6,0.052726186192606724,0.1965287775336198,10,0.050636001959265285,0.13652530129486964,16,0.047141742171951884,0.11447810649043332
13,4-6-10-16,4,0.2725128100582094,16x212,0.05470659999991767,4,0.1398486697708098,0.15814484663222908,6,0.05363608622885284,0.14764015943108397,10,0.05788765846756706,0.0874889456044103,16,0.1095451805634409,0.0911540068701518
14,4-6-10-16,4,0.24006393459751516,16x212,0.04296059999614954,4,0.10363499391125273,0.36578572474192056,6,0.09020097159964538,0.14419435694794197,10,0.04928971666123382,0.12379527546483013,16,0.06752243635392585,0.09581425747943466
15,4-6-10-16,4,0.2474066661715159,16x212,0.033923399983905256,4,0.10466373474395155,0.3725785563439234,6,0.07917195286557922,0.16499996333607186,10,0.05036024229658522,0.13902013026717788,16,0.08441394461591754,0.07923095563117868
16,4-6-10-16,4,0.23467968515566912,16x212,0.034375500021269545,4,0.11264981728484419,0.2926337225948707,6,0.05324807752242358,0.16400660134445566,10,0.05298325794820429,0.09481610546540746,16,0.050236647285372714,0.09108602971781256
17,4-6-10-16,4,0.2310189884337457,16x212,0.051950399996712804,4,0.09559147848476165,0.3686391226024568,6,0.04860791512629332,0.23818232374144238,10,0.051734377315025684,0.15141352134809213,16,0.056220731707067595,0.10707034972721467
18,4-6-10-16,4,0.2475154274616646,16x212,0.050709999981336296,4,0.10729207485450486,0.3130998467938924,6,0.05554769198486177,0.17795475890000256,10,0.10731999328911594,0.12065358746948121,16,0.047533727164011115,0.07869135852016342
19,4-6-10-16,4,0.2317013875908551,16x212,0.046811900014290586,4,0.11017875193576714,0.30031533142482275,6,0.052402467181381564,0.14726990548019211,10,0.05065889438934823,0.13245610730471702,16,0.052892662849205484,0.07811713595903076
20,4-6-10-16,4,0.26604280075293835,16x212,0.035250899993116036,4,0.10866081437552881,0.29361674336929267,6,0.070043368128671,0.12275917724551787,10,0.04943358868586576,0.10477963573955691,16,0.11257081240099016,0.10002826460717523
21,4-6-10-16,4,0.2255351600139515,16x212,0.03057119998265989,4,0.09831055196599185,0.2465045794689278,6,0.05124746841899381,0.14022793796092306,10,0.044240944588558664,0.1187153920040378,16,0.05486683347825318,0.10095220145368215
22,4-6-10-16,4,0.2638573840234999,16x212,0.044911100005265325,4,0.10902007426255614,0.23274202005908132,6,0.23456550310992802,0.11814025591724277,10,0.04924550605743573,0.12052950055925962,16,0.05829745826675693,0.0784643384830316
23,4-6-10-16,4,0.22176751138029016,16x212,0.04501810000510886,4,0.1025068925700098,0.24319088379476905,6,0.04987361131275413,0.1467569103155587,10,0.05056124708894703,0.11371819473152453,16,0.05470660313876308,0.07404762686184294
24,4-6-10-16,4,0.23167013281319163,16x212,0.034188699995866045,4,0.1017181624587129,0.3632686123985212,6,0.08657419714515653,0.19186202422446336,10,0.04797753125320544,0.1186895313465891,16,0.052502668742215076,0.09031472179251043
