indice_interno,distribucion,numero_capas,error_final,forma_h_final,segundos_extraccion,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h
0,12-10-8,3,0.19972834024250222,8x212,0.028329399996437132,12,0.06259916383344948,0.3177074276063097,10,0.16259211326333897,0.15438408113022692,8,0.19387956329919265,0.10321815415746241
1,12-10-8,3,0.25132023252097807,8x212,0.03376760001992807,12,0.05539375475937081,0.3192734635674673,10,0.25428560235567993,0.16144581062943975,8,0.3010655242251074,0.12409081642096395
2,12-10-8,3,0.22969334675480585,8x212,0.033388800016837195,12,0.05878223415902781,0.35578011133664805,10,0.1689835210001992,0.16421814785680458,8,0.2960854424194224,0.18291727509576663
3,12-10-8,3,0.20727882759453833,8x212,0.032834599987836555,12,0.057825041492101104,0.35142050035520184,10,0.1558197135248457,0.18349152089966236,8,0.199478304920478,0.14715682133624103
4,12-10-8,3,0.20194657311555783,8x212,0.04007879999699071,12,0.0541578411452183,0.34425334634147864,10,0.17474458352644315,0.21756560388498877,8,0.23522223132235595,0.155477551209637
5,12-10-8,3,0.20958073679954708,8x212,0.02702020001015626,12,0.05872360195327571,0.36569156150054166,10,0.17124509827724008,0.17706267820081698,8,0.2484275746965598,0.1593784912528205
6,12-10-8,3,0.2035061743557375,8x212,0.031175200012512505,12,0.06414383074067403,0.3500357898960901,10,0.15817962371348485,0.17476254808027777,8,0.1968471531278162,0.14051696447542633
7,12-10-8,3,0.23206688422654315,8x212,0.03879029999370687,12,0.0610155851191569,0.3932933891204258,10,0.23302639400071445,0.17767242695758445,8,0.3030676009318033,0.13143844105928112
8,12-10-8,3,0.20400726487782228,8x212,0.04732089999015443,12,0.05946553750299899,0.3990806066874275,10,0.19112792376252272,0.18967341180493527,8,0.31040275957438607,0.16068363412974418
9,12-10-8,3,0.23203810158273488,8x212,0.0450915000110399,12,0.05475558153080295,0.3142878951083804,10,0.1681951268853182,0.16211628992142138,8,0.21758595278569848,0.15269288114138435
10,12-10-8,3,0.2086652192038992,8x212,0.061131599999498576,12,0.06318985385778189,0.37260995132938607,10,0.16085117106038457,0.21852131147581716,8,0.21444333823338058,0.15381538012651205
11,12-10-8,3,0.20359590890941173,8x212,0.03875119998701848,12,0.06190624377588733,0.34735791518820364,10,0.12972136736900938,0.1934481294404633,8,0.20233601294855083,0.15894290546994944
12,12-10-8,3,0.22325186597159882,8x212,0.03889679998974316,12,0.057073809604880274,0.3745345083417984,10,0.1623091090646949,0.16536964034403448,8,0.2845983510934239,0.12598801934264534
13,12-10-8,3,0.22088602662472875,8x212,0.032884999993257225,12,0.06537367846681097,0.325512949649176,10,0.2497646503897733,0.16951371815987934,8,0.2763334003368721,0.1621027807165652
