indice_interno,distribucion,numero_capas,error_final,forma_h_final,segundos_extraccion,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h
0,12-10-9-8,4,0.31383931730610515,8x212,0.05270400000154041,12,0.06259916383344948,0.3177074276063097,10,0.16259211326333897,0.15438408113022692,9,0.17927724043450474,0.114503075197745,8,0.22374571824054176,0.07749472321620643
1,12-10-9-8,4,0.2812412189171178,8x212,0.0427577999944333,12,0.05539375475937081,0.3192734635674673,10,0.25428560235567993,0.16144581062943975,9,0.2145819368646927,0.12009342419651434,8,0.1950370112152308,0.10355844150922953
2,12-10-9-8,4,0.2914703981473883,8x212,0.04428970001754351,12,0.05878223415902781,0.35578011133664805,10,0.1689835210001992,0.16421814785680458,9,0.21621865182376312,0.1537880397600389,8,0.2209052490373985,0.16164751654704027
3,12-10-9-8,4,0.3642022711372296,8x212,0.05025430000387132,12,0.057825041492101104,0.35142050035520184,10,0.1558197135248457,0.18349152089966236,9,0.18532229381951285,0.12286347137187385,8,0.2540487202851702,0.10892220145415407
4,12-10-9-8,4,0.2753783034397601,8x212,0.05118519999086857,12,0.0541578411452183,0.34425334634147864,10,0.17474458352644315,0.21756560388498877,9,0.22109069043799132,0.1676658661938749,8,0.16953961683006677,0.1488563080876115
5,12-10-9-8,4,0.29240406845656136,8x212,0.05483710000407882,12,0.05872360195327571,0.36569156150054166,10,0.17124509827724008,0.17706267820081698,9,0.2428690510290436,0.13059859800369175,8,0.23394131254540626,0.1259941457069838
6,12-10-9-8,4,0.3133196326700185,8x212,0.054349200014257804,12,0.06414383074067403,0.3500357898960901,10,0.15817962371348485,0.17476254808027777,9,0.29902833512588795,0.14769904840353817,8,0.07928622739655941,0.13993802240957412
7,12-10-9-8,4,0.3003694516453414,8x212,0.05155870001181029,12,0.0610155851191569,0.3932933891204258,10,0.23302639400071445,0.17767242695758445,9,0.16374420219092747,0.145586912994795,8,0.21958663307963244,0.14003365261963507
8,12-10-9-8,4,0.3239936826966626,8x212,0.04879699999582954,12,0.05946553750299899,0.3990806066874275,10,0.19112792376252272,0.18967341180493527,9,0.27281139038715196,0.159478799920127,8,0.2459830774163126,0.15184866718327594
9,12-10-9-8,4,0.29703948446804457,8x212,0.054445500019937754,12,0.05475558153080295,0.3142878951083804,10,0.1681951268853182,0.16211628992142138,9,0.15178163334718603,0.15331488121007547,8,0.17055162231785556,0.14126011981045022
10,12-10-9-8,4,0.2889980414020377,8x212,0.04026510001858696,12,0.06318985385778189,0.37260995132938607,10,0.16085117106038457,0.21852131147581716,9,0.11879473907981511,0.1655604888531636,8,0.18563957417037955,0.1523856580633625
11,12-10-9-8,4,0.26560587202188723,8x212,0.05232580000301823,12,0.06190624377588733,0.34735791518820364,10,0.12972136736900938,0.1934481294404633,9,0.13035173210145806,0.16540465277308358,8,0.16923490636932903,0.15032172310982497
12,12-10-9-8,4,0.3679748207017674,8x212,0.03456449997611344,12,0.057073809604880274,0.3745345083417984,10,0.1623091090646949,0.16536964034403448,9,0.21679726817022088,0.1415401350853448,8,0.3422105351812527,0.13686343635510567
13,12-10-9-8,4,0.3022101822906776,8x212,0.034879999991972,12,0.06537367846681097,0.325512949649176,10,0.2497646503897733,0.16951371815987934,9,0.21347228035003682,0.16520781192226333,8,0.24487699909668217,0.14693670362982386
14,12-10-9-8,4,0.3091320472399813,8x212,0.04016179998870939,12,0.06453526616446255,0.3895650540808353,10,0.169386524306679,0.2473920493598709,9,0.18683995902203754,0.22092799652889117,8,0.23341569548614988,0.13978928969604731
15,12-10-9-8,4,0.3070701312099471,8x212,0.038270599994575605,12,0.058112264233973476,0.33817444560032545,10,0.15800485673896145,0.19216071455394623,9,0.22342256995993653,0.1569254486307893,8,0.18020490283974822,0.16351839598417992
16,12-10-9-8,4,0.3111240417536912,8x212,0.04757580001023598,12,0.06656244285337451,0.38834188145033477,10,0.21123201711290876,0.19797608639025632,9,0.24923074800078912,0.12896627091726257,8,0.2356008587094768,0.11813871002196796
17,12-10-9-8,4,0.3171145581492483,8x212,0.039562500023748726,12,0.0563047179006002,0.34575091793900103,10,0.19548244268705753,0.18343760917545843,9,0.20993294957654435,0.1570652137632286,8,0.19579897556542278,0.1533594138708078
18,12-10-9-8,4,0.3200224782024942,8x212,0.0393630999897141,12,0.07041230898545132,0.3400331614143175,10,0.18563674673446895,0.17196304953099917,9,0.18717231875700951,0.14446682528396837,8,0.2395540844778141,0.12868205184717424
19,12-10-9-8,4,0.3083378991784853,8x212,0.03566790002514608,12,0.06254611149162682,0.38438322238894257,10,0.11884593579396421,0.20211431027403998,9,0.20338793594928398,0.13138771612096145,8,0.21661321734373662,0.09047476394440757
20,12-10-9-8,4,0.31858601166593503,8x212,0.039863500016508624,12,0.061419349440572306,0.32532350499304064,10,0.21126157202282,0.18319488523947736,9,0.17691475136801843,0.15919233154410892,8,0.2814746698787759,0.12191100720843975
21,12-10-9-8,4,0.2929212014265436,8x212,0.03616260000853799,12,0.05569029533679699,0.34072618507357044,10,0.17147570352525576,0.13403344239303455,9,0.14222203079937884,0.11407885288438704,8,0.21515274863246134,0.07351132620129443
22,12-10-9-8,4,0.3280488440327598,8x212,0.03313620001426898,12,0.056818967366767996,0.3127041793820085,10,0.20734358389398455,0.13675813970102213,9,0.19358629004795957,0.10237562180996977,8,0.20039529226208744,0.087510404255326
23,12-10-9-8,4,0.2880148885569039,8x212,0.05169049999676645,12,0.060351310756683776,0.3964360519617835,10,0.23210333782617376,0.2378896407276069,9,0.16370696829137021,0.22757676326541887,8,0.2137361209047285,0.214691941205249
24,12-10-9-8,4,0.3302801598121564,8x212,0.04847359997802414,12,0.06451863600954734,0.3593091961978765,10,0.17183374379443977,0.24280302282134114,9,0.17122845565996772,0.1721299627272136,8,0.3335202729022763,0.1613684182324435
25,12-10-9-8,4,0.2994471228257776,8x212,0.05128010001499206,12,0.06396689090783228,0.3663894325652752,10,0.18071887344132703,0.1503678590547704,9,0.24158604079073234,0.12841831784695387,8,0.18657074208063135,0.12801223198710227
26,12-10-9-8,4,0.30737019715782193,8x212,0.05302019999362528,12,0.05963247152448894,0.36340718294798524,10,0.18322463731462973,0.23264664898590195,9,0.2625553860917049,0.188489629090179,8,0.2234927617597628,0.15899671193675394
27,12-10-9-8,4,0.35580778540569286,8x212,0.04389509998145513,12,0.06332055788693843,0.3632860007581859,10,0.17901525547471075,0.1780616305616472,9,0.26539736809983877,0.1774667572519666,8,0.29782341571191157,0.16648716383627513
28,12-10-9-8,4,0.3310720094618243,8x212,0.047194400016451254,12,0.05798339113163156,0.3548451206515803,10,0.17004984340898538,0.18165771486112828,9,0.22922984946550254,0.11310732068806745,8,0.2916808330581638,0.101085490612564
29,12-10-9-8,4,0.35468328701905427,8x212,0.03557320000254549,12,0.06379304735918355,0.358182704436129,10,0.1435717521020888,0.2109751268740808,9,0.21080158701081605,0.15072897251578915,8,0.3162463209531455,0.12166340013578494
30,12-10-9-8,4,0.30033139746358223,8x212,0.049904400017112494,12,0.06333574168874316,0.3598566043953102,10,0.17129688239394616,0.19450914477357142,9,0.26281945920724425,0.1602252764375146,8,0.20475307407535767,0.1436582968802403
31,12-10-9-8,4,0.2919815352840235,8x212,0.037568500003544614,12,0.056777013320962376,0.3795895662860369,10,0.2074839581174409,0.1674716113322481,9,0.20578144740854326,0.1416995923875006,8,0.2974412979684082,0.13702936578199873
32,12-10-9-8,4,0.30295084348871226,8x212,0.035597700014477596,12,0.06099015762547295,0.35339608772981784,10,0.19380406648189122,0.20274836308535263,9,0.28888485136668396,0.14948608247821912,8,0.20936898799282938,0.13375718359365527
33,12-10-9-8,4,0.30470121480741824,8x212,0.046791399974608794,12,0.05794104552926773,0.3577016255114144,10,0.17950805450972587,0.19413853598013925,9,0.24691159592185008,0.1911637294427884,8,0.23248011099606955,0.16878548922658382
34,12-10-9-8,4,0.3442519110635991,8x212,0.03235349999158643,12,0.055875417912501064,0.3448434143414178,10,0.2019892420129623,0.17263498086747137,9,0.25022822471707296,0.14417644127583054,8,0.2659633999067428,0.11148572743932934
35,12-10-9-8,4,0.30468446841987495,8x212,0.03925319999689236,12,0.05838847693654293,0.4020719007900148,10,0.194917158208141,0.2104713740602408,9,0.2037052334827269,0.15953458012941849,8,0.18268798202465128,0.13736658063386967
36,12-10-9-8,4,0.30813660749070143,8x212,0.03189849999034777,12,0.0436737220144748,0.3743008405639645,10,0.10314097676417992,0.14182331679334265,9,0.10667430259742658,0.10215883906525551,8,0.22028702381207402,0.07492552251496527
37,12-10-9-8,4,0.29806033645930635,8x212,0.04620969999814406,12,0.040142315156319185,0.3730582178769619,10,0.19067886888902436,0.16126386734928297,9,0.1351414851052626,0.14005967434380018,8,0.21941387267389562,0.12370089825465087
38,12-10-9-8,4,0.3080377539845702,8x212,0.04476839999551885,12,0.044825842445922526,0.3606656954065456,10,0.15067516256260216,0.17132093587851546,9,0.2465636002876035,0.11215128886193432,8,0.27367356242855395,0.098776878904838
39,12-10-9-8,4,0.27346863727017523,8x212,0.032670199987478554,12,0.04439905178920765,0.4273960498043918,10,0.11668775384053925,0.1401398013930512,9,0.1039179116788564,0.10183964419323911,8,0.2677817612979956,0.06664281946512059
40,12-10-9-8,4,0.32801529969261944,8x212,0.04033979997620918,12,0.049380120162256694,0.4174758106524254,10,0.14271321165878764,0.20880578929252433,9,0.23664974126604296,0.1484875426835745,8,0.20618520497842457,0.12377851813068379
