distribucion,numero_capas,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std,pareja,sentido,orden_excel,dimensiones_repetidas,posicion,sentido_seleccionado,seleccionada,tipo_seleccion
10-6,2,UjaNet,DeepONMF_H2,0.9751999999999998,0.0096540147089177,0.938,0.0241350367722943,0.9845,0.0060337591930736,0.940043664423413,0.0243294022102324,0.96125,0.0150843979826839,172,decreciente,342,False,1,creciente,False,mejor_creciente
6-10,2,UjaNet,DeepONMF_H2,0.9788,0.0097570487341203,0.9469999999999998,0.0243926218353009,0.98675,0.0060981554588251,0.9483283098921876,0.0232128954426239,0.966875,0.015245388647063,172,creciente,343,False,1,creciente,True,mejor_creciente
12-10-9-8,4,UjaNet,DeepONMF_H4,0.9764,0.0082945765413311,0.941,0.0207364413533277,0.98525,0.0051841103383319,0.9420584709545212,0.0208070165194287,0.963125,0.0129602758458298,162,decreciente,322,False,2,creciente,False,mejor_creciente
8-9-10-12,4,UjaNet,DeepONMF_H4,0.9776,0.010807404868885,0.944,0.0270185121722126,0.986,0.0067546280430531,0.9461876107283343,0.0250081875472834,0.965,0.0168865701076328,162,creciente,323,False,2,creciente,True,mejor_creciente
14-12-10-8,4,UjaNet,DeepONMF_H4,0.9751999999999998,0.0111892805845595,0.938,0.0279732014613987,0.9845,0.0069933003653497,0.9391749377918586,0.0283855033293682,0.96125,0.0174832509133742,147,decreciente,292,False,3,creciente,False,mejor_creciente
8-10-12-14,4,UjaNet,DeepONMF_H4,0.9772,0.0084380092438916,0.943,0.0210950231097289,0.98575,0.0052737557774323,0.9447116888187655,0.0195936559637786,0.964375,0.0131843894435806,147,creciente,293,False,3,creciente,True,mejor_creciente
10-9-9-8,4,UjaNet,DeepONMF_H4,0.9751999999999998,0.0095498691090506,0.938,0.0238746727726265,0.9845,0.0059686681931566,0.939072051468714,0.0229635123831572,0.96125,0.0149216704828916,177,decreciente,352,True,4,creciente,False,mejor_creciente
8-9-9-10,4,UjaNet,DeepONMF_H4,0.9768,0.0083186537372341,0.942,0.0207966343430854,0.9855,0.0051991585857713,0.9435584371445492,0.0204592374888717,0.96375,0.0129978964644283,177,creciente,353,True,4,creciente,True,mejor_creciente
12-10-8,3,UjaNet,DeepONMF_H3,0.9736,0.0071274118724821,0.9340000000000002,0.0178185296812054,0.9835,0.0044546324203013,0.9354833107371544,0.0175592823148979,0.95875,0.0111365810507534,161,decreciente,320,False,5,creciente,False,mejor_creciente
8-10-12,3,UjaNet,DeepONMF_H3,0.9768,0.0072938330115241,0.942,0.0182345825288105,0.9855,0.0045586456322026,0.9428918005997148,0.0182376875214958,0.96375,0.0113966140805065,161,creciente,321,False,5,creciente,True,mejor_creciente
18-10,2,UjaNet,DeepONMF_H2,0.9796,0.0080498447189992,0.949,0.020124611797498,0.98725,0.0050311529493745,0.9496674836042936,0.0192155023018863,0.968125,0.0125778823734363,118,decreciente,234,False,6,creciente,False,mejor_creciente
10-18,2,UjaNet,DeepONMF_H2,0.9768,0.0101587400793602,0.942,0.0253968501984005,0.9855,0.0063492125496001,0.942820056743035,0.0253196913386353,0.96375,0.0158730313740003,118,creciente,235,False,6,creciente,True,mejor_creciente
8-6,2,UjaNet,DeepONMF_H2,0.976,0.0081240384046359,0.9399999999999998,0.0203100960115899,0.985,0.0050775240028974,0.9418609078382376,0.0190897572828242,0.9625,0.0126938100072437,184,decreciente,366,False,7,creciente,False,mejor_creciente
6-8,2,UjaNet,DeepONMF_H2,0.9763999999999996,0.0095289033996572,0.941,0.0238222584991432,0.98525,0.0059555646247858,0.942408378964996,0.0233606979736865,0.963125,0.0148889115619644,184,creciente,367,False,7,creciente,True,mejor_creciente
10-8,2,UjaNet,DeepONMF_H2,0.9728,0.0109178752511649,0.932,0.0272946881279123,0.983,0.006823672031978,0.9327304683070572,0.0272404645528127,0.9575,0.0170591800799452,175,decreciente,348,False,8,creciente,False,mejor_creciente
8-10,2,UjaNet,DeepONMF_H2,0.9764,0.0109909053312273,0.941,0.0274772633280681,0.98525,0.006869315832017,0.9420433548919936,0.0261795030315189,0.963125,0.0171732895800426,175,creciente,349,False,8,creciente,True,mejor_creciente
8-6-5-4,4,UjaNet,DeepONMF_H4,0.9712,0.0113666177907062,0.928,0.0284165444767656,0.982,0.0071041361191914,0.9296017200672804,0.0278500234087006,0.9549999999999998,0.0177603402979785,183,decreciente,364,False,9,creciente,False,mejor_creciente
4-5-6-8,4,UjaNet,DeepONMF_H4,0.9764000000000002,0.0097365291557104,0.941,0.0243413228892762,0.98525,0.006085330722319,0.9417987695035192,0.024392748168827,0.963125,0.0152133268057975,183,creciente,365,False,9,creciente,True,mejor_creciente
20-6,2,UjaNet,DeepONMF_H2,0.9712,0.0026832815729997,0.928,0.0067082039324993,0.982,0.0016770509831248,0.929471780197278,0.0071362943688744,0.955,0.0041926274578121,97,decreciente,192,False,10,creciente,False,mejor_creciente
6-20,2,UjaNet,DeepONMF_H2,0.9764000000000002,0.0080498447189992,0.941,0.0201246117974981,0.98525,0.0050311529493745,0.9412355405289698,0.0202878895754803,0.963125,0.0125778823734363,97,creciente,193,False,10,creciente,True,mejor_creciente
8-7-7-6,4,UjaNet,DeepONMF_H4,0.9768,0.011713240371477,0.942,0.0292831009286926,0.9855,0.0073207752321731,0.943034339554625,0.0292529182644508,0.96375,0.0183019380804329,186,decreciente,370,True,11,creciente,False,mejor_creciente
6-7-7-8,4,UjaNet,DeepONMF_H4,0.976,0.0070710678118655,0.94,0.0176776695296637,0.985,0.0044194173824158,0.940954470290799,0.0171278745978944,0.9625,0.0110485434560398,186,creciente,371,True,11,creciente,True,mejor_creciente
10-4,2,UjaNet,DeepONMF_H2,0.9736,0.008414273587185,0.934,0.0210356839679626,0.9835,0.0052589209919906,0.9362531320674724,0.0206594466560467,0.95875,0.0131473024799766,169,decreciente,336,False,12,creciente,False,mejor_creciente
4-10,2,UjaNet,DeepONMF_H2,0.9756,0.0071274118724821,0.939,0.0178185296812054,0.9847499999999998,0.0044546324203013,0.9406455596807868,0.0171461376355798,0.961875,0.0111365810507534,169,creciente,337,False,12,creciente,True,mejor_creciente
8-7-6,3,UjaNet,DeepONMF_H3,0.9759999999999998,0.0089442719099992,0.94,0.0223606797749979,0.985,0.0055901699437494,0.9408662119790308,0.0220281042425458,0.9625,0.0139754248593737,185,decreciente,368,False,13,creciente,False,mejor_creciente
6-7-8,3,UjaNet,DeepONMF_H3,0.9756,0.0060663003552412,0.939,0.0151657508881031,0.98475,0.0037914377220257,0.9394364667532116,0.0149253276034707,0.961875,0.0094785943050644,185,creciente,369,False,13,creciente,True,mejor_creciente
12-8-6,3,UjaNet,DeepONMF_H3,0.9775999999999998,0.0108074048688851,0.944,0.0270185121722126,0.986,0.0067546280430531,0.9460534511675878,0.025712516114349,0.965,0.0168865701076328,158,decreciente,314,False,14,creciente,False,mejor_creciente
6-8-12,3,UjaNet,DeepONMF_H3,0.9752,0.0108258948821795,0.938,0.0270647372054487,0.9845,0.0067661843013622,0.9408996031731948,0.0245765529509451,0.96125,0.0169154607534054,158,creciente,315,False,14,creciente,True,mejor_creciente
14-9-6,3,UjaNet,DeepONMF_H3,0.978,0.0088317608663278,0.945,0.0220794021658196,0.9862499999999998,0.0055198505414549,0.9462039098131584,0.0221566316682092,0.965625,0.0137996263536372,143,decreciente,284,False,15,creciente,False,mejor_creciente
6-9-14,3,UjaNet,DeepONMF_H3,0.9751999999999998,0.0067230945255886,0.938,0.0168077363139715,0.9845,0.0042019340784928,0.940019302679541,0.0165309547279571,0.96125,0.0105048351962322,143,creciente,285,False,15,creciente,True,mejor_creciente
8-5-3-2,4,UjaNet,DeepONMF_H4,0.9696,0.0115238882327103,0.924,0.0288097205817758,0.981,0.007202430145444,0.9259010630497876,0.0274976496164037,0.9525,0.0180060753636099,180,decreciente,358,False,16,creciente,False,mejor_creciente
2-3-5-8,4,UjaNet,DeepONMF_H4,0.9751999999999998,0.0050199601592045,0.938,0.0125499003980111,0.9845,0.0031374750995027,0.9397165459451337,0.0122729790253238,0.96125,0.0078436877487569,180,creciente,359,False,16,creciente,True,mejor_creciente
16-12-8-6,4,UjaNet,DeepONMF_H4,0.9748,0.0055856960175076,0.937,0.0139642400437688,0.98425,0.0034910600109422,0.9380983568091106,0.0131585316466421,0.960625,0.0087276500273556,129,decreciente,256,False,17,creciente,False,mejor_creciente
6-8-12-16,4,UjaNet,DeepONMF_H4,0.9751999999999998,0.0046043457732885,0.938,0.0115108644332213,0.9845,0.0028777161083053,0.9392874749166952,0.0108931185187169,0.96125,0.0071942902707633,129,creciente,257,False,17,creciente,True,mejor_creciente
10-2,2,UjaNet,DeepONMF_H2,0.976,0.0096953597148326,0.9399999999999998,0.0242383992870816,0.985,0.0060595998217704,0.9414421000990544,0.0249061940511716,0.9625,0.015148999554426,166,decreciente,330,False,18,creciente,False,mejor_creciente
2-10,2,UjaNet,DeepONMF_H2,0.9752,0.0111892805845593,0.938,0.0279732014613987,0.9845,0.0069933003653496,0.9392509590186532,0.0272368575651715,0.96125,0.0174832509133742,166,creciente,331,False,18,creciente,True,mejor_creciente
14-12-10,3,UjaNet,DeepONMF_H3,0.9816,0.0088769364084689,0.954,0.0221923410211721,0.9885,0.005548085255293,0.9551249848647588,0.0215016308721369,0.97125,0.0138702131382325,149,decreciente,296,False,19,creciente,False,mejor_creciente
10-12-14,3,UjaNet,DeepONMF_H3,0.9752,0.0095498691090506,0.938,0.0238746727726266,0.9845,0.0059686681931566,0.9389846623274392,0.0237948171018759,0.96125,0.0149216704828916,149,creciente,297,False,19,creciente,True,mejor_creciente
8-4,2,UjaNet,DeepONMF_H2,0.9772,0.0092303846073715,0.943,0.0230759615184286,0.98575,0.0057689903796072,0.944904499116417,0.0216798221402581,0.964375,0.0144224759490179,181,decreciente,360,False,20,creciente,False,mejor_creciente
4-8,2,UjaNet,DeepONMF_H2,0.9751999999999998,0.0060991802727907,0.938,0.0152479506819769,0.9845,0.0038119876704942,0.938458096606289,0.0155105998949143,0.96125,0.0095299691762355,181,creciente,361,False,20,creciente,True,mejor_creciente
