indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos,capa_5_rango,capa_5_error,capa_5_ortogonalidad_h,capa_5_segundos
0,N,New_N_001.wav,10-9-7-5-4,5,0.41977227976962983,126x4,4x212,10,0.06681057313835524,0.3928881729364507,0.02364210001542233,9,0.13283876530141936,0.2522498666761025,0.009094199980609119,7,0.2670882291171508,0.21440646735273092,0.011068499996326864,5,0.33755108964970804,0.21581002230953467,0.008965399989392608,4,0.3434560788134804,0.20967314251403216,0.00873539998428896
1,N,New_N_002.wav,10-9-7-5-4,5,0.45454409260663486,126x4,4x212,10,0.06115734382872279,0.37122555396080664,0.022724500013282523,9,0.12836400540589896,0.20526537928297373,0.008717399992747232,7,0.31855996417443067,0.14386894482707774,0.009503200009930879,5,0.38638049094225707,0.13161662822676526,0.007401499984553084,4,0.3215891689714257,0.12091257025768842,0.006177600007504225
2,N,New_N_003.wav,10-9-7-5-4,5,0.4102364010843552,126x4,4x212,10,0.0646034317495872,0.36246256560368695,0.020507800014456734,9,0.14134033351399,0.20939314591601096,0.009458400018047541,7,0.3095083563897438,0.2065215050079795,0.009251499985111877,5,0.38873501157513674,0.18145374663401287,0.008341800014022738,4,0.2974436197485332,0.16075557657123238,0.007212600001366809
3,N,New_N_004.wav,10-9-7-5-4,5,0.48567562294316285,126x4,4x212,10,0.0668861645952475,0.3448538935174147,0.0174309000140056,9,0.19997871039100582,0.19044314390692962,0.007903399993665516,7,0.32607916318272606,0.17456232302795224,0.004981799982488155,5,0.38610629142178415,0.164851615200846,0.007560100028058514,4,0.30385090483877086,0.16674434409868044,0.0076280999928712845
4,N,New_N_005.wav,10-9-7-5-4,5,0.4359814476959241,126x4,4x212,10,0.06681615204490755,0.34331445825852,0.02040029998170212,9,0.1614097014816854,0.1852144504864417,0.00923940000939183,7,0.2825885177744208,0.18727318758861705,0.008952300006058067,5,0.3924381754130385,0.1745708175505164,0.008261000009952113,4,0.3427704426421998,0.15788758952433282,0.007632199994986877
5,N,New_N_006.wav,10-9-7-5-4,5,0.44705858767227735,126x4,4x212,10,0.07019098790419794,0.3395757793991208,0.015146699995966628,9,0.12413682926960748,0.20380655914020346,0.005089600017527118,7,0.23406889029604894,0.17628481655585826,0.004552200000034645,5,0.35943617289189855,0.16584210250278913,0.00635899999178946,4,0.32985196730574673,0.17580408601508646,0.005710199999157339
6,N,New_N_007.wav,10-9-7-5-4,5,0.3874696998576455,126x4,4x212,10,0.06182090427054762,0.3667521317253434,0.01725180001812987,9,0.17193607446820966,0.21863377609507875,0.00951929998700507,7,0.2579510225863991,0.1911506620275258,0.006803099997341633,5,0.3647705312391927,0.17371091157232746,0.004796299996087328,4,0.3238815941649785,0.1904063275635681,0.004514899977948517
7,N,New_N_008.wav,10-9-7-5-4,5,0.43452599892643506,126x4,4x212,10,0.05669710467968685,0.34490414397973523,0.01722070001414977,9,0.17781076597304651,0.184986353600409,0.005378900008508936,7,0.3017930257652063,0.16609210996112464,0.008572099992306903,5,0.37630685052677015,0.1707751236862776,0.0073053000087384135,4,0.3473967383616538,0.15414747594332778,0.007156500010751188
8,N,New_N_009.wav,10-9-7-5-4,5,0.45566604569594615,126x4,4x212,10,0.058239813192381674,0.34715251683464715,0.023476500005926937,9,0.20372592506082898,0.21751729092440522,0.007380800001556054,7,0.26226091573993415,0.18417119148323458,0.009690200007753447,5,0.4013586010944312,0.17298581360658152,0.0068211999896448106,4,0.32776994129227693,0.14360688887181108,0.005596300004981458
9,N,New_N_010.wav,10-9-7-5-4,5,0.4551070190766575,126x4,4x212,10,0.05909955267431485,0.33127047310067625,0.017896699981065467,9,0.20552410623715808,0.19188728368511213,0.008394400007091463,7,0.23656510825917587,0.16316856463796167,0.007423800008837134,5,0.3775989452329425,0.15203484261458705,0.008374600001843646,4,0.31834665716128635,0.12883301906154165,0.006072099989978597
