distribucion,numero_capas,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
20-19-18-11-9,5,KNN,DeepONMF_H5,1,PROMEDIO_MACRO,123,723,77,77,0.8460000000000001,0.615,0.9037500000000002,0.7119235447057934,0.759375,200
20-19-18-11-9,5,KNN,DeepONMF_H5,2,PROMEDIO_MACRO,134,734,66,66,0.868,0.6699999999999999,0.9174999999999999,0.7654030998438064,0.79375,200
20-19-18-11-9,5,KNN,DeepONMF_H5,3,PROMEDIO_MACRO,131,731,69,69,0.8620000000000001,0.655,0.91375,0.7203969728901235,0.784375,200
20-19-18-11-9,5,KNN,DeepONMF_H5,4,PROMEDIO_MACRO,127,727,73,73,0.8539999999999999,0.635,0.9087499999999998,0.7319080431483533,0.7718750000000001,200
20-19-18-11-9,5,KNN,DeepONMF_H5,5,PROMEDIO_MACRO,124,724,76,76,0.8480000000000001,0.6199999999999999,0.905,0.7318881790252758,0.7625,200
20-19-18-11-9,5,KNN,DeepONMF_W,1,PROMEDIO_MACRO,127,727,73,73,0.8539999999999999,0.635,0.9087500000000001,0.6711260398698086,0.771875,200
20-19-18-11-9,5,KNN,DeepONMF_W,2,PROMEDIO_MACRO,122,722,78,78,0.844,0.61,0.9024999999999999,0.6216299492933435,0.7562500000000001,200
20-19-18-11-9,5,KNN,DeepONMF_W,3,PROMEDIO_MACRO,111,711,89,89,0.8220000000000001,0.5549999999999999,0.8887500000000002,0.5697016044384465,0.7218749999999999,200
20-19-18-11-9,5,KNN,DeepONMF_W,4,PROMEDIO_MACRO,134,734,66,66,0.868,0.6699999999999999,0.9175000000000001,0.6723981900452489,0.79375,200
20-19-18-11-9,5,KNN,DeepONMF_W,5,PROMEDIO_MACRO,119,719,81,81,0.8379999999999999,0.5950000000000001,0.8987499999999999,0.6112032860923498,0.746875,200
20-19-18-11-9,5,SVM,DeepONMF_H5,1,PROMEDIO_MACRO,167,767,33,33,0.9339999999999999,0.835,0.95875,0.8491327913279132,0.896875,200
20-19-18-11-9,5,SVM,DeepONMF_H5,2,PROMEDIO_MACRO,169,769,31,31,0.9380000000000001,0.845,0.96125,0.8545860748000645,0.903125,200
20-19-18-11-9,5,SVM,DeepONMF_H5,3,PROMEDIO_MACRO,170,770,30,30,0.9400000000000001,0.85,0.9625,0.8560071646699553,0.90625,200
20-19-18-11-9,5,SVM,DeepONMF_H5,4,PROMEDIO_MACRO,166,766,34,34,0.932,0.8300000000000001,0.9574999999999999,0.8335835596705161,0.89375,200
20-19-18-11-9,5,SVM,DeepONMF_H5,5,PROMEDIO_MACRO,177,777,23,23,0.954,0.885,0.9712500000000001,0.894491395420188,0.928125,200
20-19-18-11-9,5,SVM,DeepONMF_W,1,PROMEDIO_MACRO,146,746,54,54,0.8919999999999998,0.73,0.9325000000000001,0.7405472451872559,0.83125,200
20-19-18-11-9,5,SVM,DeepONMF_W,2,PROMEDIO_MACRO,145,745,55,55,0.8899999999999999,0.725,0.93125,0.724292005915525,0.828125,200
20-19-18-11-9,5,SVM,DeepONMF_W,3,PROMEDIO_MACRO,138,738,62,62,0.876,0.69,0.9225000000000001,0.6998253119429589,0.80625,200
20-19-18-11-9,5,SVM,DeepONMF_W,4,PROMEDIO_MACRO,144,744,56,56,0.8879999999999999,0.7200000000000001,0.93,0.7139893211289092,0.825,200
20-19-18-11-9,5,SVM,DeepONMF_W,5,PROMEDIO_MACRO,145,745,55,55,0.89,0.725,0.93125,0.7521913007627294,0.828125,200
20-19-18-11-9,5,UjaNet,DeepONMF_H5,1,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.9899999999999999,0.9611684628474191,0.975,200
20-19-18-11-9,5,UjaNet,DeepONMF_H5,2,PROMEDIO_MACRO,177,777,23,23,0.9540000000000001,0.885,0.9712500000000001,0.8840274046638795,0.928125,200
20-19-18-11-9,5,UjaNet,DeepONMF_H5,3,PROMEDIO_MACRO,181,781,19,19,0.962,0.9049999999999999,0.97625,0.9055262245534509,0.940625,200
20-19-18-11-9,5,UjaNet,DeepONMF_H5,4,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.9260152420844424,0.953125,200
20-19-18-11-9,5,UjaNet,DeepONMF_H5,5,PROMEDIO_MACRO,188,788,12,12,0.976,0.9400000000000001,0.9850000000000001,0.9407859078590786,0.9625,200
20-19-18-11-9,5,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,177,777,23,23,0.954,0.885,0.9712500000000001,0.8906656298344359,0.928125,200
20-19-18-11-9,5,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.9037367254055315,0.9375,200
20-19-18-11-9,5,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,176,776,24,24,0.952,0.8799999999999999,0.97,0.8885757169659609,0.925,200
20-19-18-11-9,5,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.9072222899052168,0.940625,200
20-19-18-11-9,5,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,175,775,25,25,0.95,0.875,0.96875,0.8820311991740561,0.921875,200
