distribucion,numero_capas,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
8-6-5-3,4,KNN,DeepONMF_H4,1,PROMEDIO_MACRO,166,766,34,34,0.932,0.8300000000000001,0.9574999999999999,0.8342953187527519,0.89375,200
8-6-5-3,4,KNN,DeepONMF_H4,2,PROMEDIO_MACRO,170,770,30,30,0.9400000000000001,0.85,0.9625,0.8618892047463476,0.90625,200
8-6-5-3,4,KNN,DeepONMF_H4,3,PROMEDIO_MACRO,166,766,34,34,0.9319999999999998,0.8300000000000001,0.9574999999999999,0.8428469184179214,0.89375,200
8-6-5-3,4,KNN,DeepONMF_H4,4,PROMEDIO_MACRO,166,766,34,34,0.932,0.8300000000000001,0.9575000000000001,0.8430714040001966,0.89375,200
8-6-5-3,4,KNN,DeepONMF_H4,5,PROMEDIO_MACRO,167,767,33,33,0.9339999999999999,0.835,0.95875,0.856080300863393,0.896875,200
8-6-5-3,4,KNN,DeepONMF_W,1,PROMEDIO_MACRO,138,738,62,62,0.876,0.6900000000000001,0.9225,0.7235211547711549,0.80625,200
8-6-5-3,4,KNN,DeepONMF_W,2,PROMEDIO_MACRO,128,728,72,72,0.8559999999999999,0.64,0.9099999999999999,0.6842152611659922,0.7750000000000001,200
8-6-5-3,4,KNN,DeepONMF_W,3,PROMEDIO_MACRO,138,738,62,62,0.876,0.6900000000000001,0.9225,0.7206515364766596,0.80625,200
8-6-5-3,4,KNN,DeepONMF_W,4,PROMEDIO_MACRO,134,734,66,66,0.868,0.6699999999999999,0.9175000000000001,0.69531131750946,0.79375,200
8-6-5-3,4,KNN,DeepONMF_W,5,PROMEDIO_MACRO,139,739,61,61,0.8779999999999999,0.6950000000000001,0.9237499999999998,0.7460584795321638,0.809375,200
8-6-5-3,4,SVM,DeepONMF_H4,1,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9147120708748616,0.946875,200
8-6-5-3,4,SVM,DeepONMF_H4,2,PROMEDIO_MACRO,177,777,23,23,0.954,0.885,0.9712500000000001,0.884662096857219,0.928125,200
8-6-5-3,4,SVM,DeepONMF_H4,3,PROMEDIO_MACRO,174,774,26,26,0.9480000000000001,0.8699999999999999,0.9675,0.8688206218392065,0.91875,200
8-6-5-3,4,SVM,DeepONMF_H4,4,PROMEDIO_MACRO,179,779,21,21,0.958,0.8949999999999999,0.9737500000000001,0.8954459319029281,0.934375,200
8-6-5-3,4,SVM,DeepONMF_H4,5,PROMEDIO_MACRO,186,786,14,14,0.9719999999999999,0.9299999999999999,0.9824999999999999,0.9354008192683623,0.95625,200
8-6-5-3,4,SVM,DeepONMF_W,1,PROMEDIO_MACRO,154,754,46,46,0.908,0.77,0.9425000000000001,0.7881607281607281,0.85625,200
8-6-5-3,4,SVM,DeepONMF_W,2,PROMEDIO_MACRO,149,749,51,51,0.898,0.745,0.9362499999999999,0.7526666666666666,0.840625,200
8-6-5-3,4,SVM,DeepONMF_W,3,PROMEDIO_MACRO,148,748,52,52,0.8959999999999999,0.74,0.9349999999999999,0.7587210688332731,0.8375,200
8-6-5-3,4,SVM,DeepONMF_W,4,PROMEDIO_MACRO,151,751,49,49,0.9019999999999999,0.755,0.9387500000000001,0.7641665662373626,0.846875,200
8-6-5-3,4,SVM,DeepONMF_W,5,PROMEDIO_MACRO,149,749,51,51,0.898,0.745,0.93625,0.7644811084672416,0.840625,200
8-6-5-3,4,UjaNet,DeepONMF_H4,1,PROMEDIO_MACRO,191,791,9,9,0.982,0.9550000000000001,0.9887500000000001,0.9564281247208075,0.971875,200
8-6-5-3,4,UjaNet,DeepONMF_H4,2,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.9070657797487065,0.940625,200
8-6-5-3,4,UjaNet,DeepONMF_H4,3,PROMEDIO_MACRO,184,784,16,16,0.968,0.9199999999999999,0.9799999999999999,0.9198939891943743,0.95,200
8-6-5-3,4,UjaNet,DeepONMF_H4,4,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.9899999999999999,0.9612711586112189,0.975,200
8-6-5-3,4,UjaNet,DeepONMF_H4,5,PROMEDIO_MACRO,191,791,9,9,0.982,0.9550000000000001,0.9887499999999999,0.9560801393728223,0.971875,200
8-6-5-3,4,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,167,767,33,33,0.9339999999999999,0.835,0.95875,0.8401654712011248,0.896875,200
8-6-5-3,4,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,172,772,28,28,0.944,0.86,0.9650000000000001,0.8750065229251168,0.9125000000000002,200
8-6-5-3,4,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,173,773,27,27,0.9460000000000001,0.8649999999999999,0.9662499999999999,0.8772153787519237,0.9156250000000001,200
8-6-5-3,4,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,177,777,23,23,0.954,0.885,0.9712500000000001,0.8853504775070885,0.928125,200
8-6-5-3,4,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,172,772,28,28,0.944,0.86,0.9650000000000001,0.8666363689501988,0.9125,200
