indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos
0,N,New_N_001.wav,8-7-6-3,4,0.3508934952829919,126x3,3x212,8,0.06867954119532307,0.3863470081962324,0.013380699994741008,7,0.2324296816582554,0.20335641546970107,0.007643899996764958,6,0.2714695889575043,0.19574653978906684,0.006468199979281053,3,0.5110430376978925,0.21574524544235807,0.0058858999982476234
1,N,New_N_002.wav,8-7-6-3,4,0.36591032617535496,126x3,3x212,8,0.07401385154221703,0.4108736923352186,0.009240300016244873,7,0.25548849411388114,0.22203642040839097,0.006590500008314848,6,0.27114378473724504,0.21366234492759148,0.004231200000504032,3,0.550439943643223,0.24216200083873138,0.0037611000007018447
2,N,New_N_003.wav,8-7-6-3,4,0.44648974412683784,126x3,3x212,8,0.07508238353131656,0.3363582245614244,0.013104599987855181,7,0.17914621568663863,0.19688680151738405,0.004510600003413856,6,0.20808087876951886,0.15439628991839469,0.005394200008595362,3,0.46715687107314313,0.15416539699481877,0.0036011000047437847
3,N,New_N_004.wav,8-7-6-3,4,0.4341341939306192,126x3,3x212,8,0.07777836037730713,0.314151269102415,0.010766199993668124,7,0.11679174647398244,0.14163706721116068,0.004672299983212724,6,0.20088437381241403,0.07866276634840579,0.004760100011480972,3,0.5663610556759021,0.07873832363793482,0.004950600006850436
4,N,New_N_005.wav,8-7-6-3,4,0.3891200638962439,126x3,3x212,8,0.07356357960891889,0.315513658449778,0.009860499994829297,7,0.19646786637404703,0.1737779075889401,0.0055890000076033175,6,0.20933419923622618,0.15411018257436418,0.004547899996396154,3,0.46425390551398377,0.1747454743164356,0.004135700000915676
5,N,New_N_006.wav,8-7-6-3,4,0.36598829488043,126x3,3x212,8,0.07235180223792954,0.344309505643451,0.012462400016374886,7,0.1825649076362203,0.17192806536856317,0.004549100005533546,6,0.27617726224449596,0.09237593354509428,0.004411700007040054,3,0.6174743431891431,0.08757942444847316,0.003659900015918538
6,N,New_N_007.wav,8-7-6-3,4,0.3770722411447717,126x3,3x212,8,0.07203602748275152,0.3839277982351273,0.009898100019199774,7,0.14666777271710826,0.1942740354879299,0.004498299997067079,6,0.15390061481112197,0.17759991219488394,0.004151000001002103,3,0.47248872218577204,0.1614409652833371,0.0035927000280935317
7,N,New_N_008.wav,8-7-6-3,4,0.3854421599528919,126x3,3x212,8,0.07689901966235164,0.37838661180896854,0.010072299977764487,7,0.1526554611484646,0.1765724892167087,0.004497399990214035,6,0.1626167281107572,0.16536385947177298,0.004477900016354397,3,0.41385947931572403,0.10392993337068818,0.0036508000048343092
8,N,New_N_009.wav,8-7-6-3,4,0.3830984110999322,126x3,3x212,8,0.05857368616413055,0.33673683401516297,0.010558700014371425,7,0.17244952380743012,0.22319738785039345,0.004561600013403222,6,0.26281332416306047,0.21147851778115997,0.004676999989897013,3,0.5308968588121158,0.175464311947237,0.003626199992140755
9,N,New_N_010.wav,8-7-6-3,4,0.4155227000382718,126x3,3x212,8,0.06651334059609108,0.365414107072143,0.010612400015816092,7,0.1306554449842108,0.24107973750286457,0.005140399996889755,6,0.26268177395531594,0.17515292038146757,0.004652599978726357,3,0.5100812260871932,0.22720503682788193,0.0036051999777555466
