indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
0,N,New_N_001.wav,10-16,2,0.10863229825409504,126x16,16x212,10,0.06681057313835524,0.3928881729364507,0.010400300001492724,16,0.08897188147338994,0.17498895426934372,0.006857600004877895
1,N,New_N_002.wav,10-16,2,0.09868669900430159,126x16,16x212,10,0.06115734382872279,0.37122555396080664,0.010539299983065575,16,0.08861893575755841,0.17731775532320107,0.006889099982799962
2,N,New_N_003.wav,10-16,2,0.10144622661704703,126x16,16x212,10,0.0646034317495872,0.36246256560368695,0.01230909998412244,16,0.07943034734040003,0.14204398097826357,0.007997200009413064
3,N,New_N_004.wav,10-16,2,0.10801312078646205,126x16,16x212,10,0.0668861645952475,0.3448538935174147,0.015309000009438023,16,0.09869025145815535,0.1529421362154792,0.007626599981449544
4,N,New_N_005.wav,10-16,2,0.0967674064353366,126x16,16x212,10,0.06681615204490755,0.34331445825852,0.015081899997312576,16,0.08702089316862517,0.15086638678604236,0.0056130999873857945
5,N,New_N_006.wav,10-16,2,0.10428051867045306,126x16,16x212,10,0.07019098790419794,0.3395757793991208,0.013771300000371411,16,0.0692405011524946,0.16943637310903556,0.007572200003778562
6,N,New_N_007.wav,10-16,2,0.10780649284008152,126x16,16x212,10,0.06182090427054762,0.3667521317253434,0.013918400014517829,16,0.1024151944724541,0.15353337728582114,0.005858599994098768
7,N,New_N_008.wav,10-16,2,0.09988926653263983,126x16,16x212,10,0.05669710467968685,0.34490414397973523,0.011756799998693168,16,0.0875942876953072,0.15494981767808114,0.005698399996617809
8,N,New_N_009.wav,10-16,2,0.09556727612517071,126x16,16x212,10,0.058239813192381674,0.34715251683464715,0.012159899983089417,16,0.06736252380345174,0.1713664665981146,0.00792219999129884
9,N,New_N_010.wav,10-16,2,0.09790675489441053,126x16,16x212,10,0.05909955267431485,0.33127047310067625,0.01830950001021847,16,0.06887579048382793,0.1610546950251367,0.009100199997192249
10,N,New_N_011.wav,10-16,2,0.11052556990691158,126x16,16x212,10,0.07313840331949643,0.37496962412829593,0.012060500012012199,16,0.10774886694163346,0.17239984188318067,0.011245999980019405
11,N,New_N_012.wav,10-16,2,0.10461016985804863,126x16,16x212,10,0.07084415181008981,0.3094849729539432,0.015029000001959503,16,0.06860049524021235,0.163753195768676,0.006080399994971231
12,N,New_N_013.wav,10-16,2,0.09982307361735017,126x16,16x212,10,0.06471269163153355,0.35648861279520716,0.016887899982975796,16,0.08725223269044215,0.15275568054163768,0.008907099982025102
13,N,New_N_014.wav,10-16,2,0.09327028176799566,126x16,16x212,10,0.06449428614174924,0.37686016659617594,0.014208699984010309,16,0.061394033641531724,0.17648137736020938,0.006608299998333678
14,N,New_N_015.wav,10-16,2,0.0990455823606752,126x16,16x212,10,0.06705701714053351,0.3231880190747862,0.011115800007246435,16,0.07851491825762728,0.14063246772547455,0.007456199993612245
15,N,New_N_016.wav,10-16,2,0.10678350536878095,126x16,16x212,10,0.06709054331870694,0.33422075314850885,0.012529700004961342,16,0.0886046175780925,0.14156503360889802,0.010262800002237782
16,N,New_N_017.wav,10-16,2,0.10937600248670575,126x16,16x212,10,0.07104860574531661,0.31973017609706794,0.012701899977400899,16,0.0766295486917532,0.15007460577803697,0.007144500006688759
17,N,New_N_018.wav,10-16,2,0.10690325432375326,126x16,16x212,10,0.0736752765299382,0.36075757763523647,0.016862500022398308,16,0.06940555556894984,0.17833711018349208,0.008952500007580966
18,N,New_N_019.wav,10-16,2,0.09946386721331309,126x16,16x212,10,0.05928623956190954,0.3125259673942836,0.016936900006840006,16,0.08701019295068071,0.13682283827686492,0.006650600000284612
19,N,New_N_020.wav,10-16,2,0.10434466061481486,126x16,16x212,10,0.06152207772096927,0.3689706007684146,0.012933199992403388,16,0.09748827191012936,0.1556929758873969,0.006290699995588511
20,N,New_N_021.wav,10-16,2,0.10750225547467143,126x16,16x212,10,0.0655117590544239,0.37629681484119115,0.012058199994498864,16,0.10978131411159583,0.11060153945468851,0.010372899996582419
21,N,New_N_022.wav,10-16,2,0.10224226483711339,126x16,16x212,10,0.06195551213761429,0.3756072905631317,0.016633599996566772,16,0.09204962718726946,0.17710404102447092,0.005570000008447096
22,N,New_N_023.wav,10-16,2,0.10128691624586773,126x16,16x212,10,0.05905322790217587,0.3589776450340597,0.011623600003076717,16,0.09916010273852525,0.17141380450982308,0.008304900024086237
23,N,New_N_024.wav,10-16,2,0.10433014161989909,126x16,16x212,10,0.06038489080597263,0.4169200218106769,0.011486999981570989,16,0.09149276301186716,0.17817528788776152,0.008711100002983585
24,N,New_N_025.wav,10-16,2,0.10432984912427344,126x16,16x212,10,0.07188839182436269,0.3021322620883913,0.011155699990922585,16,0.07030247821998054,0.14965247415656713,0.005573200003709644
