distribucion,numero_capas,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
3-9,2,KNN,DeepONMF_H2,1,PROMEDIO_MACRO,142,742,58,58,0.884,0.7100000000000001,0.9275,0.8128107281559966,0.81875,200
3-9,2,KNN,DeepONMF_H2,2,PROMEDIO_MACRO,150,750,50,50,0.9,0.7499999999999999,0.9375,0.7939635877042174,0.84375,200
3-9,2,KNN,DeepONMF_H2,3,PROMEDIO_MACRO,142,742,58,58,0.884,0.7100000000000001,0.9275,0.7680686611562187,0.81875,200
3-9,2,KNN,DeepONMF_H2,4,PROMEDIO_MACRO,149,749,51,51,0.898,0.7449999999999999,0.93625,0.8016692546583851,0.840625,200
3-9,2,KNN,DeepONMF_H2,5,PROMEDIO_MACRO,132,732,68,68,0.8640000000000001,0.66,0.915,0.7593243197405822,0.7875,200
3-9,2,KNN,DeepONMF_W,1,PROMEDIO_MACRO,133,733,67,67,0.866,0.665,0.91625,0.7223185550082102,0.790625,200
3-9,2,KNN,DeepONMF_W,2,PROMEDIO_MACRO,128,728,72,72,0.8559999999999999,0.6399999999999999,0.9099999999999999,0.6782240747757989,0.775,200
3-9,2,KNN,DeepONMF_W,3,PROMEDIO_MACRO,135,735,65,65,0.8699999999999999,0.675,0.91875,0.6936438798144787,0.7968750000000001,200
3-9,2,KNN,DeepONMF_W,4,PROMEDIO_MACRO,128,728,72,72,0.8560000000000001,0.64,0.9100000000000001,0.6680512359026816,0.7750000000000001,200
3-9,2,KNN,DeepONMF_W,5,PROMEDIO_MACRO,129,729,71,71,0.858,0.645,0.9112500000000001,0.7034974937343359,0.778125,200
3-9,2,SVM,DeepONMF_H2,1,PROMEDIO_MACRO,170,770,30,30,0.9400000000000001,0.85,0.9625,0.8747115536589221,0.90625,200
3-9,2,SVM,DeepONMF_H2,2,PROMEDIO_MACRO,174,774,26,26,0.9479999999999998,0.8700000000000001,0.9675,0.8723225566703828,0.91875,200
3-9,2,SVM,DeepONMF_H2,3,PROMEDIO_MACRO,175,775,25,25,0.95,0.875,0.96875,0.8758247758247759,0.921875,200
3-9,2,SVM,DeepONMF_H2,4,PROMEDIO_MACRO,170,770,30,30,0.9400000000000001,0.85,0.9625,0.8552264643568991,0.90625,200
3-9,2,SVM,DeepONMF_H2,5,PROMEDIO_MACRO,178,778,22,22,0.9559999999999998,0.8899999999999999,0.9724999999999999,0.8985920168582707,0.93125,200
3-9,2,SVM,DeepONMF_W,1,PROMEDIO_MACRO,160,760,40,40,0.9199999999999999,0.8,0.95,0.8249978252170432,0.875,200
3-9,2,SVM,DeepONMF_W,2,PROMEDIO_MACRO,144,744,56,56,0.8879999999999999,0.72,0.9299999999999999,0.7258252194852007,0.825,200
3-9,2,SVM,DeepONMF_W,3,PROMEDIO_MACRO,148,748,52,52,0.8960000000000001,0.74,0.9349999999999999,0.7460685295974757,0.8375,200
3-9,2,SVM,DeepONMF_W,4,PROMEDIO_MACRO,146,746,54,54,0.892,0.73,0.9324999999999999,0.7290542066629023,0.83125,200
3-9,2,SVM,DeepONMF_W,5,PROMEDIO_MACRO,145,745,55,55,0.89,0.725,0.93125,0.7202293293773725,0.828125,200
3-9,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,193,793,7,7,0.986,0.9650000000000001,0.99125,0.9658357902260342,0.978125,200
3-9,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.9004429678848285,0.9375,200
3-9,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,182,782,18,18,0.9640000000000001,0.9099999999999999,0.9775,0.9132435425458683,0.94375,200
3-9,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,186,786,14,14,0.9720000000000001,0.9299999999999999,0.9825000000000002,0.9312429462429461,0.95625,200
3-9,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,190,790,10,10,0.9799999999999999,0.95,0.9875,0.9506742872596531,0.96875,200
3-9,2,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,176,776,24,24,0.952,0.8800000000000001,0.97,0.8881372638914359,0.925,200
3-9,2,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,171,771,29,29,0.942,0.8550000000000001,0.9637499999999999,0.863197366802018,0.909375,200
3-9,2,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,164,764,36,36,0.9280000000000002,0.82,0.9550000000000001,0.8234777824913289,0.8875,200
3-9,2,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,171,771,29,29,0.9419999999999998,0.8550000000000001,0.9637499999999999,0.859391311818667,0.909375,200
3-9,2,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,165,765,35,35,0.93,0.825,0.95625,0.8270870186723844,0.890625,200
