indice_interno,clase,archivo,distribucion,error_final,forma_w_final,forma_h3,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
0,N,New_N_001.wav,10-6-4,0.23707751206952937,126x4,4x212,10,0.06681057313835524,0.3928881729364507,0.013700499999686144,6,0.2377206936074101,0.29538783865305207,0.0044904000023962,4,0.4100509511981571,0.26782018429615123,0.004028999999718508
1,N,New_N_002.wav,10-6-4,0.26831350769977863,126x4,4x212,10,0.06115734382872279,0.37122555396080664,0.011023600000044098,6,0.23374967757842607,0.22429855108760974,0.006020599998009857,4,0.3347986411143108,0.22828210764619303,0.0036618999984057155
2,N,New_N_003.wav,10-6-4,0.2190138358766442,126x4,4x212,10,0.0646034317495872,0.36246256560368695,0.0116569999991043,6,0.20786186959769865,0.26460547933090417,0.004326300000684569,4,0.4047820929553712,0.28078221410481435,0.0036589999981515575
3,N,New_N_004.wav,10-6-4,0.307745966643653,126x4,4x212,10,0.0668861645952475,0.3448538935174147,0.011461699999927077,6,0.32894129729459526,0.20953327901161936,0.004119500001252163,4,0.43491655187299616,0.22178658513652394,0.0035431999967840966
4,N,New_N_005.wav,10-6-4,0.24036242005212316,126x4,4x212,10,0.06681615204490755,0.34331445825852,0.011208699997951044,6,0.2944760544558253,0.23984667386302097,0.004202899999654619,4,0.5029401915262717,0.25829710170710934,0.004128799999307375
5,N,New_N_006.wav,10-6-4,0.2803196584420291,126x4,4x212,10,0.07019098790419794,0.3395757793991208,0.012044600000081118,6,0.3014392738523634,0.18921798850365126,0.004445099999429658,4,0.3952282623952774,0.18984291713661242,0.004297499999665888
6,N,New_N_007.wav,10-6-4,0.22747767310144368,126x4,4x212,10,0.06182090427054762,0.3667521317253434,0.012076800001523225,6,0.335894798352956,0.2313368671354111,0.004137899999477668,4,0.3733080761764654,0.21182070671299447,0.003429699998378055
7,N,New_N_008.wav,10-6-4,0.3039532546813771,126x4,4x212,10,0.05669710467968685,0.34490414397973523,0.012137999998230953,6,0.30430858705784464,0.2143518598253607,0.004850599998462712,4,0.36818922232577317,0.26934762239235116,0.003480900002614362
8,N,New_N_009.wav,10-6-4,0.26295495545114494,126x4,4x212,10,0.058239813192381674,0.34715251683464715,0.011404500000935514,6,0.3213857360763629,0.23767583240231246,0.004108500001166249,4,0.38202605926647876,0.22536832584217592,0.0034245000024384353
9,N,New_N_010.wav,10-6-4,0.3141728161511661,126x4,4x212,10,0.05909955267431485,0.33127047310067625,0.012584699998114957,6,0.29679979531013945,0.1559311468410072,0.0041049999999813735,4,0.47047369849841214,0.13729201093489563,0.004995200000848854
