indice_interno,clase,archivo,distribucion,error_final,forma_w_final,forma_h3,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
0,N,New_N_001.wav,10-6-4,0.27586538686425666,126x4,4x212,10,0.15089727127559505,0.5411595865169188,0.001756600002408959,6,0.5261142212857063,0.4517387156485766,0.0005597000017587561,4,0.5473922952554334,0.3293838146236388,0.0004291000004741363
1,N,New_N_002.wav,10-6-4,0.3016738835359956,126x4,4x212,10,0.16859932715498008,0.5251719769601638,0.0018212000031780917,6,0.518618443931597,0.3917086063381775,0.0005067000020062551,4,0.5851507469558708,0.38717883082723276,0.0005605000005743932
2,AS,New_AS_001.wav,10-6-4,0.40092078681520316,126x4,4x212,10,0.3416351373774231,0.5359887643544908,0.002138200001354562,6,0.5794034845742367,0.40766407089177953,0.0009577999990142416,4,0.5997016447415413,0.39091555334549555,0.0006080000021029264
3,AS,New_AS_002.wav,10-6-4,0.3828363308415085,126x4,4x212,10,0.3240343626787433,0.4967221748908273,0.0014841999982309062,6,0.56517848689354,0.39992595101941647,0.0005068000027677044,4,0.6285961384629065,0.4381877892571688,0.00042039999971166253
4,MR,New_MR_001.wav,10-6-4,0.3418329404538763,126x4,4x212,10,0.2623199447749331,0.5666346880282782,0.0017903000007208902,6,0.5527188664937474,0.49143339412429365,0.0009009999994304962,4,0.5690062295863358,0.44287571940410797,0.0008969000009528827
5,MR,New_MR_002.wav,10-6-4,0.3665467416352316,126x4,4x212,10,0.29535155633820137,0.5094174790970982,0.0018797999982780311,6,0.5941078313627549,0.4574710694502226,0.0008379999999306165,4,0.5258995310960254,0.4410904709445791,0.0007194000027084257
6,MS,New_MS_001.wav,10-6-4,0.3191223133109746,126x4,4x212,10,0.2191336353243755,0.5652555921543057,0.001983299996936694,6,0.4547190417331845,0.4166601679372608,0.0007843999992473982,4,0.5907244073589321,0.39027963372697694,0.0004465000019990839
7,MS,New_MS_002.wav,10-6-4,0.3442890335478033,126x4,4x212,10,0.215190190033599,0.48669843621094117,0.001584100002219202,6,0.535616745923277,0.464905812379313,0.0007084999997459818,4,0.5630764245913374,0.44108968060709913,0.0005854999981238507
8,MVP,New_MVP_001.wav,10-6-4,0.5445321274407672,126x4,4x212,10,0.38007656700402115,0.45720741851787705,0.0014601000002585351,6,0.5865844720913977,0.4074212785228662,0.0006990000001678709,4,0.5001880625223212,0.3588375274891073,0.0006027000017638784
9,MVP,New_MVP_002.wav,10-6-4,0.596056489630571,126x4,4x212,10,0.4270591107013098,0.41997604348926015,0.0017182000010507181,6,0.5714994011256265,0.48195945556165787,0.0008774000016273931,4,0.5325153954365898,0.45161011986464433,0.0009037000017997343
