distribucion,clasificador,representacion,Accuracy_nuevo,Accuracy_referencia_9_8_7,delta_Accuracy,Sensitivity_nuevo,Sensitivity_referencia_9_8_7,delta_Sensitivity,Specificity_nuevo,Specificity_referencia_9_8_7,delta_Specificity,Precision_nuevo,Precision_referencia_9_8_7,delta_Precision,Score_nuevo,Score_referencia_9_8_7,delta_Score
15-10-5,SVM,DeepONMF_W,1.0,0.925,0.07499999999999996,1.0,0.92375,0.07625000000000004,1.0,0.93,0.06999999999999995,1.0,0.9814028023077828,0.018597197692217238,1.0,0.926875,0.073125
10-6-4,SVM,DeepONMF_W,1.0,0.925,0.07499999999999996,1.0,0.92375,0.07625000000000004,1.0,0.93,0.06999999999999995,1.0,0.9814028023077828,0.018597197692217238,1.0,0.926875,0.073125
8-5-3,SVM,DeepONMF_W,1.0,0.925,0.07499999999999996,1.0,0.92375,0.07625000000000004,1.0,0.93,0.06999999999999995,1.0,0.9814028023077828,0.018597197692217238,1.0,0.926875,0.073125
15-10-5,SVM,DeepONMF_H3,0.8,0.969,-0.16899999999999993,1.0,0.97625,0.02375000000000005,0.0,0.94,-0.94,0.8,0.9848649570040444,-0.18486495700404437,0.5,0.958125,-0.458125
10-6-4,SVM,DeepONMF_H3,0.8,0.969,-0.16899999999999993,1.0,0.97625,0.02375000000000005,0.0,0.94,-0.94,0.8,0.9848649570040444,-0.18486495700404437,0.5,0.958125,-0.458125
8-5-3,SVM,DeepONMF_H3,0.8,0.969,-0.16899999999999993,1.0,0.97625,0.02375000000000005,0.0,0.94,-0.94,0.8,0.9848649570040444,-0.18486495700404437,0.5,0.958125,-0.458125
15-10-5,KNN,DeepONMF_W,0.9,0.8800000000000001,0.019999999999999907,1.0,0.8825,0.11750000000000005,0.5,0.8699999999999999,-0.3699999999999999,0.9,0.964450474509183,-0.06445047450918295,0.75,0.8762500000000001,-0.12625000000000008
10-6-4,KNN,DeepONMF_W,0.8,0.8800000000000001,-0.08000000000000007,1.0,0.8825,0.11750000000000005,0.0,0.8699999999999999,-0.8699999999999999,0.8,0.964450474509183,-0.16445047450918293,0.5,0.8762500000000001,-0.3762500000000001
8-5-3,KNN,DeepONMF_W,0.9,0.8800000000000001,0.019999999999999907,1.0,0.8825,0.11750000000000005,0.5,0.8699999999999999,-0.3699999999999999,0.9,0.964450474509183,-0.06445047450918295,0.75,0.8762500000000001,-0.12625000000000008
15-10-5,KNN,DeepONMF_H3,0.8,0.937,-0.137,1.0,0.97625,0.02375000000000005,0.0,0.78,-0.78,0.8,0.9472595566655692,-0.1472595566655691,0.5,0.878125,-0.37812500000000004
10-6-4,KNN,DeepONMF_H3,0.8,0.937,-0.137,1.0,0.97625,0.02375000000000005,0.0,0.78,-0.78,0.8,0.9472595566655692,-0.1472595566655691,0.5,0.878125,-0.37812500000000004
8-5-3,KNN,DeepONMF_H3,0.8,0.937,-0.137,1.0,0.97625,0.02375000000000005,0.0,0.78,-0.78,0.8,0.9472595566655692,-0.1472595566655691,0.5,0.878125,-0.37812500000000004
15-10-5,UjaNet,DeepONMF_W,0.8,0.968,-0.16799999999999993,1.0,0.97375,0.026249999999999996,0.0,0.945,-0.945,0.8,0.9863247080942016,-0.18632470809420154,0.5,0.959375,-0.459375
10-6-4,UjaNet,DeepONMF_W,0.8,0.968,-0.16799999999999993,1.0,0.97375,0.026249999999999996,0.0,0.945,-0.945,0.8,0.9863247080942016,-0.18632470809420154,0.5,0.959375,-0.459375
8-5-3,UjaNet,DeepONMF_W,0.8,0.968,-0.16799999999999993,1.0,0.97375,0.026249999999999996,0.0,0.945,-0.945,0.8,0.9863247080942016,-0.18632470809420154,0.5,0.959375,-0.459375
15-10-5,UjaNet,DeepONMF_H3,0.8,0.992,-0.19199999999999995,1.0,0.99375,0.006249999999999978,0.0,0.985,-0.985,0.8,0.99625,-0.19624999999999992,0.5,0.989375,-0.489375
10-6-4,UjaNet,DeepONMF_H3,0.8,0.992,-0.19199999999999995,1.0,0.99375,0.006249999999999978,0.0,0.985,-0.985,0.8,0.99625,-0.19624999999999992,0.5,0.989375,-0.489375
8-5-3,UjaNet,DeepONMF_H3,0.8,0.992,-0.19199999999999995,1.0,0.99375,0.006249999999999978,0.0,0.985,-0.985,0.8,0.99625,-0.19624999999999992,0.5,0.989375,-0.489375
