clase,archivo,origen,tSNE_1,tSNE_2
N,frecuencia_bin_000,filas_W_final,21.612514,10.46715
N,frecuencia_bin_001,filas_W_final,25.972914,12.457434
N,frecuencia_bin_002,filas_W_final,27.576597,12.977146
N,frecuencia_bin_003,filas_W_final,27.858175,12.881605
N,frecuencia_bin_004,filas_W_final,26.724907,10.0614
N,frecuencia_bin_005,filas_W_final,23.81079,7.7729197
N,frecuencia_bin_006,filas_W_final,20.910269,6.072743
N,frecuencia_bin_007,filas_W_final,21.11999,4.649767
N,frecuencia_bin_008,filas_W_final,21.120516,4.545713
N,frecuencia_bin_009,filas_W_final,17.237724,7.514767
N,frecuencia_bin_010,filas_W_final,15.801736,5.74989
N,frecuencia_bin_011,filas_W_final,15.156104,6.2118344
N,frecuencia_bin_012,filas_W_final,14.997007,6.5234303
N,frecuencia_bin_013,filas_W_final,14.846238,6.4608803
N,frecuencia_bin_014,filas_W_final,13.629058,4.863808
N,frecuencia_bin_015,filas_W_final,13.130359,4.2348332
N,frecuencia_bin_016,filas_W_final,12.935996,4.3768344
N,frecuencia_bin_017,filas_W_final,12.657871,4.8621254
N,frecuencia_bin_018,filas_W_final,12.304615,4.7259603
N,frecuencia_bin_019,filas_W_final,9.103908,3.8028905
N,frecuencia_bin_020,filas_W_final,8.531709,3.5853117
N,frecuencia_bin_021,filas_W_final,7.6432714,4.3148074
N,frecuencia_bin_022,filas_W_final,8.4165535,3.788946
N,frecuencia_bin_023,filas_W_final,7.8353806,3.5507643
N,frecuencia_bin_024,filas_W_final,4.1325,5.570237
N,frecuencia_bin_025,filas_W_final,5.213544,1.0727675
N,frecuencia_bin_026,filas_W_final,1.967285,6.1916685
N,frecuencia_bin_027,filas_W_final,4.1929054,0.36139974
N,frecuencia_bin_028,filas_W_final,3.9816034,-0.014128988
N,frecuencia_bin_029,filas_W_final,-0.011682107,7.207065
N,frecuencia_bin_030,filas_W_final,3.6663182,-0.64913607
N,frecuencia_bin_031,filas_W_final,-1.0453582,7.5328794
N,frecuencia_bin_032,filas_W_final,2.7780247,-1.6468681
N,frecuencia_bin_033,filas_W_final,2.6352315,-1.9727132
N,frecuencia_bin_034,filas_W_final,-2.7651873,9.198546
N,frecuencia_bin_035,filas_W_final,2.5673783,-2.5445426
N,frecuencia_bin_036,filas_W_final,-3.6714256,10.191511
N,frecuencia_bin_037,filas_W_final,0.12072266,-6.3223095
N,frecuencia_bin_038,filas_W_final,0.047279846,-7.0860977
N,frecuencia_bin_039,filas_W_final,-5.4016485,12.823993
N,frecuencia_bin_040,filas_W_final,0.26118568,-6.7879314
N,frecuencia_bin_041,filas_W_final,-5.3462377,13.47782
N,frecuencia_bin_042,filas_W_final,-0.06603933,-8.69953
N,frecuencia_bin_043,filas_W_final,-0.14671311,-9.072439
N,frecuencia_bin_044,filas_W_final,-8.706951,18.285719
N,frecuencia_bin_045,filas_W_final,-0.23670147,-8.047794
N,frecuencia_bin_046,filas_W_final,-9.112774,18.88678
N,frecuencia_bin_047,filas_W_final,-0.045259055,-10.180533
N,frecuencia_bin_048,filas_W_final,0.027369974,-10.840073
N,frecuencia_bin_049,filas_W_final,-9.992385,19.827042
N,frecuencia_bin_050,filas_W_final,-1.0538197,-10.455045
N,frecuencia_bin_051,filas_W_final,-10.3981,20.389872
N,frecuencia_bin_052,filas_W_final,0.0382046,-11.726009
N,frecuencia_bin_053,filas_W_final,0.16263299,-12.135413
N,frecuencia_bin_054,filas_W_final,-10.947215,21.161123
N,frecuencia_bin_055,filas_W_final,-1.163572,-11.520873
N,frecuencia_bin_056,filas_W_final,-11.676058,22.102419
N,frecuencia_bin_057,filas_W_final,0.18345617,-13.228063
N,frecuencia_bin_058,filas_W_final,0.17763083,-13.675929
N,frecuencia_bin_059,filas_W_final,-11.819973,22.303932
N,frecuencia_bin_060,filas_W_final,-1.1355877,-12.467489
N,frecuencia_bin_061,filas_W_final,-12.32344,22.908945
N,frecuencia_bin_062,filas_W_final,0.29392418,-14.321656
N,frecuencia_bin_063,filas_W_final,0.18082874,-14.793848
N,frecuencia_bin_064,filas_W_final,-12.522589,23.110083
N,frecuencia_bin_065,filas_W_final,-1.1537217,-13.622775
N,frecuencia_bin_066,filas_W_final,-12.918015,23.515543
N,frecuencia_bin_067,filas_W_final,0.38193488,-15.484833
N,frecuencia_bin_068,filas_W_final,0.15855734,-15.93701
N,frecuencia_bin_069,filas_W_final,-13.362118,24.198734
N,frecuencia_bin_070,filas_W_final,-1.2135415,-14.660685
N,frecuencia_bin_071,filas_W_final,-13.84145,24.293472
N,frecuencia_bin_072,filas_W_final,0.6785288,-16.498468
N,frecuencia_bin_073,filas_W_final,0.46398246,-16.800327
N,frecuencia_bin_074,filas_W_final,-13.690219,24.715137
N,frecuencia_bin_075,filas_W_final,-1.3364673,-15.487784
N,frecuencia_bin_076,filas_W_final,-14.487458,25.00127
N,frecuencia_bin_077,filas_W_final,0.75249135,-17.561089
N,frecuencia_bin_078,filas_W_final,0.5778976,-17.768354
N,frecuencia_bin_079,filas_W_final,-14.352715,25.522833
N,frecuencia_bin_080,filas_W_final,-1.8200413,-16.504398
N,frecuencia_bin_081,filas_W_final,-15.187019,25.520142
N,frecuencia_bin_082,filas_W_final,0.7329274,-18.571693
N,frecuencia_bin_083,filas_W_final,0.35969654,-18.810741
N,frecuencia_bin_084,filas_W_final,-14.82865,25.988485
N,frecuencia_bin_085,filas_W_final,-1.3287618,-17.001219
N,frecuencia_bin_086,filas_W_final,-15.957904,25.967484
N,frecuencia_bin_087,filas_W_final,0.36629233,-19.437649
N,frecuencia_bin_088,filas_W_final,0.9006907,-19.384417
N,frecuencia_bin_089,filas_W_final,-15.609226,26.375084
N,frecuencia_bin_090,filas_W_final,-1.8924338,-17.766237
N,frecuencia_bin_091,filas_W_final,-15.291844,26.747158
N,frecuencia_bin_092,filas_W_final,0.100250244,-20.002571
N,frecuencia_bin_093,filas_W_final,0.99630964,-20.19679
N,frecuencia_bin_094,filas_W_final,-16.346964,26.42249
N,frecuencia_bin_095,filas_W_final,-1.967762,-18.254126
N,frecuencia_bin_096,filas_W_final,-15.803236,27.169287
N,frecuencia_bin_097,filas_W_final,0.17140557,-20.597647
N,frecuencia_bin_098,filas_W_final,-0.2518988,-20.690094
N,frecuencia_bin_099,filas_W_final,-16.430779,27.062029
N,frecuencia_bin_100,filas_W_final,-1.9265488,-18.777504
N,frecuencia_bin_101,filas_W_final,-17.150822,26.72127
N,frecuencia_bin_102,filas_W_final,0.58597726,-20.990143
N,frecuencia_bin_103,filas_W_final,0.91796577,-21.318064
N,frecuencia_bin_104,filas_W_final,-16.779295,27.453451
N,frecuencia_bin_105,filas_W_final,-2.3727064,-19.08504
N,frecuencia_bin_106,filas_W_final,-16.011774,27.90153
N,frecuencia_bin_107,filas_W_final,-0.05201818,-21.445477
N,frecuencia_bin_108,filas_W_final,-0.6557658,-21.54554
