clase,archivo,origen,tSNE_1,tSNE_2
N,frecuencia_bin_000,filas_W_final,25.859077,3.0698981
N,frecuencia_bin_001,filas_W_final,28.988039,6.381875
N,frecuencia_bin_002,filas_W_final,30.535563,8.034283
N,frecuencia_bin_003,filas_W_final,30.485218,8.43333
N,frecuencia_bin_004,filas_W_final,28.418036,8.8141775
N,frecuencia_bin_005,filas_W_final,22.504402,10.8662
N,frecuencia_bin_006,filas_W_final,19.504972,6.2899823
N,frecuencia_bin_007,filas_W_final,19.648994,6.4619813
N,frecuencia_bin_008,filas_W_final,19.619743,6.421367
N,frecuencia_bin_009,filas_W_final,18.836802,5.353904
N,frecuencia_bin_010,filas_W_final,17.543823,4.8805084
N,frecuencia_bin_011,filas_W_final,17.332272,4.2281604
N,frecuencia_bin_012,filas_W_final,17.691137,3.8993812
N,frecuencia_bin_013,filas_W_final,17.555426,3.8565142
N,frecuencia_bin_014,filas_W_final,15.796727,3.6483219
N,frecuencia_bin_015,filas_W_final,14.5739975,3.6188061
N,frecuencia_bin_016,filas_W_final,14.866108,3.6627443
N,frecuencia_bin_017,filas_W_final,15.359226,4.081518
N,frecuencia_bin_018,filas_W_final,15.0567875,4.1637387
N,frecuencia_bin_019,filas_W_final,12.796341,3.832545
N,frecuencia_bin_020,filas_W_final,11.776172,4.283815
N,frecuencia_bin_021,filas_W_final,11.4418335,3.5188577
N,frecuencia_bin_022,filas_W_final,12.1639385,3.9612846
N,frecuencia_bin_023,filas_W_final,11.664869,4.0584636
N,frecuencia_bin_024,filas_W_final,8.398892,3.6204624
N,frecuencia_bin_025,filas_W_final,5.6687055,12.526148
N,frecuencia_bin_026,filas_W_final,6.0179367,3.3893857
N,frecuencia_bin_027,filas_W_final,5.068672,13.021327
N,frecuencia_bin_028,filas_W_final,4.81712,13.19893
N,frecuencia_bin_029,filas_W_final,3.6425016,10.06665
N,frecuencia_bin_030,filas_W_final,4.8247013,13.615981
N,frecuencia_bin_031,filas_W_final,3.7390015,10.309397
N,frecuencia_bin_032,filas_W_final,4.4221787,14.202794
N,frecuencia_bin_033,filas_W_final,4.219323,14.660785
N,frecuencia_bin_034,filas_W_final,-1.6540892,0.47283658
N,frecuencia_bin_035,filas_W_final,4.105536,15.18435
N,frecuencia_bin_036,filas_W_final,-1.9514067,0.31967434
N,frecuencia_bin_037,filas_W_final,3.3910644,16.910513
N,frecuencia_bin_038,filas_W_final,3.209864,17.562136
N,frecuencia_bin_039,filas_W_final,-6.7377987,0.6155456
N,frecuencia_bin_040,filas_W_final,3.5636497,17.113747
N,frecuencia_bin_041,filas_W_final,-7.1306562,0.59032327
N,frecuencia_bin_042,filas_W_final,2.6786447,18.736605
N,frecuencia_bin_043,filas_W_final,2.705656,19.098804
N,frecuencia_bin_044,filas_W_final,-8.067474,0.31302202
N,frecuencia_bin_045,filas_W_final,3.2869372,18.459475
N,frecuencia_bin_046,filas_W_final,-8.432018,0.21783063
N,frecuencia_bin_047,filas_W_final,2.3613858,19.951212
N,frecuencia_bin_048,filas_W_final,2.2022047,20.40197
N,frecuencia_bin_049,filas_W_final,-20.382143,-4.720971
N,frecuencia_bin_050,filas_W_final,3.190077,19.814228
N,frecuencia_bin_051,filas_W_final,-20.706043,-4.8027472
N,frecuencia_bin_052,filas_W_final,2.0329769,21.115217
N,frecuencia_bin_053,filas_W_final,1.878238,21.492783
N,frecuencia_bin_054,filas_W_final,-21.284044,-4.8246965
N,frecuencia_bin_055,filas_W_final,3.0118396,20.898563
N,frecuencia_bin_056,filas_W_final,-22.11392,-4.9121456
N,frecuencia_bin_057,filas_W_final,1.5945834,22.379576
N,frecuencia_bin_058,filas_W_final,1.584591,22.75809
N,frecuencia_bin_059,filas_W_final,-22.360794,-4.8760343
N,frecuencia_bin_060,filas_W_final,2.7811787,21.816938
N,frecuencia_bin_061,filas_W_final,-22.986195,-4.96897
N,frecuencia_bin_062,filas_W_final,1.2312678,23.367619
N,frecuencia_bin_063,filas_W_final,1.355698,23.730896
N,frecuencia_bin_064,filas_W_final,-23.358593,-5.0139017
N,frecuencia_bin_065,filas_W_final,2.6114557,22.773867
N,frecuencia_bin_066,filas_W_final,-23.861044,-5.1631646
N,frecuencia_bin_067,filas_W_final,0.87734675,24.364685
N,frecuencia_bin_068,filas_W_final,1.0680069,24.740852
N,frecuencia_bin_069,filas_W_final,-24.656328,-5.443602
N,frecuencia_bin_070,filas_W_final,2.4300075,23.676098
N,frecuencia_bin_071,filas_W_final,-25.151169,-5.458958
N,frecuencia_bin_072,filas_W_final,0.68809444,25.496382
N,frecuencia_bin_073,filas_W_final,0.32981876,25.383404
N,frecuencia_bin_074,filas_W_final,-25.521378,-5.701337
N,frecuencia_bin_075,filas_W_final,2.2582295,24.429901
N,frecuencia_bin_076,filas_W_final,-26.306238,-5.9619365
N,frecuencia_bin_077,filas_W_final,0.40724424,26.359846
N,frecuencia_bin_078,filas_W_final,-0.043896895,26.356298
N,frecuencia_bin_079,filas_W_final,-26.86419,-5.8298407
N,frecuencia_bin_080,filas_W_final,2.2151787,25.284132
