clase,archivo,origen,tSNE_1,tSNE_2
N,frecuencia_bin_000,filas_W_final,31.217468,0.0826122
N,frecuencia_bin_001,filas_W_final,30.411829,-4.2099795
N,frecuencia_bin_002,filas_W_final,33.415825,-7.7209625
N,frecuencia_bin_003,filas_W_final,33.25952,-7.717651
N,frecuencia_bin_004,filas_W_final,32.221333,-7.0064864
N,frecuencia_bin_005,filas_W_final,26.515848,-1.6058968
N,frecuencia_bin_006,filas_W_final,22.62099,-3.989967
N,frecuencia_bin_007,filas_W_final,23.073767,-4.105746
N,frecuencia_bin_008,filas_W_final,22.948982,-4.0938597
N,frecuencia_bin_009,filas_W_final,21.631046,-4.6858625
N,frecuencia_bin_010,filas_W_final,20.06027,-4.94611
N,frecuencia_bin_011,filas_W_final,19.289747,-5.585918
N,frecuencia_bin_012,filas_W_final,19.43153,-5.6514473
N,frecuencia_bin_013,filas_W_final,19.210436,-5.669789
N,frecuencia_bin_014,filas_W_final,17.43868,-6.3101935
N,frecuencia_bin_015,filas_W_final,16.304377,-6.8027773
N,frecuencia_bin_016,filas_W_final,16.567083,-6.6290565
N,frecuencia_bin_017,filas_W_final,16.956133,-6.2674294
N,frecuencia_bin_018,filas_W_final,16.487606,-6.3163185
N,frecuencia_bin_019,filas_W_final,14.545464,-9.42357
N,frecuencia_bin_020,filas_W_final,13.580223,-9.706583
N,frecuencia_bin_021,filas_W_final,13.074491,-10.050787
N,frecuencia_bin_022,filas_W_final,13.99787,-9.861753
N,frecuencia_bin_023,filas_W_final,13.521685,-10.179794
N,frecuencia_bin_024,filas_W_final,10.438592,-11.196642
N,frecuencia_bin_025,filas_W_final,9.86093,-12.265359
N,frecuencia_bin_026,filas_W_final,7.7689466,-12.06391
N,frecuencia_bin_027,filas_W_final,8.855684,-12.771974
N,frecuencia_bin_028,filas_W_final,8.508256,-12.875019
N,frecuencia_bin_029,filas_W_final,6.08969,-12.525715
N,frecuencia_bin_030,filas_W_final,8.493824,-13.572469
N,frecuencia_bin_031,filas_W_final,5.709805,-12.412142
N,frecuencia_bin_032,filas_W_final,7.7260656,-13.916516
N,frecuencia_bin_033,filas_W_final,7.3001466,-14.230176
N,frecuencia_bin_034,filas_W_final,2.8205025,-7.8850493
N,frecuencia_bin_035,filas_W_final,7.2605934,-14.971987
N,frecuencia_bin_036,filas_W_final,2.629235,-7.616745
N,frecuencia_bin_037,filas_W_final,5.964638,-16.472094
N,frecuencia_bin_038,filas_W_final,5.687458,-17.136059
N,frecuencia_bin_039,filas_W_final,2.1274238,-6.9182644
N,frecuencia_bin_040,filas_W_final,6.309338,-16.931433
N,frecuencia_bin_041,filas_W_final,-25.380533,14.576967
N,frecuencia_bin_042,filas_W_final,4.9877563,-18.109482
N,frecuencia_bin_043,filas_W_final,4.9533105,-18.600773
N,frecuencia_bin_044,filas_W_final,-25.98082,14.747035
N,frecuencia_bin_045,filas_W_final,5.894035,-18.320772
N,frecuencia_bin_046,filas_W_final,-26.348246,14.860815
N,frecuencia_bin_047,filas_W_final,4.5126324,-19.36885
N,frecuencia_bin_048,filas_W_final,4.324581,-19.892416
N,frecuencia_bin_049,filas_W_final,-26.879948,14.956901
N,frecuencia_bin_050,filas_W_final,5.610132,-19.690727
N,frecuencia_bin_051,filas_W_final,-27.297285,15.127201
N,frecuencia_bin_052,filas_W_final,3.9922602,-20.517124
N,frecuencia_bin_053,filas_W_final,3.8429918,-20.911385
N,frecuencia_bin_054,filas_W_final,-27.69553,15.055717
N,frecuencia_bin_055,filas_W_final,5.306763,-20.70368
N,frecuencia_bin_056,filas_W_final,-28.321522,15.380177
N,frecuencia_bin_057,filas_W_final,3.4593694,-21.69239
N,frecuencia_bin_058,filas_W_final,3.3669004,-22.20913
N,frecuencia_bin_059,filas_W_final,-28.458467,14.945547
N,frecuencia_bin_060,filas_W_final,4.974522,-21.567934
N,frecuencia_bin_061,filas_W_final,-29.112404,15.451033
N,frecuencia_bin_062,filas_W_final,2.9542556,-22.739449
N,frecuencia_bin_063,filas_W_final,3.031274,-23.17053
N,frecuencia_bin_064,filas_W_final,-29.37655,14.96065
N,frecuencia_bin_065,filas_W_final,4.6842184,-22.561691
N,frecuencia_bin_066,filas_W_final,-29.763102,15.441841
N,frecuencia_bin_067,filas_W_final,2.4386973,-23.624905
N,frecuencia_bin_068,filas_W_final,2.6271362,-24.187246
N,frecuencia_bin_069,filas_W_final,-30.351604,15.172415
N,frecuencia_bin_070,filas_W_final,4.3524795,-23.470066
N,frecuencia_bin_071,filas_W_final,-30.683882,15.566351
N,frecuencia_bin_072,filas_W_final,2.0213103,-24.651308
N,frecuencia_bin_073,filas_W_final,1.6081917,-24.594114
N,frecuencia_bin_074,filas_W_final,-30.66742,14.768346
N,frecuencia_bin_075,filas_W_final,4.1835823,-24.225224
N,frecuencia_bin_076,filas_W_final,-31.552265,15.465013
N,frecuencia_bin_077,filas_W_final,1.607275,-25.501612
N,frecuencia_bin_078,filas_W_final,1.2126523,-25.474653
N,frecuencia_bin_079,filas_W_final,-31.552698,14.635663
N,frecuencia_bin_080,filas_W_final,4.0032535,-25.077307
N,frecuencia_bin_081,filas_W_final,-32.045467,14.923171
N,frecuencia_bin_082,filas_W_final,1.2315589,-26.288656
N,frecuencia_bin_083,filas_W_final,0.5264006,-26.183416
N,frecuencia_bin_084,filas_W_final,-32.23753,15.60443
N,frecuencia_bin_085,filas_W_final,3.6858602,-25.738394
N,frecuencia_bin_086,filas_W_final,-32.548244,14.377333
N,frecuencia_bin_087,filas_W_final,0.5802913,-26.817965
N,frecuencia_bin_088,filas_W_final,1.1043874,-27.105268
N,frecuencia_bin_089,filas_W_final,-33.041702,15.683696
N,frecuencia_bin_090,filas_W_final,3.8296862,-26.52192
N,frecuencia_bin_091,filas_W_final,-32.94087,15.148612
N,frecuencia_bin_092,filas_W_final,0.958682,-27.71628
N,frecuencia_bin_093,filas_W_final,0.023296818,-27.370577
N,frecuencia_bin_094,filas_W_final,-33.17231,14.709388
N,frecuencia_bin_095,filas_W_final,3.1708739,-26.73255
N,frecuencia_bin_096,filas_W_final,-33.305897,14.105467
N,frecuencia_bin_097,filas_W_final,0.3155331,-28.015648
N,frecuencia_bin_098,filas_W_final,0.9624543,-28.469643
N,frecuencia_bin_099,filas_W_final,-33.770668,15.35858
N,frecuencia_bin_100,filas_W_final,3.436003,-27.402063
N,frecuencia_bin_101,filas_W_final,-33.90279,14.5624275
N,frecuencia_bin_102,filas_W_final,-0.39632586,-28.148243
N,frecuencia_bin_103,filas_W_final,0.47977942,-28.664186
N,frecuencia_bin_104,filas_W_final,-33.910213,13.793222
