clase,archivo,origen,tSNE_1,tSNE_2
N,frecuencia_bin_000,filas_W_final,31.45586,0.86786884
N,frecuencia_bin_001,filas_W_final,29.34835,-4.5920577
N,frecuencia_bin_002,filas_W_final,32.12649,-8.117545
N,frecuencia_bin_003,filas_W_final,32.011288,-8.091944
N,frecuencia_bin_004,filas_W_final,31.021324,-7.301023
N,frecuencia_bin_005,filas_W_final,25.724735,-1.6311209
N,frecuencia_bin_006,filas_W_final,21.81729,-4.163041
N,frecuencia_bin_007,filas_W_final,22.294443,-4.21771
N,frecuencia_bin_008,filas_W_final,22.171087,-4.2104855
N,frecuencia_bin_009,filas_W_final,20.948566,-4.7130404
N,frecuencia_bin_010,filas_W_final,19.24667,-5.0618243
N,frecuencia_bin_011,filas_W_final,18.506699,-5.6885967
N,frecuencia_bin_012,filas_W_final,18.666058,-5.730302
N,frecuencia_bin_013,filas_W_final,18.45482,-5.745468
N,frecuencia_bin_014,filas_W_final,16.7111,-6.328358
N,frecuencia_bin_015,filas_W_final,15.58344,-6.7830396
N,frecuencia_bin_016,filas_W_final,15.852769,-6.61587
N,frecuencia_bin_017,filas_W_final,16.245472,-6.28397
N,frecuencia_bin_018,filas_W_final,15.804967,-6.336823
N,frecuencia_bin_019,filas_W_final,13.891368,-9.309738
N,frecuencia_bin_020,filas_W_final,12.940595,-9.606681
N,frecuencia_bin_021,filas_W_final,12.458634,-9.910483
N,frecuencia_bin_022,filas_W_final,13.350586,-9.734775
N,frecuencia_bin_023,filas_W_final,12.887529,-10.03896
N,frecuencia_bin_024,filas_W_final,9.895937,-10.96523
N,frecuencia_bin_025,filas_W_final,9.339584,-11.998587
N,frecuencia_bin_026,filas_W_final,7.266386,-11.785093
N,frecuencia_bin_027,filas_W_final,8.329281,-12.4829
N,frecuencia_bin_028,filas_W_final,7.987568,-12.598312
N,frecuencia_bin_029,filas_W_final,5.556271,-12.239424
N,frecuencia_bin_030,filas_W_final,7.9902444,-13.236657
N,frecuencia_bin_031,filas_W_final,5.255657,-12.116472
N,frecuencia_bin_032,filas_W_final,7.2361073,-13.558775
N,frecuencia_bin_033,filas_W_final,6.8176365,-13.8683195
N,frecuencia_bin_034,filas_W_final,1.9325575,-6.822212
N,frecuencia_bin_035,filas_W_final,6.7735415,-14.58835
N,frecuencia_bin_036,filas_W_final,1.7261112,-6.511225
N,frecuencia_bin_037,filas_W_final,5.525189,-16.089512
N,frecuencia_bin_038,filas_W_final,5.259206,-16.74451
N,frecuencia_bin_039,filas_W_final,1.1102425,-5.5688334
N,frecuencia_bin_040,filas_W_final,5.842177,-16.51163
N,frecuencia_bin_041,filas_W_final,0.9254733,-5.241411
N,frecuencia_bin_042,filas_W_final,4.5687284,-17.742107
N,frecuencia_bin_043,filas_W_final,4.5438857,-18.200256
N,frecuencia_bin_044,filas_W_final,0.5651471,-4.8600917
N,frecuencia_bin_045,filas_W_final,5.4390707,-17.862112
N,frecuencia_bin_046,filas_W_final,-26.13015,13.763817
N,frecuencia_bin_047,filas_W_final,4.108156,-18.966427
N,frecuencia_bin_048,filas_W_final,3.9325755,-19.476965
N,frecuencia_bin_049,filas_W_final,-26.642826,13.802918
N,frecuencia_bin_050,filas_W_final,5.163882,-19.197243
N,frecuencia_bin_051,filas_W_final,-27.025246,13.946298
N,frecuencia_bin_052,filas_W_final,3.601308,-20.085855
N,frecuencia_bin_053,filas_W_final,3.4640954,-20.473776
N,frecuencia_bin_054,filas_W_final,-27.390715,13.828579
N,frecuencia_bin_055,filas_W_final,4.8677406,-20.198187
N,frecuencia_bin_056,filas_W_final,-28.001696,14.071678
N,frecuencia_bin_057,filas_W_final,3.0852282,-21.249659
N,frecuencia_bin_058,filas_W_final,2.9977539,-21.739466
N,frecuencia_bin_059,filas_W_final,-28.07991,13.6311245
N,frecuencia_bin_060,filas_W_final,4.5422997,-21.043465
N,frecuencia_bin_061,filas_W_final,-28.760202,14.034643
N,frecuencia_bin_062,filas_W_final,2.6098366,-22.28572
N,frecuencia_bin_063,filas_W_final,2.6569157,-22.686028
N,frecuencia_bin_064,filas_W_final,-28.929415,13.5456085
N,frecuencia_bin_065,filas_W_final,4.268928,-22.007807
N,frecuencia_bin_066,filas_W_final,-29.367142,13.920048
N,frecuencia_bin_067,filas_W_final,2.101009,-23.167534
N,frecuencia_bin_068,filas_W_final,2.2801747,-23.702251
N,frecuencia_bin_069,filas_W_final,-29.844782,13.436166
N,frecuencia_bin_070,filas_W_final,3.9547186,-22.902452
N,frecuencia_bin_071,filas_W_final,-30.155165,13.274744
N,frecuencia_bin_072,filas_W_final,1.6940185,-24.18529
N,frecuencia_bin_073,filas_W_final,1.3106909,-24.148996
N,frecuencia_bin_074,filas_W_final,-30.328568,13.932353
N,frecuencia_bin_075,filas_W_final,3.7831953,-23.643633
N,frecuencia_bin_076,filas_W_final,-30.984179,13.140774
N,frecuencia_bin_077,filas_W_final,1.2917594,-25.028963
N,frecuencia_bin_078,filas_W_final,0.9263007,-25.012003
N,frecuencia_bin_079,filas_W_final,-31.239992,13.760376
N,frecuencia_bin_080,filas_W_final,3.6272767,-24.477728
N,frecuencia_bin_081,filas_W_final,-31.393564,12.748964
N,frecuencia_bin_082,filas_W_final,0.9193162,-25.808926
N,frecuencia_bin_083,filas_W_final,0.26068562,-25.700493
N,frecuencia_bin_084,filas_W_final,-31.772623,13.57425
N,frecuencia_bin_085,filas_W_final,3.3107562,-25.135267
N,frecuencia_bin_086,filas_W_final,-32.018463,12.687534
N,frecuencia_bin_087,filas_W_final,0.27545705,-26.323063
N,frecuencia_bin_088,filas_W_final,0.7933188,-26.597986
N,frecuencia_bin_089,filas_W_final,-32.3974,13.171699
N,frecuencia_bin_090,filas_W_final,3.4350147,-25.893976
N,frecuencia_bin_091,filas_W_final,-32.558987,13.674644
N,frecuencia_bin_092,filas_W_final,0.6573653,-27.196873
N,frecuencia_bin_093,filas_W_final,-0.24891147,-26.88427
N,frecuencia_bin_094,filas_W_final,-32.414562,12.206574
N,frecuencia_bin_095,filas_W_final,2.823147,-26.128443
N,frecuencia_bin_096,filas_W_final,-32.88698,12.755315
N,frecuencia_bin_097,filas_W_final,0.03578705,-27.498684
N,frecuencia_bin_098,filas_W_final,0.6537834,-27.927202
N,frecuencia_bin_099,filas_W_final,-33.277267,13.39003
N,frecuencia_bin_100,filas_W_final,3.082226,-26.79033
N,frecuencia_bin_101,filas_W_final,-33.2763,12.432416
N,frecuencia_bin_102,filas_W_final,-0.64930534,-27.641869
N,frecuencia_bin_103,filas_W_final,0.21849403,-28.144707
N,frecuencia_bin_104,filas_W_final,-33.16914,11.823058
N,frecuencia_bin_105,filas_W_final,3.2132146,-27.252562
N,frecuencia_bin_106,filas_W_final,-33.781715,13.497678
N,frecuencia_bin_107,filas_W_final,-0.5362249,-28.21874
N,frecuencia_bin_108,filas_W_final,0.5350357,-28.858994
N,frecuencia_bin_109,filas_W_final,-33.685886,12.856859
N,frecuencia_bin_110,filas_W_final,2.2250233,-27.184357
N,frecuencia_bin_111,filas_W_final,-33.67406,11.808113
N,frecuencia_bin_112,filas_W_final,-0.1321056,-28.599176
N,frecuencia_bin_113,filas_W_final,-0.97026825,-28.410454
N,frecuencia_bin_114,filas_W_final,-34.09751,12.47414
N,frecuencia_bin_115,filas_W_final,2.8173466,-27.736712
N,frecuencia_bin_116,filas_W_final,-34.133347,11.790922
N,frecuencia_bin_117,filas_W_final,-0.6604422,-29.13713
N,frecuencia_bin_118,filas_W_final,-0.29861376,-29.25556
N,frecuencia_bin_119,filas_W_final,-34.56677,12.194679
N,frecuencia_bin_120,filas_W_final,2.3796823,-27.776958
N,frecuencia_bin_121,filas_W_final,-34.557007,12.784687
N,frecuencia_bin_122,filas_W_final,0.12053095,-29.22581
N,frecuencia_bin_123,filas_W_final,-1.0638462,-28.908201
N,frecuencia_bin_124,filas_W_final,-34.414536,13.266445
N,frecuencia_bin_125,filas_W_final,2.5209985,-28.343605
AS,frecuencia_bin_000,filas_W_final,23.531858,-7.9105024
AS,frecuencia_bin_001,filas_W_final,25.309319,-8.084679
AS,frecuencia_bin_002,filas_W_final,28.838242,-6.492398
AS,frecuencia_bin_003,filas_W_final,29.736399,-6.228747
AS,frecuencia_bin_004,filas_W_final,31.171976,-5.616888
AS,frecuencia_bin_005,filas_W_final,30.937216,-4.243309
AS,frecuencia_bin_006,filas_W_final,29.489378,-3.520056
AS,frecuencia_bin_007,filas_W_final,28.793617,-3.2068813
AS,frecuencia_bin_008,filas_W_final,29.120653,-0.79122853
AS,frecuencia_bin_009,filas_W_final,28.937323,-0.22105937
AS,frecuencia_bin_010,filas_W_final,27.916292,-0.31883812
AS,frecuencia_bin_011,filas_W_final,26.268322,-0.8411924
AS,frecuencia_bin_012,filas_W_final,25.874498,-0.98926306
AS,frecuencia_bin_013,filas_W_final,25.572323,-0.9507374
AS,frecuencia_bin_014,filas_W_final,24.819132,-0.58061755
AS,frecuencia_bin_015,filas_W_final,23.98228,-0.0692516
AS,frecuencia_bin_016,filas_W_final,23.532963,0.29658028
AS,frecuencia_bin_017,filas_W_final,23.277454,0.5991903
AS,frecuencia_bin_018,filas_W_final,23.042953,0.99838936
AS,frecuencia_bin_019,filas_W_final,22.78415,1.6455024
AS,frecuencia_bin_020,filas_W_final,22.547956,2.2446465
AS,frecuencia_bin_021,filas_W_final,22.208742,2.7480352
AS,frecuencia_bin_022,filas_W_final,21.943756,3.2426546
AS,frecuencia_bin_023,filas_W_final,21.82231,3.7000597
AS,frecuencia_bin_024,filas_W_final,21.678352,4.162657
AS,frecuencia_bin_025,filas_W_final,21.551582,4.579333
AS,frecuencia_bin_026,filas_W_final,21.497236,4.9854517
AS,frecuencia_bin_027,filas_W_final,21.312113,5.292518
AS,frecuencia_bin_028,filas_W_final,20.9268,5.744357
AS,frecuencia_bin_029,filas_W_final,20.498474,6.4682107
AS,frecuencia_bin_030,filas_W_final,20.075224,6.813505
AS,frecuencia_bin_031,filas_W_final,19.922628,7.322732
AS,frecuencia_bin_032,filas_W_final,19.41728,7.6439943
AS,frecuencia_bin_033,filas_W_final,18.674385,8.238904
AS,frecuencia_bin_034,filas_W_final,17.782948,8.937997
AS,frecuencia_bin_035,filas_W_final,17.084055,9.063972
AS,frecuencia_bin_036,filas_W_final,16.971514,9.6489725
AS,frecuencia_bin_037,filas_W_final,16.493591,9.315305
AS,frecuencia_bin_038,filas_W_final,15.922339,9.56469
AS,frecuencia_bin_039,filas_W_final,15.713453,10.217213
AS,frecuencia_bin_040,filas_W_final,15.128048,9.769113
AS,frecuencia_bin_041,filas_W_final,15.160259,10.65684
AS,frecuencia_bin_042,filas_W_final,14.654482,9.957428
AS,frecuencia_bin_043,filas_W_final,14.696624,10.403152
AS,frecuencia_bin_044,filas_W_final,14.604549,10.997322
AS,frecuencia_bin_045,filas_W_final,14.044942,10.504765
AS,frecuencia_bin_046,filas_W_final,13.880195,11.254434
AS,frecuencia_bin_047,filas_W_final,13.267825,10.946667
AS,frecuencia_bin_048,filas_W_final,13.048976,11.314652
AS,frecuencia_bin_049,filas_W_final,12.228804,11.804785
AS,frecuencia_bin_050,filas_W_final,10.780806,12.282237
AS,frecuencia_bin_051,filas_W_final,10.25326,13.1475115
AS,frecuencia_bin_052,filas_W_final,9.834546,12.559227
AS,frecuencia_bin_053,filas_W_final,9.608544,12.882498
AS,frecuencia_bin_054,filas_W_final,9.696746,13.569316
AS,frecuencia_bin_055,filas_W_final,8.990899,12.935698
AS,frecuencia_bin_056,filas_W_final,9.10579,13.966605
AS,frecuencia_bin_057,filas_W_final,8.4362955,13.586027
AS,frecuencia_bin_058,filas_W_final,7.979182,14.031184
AS,frecuencia_bin_059,filas_W_final,8.230264,14.547514
AS,frecuencia_bin_060,filas_W_final,7.570352,13.788852
AS,frecuencia_bin_061,filas_W_final,7.5094714,14.903562
AS,frecuencia_bin_062,filas_W_final,6.931432,14.305937
AS,frecuencia_bin_063,filas_W_final,6.6310835,14.672375
AS,frecuencia_bin_064,filas_W_final,6.263597,15.467046
AS,frecuencia_bin_065,filas_W_final,5.443411,15.150318
AS,frecuencia_bin_066,filas_W_final,5.0820327,16.472754
AS,frecuencia_bin_067,filas_W_final,4.4735994,15.990779
AS,frecuencia_bin_068,filas_W_final,3.894618,16.231295
AS,frecuencia_bin_069,filas_W_final,4.4958057,16.930132
AS,frecuencia_bin_070,filas_W_final,4.4302373,15.602315
AS,frecuencia_bin_071,filas_W_final,4.056805,17.315826
AS,frecuencia_bin_072,filas_W_final,3.3558352,16.23338
AS,frecuencia_bin_073,filas_W_final,3.3845572,16.771597
AS,frecuencia_bin_074,filas_W_final,3.4956303,17.543476
AS,frecuencia_bin_075,filas_W_final,2.8480904,16.400616
AS,frecuencia_bin_076,filas_W_final,2.9487174,17.880875
AS,frecuencia_bin_077,filas_W_final,2.618441,17.046219
AS,frecuencia_bin_078,filas_W_final,2.100454,17.47886
AS,frecuencia_bin_079,filas_W_final,1.4566238,18.428202
AS,frecuencia_bin_080,filas_W_final,1.3417077,17.58902
AS,frecuencia_bin_081,filas_W_final,0.9082488,18.578506
AS,frecuencia_bin_082,filas_W_final,0.31322423,18.249573
AS,frecuencia_bin_083,filas_W_final,-0.02279723,18.732773
AS,frecuencia_bin_084,filas_W_final,-1.0264897,18.426085
AS,frecuencia_bin_085,filas_W_final,-0.6555404,19.464712
AS,frecuencia_bin_086,filas_W_final,-1.8925443,18.803186
AS,frecuencia_bin_087,filas_W_final,-1.1808579,19.422537
AS,frecuencia_bin_088,filas_W_final,-1.4745497,19.685259
AS,frecuencia_bin_089,filas_W_final,-2.5309696,19.025085
AS,frecuencia_bin_090,filas_W_final,-1.9167142,20.143093
AS,frecuencia_bin_091,filas_W_final,-3.3827848,19.340525
AS,frecuencia_bin_092,filas_W_final,-2.5447009,19.934483
AS,frecuencia_bin_093,filas_W_final,-3.5935886,20.325222
AS,frecuencia_bin_094,filas_W_final,-5.3924723,19.749336
AS,frecuencia_bin_095,filas_W_final,-4.5198836,21.028679
AS,frecuencia_bin_096,filas_W_final,-5.9965043,19.617632
AS,frecuencia_bin_097,filas_W_final,-5.1034803,20.888985
AS,frecuencia_bin_098,filas_W_final,-5.2151055,20.776682
AS,frecuencia_bin_099,filas_W_final,-6.3212852,19.730639
AS,frecuencia_bin_100,filas_W_final,-5.779498,21.503256
AS,frecuencia_bin_101,filas_W_final,-7.1225557,19.779154
AS,frecuencia_bin_102,filas_W_final,-7.5352926,21.769506
AS,frecuencia_bin_103,filas_W_final,-7.856575,21.434196
AS,frecuencia_bin_104,filas_W_final,-10.804635,19.646866
AS,frecuencia_bin_105,filas_W_final,-8.686836,22.700579
AS,frecuencia_bin_106,filas_W_final,-11.389768,19.616323
AS,frecuencia_bin_107,filas_W_final,-8.820819,21.679037
AS,frecuencia_bin_108,filas_W_final,-9.004891,22.235373
AS,frecuencia_bin_109,filas_W_final,-11.77862,20.055878
AS,frecuencia_bin_110,filas_W_final,-9.382319,23.122133
AS,frecuencia_bin_111,filas_W_final,-12.169799,19.53082
AS,frecuencia_bin_112,filas_W_final,-9.667711,22.282993
AS,frecuencia_bin_113,filas_W_final,-9.940492,22.28776
AS,frecuencia_bin_114,filas_W_final,-12.31912,20.484648
AS,frecuencia_bin_115,filas_W_final,-10.007657,23.060265
AS,frecuencia_bin_116,filas_W_final,-12.565851,19.765158
AS,frecuencia_bin_117,filas_W_final,-9.652632,21.709625
AS,frecuencia_bin_118,filas_W_final,-10.143865,21.659597
AS,frecuencia_bin_119,filas_W_final,-13.008149,19.63311
AS,frecuencia_bin_120,filas_W_final,-10.450659,23.077755
AS,frecuencia_bin_121,filas_W_final,-13.206569,19.99241
AS,frecuencia_bin_122,filas_W_final,-10.572555,21.907692
AS,frecuencia_bin_123,filas_W_final,-10.751636,22.139376
AS,frecuencia_bin_124,filas_W_final,-12.979584,20.452158
AS,frecuencia_bin_125,filas_W_final,-11.103614,23.338707
MR,frecuencia_bin_000,filas_W_final,22.75888,-4.4243484
MR,frecuencia_bin_001,filas_W_final,23.459623,-4.6604667
MR,frecuencia_bin_002,filas_W_final,28.56978,-8.937374
MR,frecuencia_bin_003,filas_W_final,29.30728,-8.853883
MR,frecuencia_bin_004,filas_W_final,29.726475,-8.186933
MR,frecuencia_bin_005,filas_W_final,29.600397,-7.0178223
MR,frecuencia_bin_006,filas_W_final,32.60083,-4.2630634
MR,frecuencia_bin_007,filas_W_final,32.472427,-3.5471888
MR,frecuencia_bin_008,filas_W_final,32.03824,-2.2198164
MR,frecuencia_bin_009,filas_W_final,31.222538,-0.41626438
MR,frecuencia_bin_010,filas_W_final,30.40604,0.31841788
MR,frecuencia_bin_011,filas_W_final,29.902437,0.4983529
MR,frecuencia_bin_012,filas_W_final,30.072935,0.8394339
MR,frecuencia_bin_013,filas_W_final,30.522047,1.3405608
MR,frecuencia_bin_014,filas_W_final,29.743546,2.1598303
MR,frecuencia_bin_015,filas_W_final,29.03772,2.9737625
MR,frecuencia_bin_016,filas_W_final,28.19515,3.5918179
MR,frecuencia_bin_017,filas_W_final,27.448729,4.0257835
MR,frecuencia_bin_018,filas_W_final,26.486547,4.4905715
