clase,archivo,origen,F_1,F_2,F_3,F_4,F_5,F_6,F_7
N,frecuencia_bin_000,filas_W_final,0.04724346736874682,0.08404841845634535,0.0863824178593102,0.04568758063340337,0.47516925661209614,0.07908357528296163,0.16977635672249716
N,frecuencia_bin_001,filas_W_final,0.19404952365084102,0.39869281741274204,0.15162811476524138,0.3100429687350528,0.4822195891090046,0.3020914590350938,0.3459036787270393
N,frecuencia_bin_002,filas_W_final,0.4883045330507733,0.6449094731460433,0.33515137916958276,0.6072493510779298,0.5633241185535441,0.5747807100265949,0.6044763553566642
N,frecuencia_bin_003,filas_W_final,0.6519771456534511,0.5754641761113564,0.5426127569687995,0.623378967819813,0.42336539663997536,0.6202349761845285,0.5984004324172879
N,frecuencia_bin_004,filas_W_final,0.500567334593115,0.27915842152153714,0.5785387068820833,0.34795361476392794,0.19580079222954327,0.3852362502374607,0.3158642220291694
N,frecuencia_bin_005,filas_W_final,0.19008257451534366,0.06359211877961954,0.4239857431580121,0.07779041368079113,0.05893792010005432,0.11811739206004757,0.07493147160275598
N,frecuencia_bin_006,filas_W_final,0.05358198160223225,0.03100858378411608,0.17453445170311854,0.05144191799991055,0.024922454360798152,0.056142602388525586,0.06212093628532913
N,frecuencia_bin_007,filas_W_final,0.04696134813784295,0.040010592934992525,0.09671857015473886,0.08040513513252101,0.02492059255131261,0.09175347207888702,0.0961792648742434
N,frecuencia_bin_008,filas_W_final,0.04591077956526398,0.03646358897513263,0.07029375109719234,0.07351058223949565,0.02240090650962922,0.09195311407688178,0.0823858741776363
N,frecuencia_bin_009,filas_W_final,0.0353581973571195,0.01952574244711366,0.04626103374899597,0.03866158769751906,0.012328532284150765,0.053695282115296825,0.03911010015355745
N,frecuencia_bin_010,filas_W_final,0.02635652344468283,0.007857676347775736,0.02456833742613064,0.01308720438044267,0.011913337546518243,0.020624666759795702,0.011286057075934207
N,frecuencia_bin_011,filas_W_final,0.015134041004587819,0.008580621992759385,0.013042031861081674,0.012018786704883749,0.017816628351262763,0.016645146526671574,0.011665226016248937
N,frecuencia_bin_012,filas_W_final,0.01015083582815113,0.01173571015928231,0.009706968370651334,0.015899898531389303,0.018648505176233267,0.01981458764717966,0.016289487211620785
N,frecuencia_bin_013,filas_W_final,0.008537023039877236,0.009532809088635697,0.008926351090084154,0.014246138936588888,0.016006988980910214,0.017342463662279307,0.014601337138272334
N,frecuencia_bin_014,filas_W_final,0.006815786806766197,0.005708852924557711,0.009650509198809172,0.008536300837265007,0.009983569333327214,0.01125492208912036,0.00868126866296844
N,frecuencia_bin_015,filas_W_final,0.008157096227454547,0.0049808106261999595,0.008200272742656974,0.00646387055810583,0.005713303842003303,0.008505787004790325,0.006290963485751592
N,frecuencia_bin_016,filas_W_final,0.006909576762542832,0.0042783359276652244,0.0068701348744458724,0.006775889024921077,0.0061109898578709165,0.008512488469380396,0.006825739667498445
N,frecuencia_bin_017,filas_W_final,0.0056143149418280865,0.005499541438861655,0.004898207473537126,0.00900520524682774,0.005373242281983496,0.010337978212754529,0.009020862442320523
N,frecuencia_bin_018,filas_W_final,0.00430499207901589,0.0050203326747042774,0.003934911822822055,0.00801794688876164,0.0046162893630666765,0.00931232651888427,0.00823661738811826
N,frecuencia_bin_019,filas_W_final,0.0035424800947782835,0.003108955394823686,0.004201088898421832,0.0049090350275338285,0.0038411595870085197,0.006421105703852827,0.005062292446361063
N,frecuencia_bin_020,filas_W_final,0.003374988637296916,0.0036885697069332416,0.003871557075710523,0.0044143977562439395,0.0027843779161599506,0.00516989292706637,0.004293934292497703
N,frecuencia_bin_021,filas_W_final,0.0029845741847208183,0.002247848508534659,0.004353864106301543,0.003325365386846574,0.0036517992702284657,0.004276477590715278,0.0035584441970718766
N,frecuencia_bin_022,filas_W_final,0.003232594239282324,0.002808751950023039,0.00378981722263907,0.004622026309434382,0.0027765087210136694,0.00525541388968653,0.004650240947544262
N,frecuencia_bin_023,filas_W_final,0.002786554352439123,0.0026186126372652473,0.00360283523339561,0.003921783934692261,0.0022523838478248157,0.004796270247086895,0.004062658837098558
N,frecuencia_bin_024,filas_W_final,0.002352565843964013,0.0016551164458298918,0.0036917069414194306,0.0023684432986141235,0.0023351676340976025,0.0032430241186093673,0.002419810668461412
N,frecuencia_bin_025,filas_W_final,0.002188776177763924,0.002956886871246789,0.00263570897745885,0.0032813515185373724,0.001595818151129869,0.0035101547618215036,0.002946685010505385
N,frecuencia_bin_026,filas_W_final,0.0018218865372721924,0.001599569672167305,0.0029579277950684464,0.001924452396707384,0.00237908949992017,0.002281483320765348,0.0020166853810740723
N,frecuencia_bin_027,filas_W_final,0.0021429218373271667,0.002418835673528461,0.002558597364627925,0.002587168518530132,0.0015206268408149782,0.002744958037461863,0.0023219125216324913
N,frecuencia_bin_028,filas_W_final,0.0023569787232486255,0.00227342846521199,0.0022959351920761777,0.002352163349851102,0.0014044876117961342,0.002730280776637043,0.0019486303515422773
N,frecuencia_bin_029,filas_W_final,0.0021381798951748718,0.0012603088267769034,0.002540159614760488,0.0014293537369568087,0.0017294695429483564,0.0019803126526868543,0.0013168410600188708
N,frecuencia_bin_030,filas_W_final,0.001985207992946896,0.002430864460343986,0.0017802926991589327,0.002603555368548675,0.00120218986070395,0.0026446113236302696,0.002161292491470617
N,frecuencia_bin_031,filas_W_final,0.0014865802930293306,0.0012650278348439706,0.00222038320874815,0.0015059865974665601,0.0017644078253752752,0.0018667364873521382,0.0014632045617157309
N,frecuencia_bin_032,filas_W_final,0.0016474740715417932,0.0019435012331960437,0.0016824982975256675,0.0022399519117012557,0.001242884298173486,0.002385927504188567,0.001958009299228409
N,frecuencia_bin_033,filas_W_final,0.0016045484744379856,0.0019442834522552803,0.0017835124762771066,0.0020130401074745837,0.0011811312564165943,0.0021434480319154417,0.0017816548333492155
N,frecuencia_bin_034,filas_W_final,0.0014909359879866856,0.0010736758044370073,0.0021131513820067025,0.0011116325062585717,0.0014980244191803826,0.0015004063999318228,0.0010545855859738728
N,frecuencia_bin_035,filas_W_final,0.0015334012509525693,0.0021248106272920043,0.0012958479569532117,0.0022076854692638344,0.0010471941372078135,0.002204260299700519,0.0017265173690764665
N,frecuencia_bin_036,filas_W_final,0.0013123819524081717,0.0010783262287836824,0.001944777338450296,0.0009986420199593368,0.0013944255828819644,0.0012928575058066916,0.0009564279743364176
N,frecuencia_bin_037,filas_W_final,0.001377502114919511,0.0017236753949973922,0.001508594253269868,0.0017357581276340474,0.0009482648024799086,0.001823244888445825,0.0014174550128480388
N,frecuencia_bin_038,filas_W_final,0.0012965470260368098,0.0017465347004679498,0.0013283550456388788,0.001622985992943895,0.0009348202481500865,0.0017892654498276796,0.0012872955363668248
N,frecuencia_bin_039,filas_W_final,0.001245728108486373,0.000930344356597281,0.0016830815108410154,0.000862283213928833,0.001171215877691966,0.0011747523060275527,0.0007759823899409877
N,frecuencia_bin_040,filas_W_final,0.0013514285040419195,0.0018295729145028667,0.0010562567838089607,0.001903279202872565,0.0008995349146416674,0.0018429835528949044,0.0014744705669254034
N,frecuencia_bin_041,filas_W_final,0.0011732406715381973,0.0009002842391109578,0.0017883455942236902,0.000769340977105021,0.0010691955077750392,0.001058521753755089,0.000685154283008086
N,frecuencia_bin_042,filas_W_final,0.0012794880190431564,0.0015294286809981355,0.0013073846622817468,0.0014505890793796872,0.0007856843247821455,0.001537636054962775,0.0011316819973520846
N,frecuencia_bin_043,filas_W_final,0.0011498231481111743,0.001507867613938669,0.0012566308066924645,0.0014670459568465154,0.0007845005936496386,0.0014816701816888038,0.0011201170367078944
N,frecuencia_bin_044,filas_W_final,0.00108995762423283,0.0007818366483494461,0.0015388484374140152,0.0007754395458985123,0.0009481885237034429,0.0009681458271629598,0.0006957337377138469
N,frecuencia_bin_045,filas_W_final,0.0011396331827704575,0.0016861311717838363,0.0009212305462900963,0.001670528399245106,0.0008275450459131667,0.0016149438250748806,0.001279310653623531
N,frecuencia_bin_046,filas_W_final,0.000982113445784205,0.0008279635828753709,0.0015354699630474383,0.0006980273303393392,0.0009419661316805503,0.000928607145724617,0.000625702410469478
N,frecuencia_bin_047,filas_W_final,0.0011162614546465104,0.001377401725931946,0.0011342576297810754,0.0013330081848692004,0.0007123471397306357,0.0013808094268992178,0.0010692692771318874
N,frecuencia_bin_048,filas_W_final,0.0010466513809973955,0.0013756709594025572,0.0011064744638933175,0.0013025355744044652,0.0007006657990572448,0.0013246330801635023,0.0009791483061300987
N,frecuencia_bin_049,filas_W_final,0.000989047034901723,0.0007506835946910958,0.0013949310378381578,0.0006483266377646636,0.0008417706093696641,0.000901072248696197,0.0005659241268505871
N,frecuencia_bin_050,filas_W_final,0.0009807499530809026,0.0015361988412851263,0.0007504923143872651,0.0015095960803392194,0.0007555224985410053,0.0014602565000545592,0.0012050877261460626
N,frecuencia_bin_051,filas_W_final,0.0008935105744291046,0.000734017806438897,0.0013798886387508468,0.000626997679782707,0.0008690198885966166,0.0008334690281084161,0.0005657311784700665
N,frecuencia_bin_052,filas_W_final,0.001002640473185728,0.0012537628033093761,0.0010199607397578076,0.0012086286542082147,0.0006646512537210477,0.001301937173385443,0.0009617183319807017
N,frecuencia_bin_053,filas_W_final,0.0009573552153437309,0.0012813137626090777,0.0010595929600434695,0.0011817012041394678,0.0006532404442641463,0.0012340554014377083,0.0009184732232732762
