clase,archivo,tsne_1,tsne_2
N,New_N_001.wav,7.738459,15.35398
N,New_N_002.wav,7.317165,17.377367
N,New_N_003.wav,11.356795,14.460872
N,New_N_004.wav,9.843102,14.5012665
N,New_N_005.wav,11.779157,12.85062
N,New_N_006.wav,9.187165,15.73673
N,New_N_007.wav,9.1985855,14.437525
N,New_N_008.wav,12.916096,12.775923
N,New_N_009.wav,9.355706,14.953352
N,New_N_010.wav,11.225798,14.671858
N,New_N_011.wav,7.415454,17.737629
N,New_N_012.wav,6.6602974,17.786337
N,New_N_013.wav,12.751925,13.433406
N,New_N_014.wav,11.278246,16.527613
N,New_N_015.wav,11.502607,14.108224
N,New_N_016.wav,9.457548,16.01179
N,New_N_017.wav,8.304244,16.934488
N,New_N_018.wav,7.14673,17.361177
N,New_N_019.wav,10.704601,14.0116005
N,New_N_020.wav,11.704378,14.198414
N,New_N_021.wav,12.091012,14.44816
N,New_N_022.wav,10.152911,15.820725
N,New_N_023.wav,11.736525,12.810462
N,New_N_024.wav,7.846422,17.057035
N,New_N_025.wav,7.389283,18.136068
N,New_N_026.wav,7.868714,18.389517
N,New_N_027.wav,9.814739,16.418468
N,New_N_028.wav,7.0633354,16.936527
N,New_N_029.wav,11.049263,17.11803
N,New_N_030.wav,13.880712,12.412127
N,New_N_031.wav,12.562695,14.444984
N,New_N_032.wav,9.122249,15.527372
N,New_N_033.wav,10.115079,13.8048935
N,New_N_034.wav,8.378373,15.843536
N,New_N_035.wav,9.272812,17.22583
N,New_N_036.wav,12.655016,12.237699
N,New_N_037.wav,13.284118,8.431987
N,New_N_038.wav,13.299341,8.459107
N,New_N_039.wav,13.300964,8.455438
N,New_N_040.wav,13.297847,8.447988
N,New_N_041.wav,9.179043,36.47879
N,New_N_042.wav,10.982096,35.80368
N,New_N_043.wav,15.29663,36.71628
N,New_N_044.wav,10.024515,36.540123
N,New_N_045.wav,14.978663,36.42399
N,New_N_046.wav,13.114583,37.196636
N,New_N_047.wav,9.642057,36.413006
N,New_N_048.wav,11.15222,36.17909
N,New_N_049.wav,15.90494,36.690178
