clase,archivo,tsne_1,tsne_2
N,New_N_001.wav,-11.677786,-40.434414
N,New_N_002.wav,-12.283075,-40.19744
N,New_N_003.wav,-8.584771,-40.10691
N,New_N_004.wav,-9.925839,-38.75303
N,New_N_005.wav,-13.450979,-34.172184
N,New_N_006.wav,-11.181354,-36.637104
N,New_N_007.wav,-10.32172,-37.14134
N,New_N_008.wav,-9.251926,-35.303463
N,New_N_009.wav,-11.736965,-38.10108
N,New_N_010.wav,-12.050293,-35.251534
N,New_N_011.wav,-7.8302217,-37.710026
N,New_N_012.wav,-14.276378,-38.049694
N,New_N_013.wav,-9.853775,-34.809555
N,New_N_014.wav,-12.209963,-36.7038
N,New_N_015.wav,-13.125378,-39.022617
N,New_N_016.wav,-13.50182,-35.508217
N,New_N_017.wav,-11.602978,-39.386093
N,New_N_018.wav,-10.827244,-37.313435
N,New_N_019.wav,-12.830898,-36.06104
N,New_N_020.wav,-10.753875,-34.05107
N,New_N_021.wav,-12.5316515,-40.34814
N,New_N_022.wav,-11.309925,-35.643406
N,New_N_023.wav,-11.669258,-34.210526
N,New_N_024.wav,-13.9429655,-38.64689
N,New_N_025.wav,-13.330396,-33.333317
N,New_N_026.wav,-11.657551,-36.272423
N,New_N_027.wav,-10.104219,-38.04126
N,New_N_028.wav,-12.337775,-34.463043
N,New_N_029.wav,-6.1740823,-35.99306
N,New_N_030.wav,-9.93859,-39.523464
N,New_N_031.wav,-13.719746,-39.518436
N,New_N_032.wav,-10.756257,-39.197277
N,New_N_033.wav,-7.5472093,-37.419064
N,New_N_034.wav,-7.7095757,-37.090706
N,New_N_035.wav,-13.861965,-37.482964
N,New_N_036.wav,-7.9455767,-38.55498
N,New_N_037.wav,-29.340425,7.0392003
N,New_N_038.wav,-29.342466,7.035409
N,New_N_039.wav,-29.343935,6.9726686
N,New_N_040.wav,-29.344255,6.997254
N,New_N_041.wav,-39.601963,-17.232563
N,New_N_042.wav,-37.903206,-20.050049
N,New_N_043.wav,-38.621426,-19.391794
N,New_N_044.wav,-38.810184,-17.221186
N,New_N_045.wav,-40.720966,-20.37201
N,New_N_046.wav,-40.850845,-16.284233
N,New_N_047.wav,-39.010174,-16.202806
N,New_N_048.wav,-37.124546,-20.644793
N,New_N_049.wav,-39.23847,-19.109562
N,New_N_050.wav,-41.026585,-17.404778
N,New_N_051.wav,-38.348545,-22.234043
N,New_N_052.wav,-39.8295,-21.413261
N,New_N_053.wav,-38.03436,-18.830942
N,New_N_054.wav,-36.23011,-19.946321
N,New_N_055.wav,-39.845177,-19.780735
N,New_N_056.wav,-41.11199,-18.133923
N,New_N_057.wav,-36.695404,-19.783623
N,New_N_058.wav,-38.809364,-19.72226
N,New_N_059.wav,-41.443718,-19.148048
N,New_N_060.wav,-36.016182,-21.077658
N,New_N_061.wav,-38.55306,-18.805563
N,New_N_062.wav,-38.44297,-20.43432
N,New_N_063.wav,-36.505947,-21.883034
N,New_N_064.wav,-37.73592,-17.34164
N,New_N_065.wav,-37.453888,-18.127235
N,New_N_066.wav,-39.195698,-17.918407
N,New_N_067.wav,-37.995792,-17.422657
N,New_N_068.wav,-38.89211,-16.778862
N,New_N_069.wav,-3.3155234,-30.566977
N,New_N_070.wav,-6.6659217,-29.564236
N,New_N_071.wav,-2.3812644,-29.532825
N,New_N_072.wav,-2.745786,-29.216803
N,New_N_073.wav,-3.7999399,-29.420076
N,New_N_074.wav,-4.1934257,-27.530462
N,New_N_075.wav,-4.3876824,-27.940311
N,New_N_076.wav,-3.3471174,-31.045277
N,New_N_077.wav,-3.3193324,-28.979
N,New_N_078.wav,-2.9668128,-31.75016
N,New_N_079.wav,-6.0519767,-27.42659
N,New_N_080.wav,-5.3093376,-27.617504
N,New_N_081.wav,-2.6615314,-29.406057
N,New_N_082.wav,-5.082022,-27.46625
N,New_N_083.wav,-3.9053943,-28.914988
N,New_N_084.wav,-2.7160325,-30.97138
N,New_N_085.wav,-2.679833,-31.981241
