indice_interno,base,clase,archivo,segundos_extraccion_clasica
0,original,N,New_N_001.wav,0.0025583000387996435
1,original,N,New_N_002.wav,0.0020221000304445624
2,original,N,New_N_003.wav,0.001922899973578751
3,original,N,New_N_004.wav,0.0019643999403342605
4,original,N,New_N_005.wav,0.0018452000804245472
5,original,N,New_N_006.wav,0.002184899989515543
6,original,N,New_N_007.wav,0.0025478999596089125
7,original,N,New_N_008.wav,0.002311200019903481
8,original,N,New_N_009.wav,0.001863999990746379
9,original,N,New_N_010.wav,0.0018073999090120196
10,original,N,New_N_011.wav,0.0016621999675408006
11,original,N,New_N_012.wav,0.0019253999926149845
12,original,N,New_N_013.wav,0.0016740000573918223
13,original,N,New_N_014.wav,0.0018085000338032842
14,original,N,New_N_015.wav,0.0021567000076174736
15,original,N,New_N_016.wav,0.001941800001077354
16,original,N,New_N_017.wav,0.0020471999887377024
17,original,N,New_N_018.wav,0.001794499927200377
18,original,N,New_N_019.wav,0.0017226999625563622
19,original,N,New_N_020.wav,0.00180460000410676
20,original,N,New_N_021.wav,0.001650799997150898
21,original,N,New_N_022.wav,0.00180159998126328
22,original,N,New_N_023.wav,0.0017612000228837132
23,original,N,New_N_024.wav,0.0023993001086637378
24,original,N,New_N_025.wav,0.0020203000167384744
25,original,N,New_N_026.wav,0.0018180999904870987
26,original,N,New_N_027.wav,0.0016722000436857343
27,original,N,New_N_028.wav,0.0017318999161943793
28,original,N,New_N_029.wav,0.001635099994018674
29,original,N,New_N_030.wav,0.001581600052304566
30,original,N,New_N_031.wav,0.002175700035877526
31,original,N,New_N_032.wav,0.0020256999414414167
32,original,N,New_N_033.wav,0.0026453000027686357
33,original,N,New_N_034.wav,0.0022245999425649643
34,original,N,New_N_035.wav,0.0019322000443935394
35,original,N,New_N_036.wav,0.0016747999470680952
36,original,N,New_N_037.wav,0.0023509999737143517
37,original,N,New_N_038.wav,0.0015993000706657767
38,original,N,New_N_039.wav,0.0019256999948993325
39,original,N,New_N_040.wav,0.0017486000433564186
40,original,N,New_N_041.wav,0.0029097999213263392
41,original,N,New_N_042.wav,0.0026126999873667955
42,original,N,New_N_043.wav,0.0022811000235378742
43,original,N,New_N_044.wav,0.0023855000035837293
44,original,N,New_N_045.wav,0.0022149999858811498
45,original,N,New_N_046.wav,0.002102100057527423
46,original,N,New_N_047.wav,0.0019548999844118953
47,original,N,New_N_048.wav,0.002737600007094443
48,original,N,New_N_049.wav,0.0026985000586137176
49,original,N,New_N_050.wav,0.0019194999476894736
50,original,N,New_N_051.wav,0.0018415000522509217
51,original,N,New_N_052.wav,0.0018089000368490815
