indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos
0,original,N,New_N_001.wav,18-15-12-10,DeepONMF_H4,4,nndsvd,0.24696160762434177,10x212,0.032020799932070076,18,0.080304240488484,0.2084574901800927,0.017930899979546666,15,0.05572446597126339,0.1923037409143605,0.005502899992279708,12,0.056003018295883264,0.2213126388198482,0.004012900055386126,10,0.056083499053743026,0.2211280832537619,0.0037211000453680754
1,original,N,New_N_002.wav,18-15-12-10,DeepONMF_H4,4,nndsvd,0.2455915648854976,10x212,0.028604699997231364,18,0.07163815147942874,0.23016947944515975,0.01587689993903041,15,0.05619377223168624,0.17663193207626085,0.0048714999575167894,12,0.05658570637806125,0.17497037398123125,0.0037730999756604433,10,0.05694079005433338,0.1694602125838384,0.0033242000499740243
2,original,N,New_N_003.wav,18-15-12-10,DeepONMF_H4,4,nndsvd,0.24709415455836553,10x212,0.031339399982243776,18,0.07774219551340117,0.17953885319808258,0.017279100022278726,15,0.05586191496045234,0.18361985787839538,0.006089600035920739,12,0.05626464436705466,0.1960188899968081,0.0037585999816656113,10,0.0564557314087293,0.2040262445852725,0.0032347000669687986
3,original,N,New_N_004.wav,18-15-12-10,DeepONMF_H4,4,nndsvd,0.2462451797277749,10x212,0.030399100040085614,18,0.07775599904180053,0.21579210777787597,0.0167302000336349,15,0.05562192027595275,0.2074889011650153,0.0052065999479964375,12,0.05610771333507041,0.23815802030685593,0.003960500005632639,10,0.05632702549936439,0.26513322110099247,0.003362300107255578
4,original,N,New_N_005.wav,18-15-12-10,DeepONMF_H4,4,nndsvd,0.24593296547052249,10x212,0.030500900000333786,18,0.07502582024501347,0.2135038681111446,0.01642960007302463,15,0.05587162917059686,0.20092592303190127,0.00580789998639375,12,0.056286927520358014,0.19835278222517053,0.004090000060386956,10,0.057177194969400394,0.2223425451320805,0.0033653000136837363
5,original,N,New_N_006.wav,18-15-12-10,DeepONMF_H4,4,nndsvd,0.2483786433516215,10x212,0.029204500024206936,18,0.08000996029950502,0.2282430131807626,0.016202199971303344,15,0.05646899546196679,0.1758111993918138,0.005056300084106624,12,0.05604454748052755,0.1804903421843316,0.0035691000521183014,10,0.056345641345010036,0.16475403021291973,0.0035488998983055353
6,original,N,New_N_007.wav,18-15-12-10,DeepONMF_H4,4,nndsvd,0.24544772314417432,10x212,0.029613999999128282,18,0.07403982241206933,0.22638473577692114,0.0163958000484854,15,0.05591449991004334,0.20656149206884572,0.005275600007735193,12,0.057289305104389045,0.19384037588496653,0.0036656000884249806,10,0.05719451385441309,0.2171357249082972,0.0033913999795913696
7,original,N,New_N_008.wav,18-15-12-10,DeepONMF_H4,4,nndsvd,0.24555667876783566,10x212,0.02974449994508177,18,0.0698393433371518,0.20320967560507572,0.016090499935671687,15,0.055867091481778174,0.18653072724307204,0.0053233999060466886,12,0.0565699824942013,0.18058502279787436,0.0038756999420002103,10,0.058406614733397644,0.18161284834343477,0.0032725000055506825
8,original,N,New_N_009.wav,18-15-12-10,DeepONMF_H4,4,nndsvd,0.2491372074629484,10x212,0.030195800005458295,18,0.07642681313152715,0.21506933074225446,0.01667819998692721,15,0.056553880750846254,0.15599785747711323,0.005071799969300628,12,0.05755973243279297,0.14802594711219663,0.004010400036349893,10,0.05743224400548016,0.14765174664150085,0.003293100045993924
9,original,N,New_N_010.wav,18-15-12-10,DeepONMF_H4,4,nndsvd,0.2484146545916722,10x212,0.029880499932914972,18,0.08468481547595062,0.2271395277086428,0.01660259999334812,15,0.05639851562165832,0.2138293942918027,0.004943900043144822,12,0.05614042814881011,0.2203887578001391,0.0037818000419065356,10,0.05652266523152931,0.21557442584828682,0.0035455001052469015
