indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
0,original,N,New_N_001.wav,32-2,DeepONMF_H2,2,nndsvd,0.15950391192328015,2x212,0.0772490999661386,32,0.07929347998837397,0.18611401390629442,0.04883420001715422,2,0.10798288686184926,0.3636431467894875,0.027068500057794154
1,original,N,New_N_002.wav,32-2,DeepONMF_H2,2,nndsvd,0.16065562755942592,2x212,0.05357509991154075,32,0.07026255061705723,0.1835392468222441,0.0477934000082314,2,0.11424948699992808,0.27722655013664965,0.004625000059604645
2,original,N,New_N_003.wav,32-2,DeepONMF_H2,2,nndsvd,0.15434755434263978,2x212,0.04787359992042184,32,0.07516511926514476,0.14249693196497967,0.042285899980925024,2,0.10321003352312028,0.45716608436578055,0.004422200028784573
3,original,N,New_N_004.wav,32-2,DeepONMF_H2,2,nndsvd,0.15138781889507183,2x212,0.047151300008408725,32,0.07496416492891794,0.16616513792103157,0.04133859998546541,2,0.10341019782111667,0.33090213153540227,0.00468340003862977
4,original,N,New_N_005.wav,32-2,DeepONMF_H2,2,nndsvd,0.1545234136371448,2x212,0.04735170002095401,32,0.07419141360985647,0.16014926946507496,0.041547799948602915,2,0.1008353226687204,0.4698891579437018,0.004605599911883473
5,original,N,New_N_006.wav,32-2,DeepONMF_H2,2,nndsvd,0.16283460872691777,2x212,0.04539750004187226,32,0.07912703718034149,0.16825745489085286,0.03995839995332062,2,0.1160105317691939,0.37345371798710997,0.004426399944350123
6,original,N,New_N_007.wav,32-2,DeepONMF_H2,2,nndsvd,0.16040932582250172,2x212,0.04801009991206229,32,0.07068937971588113,0.16727290083080018,0.04246709996368736,2,0.11437209807725729,0.4063506982024525,0.004427800071425736
7,original,N,New_N_008.wav,32-2,DeepONMF_H2,2,nndsvd,0.16513298781172,2x212,0.04923649993725121,32,0.0687852892510947,0.15233077455161587,0.04378890001680702,2,0.12241878767241206,0.3429589459948408,0.004441200057044625
8,original,N,New_N_009.wav,32-2,DeepONMF_H2,2,nndsvd,0.16377286832764523,2x212,0.048853800049982965,32,0.07285645708909608,0.16172143055098973,0.043389700003899634,2,0.11504699937600704,0.3707258135787891,0.004429599968716502
9,original,N,New_N_010.wav,32-2,DeepONMF_H2,2,nndsvd,0.17724147113255007,2x212,0.04931270005181432,32,0.08006989994428718,0.14547202814200863,0.043874200084246695,2,0.13258236264290665,0.5134137036893724,0.004420500015839934
