indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos
0,SNR_-5db,N,New_N_001.wav,24-15-10-6,DeepONMF_H4,4,0.505660805990552,6x212,0.028850800008513033,24,0.3115757230594942,0.2738993320840543,0.016563400044105947,15,0.41475009132135365,0.19973974605312564,0.005283100064843893,10,0.37580705544535176,0.19156017909338002,0.0034323999425396323,6,0.43839577422137854,0.14465224343982166,0.0025809999788179994
1,SNR_-5db,N,New_N_002.wav,24-15-10-6,DeepONMF_H4,4,0.48945898863938214,6x212,0.027373300050385296,24,0.31168812531297346,0.2692873399788651,0.015914899995550513,15,0.3885024940992495,0.18184763236825535,0.004528900026343763,10,0.4148738468773692,0.15453956233920382,0.0034555000020191073,6,0.4433466564032608,0.11761295304967,0.0026227000635117292
2,SNR_-5db,N,New_N_003.wav,24-15-10-6,DeepONMF_H4,4,0.4913790776548297,6x212,0.026755700004287064,24,0.310260643008984,0.28026621883810277,0.01577910000924021,15,0.40803148197554395,0.17755503885637816,0.00445799995213747,10,0.3729551391164913,0.13929035302910944,0.0031962000066414475,6,0.4322335491340342,0.12875948064015968,0.0024338000221177936
3,SNR_-5db,N,New_N_004.wav,24-15-10-6,DeepONMF_H4,4,0.4882439257998825,6x212,0.029388900031335652,24,0.31792780279433247,0.27244107729658473,0.016344700008630753,15,0.3731424732054238,0.21719462315815724,0.005867799976840615,10,0.38678865454709055,0.1625635729628689,0.003511599963530898,6,0.39312224083295977,0.14707889616411343,0.0026539999525994062
4,SNR_-5db,N,New_N_005.wav,24-15-10-6,DeepONMF_H4,4,0.4727104303905839,6x212,0.02908529993146658,24,0.3085773365046218,0.2872462916898487,0.01578959997277707,15,0.39162668167194375,0.18185502189722486,0.0050230000633746386,10,0.31284887790904325,0.1600404803354272,0.004462899989448488,6,0.3956360817749962,0.12967867107340147,0.0028406999772414565
5,SNR_-5db,N,New_N_006.wav,24-15-10-6,DeepONMF_H4,4,0.45832716689087616,6x212,0.028650099993683398,24,0.3144978224425939,0.2646131064014902,0.01603100006468594,15,0.3728917922836807,0.22231296083647112,0.005017300019972026,10,0.376613867865418,0.18924589973960634,0.003509500063955784,6,0.41148053233507875,0.15253863138522347,0.0030817000661045313
6,SNR_-5db,N,New_N_007.wav,24-15-10-6,DeepONMF_H4,4,0.48710465214199117,6x212,0.02703329990617931,24,0.3140849650302826,0.2644319914799927,0.014245700091123581,15,0.4104996939158847,0.20016937185716602,0.005634299945086241,10,0.390952929930215,0.18051908972935277,0.0036119999131187797,6,0.44619216583712173,0.14018873503560017,0.0027073000092059374
7,SNR_-5db,N,New_N_008.wav,24-15-10-6,DeepONMF_H4,4,0.4709777554635741,6x212,0.028717499924823642,24,0.3155293538272248,0.2717648938211601,0.016329700010828674,15,0.3866711856725963,0.22030374952470005,0.0051123000448569655,10,0.385376884619807,0.18841555766802812,0.0037614000029861927,6,0.47032176311762514,0.12476163045999306,0.0027170999674126506
8,SNR_-5db,N,New_N_009.wav,24-15-10-6,DeepONMF_H4,4,0.49179230038347493,6x212,0.026804199907928705,24,0.31265242491482803,0.27098254432025665,0.015151900006458163,15,0.4000593501936047,0.19669256919613992,0.0047157000517472625,10,0.3718045964872955,0.15693499344123224,0.0034184999531134963,6,0.48126256364973286,0.1412943712852728,0.002650599926710129
9,SNR_-5db,N,New_N_010.wav,24-15-10-6,DeepONMF_H4,4,0.4689234066614804,6x212,0.02852680010255426,24,0.3080064803284007,0.2905089158118691,0.016381500056013465,15,0.37893739736456,0.21569509934003506,0.004990700050257146,10,0.35183404670788065,0.19582137092757873,0.0034588000271469355,6,0.38655780943063095,0.14846011985791693,0.0027438000543043017
10,SNR_-5db,N,New_N_011.wav,24-15-10-6,DeepONMF_H4,4,0.47378687032611577,6x212,0.028623999911360443,24,0.3142689574566591,0.27336693517888255,0.015406499966047704,15,0.37551107981193366,0.20168267845061338,0.005849399953149259,10,0.40749119152426666,0.1471383204195239,0.003646699944511056,6,0.418409077220936,0.12476858595067737,0.002754199900664389
11,SNR_-5db,N,New_N_012.wav,24-15-10-6,DeepONMF_H4,4,0.47376991784906625,6x212,0.02837120008189231,24,0.31641864375994644,0.2902792224086946,0.015329499961808324,15,0.3838602857834469,0.24918774449153028,0.005024200072512031,10,0.36912959146276064,0.23766486233929862,0.003465800080448389,6,0.4515064310853787,0.19229876821615038,0.0036222999915480614
12,SNR_-5db,N,New_N_013.wav,24-15-10-6,DeepONMF_H4,4,0.478460548449089,6x212,0.02894869993906468,24,0.312105599825361,0.2785613686997463,0.016566400066949427,15,0.3870379974483891,0.21392867821395745,0.005117999971844256,10,0.4225326566070256,0.17788068340265054,0.0034916000440716743,6,0.42761341743016135,0.1359194595943668,0.0027936999686062336
13,SNR_-5db,N,New_N_014.wav,24-15-10-6,DeepONMF_H4,4,0.47767515994047494,6x212,0.030284999986179173,24,0.3120418279266717,0.284839436451443,0.01826829998753965,15,0.3754037940685071,0.21965177632186456,0.005110000027343631,10,0.398930077430693,0.16785612692730587,0.0034545999951660633,6,0.43744782566052937,0.15772516352946245,0.0025921999476850033
14,SNR_-5db,N,New_N_015.wav,24-15-10-6,DeepONMF_H4,4,0.463809861362848,6x212,0.02730600000359118,24,0.3166180521267369,0.2721463338666876,0.014401499996893108,15,0.4046571407344366,0.21205216080815506,0.005602399935014546,10,0.3969674982929517,0.18037776514762763,0.003855499904602766,6,0.4730015798058126,0.1681412898124994,0.002625599969178438
15,SNR_-5db,N,New_N_016.wav,24-15-10-6,DeepONMF_H4,4,0.472875060215818,6x212,0.026246400084346533,24,0.3113832619574253,0.27863059448393546,0.0147610999410972,15,0.4030494802216768,0.19790023335720808,0.004867500043474138,10,0.3392691687962175,0.15490924049823657,0.0032152000349014997,6,0.4231642622819358,0.1133558469835325,0.002458699978888035
16,SNR_-5db,N,New_N_017.wav,24-15-10-6,DeepONMF_H4,4,0.4771346708652054,6x212,0.026924800011329353,24,0.31955355322208223,0.2648731652226829,0.015118499984964728,15,0.36853156884609295,0.21329535569718322,0.005004700040444732,10,0.39789144221752637,0.16796863594563496,0.003338300040923059,6,0.40989076083231496,0.14957996443712585,0.0025559000205248594
17,SNR_-5db,N,New_N_018.wav,24-15-10-6,DeepONMF_H4,4,0.4881821110125284,6x212,0.025592199992388487,24,0.3083778825384385,0.2854010360912375,0.014341000001877546,15,0.41492705279461506,0.19396393470798445,0.004527999903075397,10,0.42516004146246816,0.16007393870111059,0.0031551000429317355,6,0.48710068934323547,0.15333606298429717,0.002811600104905665
18,SNR_-5db,N,New_N_019.wav,24-15-10-6,DeepONMF_H4,4,0.47803042334418744,6x212,0.024798700003884733,24,0.3179055210794113,0.2748182660421978,0.013176699983887374,15,0.37409190360827943,0.1948384648141716,0.004865499911829829,10,0.4102830901443882,0.15225043193610038,0.003269999986514449,6,0.4374492970078933,0.10721873142837798,0.0025022999616339803
19,SNR_-5db,N,New_N_020.wav,24-15-10-6,DeepONMF_H4,4,0.48781740736576934,6x212,0.026710100006312132,24,0.31806092720558843,0.25209544325056427,0.015009499969892204,15,0.4089279580498342,0.1756711104809753,0.004361600033007562,10,0.41386799014992237,0.160181531495408,0.003295399947091937,6,0.4844683209108266,0.1621887115791835,0.002972999936901033
20,SNR_-5db,N,New_N_021.wav,24-15-10-6,DeepONMF_H4,4,0.46580329185995356,6x212,0.027696900069713593,24,0.3167162049942954,0.25223286079813667,0.01662090001627803,15,0.3976941690459348,0.2084789343530878,0.004498599912039936,10,0.4048009262642983,0.19952601159208289,0.003140800050459802,6,0.4587259054561929,0.2071968631573392,0.002407300053164363
21,SNR_-5db,N,New_N_022.wav,24-15-10-6,DeepONMF_H4,4,0.4814635978141832,6x212,0.02729689993429929,24,0.314848569872046,0.26809821754220936,0.01526500005275011,15,0.425014687484854,0.1983376098985652,0.004825000069104135,10,0.37921360112010766,0.1723784432665201,0.0032609000336378813,6,0.45935571885392973,0.1642866177160732,0.0025103000225499272
22,SNR_-5db,N,New_N_023.wav,24-15-10-6,DeepONMF_H4,4,0.49948287787511586,6x212,0.02601100003812462,24,0.3144534625019726,0.26465153641028094,0.014865500037558377,15,0.3987920178344564,0.19895584096524338,0.004424000042490661,10,0.38314941695822474,0.17088602007666207,0.0030903000151738524,6,0.4164048654653002,0.1494534216468676,0.0025083000073209405
