indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
0,SNR_-8db,N,New_N_001.wav,16-10-6,DeepONMF_H3,3,0.44787901556577564,6x212,0.018643799936398864,16,0.3600180289093826,0.29366861594272997,0.010190200060606003,10,0.4043402107808464,0.2056835117066912,0.004386199987493455,6,0.44017502116944407,0.16690685461957705,0.0032004000386223197
1,SNR_-8db,N,New_N_002.wav,16-10-6,DeepONMF_H3,3,0.44543267594430097,6x212,0.017792000086046755,16,0.3583598541297165,0.3115750511066242,0.009492799988947809,10,0.4143217598689872,0.25743143506001326,0.004310099990107119,6,0.4359219672832186,0.2205905025047916,0.003131899982690811
2,SNR_-8db,N,New_N_003.wav,16-10-6,DeepONMF_H3,3,0.44383067863236053,6x212,0.016956200008280575,16,0.35954798669368565,0.2958868155846987,0.009236000012606382,10,0.39208470669891776,0.22904326221937335,0.003900200012139976,6,0.43874136067718794,0.19894793447651,0.003041299991309643
3,SNR_-8db,N,New_N_004.wav,16-10-6,DeepONMF_H3,3,0.4563541993419985,6x212,0.017377200070768595,16,0.35859231522115415,0.31160316124521376,0.009535500081256032,10,0.43856268532657977,0.20362455413567654,0.004209299921058118,6,0.44156554002649917,0.1817737299562947,0.002751599997282028
4,SNR_-8db,N,New_N_005.wav,16-10-6,DeepONMF_H3,3,0.44083656596606835,6x212,0.01637769991066307,16,0.35812070276910607,0.32391757429382856,0.008963799919001758,10,0.4085353845907218,0.23077145254640863,0.003974999999627471,6,0.4384235710551164,0.20874880885759742,0.002626699977554381
5,SNR_-8db,N,New_N_006.wav,16-10-6,DeepONMF_H3,3,0.44571778598846024,6x212,0.01662210002541542,16,0.35546600051755944,0.31795087725184046,0.009451600024476647,10,0.4256478249723507,0.21691970964714347,0.003908200073055923,6,0.4469513897363119,0.2081567478048787,0.002599500003270805
6,SNR_-8db,N,New_N_007.wav,16-10-6,DeepONMF_H3,3,0.4470637899518307,6x212,0.015894099953584373,16,0.3618308068309392,0.30352583967869695,0.008531400002539158,10,0.43181744992164467,0.23942923484857814,0.003966699936427176,6,0.4259109154884732,0.21602532309747952,0.002633000025525689
7,SNR_-8db,N,New_N_008.wav,16-10-6,DeepONMF_H3,3,0.4463656704281181,6x212,0.0160415000282228,16,0.36143940078452613,0.3064360331126986,0.00900379999075085,10,0.43374879409279155,0.20844884749461862,0.0035956999054178596,6,0.42593202129762375,0.17282692239016445,0.0026877999771386385
8,SNR_-8db,N,New_N_009.wav,16-10-6,DeepONMF_H3,3,0.44726535536019385,6x212,0.0159478000132367,16,0.3568634518058801,0.32484317974632854,0.009050399996340275,10,0.40760249354563627,0.23315048416485462,0.0034223999828100204,6,0.4051721910959322,0.17482075664406763,0.002670499961823225
9,SNR_-8db,N,New_N_010.wav,16-10-6,DeepONMF_H3,3,0.4480114907506918,6x212,0.016111500095576048,16,0.3603049462606962,0.3040568710933872,0.008850399986840785,10,0.4197582453415879,0.2125848429600119,0.0037306000012904406,6,0.44666227174673834,0.17948267188945424,0.002728500054217875
10,SNR_-8db,N,New_N_011.wav,16-10-6,DeepONMF_H3,3,0.4480614748906784,6x212,0.016001499956473708,16,0.3628596012206816,0.298538780843735,0.008974100113846362,10,0.4159098345179088,0.2331456246003377,0.0035943000111728907,6,0.41011903064307026,0.19995954039014216,0.002724300022237003
11,SNR_-8db,N,New_N_012.wav,16-10-6,DeepONMF_H3,3,0.4615045107508742,6x212,0.01629609998781234,16,0.35650261954092416,0.2924658008774061,0.008731600013561547,10,0.4237175617621979,0.22088544500696064,0.004028800060041249,6,0.5090719018978617,0.18763064276806216,0.002765999990515411
