indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
0,SNR_-8db,N,New_N_001.wav,28-10,DeepONMF_H2,2,0.40478691459461275,10x212,0.02398569998331368,28,0.3163507267933003,0.2859080805669571,0.019054300035350025,10,0.5634629725203443,0.24735290084552505,0.003840500023216009
1,SNR_-8db,N,New_N_002.wav,28-10,DeepONMF_H2,2,0.40487716212553626,10x212,0.02057489997241646,28,0.31937550394007996,0.2717639264465769,0.016053600003942847,10,0.5554493797871682,0.21350462226862532,0.003599400050006807
2,SNR_-8db,N,New_N_003.wav,28-10,DeepONMF_H2,2,0.4082044564198525,10x212,0.022717799991369247,28,0.31899305178210347,0.28271575278004557,0.01820759999100119,10,0.5520083960903499,0.20519669717862338,0.003790199989452958
3,SNR_-8db,N,New_N_004.wav,28-10,DeepONMF_H2,2,0.40352117565304035,10x212,0.01904569996986538,28,0.31285185482325234,0.2796005183947077,0.014720599981956184,10,0.564946621836618,0.2390967905974429,0.003642600029706955
4,SNR_-8db,N,New_N_005.wav,28-10,DeepONMF_H2,2,0.4071684860014682,10x212,0.021902799955569208,28,0.3168437200925263,0.28120336362410453,0.0176177000394091,10,0.5631487834434785,0.2144759374364305,0.0035250999499112368
5,SNR_-8db,N,New_N_006.wav,28-10,DeepONMF_H2,2,0.4079959194542791,10x212,0.021313600009307265,28,0.3152632720125806,0.2788295927065911,0.016429999959655106,10,0.5551707396361304,0.2202391380755104,0.004037399892695248
6,SNR_-8db,N,New_N_007.wav,28-10,DeepONMF_H2,2,0.4093762370861802,10x212,0.02426129998639226,28,0.32024970460694363,0.26479175579830083,0.0192412999458611,10,0.5697109995117684,0.21534859381927687,0.004288399941287935
7,SNR_-8db,N,New_N_008.wav,28-10,DeepONMF_H2,2,0.4078465890523143,10x212,0.02391460002399981,28,0.3179612018188477,0.27157905932984705,0.018816899973899126,10,0.567610992263634,0.22744899416345218,0.004356999997980893
8,SNR_-8db,N,New_N_009.wav,28-10,DeepONMF_H2,2,0.4051091438790326,10x212,0.025224999990314245,28,0.3130429407719839,0.2890424179611425,0.02021500002592802,10,0.5677237421153071,0.22657328892314124,0.004252000013366342
9,SNR_-8db,N,New_N_010.wav,28-10,DeepONMF_H2,2,0.41062094360580675,10x212,0.022970500052906573,28,0.3122455755685839,0.2898018524805434,0.018012700020335615,10,0.5500234025689665,0.21123488087541012,0.004149300046265125
