indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos
0,SNR_-8db,N,New_N_001.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.4830534065812646,6x212,0.04249379993416369,32,0.2924764193290028,0.2821402420923178,0.028514300007373095,18,0.33466002624194024,0.28120933024795,0.005915899993851781,10,0.33797899086496064,0.30174352362417595,0.004243799950927496,6,0.3014511652644347,0.31919102838078117,0.0029081000247970223
1,SNR_-8db,N,New_N_002.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.47750974347164654,6x212,0.04006859997753054,32,0.29300456126238006,0.2922660062217608,0.026109599974006414,18,0.333190164253272,0.2915378042321619,0.006274400046095252,10,0.34273566354812157,0.3145776980968697,0.003692600061185658,6,0.2980967942464898,0.32741684972804325,0.0027129000518471003
2,SNR_-8db,N,New_N_003.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.4783055495527399,6x212,0.03959770000074059,32,0.29230117816817214,0.2823732257743841,0.025954199954867363,18,0.3427129619901326,0.2949013370150935,0.005908000050112605,10,0.3403885849934874,0.3120429469085132,0.0036287999246269464,6,0.3062644393012421,0.35454999453172387,0.003082399955019355
3,SNR_-8db,N,New_N_004.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.4864788621552546,6x212,0.03968329995404929,32,0.29413858388905456,0.286857984647146,0.02572489995509386,18,0.32723955864639886,0.29767732009165776,0.005917200003750622,10,0.32589077782439335,0.3046813776004664,0.004105599946342409,6,0.2960233365472843,0.31937398404591727,0.0028072999557480216
4,SNR_-8db,N,New_N_005.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.48262240646069543,6x212,0.043066399986855686,32,0.28999932562909025,0.30397158104041344,0.028313200105912983,18,0.3366663042989701,0.30582312693683816,0.006465399987064302,10,0.3342811620651015,0.3242533281838502,0.00405820005107671,6,0.2875851002247349,0.3355416960495925,0.0030406999867409468
5,SNR_-8db,N,New_N_006.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.48896780000472323,6x212,0.043834200012497604,32,0.29094915995255405,0.287492815288046,0.028409000020474195,18,0.3431930348940635,0.28663960290262464,0.007239100057631731,10,0.3373929698358988,0.30275450846457247,0.004218999994918704,6,0.3063759824442594,0.30952958497902994,0.003086299984715879
6,SNR_-8db,N,New_N_007.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.4885469643968769,6x212,0.043787900009192526,32,0.29328604942525316,0.28489338967847,0.028690399951301515,18,0.34242236115220415,0.2856764537009822,0.0064962999895215034,10,0.33084382564395315,0.30375516121006185,0.004468500032089651,6,0.29565088153220365,0.3318241802096847,0.0031959000043570995
7,SNR_-8db,N,New_N_008.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.4778765446293787,6x212,0.045269700000062585,32,0.2925259942303353,0.28944949995098623,0.02791780000552535,18,0.33863614708157186,0.2947173685412586,0.008256400004029274,10,0.34044110934154037,0.30591269306494095,0.00447889999486506,6,0.3030492739884529,0.33530275258578185,0.0034692001063376665
8,SNR_-8db,N,New_N_009.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.4907078557256867,6x212,0.05032560008112341,32,0.29163227787458473,0.2964293227433894,0.033515899907797575,18,0.34123424752514697,0.2944195709931627,0.007843800005502999,10,0.34191124141992696,0.30922753457337865,0.004475199966691434,6,0.30583737635904173,0.3245168552834555,0.0032892000162974
9,SNR_-8db,N,New_N_010.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.4890684742851679,6x212,0.04480810009408742,32,0.2928484042006933,0.2970896994112047,0.029041600064374506,18,0.34420226661210623,0.30299715409059486,0.00738730002194643,10,0.33046466833545324,0.3200034659555975,0.004272600053809583,6,0.30419038164944207,0.3244267093105764,0.003106200019828975
10,SNR_-8db,N,New_N_011.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.4846069119658878,6x212,0.041531499940901995,32,0.2960608743927703,0.2854837189530979,0.02750889991875738,18,0.34103144983284506,0.29230536785568834,0.006082799984142184,10,0.328015896839669,0.3074127143900562,0.003831000067293644,6,0.30180004773628605,0.3117794096802497,0.0031934999860823154
11,SNR_-8db,N,New_N_012.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.4700535572653462,6x212,0.040353800053708255,32,0.2890551020246981,0.29229367650109433,0.025699299992993474,18,0.3317083348038503,0.30732207163663916,0.007012300076894462,10,0.34493893640320444,0.33931939324700294,0.003807000000961125,6,0.2972160489674177,0.33527927721000955,0.0027549000224098563
12,SNR_-8db,N,New_N_013.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.4849528740296419,6x212,0.040063199936412275,32,0.2900006595044204,0.2891589151347236,0.026231700088828802,18,0.3275841853572846,0.29313596000038916,0.005935200024396181,10,0.3251925170743532,0.3078003435908638,0.003728399984538555,6,0.2960090079609399,0.31386991417559446,0.0027088000206276774
13,SNR_-8db,N,New_N_014.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.4886927105643016,6x212,0.03911269991658628,32,0.2927508724209614,0.29444598503147873,0.024338999995961785,18,0.3461087160252855,0.299855704228808,0.0062818999867886305,10,0.3367100879376759,0.31781662234201036,0.004231699975207448,6,0.2925202197608547,0.32762617625301793,0.0029221000149846077
14,SNR_-8db,N,New_N_015.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.4924144191642687,6x212,0.039580199983902276,32,0.2960286992946812,0.2877486024072278,0.024841399979777634,18,0.34871104937496417,0.2855891662374005,0.006476399954408407,10,0.34274246681030285,0.3020559778072257,0.003726299968548119,6,0.3053824919025338,0.3388697822638812,0.0027227000100538135
15,SNR_-8db,N,New_N_016.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.47950288224915466,6x212,0.038335900055244565,32,0.2946246737518827,0.2902928211525114,0.0246675000526011,18,0.3403851330490817,0.3059362195075875,0.005937300040386617,10,0.34641240241841376,0.31423047095103035,0.003669500001706183,6,0.3061211831945488,0.31645450825766425,0.0029687000205740333
16,SNR_-8db,N,New_N_017.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.48370569814513426,6x212,0.039310600026510656,32,0.2902858266913267,0.2881076816766081,0.025267000077292323,18,0.3412057792914374,0.30297209992002166,0.006114899995736778,10,0.34297384713916,0.3237181495224428,0.004226000048220158,6,0.29533802468531173,0.33449028802896397,0.002870700089260936
17,SNR_-8db,N,New_N_018.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.48084395582911205,6x212,0.03882360004354268,32,0.29460927317999813,0.2954909664765783,0.023935900069773197,18,0.33615361383484604,0.30687374204087475,0.007028199965134263,10,0.33912207115354204,0.3200499131017959,0.0038868000265210867,6,0.2946503741947147,0.358378936250059,0.0028059999458491802
18,SNR_-8db,N,New_N_019.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.4790926316480338,6x212,0.0404787000734359,32,0.28999176199599014,0.29314025686622847,0.02618879999499768,18,0.3272396105215645,0.28674202288206996,0.005880400072783232,10,0.3267330133776499,0.3077615679480863,0.003633399959653616,6,0.28929416693289633,0.33062452624841837,0.0036912000505253673
19,SNR_-8db,N,New_N_020.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.4848877773960434,6x212,0.03964159998577088,32,0.2927942403012439,0.28865746863206077,0.02484240010380745,18,0.34757971981748814,0.30087819690044754,0.007276799995452166,10,0.3352067843843185,0.3089059666823633,0.003801099956035614,6,0.3018573469413551,0.317885150440463,0.0027776999631896615
20,SNR_-8db,N,New_N_021.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.48788002649307005,6x212,0.04127010004594922,32,0.29155290227190456,0.2961515507761132,0.026604599901475012,18,0.33763396964494774,0.2965610220023889,0.006856700056232512,10,0.33641255507061624,0.29670990006947817,0.0037755001103505492,6,0.2902625789399236,0.2973042177295976,0.002763599972240627
21,SNR_-8db,N,New_N_022.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.47883545291475155,6x212,0.04078899999149144,32,0.29284520209144455,0.28648525954613135,0.02655899990350008,18,0.3273278623407997,0.28732177277766335,0.006194000015966594,10,0.3332406910102607,0.31320210067945103,0.004116399912163615,6,0.2871217263633179,0.31961969018785413,0.002853299956768751
22,SNR_-8db,N,New_N_023.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.47349242833966565,6x212,0.03750740003306419,32,0.29123203528476227,0.29656987562443093,0.023353399941697717,18,0.33482070669005853,0.29417574221757214,0.00635170005261898,10,0.3458244077750645,0.3083252805901706,0.0037404000759124756,6,0.3012803903658144,0.3281844359640517,0.0027628999669104815
23,SNR_-8db,N,New_N_024.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.4879059692523817,6x212,0.04029709997121245,32,0.29493832830163,0.2894128910082575,0.02660810004454106,18,0.34061354537078925,0.2963221431700156,0.005994500010274351,10,0.34817795278222446,0.3105512548951467,0.0036751999286934733,6,0.28888916742804466,0.3371265508592062,0.0031165999826043844
