indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos
0,SNR_0db,N,New_N_001.wav,24-15-10-6,DeepONMF_H4,4,0.44771690136247777,6x212,0.027501099975779653,24,0.2665162807151035,0.2513048553053935,0.014981399988755584,15,0.3076302311085456,0.17305371509244816,0.005389299942180514,10,0.3369074913658643,0.16507296572135524,0.003582000033929944,6,0.44651419849312757,0.13301341459532454,0.002659799996763468
1,SNR_0db,N,New_N_002.wav,24-15-10-6,DeepONMF_H4,4,0.45653275478407024,6x212,0.027688700007274747,24,0.27008989322700844,0.2569540181078074,0.01627110003028065,15,0.28445501045071603,0.1585031786634245,0.004417899996042252,10,0.3144479681361492,0.14219383572475663,0.003555299947038293,6,0.46318097191774155,0.14196438854765853,0.002574299927800894
2,SNR_0db,N,New_N_003.wav,24-15-10-6,DeepONMF_H4,4,0.4507228819330779,6x212,0.02819899993482977,24,0.2718555933754032,0.24666620204711842,0.016332500032149255,15,0.33741755049289013,0.15282404505042693,0.005213299999013543,10,0.37691085785630685,0.13883569285364536,0.003100799978710711,6,0.4413151976163341,0.13959803923523814,0.0025255000218749046
3,SNR_0db,N,New_N_004.wav,24-15-10-6,DeepONMF_H4,4,0.4617295387648023,6x212,0.024816200020723045,24,0.2727943385886546,0.262931276013563,0.012756599928252399,15,0.3178903768582647,0.16661772231491748,0.005105099990032613,10,0.36123555857305967,0.132193691687153,0.003368800040334463,6,0.4758058573639184,0.1199543154080549,0.0025559000205248594
4,SNR_0db,N,New_N_005.wav,24-15-10-6,DeepONMF_H4,4,0.4737970646942259,6x212,0.02730910002719611,24,0.2652361674025664,0.2603472202868044,0.015276200021617115,15,0.31326745301595205,0.16997885229788062,0.004828399978578091,10,0.3359017333923314,0.1377462026641723,0.00314689998049289,6,0.41526020221279186,0.10436807937833416,0.0032489000586792827
5,SNR_0db,N,New_N_006.wav,24-15-10-6,DeepONMF_H4,4,0.4591691100238804,6x212,0.025346199981868267,24,0.2773645673083517,0.2382005828536767,0.01261880004312843,15,0.3355040728611202,0.1586348386963055,0.005982700036838651,10,0.37359457758176584,0.1303677723196729,0.0032994000939652324,6,0.4926357949158733,0.12995186772431147,0.0024883000878617167
6,SNR_0db,N,New_N_007.wav,24-15-10-6,DeepONMF_H4,4,0.4487028508040173,6x212,0.026432499988004565,24,0.272045248113373,0.24594570298011956,0.014885500073432922,15,0.3485271456521627,0.15783089828701402,0.0045180999441072345,10,0.37150152828617067,0.14896492347188095,0.0037315000081434846,6,0.4794226699567875,0.15611758331882117,0.002504599979147315
7,SNR_0db,N,New_N_008.wav,24-15-10-6,DeepONMF_H4,4,0.45486375849669636,6x212,0.02675920003093779,24,0.2686754053742148,0.2593419742365487,0.01587120001204312,15,0.3545668196974503,0.1706493965815397,0.004457300063222647,10,0.3843141889046932,0.16384892042884436,0.0031644999980926514,6,0.4348573888591938,0.13800851828931401,0.002411399967968464
8,SNR_0db,N,New_N_009.wav,24-15-10-6,DeepONMF_H4,4,0.47236335833785964,6x212,0.030340800061821938,24,0.2742218482782521,0.2684602685160005,0.018975700018927455,15,0.32584747388127705,0.1630596447373451,0.004675099975429475,10,0.34692749023062114,0.13197436933252563,0.0032082999823614955,6,0.44272062739981355,0.10619359483250566,0.0024798999074846506
9,SNR_0db,N,New_N_010.wav,24-15-10-6,DeepONMF_H4,4,0.4583220989214114,6x212,0.027054899954237044,24,0.26648216569132627,0.2580272219565229,0.015460300026461482,15,0.31654682499896697,0.163583887525326,0.004537999979220331,10,0.3244881974227997,0.13984965552952883,0.003683399991132319,6,0.4111934966816103,0.11172847465173616,0.002590299933217466
