indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos
0,SNR_8db,N,New_N_001.wav,26,DeepONMF_H1,1,nndsvd,0.14528511546275497,26x212,0.03179989999625832,26,0.14528511546275497,0.2820892016232308,0.030717599904164672
1,SNR_8db,N,New_N_002.wav,26,DeepONMF_H1,1,nndsvd,0.14766845672791132,26x212,0.030460299924016,26,0.1476684567279113,0.2709860958490692,0.029647800023667514
2,SNR_8db,N,New_N_003.wav,26,DeepONMF_H1,1,nndsvd,0.14418972698884217,26x212,0.031117800041101873,26,0.1441897269888422,0.2835895142014633,0.03018629993312061
3,SNR_8db,N,New_N_004.wav,26,DeepONMF_H1,1,nndsvd,0.14290421634949402,26x212,0.031753099989145994,26,0.14290421634949402,0.2725431033670065,0.030929500004276633
4,SNR_8db,N,New_N_005.wav,26,DeepONMF_H1,1,nndsvd,0.1444120036428618,26x212,0.0299268999369815,26,0.1444120036428618,0.2891968129112305,0.02913709997665137
5,SNR_8db,N,New_N_006.wav,26,DeepONMF_H1,1,nndsvd,0.14659570209117026,26x212,0.031052200007252395,26,0.14659570209117023,0.2792452007332226,0.03027479990851134
6,SNR_8db,N,New_N_007.wav,26,DeepONMF_H1,1,nndsvd,0.14400772815116045,26x212,0.029493600013665855,26,0.14400772815116047,0.27295254903369004,0.02866449998691678
7,SNR_8db,N,New_N_008.wav,26,DeepONMF_H1,1,nndsvd,0.14405766393573238,26x212,0.024804100045002997,26,0.14405766393573236,0.27751262050052994,0.024063399992883205
8,SNR_8db,N,New_N_009.wav,26,DeepONMF_H1,1,nndsvd,0.14794978205257575,26x212,0.024293499998748302,26,0.14794978205257578,0.27380918862632675,0.023134500021114945
9,SNR_8db,N,New_N_010.wav,26,DeepONMF_H1,1,nndsvd,0.1512385540148004,26x212,0.0259131999919191,26,0.1512385540148004,0.271254371571552,0.025281099951826036
10,SNR_8db,N,New_N_011.wav,26,DeepONMF_H1,1,nndsvd,0.1439095944597679,26x212,0.027711700065992773,26,0.1439095944597679,0.27482853963190745,0.02701409999281168
11,SNR_8db,N,New_N_012.wav,26,DeepONMF_H1,1,nndsvd,0.14782787093635408,26x212,0.024320999975316226,26,0.14782787093635408,0.2756361225510669,0.023569999961182475
12,SNR_8db,N,New_N_013.wav,26,DeepONMF_H1,1,nndsvd,0.14506293466792447,26x212,0.025534600019454956,26,0.14506293466792444,0.2775136153732052,0.024812799994833767
13,SNR_8db,N,New_N_014.wav,26,DeepONMF_H1,1,nndsvd,0.14737700956449912,26x212,0.026427899952977896,26,0.14737700956449915,0.27573943190940986,0.025596299907192588
14,SNR_8db,N,New_N_015.wav,26,DeepONMF_H1,1,nndsvd,0.14751022596243019,26x212,0.027820700081065297,26,0.1475102259624302,0.28607404538576137,0.027006099931895733
15,SNR_8db,N,New_N_016.wav,26,DeepONMF_H1,1,nndsvd,0.14605941721106386,26x212,0.026148000033572316,26,0.14605941721106386,0.28163818129335755,0.025314299971796572
16,SNR_8db,N,New_N_017.wav,26,DeepONMF_H1,1,nndsvd,0.1485567274357177,26x212,0.026773099903948605,26,0.1485567274357177,0.2776979685826345,0.02596230001654476
17,SNR_8db,N,New_N_018.wav,26,DeepONMF_H1,1,nndsvd,0.14662735378919675,26x212,0.02741430001333356,26,0.14662735378919675,0.2698447062054304,0.026762800058349967
18,SNR_8db,N,New_N_019.wav,26,DeepONMF_H1,1,nndsvd,0.14621470788605687,26x212,0.025698099983856082,26,0.14621470788605687,0.2773749320318143,0.02470099995844066
19,SNR_8db,N,New_N_020.wav,26,DeepONMF_H1,1,nndsvd,0.14512467103463017,26x212,0.02542259998153895,26,0.14512467103463017,0.27939120270334505,0.024564499966800213
20,SNR_8db,N,New_N_021.wav,26,DeepONMF_H1,1,nndsvd,0.14394983636208147,26x212,0.02490989991929382,26,0.14394983636208147,0.2769884067952075,0.023970800102688372
21,SNR_8db,N,New_N_022.wav,26,DeepONMF_H1,1,nndsvd,0.14506113609127366,26x212,0.026177400024607778,26,0.14506113609127366,0.274971525205429,0.02551459998358041
22,SNR_8db,N,New_N_023.wav,26,DeepONMF_H1,1,nndsvd,0.14619094144888123,26x212,0.024679900030605495,26,0.1461909414488812,0.2736338009965496,0.02369550010189414
23,SNR_8db,N,New_N_024.wav,26,DeepONMF_H1,1,nndsvd,0.1432431883485974,26x212,0.027121399994939566,26,0.1432431883485974,0.2807200330890215,0.02628059999551624
24,SNR_8db,N,New_N_025.wav,26,DeepONMF_H1,1,nndsvd,0.15275921556502417,26x212,0.02657999994698912,26,0.15275921556502414,0.26980240814282636,0.025851699989289045
25,SNR_8db,N,New_N_026.wav,26,DeepONMF_H1,1,nndsvd,0.14542633664786148,26x212,0.023990600020624697,26,0.14542633664786148,0.27332530312726294,0.023341999971307814
26,SNR_8db,N,New_N_027.wav,26,DeepONMF_H1,1,nndsvd,0.14609390022594387,26x212,0.02720080001745373,26,0.14609390022594387,0.27423693716357556,0.026528600021265447
27,SNR_8db,N,New_N_028.wav,26,DeepONMF_H1,1,nndsvd,0.14383697569855083,26x212,0.022645500022917986,26,0.14383697569855083,0.2822799738413088,0.021751999971456826
28,SNR_8db,N,New_N_029.wav,26,DeepONMF_H1,1,nndsvd,0.1522051350099629,26x212,0.025075700017623603,26,0.1522051350099629,0.2670667658878032,0.024217800004407763
29,SNR_8db,N,New_N_030.wav,26,DeepONMF_H1,1,nndsvd,0.14471505127123158,26x212,0.023487300029955804,26,0.14471505127123155,0.28212153619936675,0.02281400002539158
30,SNR_8db,N,New_N_031.wav,26,DeepONMF_H1,1,nndsvd,0.14860567920708762,26x212,0.027327699935995042,26,0.14860567920708762,0.28472368236167533,0.02660520002245903
31,SNR_8db,N,New_N_032.wav,26,DeepONMF_H1,1,nndsvd,0.1479336980986119,26x212,0.027695199940353632,26,0.1479336980986119,0.2758152753101322,0.02693410008214414
32,SNR_8db,N,New_N_033.wav,26,DeepONMF_H1,1,nndsvd,0.1427282881650362,26x212,0.02672530000563711,26,0.1427282881650362,0.2785665914451768,0.02602730004582554
33,SNR_8db,N,New_N_034.wav,26,DeepONMF_H1,1,nndsvd,0.14596412648405738,26x212,0.025118199991993606,26,0.14596412648405735,0.27370629837885696,0.02443889994174242
34,SNR_8db,N,New_N_035.wav,26,DeepONMF_H1,1,nndsvd,0.14489036676580477,26x212,0.02804989996366203,26,0.14489036676580477,0.2784124876037977,0.02731789997778833
35,SNR_8db,N,New_N_036.wav,26,DeepONMF_H1,1,nndsvd,0.1447438507349828,26x212,0.027588099939748645,26,0.14474385073498278,0.28131830415460185,0.026925599901005626
36,SNR_8db,N,New_N_037.wav,26,DeepONMF_H1,1,nndsvd,0.11341273602536454,26x212,0.024580799974501133,26,0.11341273602536454,0.2565432069846032,0.023746100021526217
37,SNR_8db,N,New_N_038.wav,26,DeepONMF_H1,1,nndsvd,0.1441634355707699,26x212,0.026680500013753772,26,0.1441634355707699,0.27946224361488053,0.026043000048957765
38,SNR_8db,N,New_N_039.wav,26,DeepONMF_H1,1,nndsvd,0.14255066175065717,26x212,0.02282559999730438,26,0.14255066175065717,0.27095522351931844,0.022102200076915324
39,SNR_8db,N,New_N_040.wav,26,DeepONMF_H1,1,nndsvd,0.14186565984089136,26x212,0.023393600014969707,26,0.14186565984089136,0.28210132255365367,0.022707500029355288
40,SNR_8db,N,New_N_041.wav,26,DeepONMF_H1,1,nndsvd,0.13750963871313712,26x212,0.023516900022514164,26,0.13750963871313712,0.2853555300420346,0.0228890998987481
41,SNR_8db,N,New_N_042.wav,26,DeepONMF_H1,1,nndsvd,0.14027656050107465,26x212,0.026108399964869022,26,0.14027656050107462,0.2722449524121984,0.025278900051489472
42,SNR_8db,N,New_N_043.wav,26,DeepONMF_H1,1,nndsvd,0.13623966369575954,26x212,0.024585000006482005,26,0.13623966369575954,0.276018089180652,0.023892699973657727
43,SNR_8db,N,New_N_044.wav,26,DeepONMF_H1,1,nndsvd,0.13905459308298543,26x212,0.02621969999745488,26,0.1390545930829854,0.2769555096304373,0.0255470999982208
44,SNR_8db,N,New_N_045.wav,26,DeepONMF_H1,1,nndsvd,0.13828213264423064,26x212,0.024960199953056872,26,0.13828213264423067,0.28026592273531403,0.02421519998461008
45,SNR_8db,N,New_N_046.wav,26,DeepONMF_H1,1,nndsvd,0.13687651480879404,26x212,0.02596469991840422,26,0.13687651480879404,0.2830271387615834,0.025251900078728795
