indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
0,SNR_8db,N,New_N_001.wav,28-8,DeepONMF_H2,2,nndsvd,0.20076823736824376,8x212,0.03401499998290092,28,0.14279170466830568,0.2782517052169332,0.029037099913693964,8,0.12908122553850734,0.29012348594881177,0.004100900026969612
1,SNR_8db,N,New_N_002.wav,28-8,DeepONMF_H2,2,nndsvd,0.201537911717175,8x212,0.0339864999987185,28,0.14430722793119277,0.2661275149629894,0.028867200016975403,8,0.1274200716922651,0.2799732546565936,0.004340899991802871
2,SNR_8db,N,New_N_003.wav,28-8,DeepONMF_H2,2,nndsvd,0.2014343713717702,8x212,0.0337952000554651,28,0.14214556724637245,0.27740604475886493,0.0289340999443084,8,0.129302049088633,0.323631795951523,0.004025200032629073
3,SNR_8db,N,New_N_004.wav,28-8,DeepONMF_H2,2,nndsvd,0.2000363227228736,8x212,0.0304948000703007,28,0.14044639665374095,0.2718614421917679,0.02579159999731928,8,0.13206484994130865,0.2769622870688592,0.0038397000171244144
4,SNR_8db,N,New_N_005.wav,28-8,DeepONMF_H2,2,nndsvd,0.20080038947679887,8x212,0.03198079997673631,28,0.142009023821598,0.28387915052730395,0.02656959998421371,8,0.1285434149921014,0.2942125600129951,0.00453990011010319
5,SNR_8db,N,New_N_006.wav,28-8,DeepONMF_H2,2,nndsvd,0.2020791170293006,8x212,0.03141900000628084,28,0.1442251398300058,0.27892103214523556,0.024642899981699884,8,0.1300813903911477,0.28243701156742623,0.00548329995945096
6,SNR_8db,N,New_N_007.wav,28-8,DeepONMF_H2,2,nndsvd,0.20059894114844895,8x212,0.028352499939501286,28,0.14175429071800494,0.26755408727758784,0.02401209995150566,8,0.13156597790948468,0.2823294442485564,0.0035093999467790127
7,SNR_8db,N,New_N_008.wav,28-8,DeepONMF_H2,2,nndsvd,0.19979921656095748,8x212,0.02955939993262291,28,0.1418518031136936,0.2721430687843679,0.025214499910362065,8,0.12757849678237895,0.2943440165405415,0.003564199898391962
8,SNR_8db,N,New_N_009.wav,28-8,DeepONMF_H2,2,nndsvd,0.20427325802717036,8x212,0.031379399937577546,28,0.14549553115798877,0.2697621255682478,0.026988300029188395,8,0.13050316733663012,0.27602709402172976,0.003706199931912124
9,SNR_8db,N,New_N_010.wav,28-8,DeepONMF_H2,2,nndsvd,0.20715468065085263,8x212,0.030370699940249324,28,0.1490436957490332,0.26891463007238875,0.025814299937337637,8,0.13239277835491295,0.27336348952653616,0.0038000999484211206
