base,clasificador,protocolo_ujanet,representacion,distribucion,numero_capas,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std,predicciones,aciertos,exactitud_directa,ruta_matriz_png,ruta_matriz_conteos,ruta_predicciones,snr_db,inicializacion_onmf
SNR_8db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,DeepONMF_H1_opt_original,26,1.0,0.978,0.0115758369027902,0.945,0.0289395922569755,0.98625,0.0072348980642438,0.9459773858705404,0.0284908405734527,0.965625,0.0180872451606097,1000,945,0.945,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_8db\DeepONMF_H1_opt_original\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_8db\DeepONMF_H1_opt_original\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_8db\DeepONMF_H1_opt_original\matriz_confusion_agregada\predicciones_agregadas.csv,8.0,nndsvd
SNR_8db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,DeepONMF_H2_opt_original,28-8,2.0,0.9776,0.0087635609200826,0.944,0.0219089023002067,0.986,0.0054772255750517,0.9450595956272284,0.0220686158725166,0.965,0.0136930639376291,1000,944,0.944,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_8db\DeepONMF_H2_opt_original\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_8db\DeepONMF_H2_opt_original\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_8db\DeepONMF_H2_opt_original\matriz_confusion_agregada\predicciones_agregadas.csv,8.0,nndsvd
SNR_8db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,DeepONMF_H3_opt_original,22-15-10,3.0,0.9832,0.0036331804249169,0.958,0.0090829510622924,0.9895000000000002,0.0022707377655731,0.9591475214670426,0.0089967264696138,0.97375,0.0056768444139327,1000,958,0.958,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_8db\DeepONMF_H3_opt_original\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_8db\DeepONMF_H3_opt_original\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_8db\DeepONMF_H3_opt_original\matriz_confusion_agregada\predicciones_agregadas.csv,8.0,nndsvd
SNR_8db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,DeepONMF_H4_opt_original,32-18-10-6,4.0,0.9816,0.008173126696681,0.954,0.0204328167417025,0.9885,0.0051082041854256,0.9554540052414788,0.0204245531389936,0.97125,0.012770510463564,1000,954,0.954,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_8db\DeepONMF_H4_opt_original\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_8db\DeepONMF_H4_opt_original\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_8db\DeepONMF_H4_opt_original\matriz_confusion_agregada\predicciones_agregadas.csv,8.0,nndsvd
SNR_8db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,LogMel,,,0.9912,0.0022803508501983,0.978,0.0057008771254957,0.9945,0.0014252192813739,0.9782969369844612,0.0054900518134382,0.9862499999999998,0.0035630482034348,1000,978,0.978,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_8db\LogMel\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_8db\LogMel\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_8db\LogMel\matriz_confusion_agregada\predicciones_agregadas.csv,8.0,nndsvd
SNR_8db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,MFCC,,,0.9832,0.0083186537372341,0.958,0.0207966343430854,0.9895,0.0051991585857713,0.9597924323437006,0.0189970411591726,0.97375,0.0129978964644283,1000,958,0.958,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_8db\MFCC\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_8db\MFCC\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_8db\MFCC\matriz_confusion_agregada\predicciones_agregadas.csv,8.0,nndsvd
SNR_8db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,Mel,,,0.9888,0.0064187226143525,0.972,0.0160468065358812,0.993,0.0040117016339702,0.9725544992766834,0.0158999951754887,0.9825,0.0100292540849257,1000,972,0.972,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_8db\Mel\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_8db\Mel\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_8db\Mel\matriz_confusion_agregada\predicciones_agregadas.csv,8.0,nndsvd
SNR_8db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,STFT,,,0.9876,0.003286335345031,0.969,0.0082158383625775,0.99225,0.0020539595906443,0.9700106601179832,0.0084791335158163,0.980625,0.0051348989766109,1000,969,0.969,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_8db\STFT\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_8db\STFT\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_8db\STFT\matriz_confusion_agregada\predicciones_agregadas.csv,8.0,nndsvd
SNR_5db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,DeepONMF_H1_opt_original,26,1.0,0.9775999999999998,0.0087635609200826,0.944,0.0219089023002066,0.986,0.0054772255750516,0.9453449045771344,0.0218516175521774,0.965,0.0136930639376291,1000,944,0.944,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_5db\DeepONMF_H1_opt_original\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_5db\DeepONMF_H1_opt_original\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_5db\DeepONMF_H1_opt_original\matriz_confusion_agregada\predicciones_agregadas.csv,5.0,nndsvd
SNR_5db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,DeepONMF_H2_opt_original,28-8,2.0,0.9808,0.0080746516952745,0.952,0.0201866292381863,0.988,0.0050466573095465,0.9525213141668646,0.0202185339137827,0.97,0.0126166432738664,1000,952,0.952,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_5db\DeepONMF_H2_opt_original\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_5db\DeepONMF_H2_opt_original\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\03_resultados_optimizacion_original\evaluacion_ujanet\SNR_5db\DeepONMF_H2_opt_original\matriz_confusion_agregada\predicciones_agregadas.csv,5.0,nndsvd
