indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
0,SNR_0db,N,New_N_001.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.34466213196678536,8x212,0.025421799975447357,14,0.2786877425761458,0.31039293234982557,0.017529500066302717,11,0.12506763302057017,0.31874502228868407,0.004052300006151199,8,0.12986774970934126,0.32376339729637227,0.002873399993404746
1,SNR_0db,N,New_N_002.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.34010468702865887,8x212,0.02523800008930266,14,0.2757635435926973,0.33360763323411546,0.017009399947710335,11,0.1153076114544077,0.33762670018457036,0.004138100077398121,8,0.1261340603377604,0.3475815575278097,0.003165600006468594
2,SNR_0db,N,New_N_003.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.34543017817822946,8x212,0.02339300001040101,14,0.28054644380630345,0.32737875800419325,0.015797600033693016,11,0.11787463414049781,0.33312552719365607,0.0039227999513968825,8,0.12396373480973776,0.33396619762482666,0.0028423999901860952
3,SNR_0db,N,New_N_004.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.34598332540736265,8x212,0.02434709994122386,14,0.28174376147079633,0.3378877999006288,0.016088500036858022,11,0.12283911137116944,0.3320433912914053,0.004313600016757846,8,0.12671951346554527,0.33798758027946774,0.0027966999914497137
4,SNR_0db,N,New_N_005.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.3413218621824983,8x212,0.025168199907056987,14,0.27805609283305016,0.3213875776731649,0.016121100052259862,11,0.1182107796881767,0.3264324304205666,0.004814799991436303,8,0.12573005583831526,0.3231975008546869,0.0032377000898122787
5,SNR_0db,N,New_N_006.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.346005139568806,8x212,0.025652999989688396,14,0.28053813246946985,0.3297497894453359,0.01724720001220703,11,0.12115363306930607,0.33473318642892136,0.004206200013868511,8,0.12926462003098424,0.31095157289518616,0.0031402999302372336
6,SNR_0db,N,New_N_007.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.3461365079738274,8x212,0.026484100031666458,14,0.2799126842698559,0.3177101777887398,0.01803719997406006,11,0.12489002993845474,0.33322857426872876,0.0044510000152513385,8,0.13023068024491388,0.3204543132386842,0.0031671999022364616
7,SNR_0db,N,New_N_008.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.3411154408519205,8x212,0.028176399995572865,14,0.2757209219536107,0.3233763226632838,0.01815850008279085,11,0.12543095261149947,0.3212651762497545,0.005825500003993511,8,0.13035033449038286,0.32975177290628593,0.003238599980250001
8,SNR_0db,N,New_N_009.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.34262907262555914,8x212,0.025690700043924153,14,0.2776954693864863,0.32593225640101836,0.016645600087940693,11,0.12068185342179696,0.3385812163360819,0.004687899956479669,8,0.12756220604136062,0.33901247650355915,0.003064099932089448
9,SNR_0db,N,New_N_010.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.3434499542593525,8x212,0.027290600002743304,14,0.27837515415383024,0.3250612382961502,0.01754510006867349,11,0.11948303605550817,0.3350038442574064,0.00542709999717772,8,0.1294769873002629,0.3472080130264836,0.003363399999216199
10,SNR_0db,N,New_N_011.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.3436407860010524,8x212,0.029321799986064434,14,0.2789442322659527,0.32569693574453606,0.019415599992498755,11,0.1213603773856077,0.3260037633586037,0.005214500008150935,8,0.1303761434273353,0.3431218851037569,0.0037856000708416104
11,SNR_0db,N,New_N_012.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.3460578711710537,8x212,0.030024300096556544,14,0.280375723311592,0.3152736798042929,0.02007979992777109,11,0.12350751471530065,0.3232994752108319,0.005319399992004037,8,0.12905361164803333,0.3238563194281223,0.003670999896712601
12,SNR_0db,N,New_N_013.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.34319532526981,8x212,0.027035700040869415,14,0.2777869280239224,0.32976996718513674,0.018385800067335367,11,0.12155439509811515,0.32998457108480056,0.004459699965082109,8,0.1289841524275712,0.33595869241201154,0.0032208000775426626
13,SNR_0db,N,New_N_014.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.34232047428579176,8x212,0.02626859990414232,14,0.2758626463760097,0.32885230546956346,0.017252399935387075,11,0.12177221195594468,0.32262092241668844,0.004763600067235529,8,0.13034649356523342,0.3141469455572451,0.003293300047516823
14,SNR_0db,N,New_N_015.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.3505793847999075,8x212,0.026547200046479702,14,0.28524099824565824,0.3133324727673253,0.01765039993915707,11,0.12475320349054457,0.3232143427733722,0.004938400001265109,8,0.12885766476966354,0.3379060688248335,0.003073799889534712
