indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
0,SNR_0db,N,New_N_001.wav,14-6,DeepONMF_H2,2,nndsvd,0.32746266277051483,6x212,0.021285400027409196,14,0.2786877425761458,0.31039293234982557,0.017392899957485497,6,0.20145369674135757,0.3284793129328415,0.00301510002464056
1,SNR_0db,N,New_N_002.wav,14-6,DeepONMF_H2,2,nndsvd,0.3224283982133339,6x212,0.021133300033397973,14,0.2757635435926973,0.33360763323411546,0.016714600031264126,6,0.18956642886668665,0.35672104172655583,0.0035512999165803194
2,SNR_0db,N,New_N_003.wav,14-6,DeepONMF_H2,2,nndsvd,0.3281699709411373,6x212,0.020184400025755167,14,0.28054644380630345,0.32737875800419325,0.015954399947077036,6,0.1910515755556715,0.3373001686171397,0.003333200002089143
3,SNR_0db,N,New_N_004.wav,14-6,DeepONMF_H2,2,nndsvd,0.32887873005802926,6x212,0.020651099970564246,14,0.28174376147079633,0.3378877999006288,0.01610649994108826,6,0.19625891011962776,0.34254931393670746,0.0037296999944373965
4,SNR_0db,N,New_N_005.wav,14-6,DeepONMF_H2,2,nndsvd,0.3238014632214997,6x212,0.019640000071376562,14,0.27805609283305016,0.3213875776731649,0.015792899997904897,6,0.19161378258011477,0.3501423672466652,0.0030759000219404697
5,SNR_0db,N,New_N_006.wav,14-6,DeepONMF_H2,2,nndsvd,0.32783316810141083,6x212,0.01961499999742955,14,0.28053813246946985,0.3297497894453359,0.015642300015315413,6,0.19553065735558994,0.3276646276071663,0.003182800021022558
6,SNR_0db,N,New_N_007.wav,14-6,DeepONMF_H2,2,nndsvd,0.32899612875134493,6x212,0.019645599997602403,14,0.2799126842698559,0.3177101777887398,0.01600870001129806,6,0.20087813327791013,0.3182639227902465,0.002984900027513504
7,SNR_0db,N,New_N_008.wav,14-6,DeepONMF_H2,2,nndsvd,0.32369993838180333,6x212,0.020128000061959028,14,0.2757209219536107,0.3233763226632838,0.01622350001707673,6,0.2014072530412116,0.32248386651744465,0.003132799989543855
8,SNR_0db,N,New_N_009.wav,14-6,DeepONMF_H2,2,nndsvd,0.32491945829082597,6x212,0.02229939994867891,14,0.2776954693864863,0.32593225640101836,0.017547299969010055,6,0.1961381664135782,0.3306085881420592,0.003881599986925721
9,SNR_0db,N,New_N_010.wav,14-6,DeepONMF_H2,2,nndsvd,0.325949828839763,6x212,0.021269400021992624,14,0.27837515415383024,0.3250612382961502,0.017262500012293458,6,0.1963586316618385,0.3477574368216787,0.003279399941675365
