indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos
0,SNR_0db,N,New_N_001.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.3963922711309116,6x212,0.040737600065767765,24,0.24706695003265872,0.28732689303535186,0.026764299953356385,15,0.18574497814531946,0.29531383901444,0.006015499937348068,10,0.1572122524683151,0.29804995356212893,0.003922600066289306,6,0.15613063561360901,0.30303400228218014,0.002924600034020841
1,SNR_0db,N,New_N_002.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.3917423735180198,6x212,0.03954099991824478,24,0.24539806059352365,0.30352156928670715,0.02646159997675568,15,0.17025398450803284,0.31246211796527246,0.005198300001211464,10,0.14632685661619602,0.3090527355300401,0.0037788000190630555,6,0.15356747420835018,0.3243770271068499,0.003153400029987097
2,SNR_0db,N,New_N_003.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.3977340466096693,6x212,0.03465760010294616,24,0.24998827365115453,0.2993636800563029,0.021460099960677326,15,0.17257893561587043,0.30630714497035094,0.005373700056225061,10,0.14836781339608815,0.30380766275494286,0.004000800079666078,6,0.15302583298135428,0.30640746094556276,0.002912100055254996
3,SNR_0db,N,New_N_004.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.3965216171326556,6x212,0.03637380001600832,24,0.2501258568850213,0.30070853763183353,0.02314870001282543,15,0.1772969789215069,0.3222111375831113,0.005221699946559966,10,0.1557931904088817,0.3226115532864689,0.004089799942448735,6,0.15399328059974626,0.323264957410829,0.0028844999615103006
4,SNR_0db,N,New_N_005.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.3904499826434896,6x212,0.03717370005324483,24,0.2471470085057316,0.2999928639911731,0.023779000039212406,15,0.1739904589161786,0.29718431727745387,0.005528099951334298,10,0.15030265079137053,0.3083671024464359,0.00365090009290725,6,0.15239847231818685,0.3229699038374101,0.0027171000838279724
5,SNR_0db,N,New_N_006.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.39573841385109804,6x212,0.03580999991390854,24,0.2480148189769065,0.3008252801211423,0.022914899978786707,15,0.17875341904606892,0.30634492217608805,0.005271399975754321,10,0.1572378562535863,0.30671630385486687,0.003618099959567189,6,0.1563984682197636,0.29438332491953834,0.002711900044232607
6,SNR_0db,N,New_N_007.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.39905933641768854,6x212,0.03651720006018877,24,0.24797189486774707,0.3006974968482323,0.022956400061957538,15,0.1759868054023654,0.3014551161575395,0.0055324999848380685,10,0.15677707460790577,0.3016876109066991,0.003836899995803833,6,0.15748334099040542,0.30856220137651735,0.003041999996639788
7,SNR_0db,N,New_N_008.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.3966181651593722,6x212,0.04011890001129359,24,0.24409853924974118,0.29644384495630866,0.02549219992943108,15,0.17902963773125516,0.30815985328867807,0.005705600022338331,10,0.15399406208178582,0.31183435249381747,0.004813599982298911,6,0.15464405411034945,0.29545208192957784,0.003205499961040914
8,SNR_0db,N,New_N_009.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.39979519200251823,6x212,0.0367778999498114,24,0.2467394373628387,0.2963853992110557,0.02271190006285906,15,0.17455380480874866,0.30869168560041144,0.006122499937191606,10,0.15493963127365218,0.3153229279439221,0.00379139999859035,6,0.1571657864377898,0.30889852562165826,0.002822500071488321
9,SNR_0db,N,New_N_010.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.3974112690498476,6x212,0.03959389997180551,24,0.24772973266948714,0.29773556849981575,0.02566899999510497,15,0.17528371184759714,0.3034196136861821,0.0059556999476626515,10,0.15491487986085545,0.31048555684728635,0.0037121999775990844,6,0.15864660005022285,0.3314098978400987,0.00284770003054291
10,SNR_0db,N,New_N_011.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.398266561834259,6x212,0.035368400043807924,24,0.24735514124554756,0.30273131387855723,0.022473999997600913,15,0.17665400387367408,0.3073475095870013,0.005147199961356819,10,0.14995020664903758,0.30561718832149803,0.0037677999353036284,6,0.15747246146003097,0.31555961754274114,0.0031336999963968992
11,SNR_0db,N,New_N_012.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.3961765717278087,6x212,0.03646630002185702,24,0.25010358164753144,0.2922279780634113,0.023044100031256676,15,0.17630526530191412,0.2869436357207107,0.005437200074084103,10,0.15739472987794983,0.2946922132292194,0.0042149999644607306,6,0.1579839341685022,0.3034899320605942,0.002933699986897409
12,SNR_0db,N,New_N_013.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.3988396482283092,6x212,0.03548009996302426,24,0.24483686113153139,0.30107304601168194,0.022422899957746267,15,0.1780001938380425,0.30300466457693026,0.005368000012822449,10,0.15167431276805135,0.3134385568896022,0.003881599986925721,6,0.15456363103152232,0.30022132682061314,0.002835799939930439
13,SNR_0db,N,New_N_014.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.39584369227666355,6x212,0.03642929997295141,24,0.24420659928315347,0.29859407986603564,0.022842300008051097,15,0.17821139206829958,0.310588790330096,0.005672600003890693,10,0.1502786256315129,0.2968715662794491,0.0037469000089913607,6,0.15518581725799516,0.32547322954262486,0.0028122999938204885
14,SNR_0db,N,New_N_015.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.4072494425824537,6x212,0.038618599995970726,24,0.25333574296301076,0.29329080704833543,0.02443920006044209,15,0.18188257426370752,0.302134080965637,0.005748800002038479,10,0.15430986168594657,0.3110793763724042,0.00419429992325604,6,0.15821203589256366,0.3356578938247367,0.003384999930858612
15,SNR_0db,N,New_N_016.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.39869138204696025,6x212,0.03937520005274564,24,0.25217282797299045,0.295372356098605,0.02571920002810657,15,0.17587155676877209,0.29824497852768295,0.005513599957339466,10,0.15546500604780192,0.29919365235231216,0.004189400002360344,6,0.1560452052262611,0.30927671724439687,0.002987500047311187
