indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
0,SNR_-5db,N,New_N_001.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.42779009391288,6x212,0.03730730002280325,28,0.29070130008903866,0.29457911335126497,0.027516999980434775,13,0.33136161414436105,0.30589162493539956,0.005321700009517372,6,0.3073211626439496,0.31349365112181593,0.0030487000476568937
1,SNR_-5db,N,New_N_002.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.42149082412107763,6x212,0.03456149995326996,28,0.2873581613653433,0.302209111815141,0.025533700012601912,13,0.32079001050143985,0.3087344142437993,0.004758899915032089,6,0.2968280045338505,0.31768471632641304,0.0034304000437259674
2,SNR_-5db,N,New_N_003.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.419705317735485,6x212,0.0350604000268504,28,0.2822689556741141,0.30542668598713135,0.024876899900846183,13,0.3313950434993778,0.31674280942141125,0.005112699931487441,6,0.3057364111918962,0.33393721530165654,0.004185599973425269
3,SNR_-5db,N,New_N_004.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.4308888733155394,6x212,0.038867600029334426,28,0.291977496267468,0.30332815871846175,0.028677499969489872,13,0.33206295599550817,0.30566419945626977,0.006119900033809245,6,0.2989177975708656,0.31803568455275805,0.003165900008752942
4,SNR_-5db,N,New_N_005.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.417931898047831,6x212,0.038876299979165196,28,0.2857482890696188,0.3080191522309745,0.029468600056134164,13,0.3212514678042622,0.32230983974969757,0.005303699988871813,6,0.3098030860075391,0.3367451618042846,0.003243700019083917
5,SNR_-5db,N,New_N_006.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.4199698497098234,6x212,0.0420331999193877,28,0.2839162384608009,0.297490411123721,0.03129159996751696,13,0.3346524658680412,0.3140346272178492,0.006485600024461746,6,0.28817492641855447,0.32759953819642545,0.003387099946849048
6,SNR_-5db,N,New_N_007.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.4248643123654833,6x212,0.038343099993653595,28,0.29054640758412004,0.29952601842193205,0.028611700050532818,13,0.32365286408640415,0.3100142061053819,0.005594799993559718,6,0.30065388623450523,0.33863800712517744,0.0032698999857529998
7,SNR_-5db,N,New_N_008.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.4232896000453993,6x212,0.0408066000090912,28,0.2869890551406578,0.2952357756287472,0.03103410010226071,13,0.3231845034425772,0.30481195203082473,0.005283899954520166,6,0.3115615263279447,0.33484777751117184,0.0035654999082908034
8,SNR_-5db,N,New_N_009.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.41855753114486255,6x212,0.03750089998356998,28,0.2864827828967307,0.3073441907937376,0.027389299939386547,13,0.3304725196394365,0.318327262810374,0.006002700072713196,6,0.30473671626559495,0.33222026776607283,0.0031908999662846327
9,SNR_-5db,N,New_N_010.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.4139941605695674,6x212,0.037760899984277785,28,0.28596786416580044,0.29509476889466235,0.028464799979701638,13,0.3234657023043162,0.3078554950565244,0.00537669996265322,6,0.30522279013639997,0.32843381531815175,0.002960599958896637
