indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
0,SNR_0db,N,New_N_001.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.3607513487971028,6x212,0.04320499999448657,28,0.23659111839630523,0.27862619673332795,0.03145589993800968,13,0.2247606418439258,0.28541842029241876,0.0071709000039845705,6,0.1998439830497414,0.3083965303775322,0.003596500027924776
1,SNR_0db,N,New_N_002.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.35156913895461034,6x212,0.04209969996009022,28,0.23593916295476952,0.29652239643976963,0.031447899993509054,13,0.2091765938190446,0.3076194113235326,0.005772699951194227,6,0.19014794459943896,0.3068529478703161,0.0036816999781876802
2,SNR_0db,N,New_N_003.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.3640721406088288,6x212,0.03589950001332909,28,0.24009373677479737,0.29394086567658967,0.026551400078460574,13,0.21623952232173674,0.29762945057841833,0.005098299938254058,6,0.18869125326275266,0.3039182438009258,0.0033632999984547496
3,SNR_0db,N,New_N_004.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.35712380436680186,6x212,0.03460700006689876,28,0.2392554452781999,0.29493086374694416,0.02574330009520054,13,0.2215909113801515,0.3175461629341845,0.004983599996194243,6,0.19344757754388223,0.3221401195812622,0.0030462000286206603
4,SNR_0db,N,New_N_005.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.35154460675496485,6x212,0.03586770000401884,28,0.23702425265022364,0.2892733036651364,0.026013000053353608,13,0.21382710374663183,0.29707968284468006,0.005991899990476668,6,0.19306058091781533,0.3145965484611424,0.0029311999678611755
5,SNR_0db,N,New_N_006.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.36167847751604415,6x212,0.03422789997421205,28,0.23787133868970145,0.28960428327922016,0.024293499998748302,13,0.22545088237769648,0.30292046444168147,0.005886300001293421,6,0.1932096514044628,0.3085352593717935,0.003004999947734177
6,SNR_0db,N,New_N_007.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.3619948715963381,6x212,0.03527710004709661,28,0.23792671002400081,0.2927137804662721,0.026578900055028498,13,0.2176101305229524,0.3024844751552584,0.004788300022482872,6,0.19757450551947398,0.2968804099503999,0.0028590000001713634
7,SNR_0db,N,New_N_008.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.3585296728790809,6x212,0.036117700044997036,28,0.23451522456746207,0.2866279745089007,0.02727479999884963,13,0.21957403051215058,0.30237831948010324,0.004872799967415631,6,0.19443635093097894,0.29153521031934637,0.0028968999395146966
8,SNR_0db,N,New_N_009.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.35500861762145824,6x212,0.03585639991797507,28,0.23693042427982963,0.28765339064178297,0.0273416000418365,13,0.21731915751331754,0.3103024578366737,0.004641499952413142,6,0.19750554063798823,0.30738856323384517,0.0028318000258877873
9,SNR_0db,N,New_N_010.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.364513256090181,6x212,0.034165300079621375,28,0.23780944744036298,0.28920208024424493,0.025257900008000433,13,0.22047099936091924,0.3018238455253726,0.004815399996004999,6,0.19485744175036723,0.3159742363153649,0.0028925000224262476
