indice_interno,base,clase,archivo,segundos_extraccion_clasica
0,SNR_5db,N,New_N_001.wav,0.0024351999163627625
1,SNR_5db,N,New_N_002.wav,0.0020252999383956194
2,SNR_5db,N,New_N_003.wav,0.0018191999988630414
3,SNR_5db,N,New_N_004.wav,0.0020354000153020024
4,SNR_5db,N,New_N_005.wav,0.0024203999200835824
5,SNR_5db,N,New_N_006.wav,0.002241100068204105
6,SNR_5db,N,New_N_007.wav,0.001707899966277182
7,SNR_5db,N,New_N_008.wav,0.0020125999581068754
8,SNR_5db,N,New_N_009.wav,0.0017787000397220254
9,SNR_5db,N,New_N_010.wav,0.0018065000185742974
10,SNR_5db,N,New_N_011.wav,0.002003600005991757
11,SNR_5db,N,New_N_012.wav,0.001433099969290197
12,SNR_5db,N,New_N_013.wav,0.0015218000626191497
13,SNR_5db,N,New_N_014.wav,0.0023938999511301517
14,SNR_5db,N,New_N_015.wav,0.0019947999389842153
15,SNR_5db,N,New_N_016.wav,0.0017101000994443893
16,SNR_5db,N,New_N_017.wav,0.0019403999904170632
17,SNR_5db,N,New_N_018.wav,0.0019075000891461968
18,SNR_5db,N,New_N_019.wav,0.0016589999431744218
19,SNR_5db,N,New_N_020.wav,0.0014049999881535769
20,SNR_5db,N,New_N_021.wav,0.0020022999960929155
21,SNR_5db,N,New_N_022.wav,0.001436399994418025
22,SNR_5db,N,New_N_023.wav,0.0015982999466359615
23,SNR_5db,N,New_N_024.wav,0.0023695999989286065
24,SNR_5db,N,New_N_025.wav,0.0017218999564647675
25,SNR_5db,N,New_N_026.wav,0.002003300003707409
26,SNR_5db,N,New_N_027.wav,0.001881500007584691
27,SNR_5db,N,New_N_028.wav,0.002018400002270937
28,SNR_5db,N,New_N_029.wav,0.0017035999335348606
29,SNR_5db,N,New_N_030.wav,0.0016475000884383917
30,SNR_5db,N,New_N_031.wav,0.001845099963247776
31,SNR_5db,N,New_N_032.wav,0.00254979997407645
32,SNR_5db,N,New_N_033.wav,0.001960800029337406
33,SNR_5db,N,New_N_034.wav,0.0016883000498637557
34,SNR_5db,N,New_N_035.wav,0.0022528000408783555
35,SNR_5db,N,New_N_036.wav,0.0014130000490695238
36,SNR_5db,N,New_N_037.wav,0.002540700021199882
37,SNR_5db,N,New_N_038.wav,0.001908699981868267
38,SNR_5db,N,New_N_039.wav,0.0022188000148162246
