indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
0,SNR_5db,N,New_N_001.wav,30-13-6,DeepONMF_H3,3,0.34547569103130815,6x212,0.02752509992569685,30,0.20078541141245956,0.3495302852077074,0.01838560006581247,13,0.34170381749617684,0.13984163149498244,0.004906199988909066,6,0.5231224553534343,0.1373555504322632,0.0032909999135881662
1,SNR_5db,N,New_N_002.wav,30-13-6,DeepONMF_H3,3,0.3486861232647435,6x212,0.0291517999721691,30,0.19318187493376135,0.28970840983863677,0.020306100021116436,13,0.3932063650256482,0.13604470005108504,0.004830199992284179,6,0.5302005105293595,0.11669511401835578,0.0030415001092478633
2,SNR_5db,N,New_N_003.wav,30-13-6,DeepONMF_H3,3,0.3770840515537718,6x212,0.02654719993006438,30,0.1932586477232909,0.2868003669110136,0.017140300013124943,13,0.3582659009545949,0.11066996800111492,0.004594400059431791,6,0.5653391323570791,0.12245890708470138,0.003835800103843212
3,SNR_5db,N,New_N_004.wav,30-13-6,DeepONMF_H3,3,0.34072214430207176,6x212,0.02803329995367676,30,0.20075408736260048,0.30731595713316373,0.018969399970956147,13,0.38995596863950577,0.11970526822005347,0.004958900040946901,6,0.49403001157734316,0.09901375630050484,0.002919499995186925
4,SNR_5db,N,New_N_005.wav,30-13-6,DeepONMF_H3,3,0.35519355670243874,6x212,0.026953599997796118,30,0.19287498549090437,0.31000404598029824,0.017611299990676343,13,0.3514345424732845,0.1523207949935523,0.005606599966995418,6,0.5283359318096289,0.11589756013116634,0.0029070000164210796
5,SNR_5db,N,New_N_006.wav,30-13-6,DeepONMF_H3,3,0.30774118282952356,6x212,0.02532659994903952,30,0.19534531069899044,0.27566389461734453,0.016368200071156025,13,0.3501504296166065,0.16264905507123914,0.004545500036329031,6,0.5356840304966712,0.13775764925338777,0.0028100000927224755
6,SNR_5db,N,New_N_007.wav,30-13-6,DeepONMF_H3,3,0.3211590119942888,6x212,0.027310899924486876,30,0.19691833753217833,0.31192217052241383,0.01884030003566295,13,0.4012745228990832,0.1251189728590503,0.00472179998178035,6,0.4928881951906716,0.11073533851256322,0.0028443000046536326
7,SNR_5db,N,New_N_008.wav,30-13-6,DeepONMF_H3,3,0.3641072982914928,6x212,0.027659099898301065,30,0.19704246041436355,0.3244767065233122,0.018460400053299963,13,0.3910513597835609,0.12947938744141782,0.005294800037518144,6,0.4973354337865357,0.10629615733767366,0.0030430000042542815
8,SNR_5db,N,New_N_009.wav,30-13-6,DeepONMF_H3,3,0.33164259722218226,6x212,0.02637560002040118,30,0.19679046123480662,0.3050613796191843,0.017685199971310794,13,0.4209566892955545,0.13318664816969245,0.0045807999558746815,6,0.5440157835042535,0.10979984415814877,0.002860100008547306
9,SNR_5db,N,New_N_010.wav,30-13-6,DeepONMF_H3,3,0.3695459227964364,6x212,0.026625000056810677,30,0.19867980274682306,0.3122533267404311,0.017247499898076057,13,0.40475422087548807,0.11212586412740481,0.005458900006487966,6,0.5523277975075727,0.09986641374783657,0.002928399946540594
10,SNR_5db,N,New_N_011.wav,30-13-6,DeepONMF_H3,3,0.356125463424779,6x212,0.02518839994445443,30,0.19559684168974673,0.28532707361477283,0.01695550000295043,13,0.4016581084577638,0.13262936464892158,0.004423700040206313,6,0.5324473292761922,0.12999102920814729,0.0028263001004233956
11,SNR_5db,N,New_N_012.wav,30-13-6,DeepONMF_H3,3,0.3708268745855805,6x212,0.0238033999921754,30,0.20176916487824165,0.3022807930173395,0.015330299967899919,13,0.39438740088086777,0.13046249956040148,0.004749200074002147,6,0.5252090693604279,0.11502499806866774,0.0028040000470355153
