indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
0,SNR_8db,N,New_N_001.wav,20-4,DeepONMF_H2,2,nndsvd,0.2221143575942553,4x212,0.028708599973469973,20,0.1531399043578017,0.2930451080108706,0.024739200016483665,4,0.13871798941840863,0.28087177011484993,0.0028749998891726136
1,SNR_8db,N,New_N_002.wav,20-4,DeepONMF_H2,2,nndsvd,0.21855521319877055,4x212,0.024712600046768785,20,0.15517181395762672,0.27853482775843275,0.020757999969646335,4,0.13341963074774932,0.24592969866717232,0.0031394000397995114
2,SNR_8db,N,New_N_003.wav,20-4,DeepONMF_H2,2,nndsvd,0.21845493408493424,4x212,0.025352200027555227,20,0.1520023756344005,0.2954417449852608,0.02076579991262406,4,0.13828001019233754,0.31145584663689724,0.003266999963670969
3,SNR_8db,N,New_N_004.wav,20-4,DeepONMF_H2,2,nndsvd,0.22185273113004625,4x212,0.025998900062404573,20,0.15121471809617834,0.2742144127767775,0.02218550001271069,4,0.14377668241561067,0.27592936740342094,0.0028847999637946486
4,SNR_8db,N,New_N_005.wav,20-4,DeepONMF_H2,2,nndsvd,0.21926604603395344,4x212,0.025524399941787124,20,0.1521120812543293,0.2929948842251081,0.020921999937854707,4,0.1392322512864941,0.3051687620572259,0.0034878000151365995
5,SNR_8db,N,New_N_006.wav,20-4,DeepONMF_H2,2,nndsvd,0.22050404168261634,4x212,0.025268099969252944,20,0.15482428893254646,0.2831221352610296,0.02174249989911914,4,0.13803892048103178,0.2516865912294049,0.0027140999445691705
6,SNR_8db,N,New_N_007.wav,20-4,DeepONMF_H2,2,nndsvd,0.22227245851792,4x212,0.025869100005365908,20,0.151808907024523,0.28185037865080914,0.02089069993235171,4,0.14596257985923652,0.27535284393431175,0.004164000041782856
7,SNR_8db,N,New_N_008.wav,20-4,DeepONMF_H2,2,nndsvd,0.21880092104065182,4x212,0.027710899943485856,20,0.15195412711993952,0.28926531059788435,0.023633899982087314,4,0.13592688843609993,0.2636237759098131,0.0032919999212026596
8,SNR_8db,N,New_N_009.wav,20-4,DeepONMF_H2,2,nndsvd,0.22503562611363437,4x212,0.02763639995828271,20,0.15674181994911343,0.27888232714352074,0.02385649993084371,4,0.14115094162984756,0.2942679485354353,0.0029840999050065875
9,SNR_8db,N,New_N_010.wav,20-4,DeepONMF_H2,2,nndsvd,0.22707450660924544,4x212,0.027215300011448562,20,0.15983739085342147,0.28226742385180414,0.022909400053322315,4,0.14166991368119383,0.2550884849451958,0.0033768999855965376
10,SNR_8db,N,New_N_011.wav,20-4,DeepONMF_H2,2,nndsvd,0.22139124831957813,4x212,0.026232699980027974,20,0.15232129216422588,0.28170311022504346,0.022076199995353818,4,0.13921091757451348,0.2560237367757618,0.003265199949964881
11,SNR_8db,N,New_N_012.wav,20-4,DeepONMF_H2,2,nndsvd,0.2256265169493921,4x212,0.029124599997885525,20,0.15603532908965712,0.2885940532951951,0.025262300041504204,4,0.14616412682351101,0.3018494214821575,0.003006499959155917
12,SNR_8db,N,New_N_013.wav,20-4,DeepONMF_H2,2,nndsvd,0.22191126992573898,4x212,0.026400299975648522,20,0.15273282895663343,0.2902149123118532,0.02193510008510202,4,0.14062802395094157,0.28909232026208315,0.003472000011242926
13,SNR_8db,N,New_N_014.wav,20-4,DeepONMF_H2,2,nndsvd,0.2224103428919612,4x212,0.02733310009352863,20,0.15542964304069817,0.28188242746143444,0.023589799995534122,4,0.140191027880634,0.3039296180467676,0.0029211000073701143
14,SNR_8db,N,New_N_015.wav,20-4,DeepONMF_H2,2,nndsvd,0.22320151630371393,4x212,0.02737689996138215,20,0.1564427330011513,0.29376185930124504,0.02325789991300553,4,0.14225369030068097,0.3019100930757746,0.003157900064252317
15,SNR_8db,N,New_N_016.wav,20-4,DeepONMF_H2,2,nndsvd,0.21910511675734634,4x212,0.0289338999427855,20,0.15404264595901934,0.2833225215604761,0.024391200044192374,4,0.13708302248061155,0.26177442346263974,0.003527799970470369
