indice_interno,base,metodo,distribucion,numero_capas,penalizacion_ortogonal,sin_regularizacion,error_final,forma_h,forma_w,segundos
0,SNR_-5db,NMF,7,1,0.0,True,0.3733671537332751,7x212,126x7,0.05466359993442893
1,SNR_-5db,NMF,7,1,0.0,True,0.36759414543872676,7x212,126x7,0.03894280013628304
2,SNR_-5db,NMF,7,1,0.0,True,0.3664414825274309,7x212,126x7,0.033389999996870756
3,SNR_-5db,NMF,7,1,0.0,True,0.3735428594476717,7x212,126x7,0.028668300015851855
4,SNR_-5db,NMF,7,1,0.0,True,0.36866018193692046,7x212,126x7,0.03495339979417622
5,SNR_-5db,NMF,7,1,0.0,True,0.36648544701372954,7x212,126x7,0.029123499989509583
6,SNR_-5db,NMF,7,1,0.0,True,0.37170492462843163,7x212,126x7,0.03259489987976849
7,SNR_-5db,NMF,7,1,0.0,True,0.36941896656104534,7x212,126x7,0.03681800002232194
8,SNR_-5db,NMF,7,1,0.0,True,0.37003241073769466,7x212,126x7,0.03621649998240173
9,SNR_-5db,NMF,7,1,0.0,True,0.36736451774940715,7x212,126x7,0.054203499807044864
10,SNR_-5db,NMF,7,1,0.0,True,0.3714481078294196,7x212,126x7,0.03436270006932318
11,SNR_-5db,NMF,7,1,0.0,True,0.37335624640222304,7x212,126x7,0.027302099857479334
12,SNR_-5db,NMF,7,1,0.0,True,0.3691680733191085,7x212,126x7,0.029351100092753768
13,SNR_-5db,NMF,7,1,0.0,True,0.3706110828679969,7x212,126x7,0.03590229991823435
14,SNR_-5db,NMF,7,1,0.0,True,0.3707273930931471,7x212,126x7,0.03509899997152388
15,SNR_-5db,NMF,7,1,0.0,True,0.3714719395267765,7x212,126x7,0.03175810002721846
16,SNR_-5db,NMF,7,1,0.0,True,0.37515739564432693,7x212,126x7,0.03041879995726049
17,SNR_-5db,NMF,7,1,0.0,True,0.36756233820281387,7x212,126x7,0.03386770002543926
18,SNR_-5db,NMF,7,1,0.0,True,0.37119363807575056,7x212,126x7,0.03441930003464222
19,SNR_-5db,NMF,7,1,0.0,True,0.3708098717718236,7x212,126x7,0.055741299875080585
20,SNR_-5db,NMF,7,1,0.0,True,0.36870797506082365,7x212,126x7,0.03300940012559295
21,SNR_-5db,NMF,7,1,0.0,True,0.37280917221167315,7x212,126x7,0.028064100071787834
22,SNR_-5db,NMF,7,1,0.0,True,0.3691963326863068,7x212,126x7,0.028217999963089824
23,SNR_-5db,NMF,7,1,0.0,True,0.37115659900726294,7x212,126x7,0.02798239979892969
24,SNR_-5db,NMF,7,1,0.0,True,0.37052344827855316,7x212,126x7,0.028517500031739473
25,SNR_-5db,NMF,7,1,0.0,True,0.36842201030055294,7x212,126x7,0.02685389993712306
26,SNR_-5db,NMF,7,1,0.0,True,0.3721434349251725,7x212,126x7,0.027733800001442432
27,SNR_-5db,NMF,7,1,0.0,True,0.3700592320552326,7x212,126x7,0.028163200011476874
28,SNR_-5db,NMF,7,1,0.0,True,0.37457901681907346,7x212,126x7,0.02841590018942952
29,SNR_-5db,NMF,7,1,0.0,True,0.3674832225334744,7x212,126x7,0.0515968999825418
30,SNR_-5db,NMF,7,1,0.0,True,0.3729185558575794,7x212,126x7,0.02725699986331165
31,SNR_-5db,NMF,7,1,0.0,True,0.3717258962850838,7x212,126x7,0.027737100142985582
32,SNR_-5db,NMF,7,1,0.0,True,0.3691165618346448,7x212,126x7,0.02877860004082322
33,SNR_-5db,NMF,7,1,0.0,True,0.36877673414067985,7x212,126x7,0.028265099972486496
34,SNR_-5db,NMF,7,1,0.0,True,0.36840784998936643,7x212,126x7,0.027898899978026748
35,SNR_-5db,NMF,7,1,0.0,True,0.3674078725158236,7x212,126x7,0.02916390006430447
36,SNR_-5db,NMF,7,1,0.0,True,0.2726932820397118,7x212,126x7,0.03170519997365773
37,SNR_-5db,NMF,7,1,0.0,True,0.37157287923650223,7x212,126x7,0.032646500039845705
38,SNR_-5db,NMF,7,1,0.0,True,0.3733755922470444,7x212,126x7,0.03154020011425018
39,SNR_-5db,NMF,7,1,0.0,True,0.37326989765329766,7x212,126x7,0.031062500085681677
40,SNR_-5db,NMF,7,1,0.0,True,0.3642820585631971,7x212,126x7,0.02929450012743473
41,SNR_-5db,NMF,7,1,0.0,True,0.37347388151665095,7x212,126x7,0.026582000078633428
42,SNR_-5db,NMF,7,1,0.0,True,0.36537222468076225,7x212,126x7,0.029395399847999215
43,SNR_-5db,NMF,7,1,0.0,True,0.3686547985117304,7x212,126x7,0.033250699983909726
44,SNR_-5db,NMF,7,1,0.0,True,0.3658544217408858,7x212,126x7,0.03225689986720681
45,SNR_-5db,NMF,7,1,0.0,True,0.36705917226978924,7x212,126x7,0.030787000199779868
46,SNR_-5db,NMF,7,1,0.0,True,0.3675233023790102,7x212,126x7,0.026553800096735358
47,SNR_-5db,NMF,7,1,0.0,True,0.3651548339492961,7x212,126x7,0.03534699999727309
48,SNR_-5db,NMF,7,1,0.0,True,0.3701908102201981,7x212,126x7,0.02728199982084334
49,SNR_-5db,NMF,7,1,0.0,True,0.3663381619770485,7x212,126x7,0.05236390000209212
50,SNR_-5db,NMF,7,1,0.0,True,0.36965843385143315,7x212,126x7,0.029255100060254335
51,SNR_-5db,NMF,7,1,0.0,True,0.36733236372183903,7x212,126x7,0.02898350008763373
52,SNR_-5db,NMF,7,1,0.0,True,0.3690284140667459,7x212,126x7,0.0307753998786211
53,SNR_-5db,NMF,7,1,0.0,True,0.3662568505854767,7x212,126x7,0.02808359987102449
54,SNR_-5db,NMF,7,1,0.0,True,0.3709006470759779,7x212,126x7,0.029450699919834733
55,SNR_-5db,NMF,7,1,0.0,True,0.370325806039826,7x212,126x7,0.027039499953389168
56,SNR_-5db,NMF,7,1,0.0,True,0.36448094248045493,7x212,126x7,0.025059199891984463
57,SNR_-5db,NMF,7,1,0.0,True,0.3677438425921732,7x212,126x7,0.026881800033152103
58,SNR_-5db,NMF,7,1,0.0,True,0.36624302235183526,7x212,126x7,0.053855499951168895
59,SNR_-5db,NMF,7,1,0.0,True,0.368987428877501,7x212,126x7,0.027300599962472916
60,SNR_-5db,NMF,7,1,0.0,True,0.366158867807604,7x212,126x7,0.02546549984253943
61,SNR_-5db,NMF,7,1,0.0,True,0.36786198698797995,7x212,126x7,0.026835199911147356
62,SNR_-5db,NMF,7,1,0.0,True,0.3657610506035299,7x212,126x7,0.02711660019122064
63,SNR_-5db,NMF,7,1,0.0,True,0.3662326765595972,7x212,126x7,0.026875499868765473
