indice_interno,base,metodo,distribucion,numero_capas,penalizacion_ortogonal,sin_regularizacion,error_final,forma_h,forma_w,segundos
0,SNR_8db,ONMF,7,1,0.05,False,0.17726041894201056,7x212,126x7,0.023300099885091186
1,SNR_8db,ONMF,7,1,0.05,False,0.17727686585350252,7x212,126x7,0.02524939994327724
2,SNR_8db,ONMF,7,1,0.05,False,0.17573609780901286,7x212,126x7,0.02680199989117682
3,SNR_8db,ONMF,7,1,0.05,False,0.1769707402372229,7x212,126x7,0.02338410005904734
4,SNR_8db,ONMF,7,1,0.05,False,0.1759891014520905,7x212,126x7,0.024325900012627244
5,SNR_8db,ONMF,7,1,0.05,False,0.17911466874696075,7x212,126x7,0.023878599982708693
6,SNR_8db,ONMF,7,1,0.05,False,0.1773096550422255,7x212,126x7,0.02537110005505383
7,SNR_8db,ONMF,7,1,0.05,False,0.17550473653196833,7x212,126x7,0.02641430008225143
8,SNR_8db,ONMF,7,1,0.05,False,0.1805827992664987,7x212,126x7,0.028173800092190504
9,SNR_8db,ONMF,7,1,0.05,False,0.18359798919862527,7x212,126x7,0.024091099854558706
10,SNR_8db,ONMF,7,1,0.05,False,0.17707870202142173,7x212,126x7,0.02493830001913011
11,SNR_8db,ONMF,7,1,0.05,False,0.18037068433700515,7x212,126x7,0.02352680009789765
12,SNR_8db,ONMF,7,1,0.05,False,0.17686995077723897,7x212,126x7,0.023550800047814846
13,SNR_8db,ONMF,7,1,0.05,False,0.17923354886522236,7x212,126x7,0.025373100070282817
14,SNR_8db,ONMF,7,1,0.05,False,0.18146233391514238,7x212,126x7,0.026329699903726578
15,SNR_8db,ONMF,7,1,0.05,False,0.17723496701466487,7x212,126x7,0.024309700122103095
16,SNR_8db,ONMF,7,1,0.05,False,0.18288118878596663,7x212,126x7,0.024246799992397428
17,SNR_8db,ONMF,7,1,0.05,False,0.17871926039168762,7x212,126x7,0.02429769979789853
18,SNR_8db,ONMF,7,1,0.05,False,0.1781163174333203,7x212,126x7,0.025779400020837784
19,SNR_8db,ONMF,7,1,0.05,False,0.1769989380369884,7x212,126x7,0.024057900067418814
20,SNR_8db,ONMF,7,1,0.05,False,0.1760322481902562,7x212,126x7,0.02688860008493066
21,SNR_8db,ONMF,7,1,0.05,False,0.17697420010106182,7x212,126x7,0.02983530005440116
22,SNR_8db,ONMF,7,1,0.05,False,0.1768274249861127,7x212,126x7,0.025386700173839927
23,SNR_8db,ONMF,7,1,0.05,False,0.1764598998162841,7x212,126x7,0.026557300006970763
24,SNR_8db,ONMF,7,1,0.05,False,0.18389602108108324,7x212,126x7,0.02949539991095662
25,SNR_8db,ONMF,7,1,0.05,False,0.17732523584927468,7x212,126x7,0.03205329994671047
26,SNR_8db,ONMF,7,1,0.05,False,0.17751257016033525,7x212,126x7,0.02939980011433363
27,SNR_8db,ONMF,7,1,0.05,False,0.17735296218749072,7x212,126x7,0.02779179997742176
28,SNR_8db,ONMF,7,1,0.05,False,0.18481077915786015,7x212,126x7,0.02767340000718832
29,SNR_8db,ONMF,7,1,0.05,False,0.17687481981477332,7x212,126x7,0.023291799938306212
30,SNR_8db,ONMF,7,1,0.05,False,0.18013283432195829,7x212,126x7,0.024778699968010187
31,SNR_8db,ONMF,7,1,0.05,False,0.1789413049909084,7x212,126x7,0.027349399868398905
32,SNR_8db,ONMF,7,1,0.05,False,0.17474931748952194,7x212,126x7,0.0284039000980556
33,SNR_8db,ONMF,7,1,0.05,False,0.17785493362379062,7x212,126x7,0.024388100020587444
34,SNR_8db,ONMF,7,1,0.05,False,0.1772087899155829,7x212,126x7,0.024546500062569976
35,SNR_8db,ONMF,7,1,0.05,False,0.17799588025890462,7x212,126x7,0.025777800008654594
36,SNR_8db,ONMF,7,1,0.05,False,0.1345150679589391,7x212,126x7,0.024778699968010187
37,SNR_8db,ONMF,7,1,0.05,False,0.17759818474572794,7x212,126x7,0.026651999913156033
38,SNR_8db,ONMF,7,1,0.05,False,0.1766963933228329,7x212,126x7,0.02596080000512302
39,SNR_8db,ONMF,7,1,0.05,False,0.17493732701717005,7x212,126x7,0.02519600000232458
40,SNR_8db,ONMF,7,1,0.05,False,0.17010474905338452,7x212,126x7,0.02355469996109605
41,SNR_8db,ONMF,7,1,0.05,False,0.17225672595857688,7x212,126x7,0.023802100215107203
42,SNR_8db,ONMF,7,1,0.05,False,0.16793586869257704,7x212,126x7,0.0243559000082314
43,SNR_8db,ONMF,7,1,0.05,False,0.17100039649412055,7x212,126x7,0.024542400147765875
44,SNR_8db,ONMF,7,1,0.05,False,0.1701366702698542,7x212,126x7,0.02679800009354949
45,SNR_8db,ONMF,7,1,0.05,False,0.16829294026523506,7x212,126x7,0.023383300052955747
46,SNR_8db,ONMF,7,1,0.05,False,0.17067563705024807,7x212,126x7,0.024243499850854278
47,SNR_8db,ONMF,7,1,0.05,False,0.168885335482118,7x212,126x7,0.02291289996355772
48,SNR_8db,ONMF,7,1,0.05,False,0.16740181691814884,7x212,126x7,0.0246868000831455
49,SNR_8db,ONMF,7,1,0.05,False,0.16873912303738015,7x212,126x7,0.024115100037306547
50,SNR_8db,ONMF,7,1,0.05,False,0.16706630925031682,7x212,126x7,0.024916799971833825
51,SNR_8db,ONMF,7,1,0.05,False,0.17207030727278702,7x212,126x7,0.025891799945384264
52,SNR_8db,ONMF,7,1,0.05,False,0.1690949608626922,7x212,126x7,0.025103799998760223
53,SNR_8db,ONMF,7,1,0.05,False,0.1687651223486085,7x212,126x7,0.02277789986692369
54,SNR_8db,ONMF,7,1,0.05,False,0.16936534953245228,7x212,126x7,0.024501300184056163
55,SNR_8db,ONMF,7,1,0.05,False,0.16957888296499687,7x212,126x7,0.023771800100803375
56,SNR_8db,ONMF,7,1,0.05,False,0.16711557007977812,7x212,126x7,0.024514000164344907
57,SNR_8db,ONMF,7,1,0.05,False,0.1700490689107849,7x212,126x7,0.026669700164347887
58,SNR_8db,ONMF,7,1,0.05,False,0.16681818731139225,7x212,126x7,0.023390999995172024
59,SNR_8db,ONMF,7,1,0.05,False,0.16840442021433144,7x212,126x7,0.025033799931406975
60,SNR_8db,ONMF,7,1,0.05,False,0.17272224310216788,7x212,126x7,0.023778999922797084
61,SNR_8db,ONMF,7,1,0.05,False,0.16732673027208786,7x212,126x7,0.025221299845725298
62,SNR_8db,ONMF,7,1,0.05,False,0.17084512986473416,7x212,126x7,0.025042899884283543
63,SNR_8db,ONMF,7,1,0.05,False,0.16739145089581078,7x212,126x7,0.027311900164932013
64,SNR_8db,ONMF,7,1,0.05,False,0.17009621433029004,7x212,126x7,0.023285600123926997
65,SNR_8db,ONMF,7,1,0.05,False,0.1679448997402094,7x212,126x7,0.024320200085639954
66,SNR_8db,ONMF,7,1,0.05,False,0.16708689578501734,7x212,126x7,0.02350989985279739
67,SNR_8db,ONMF,7,1,0.05,False,0.17149002184395482,7x212,126x7,0.027801199816167355
68,SNR_8db,ONMF,7,1,0.05,False,0.17430981054155867,7x212,126x7,0.029060599859803915
69,SNR_8db,ONMF,7,1,0.05,False,0.17168429786388184,7x212,126x7,0.024968500016257167
70,SNR_8db,ONMF,7,1,0.05,False,0.17233167370489008,7x212,126x7,0.0255899999756366
71,SNR_8db,ONMF,7,1,0.05,False,0.17327582822749704,7x212,126x7,0.02482010005041957
72,SNR_8db,ONMF,7,1,0.05,False,0.17193754359280197,7x212,126x7,0.026171000208705664
73,SNR_8db,ONMF,7,1,0.05,False,0.17348894554194733,7x212,126x7,0.024295799899846315
74,SNR_8db,ONMF,7,1,0.05,False,0.17452363321050482,7x212,126x7,0.02466879994608462
75,SNR_8db,ONMF,7,1,0.05,False,0.17429755164397379,7x212,126x7,0.024266700027510524
76,SNR_8db,ONMF,7,1,0.05,False,0.17114261588566845,7x212,126x7,0.023663700092583895
77,SNR_8db,ONMF,7,1,0.05,False,0.1736245302423389,7x212,126x7,0.024738800013437867
78,SNR_8db,ONMF,7,1,0.05,False,0.17660474945797164,7x212,126x7,0.02343469997867942
79,SNR_8db,ONMF,7,1,0.05,False,0.17390873618255945,7x212,126x7,0.024203900014981627
80,SNR_8db,ONMF,7,1,0.05,False,0.17127569045913157,7x212,126x7,0.02315449994057417
81,SNR_8db,ONMF,7,1,0.05,False,0.17222412450088417,7x212,126x7,0.025101499864831567
82,SNR_8db,ONMF,7,1,0.05,False,0.1731686064046546,7x212,126x7,0.024421399924904108
83,SNR_8db,ONMF,7,1,0.05,False,0.17424954115959632,7x212,126x7,0.02467490010894835
84,SNR_8db,ONMF,7,1,0.05,False,0.17194677875851483,7x212,126x7,0.023989900015294552
85,SNR_8db,ONMF,7,1,0.05,False,0.1731054909500104,7x212,126x7,0.026166199939325452
86,SNR_8db,ONMF,7,1,0.05,False,0.17380610543424366,7x212,126x7,0.02323719998821616
87,SNR_8db,ONMF,7,1,0.05,False,0.17099645401072727,7x212,126x7,0.025402399944141507
88,SNR_8db,ONMF,7,1,0.05,False,0.17070057889567747,7x212,126x7,0.02428680006414652
89,SNR_8db,ONMF,7,1,0.05,False,0.17216324650905315,7x212,126x7,0.024383299984037876
90,SNR_8db,ONMF,7,1,0.05,False,0.17269862427339086,7x212,126x7,0.023518300149589777
91,SNR_8db,ONMF,7,1,0.05,False,0.1704581182073193,7x212,126x7,0.023490000050514936
92,SNR_8db,ONMF,7,1,0.05,False,0.1742723032857382,7x212,126x7,0.025730099994689226
93,SNR_8db,ONMF,7,1,0.05,False,0.1752642428552129,7x212,126x7,0.02441670000553131
94,SNR_8db,ONMF,7,1,0.05,False,0.1726530131015911,7x212,126x7,0.024402699898928404
95,SNR_8db,ONMF,7,1,0.05,False,0.17268199847766594,7x212,126x7,0.027166500221937895
96,SNR_8db,ONMF,7,1,0.05,False,0.17075159752598906,7x212,126x7,0.028138100169599056
97,SNR_8db,ONMF,7,1,0.05,False,0.1779402360544066,7x212,126x7,0.024665300035849214
98,SNR_8db,ONMF,7,1,0.05,False,0.16853382285729657,7x212,126x7,0.024403200019150972
99,SNR_8db,ONMF,7,1,0.05,False,0.1685165405204577,7x212,126x7,0.025895799975842237
100,SNR_8db,ONMF,7,1,0.05,False,0.1683885855119978,7x212,126x7,0.024197799852117896
101,SNR_8db,ONMF,7,1,0.05,False,0.16915089203722936,7x212,126x7,0.024928400060161948
102,SNR_8db,ONMF,7,1,0.05,False,0.1689786576552588,7x212,126x7,0.02538889995776117
103,SNR_8db,ONMF,7,1,0.05,False,0.1675939890129032,7x212,126x7,0.02655650000087917
104,SNR_8db,ONMF,7,1,0.05,False,0.16652680764415756,7x212,126x7,0.02384319994598627
105,SNR_8db,ONMF,7,1,0.05,False,0.16981989548966642,7x212,126x7,0.024153999984264374
106,SNR_8db,ONMF,7,1,0.05,False,0.16482733431887273,7x212,126x7,0.02352469996549189
107,SNR_8db,ONMF,7,1,0.05,False,0.17040351412264385,7x212,126x7,0.023366000037640333
108,SNR_8db,ONMF,7,1,0.05,False,0.166173809192326,7x212,126x7,0.02445649984292686
109,SNR_8db,ONMF,7,1,0.05,False,0.17403333906995927,7x212,126x7,0.023035200079903007
110,SNR_8db,ONMF,7,1,0.05,False,0.1670635772532858,7x212,126x7,0.025162799982354045
111,SNR_8db,ONMF,7,1,0.05,False,0.16968073728392002,7x212,126x7,0.02835960010997951
112,SNR_8db,ONMF,7,1,0.05,False,0.17048268747140602,7x212,126x7,0.02428329992108047
113,SNR_8db,ONMF,7,1,0.05,False,0.1702513586382948,7x212,126x7,0.02568039996549487
114,SNR_8db,ONMF,7,1,0.05,False,0.16980854801787332,7x212,126x7,0.024793899850919843
115,SNR_8db,ONMF,7,1,0.05,False,0.17044015532603846,7x212,126x7,0.025116199860349298
116,SNR_8db,ONMF,7,1,0.05,False,0.16645637192649174,7x212,126x7,0.03360729990527034
117,SNR_8db,ONMF,7,1,0.05,False,0.17232778993123643,7x212,126x7,0.024568900000303984
118,SNR_8db,ONMF,7,1,0.05,False,0.16678605214954617,7x212,126x7,0.02393839997239411
119,SNR_8db,ONMF,7,1,0.05,False,0.1694628756139988,7x212,126x7,0.024657600093632936
120,SNR_8db,ONMF,7,1,0.05,False,0.17364596654574324,7x212,126x7,0.024594799848273396
121,SNR_8db,ONMF,7,1,0.05,False,0.1696863178980928,7x212,126x7,0.024086999939754605
122,SNR_8db,ONMF,7,1,0.05,False,0.1663757970063371,7x212,126x7,0.02573110000230372
123,SNR_8db,ONMF,7,1,0.05,False,0.16853489844439032,7x212,126x7,0.02502470021136105
124,SNR_8db,ONMF,7,1,0.05,False,0.17180225724919745,7x212,126x7,0.023703600047156215
125,SNR_8db,ONMF,7,1,0.05,False,0.1636702845748291,7x212,126x7,0.024132800055667758
126,SNR_8db,ONMF,7,1,0.05,False,0.16570854462597298,7x212,126x7,0.023970199981704354
127,SNR_8db,ONMF,7,1,0.05,False,0.16564087921489126,7x212,126x7,0.028341200202703476
128,SNR_8db,ONMF,7,1,0.05,False,0.16432886702481017,7x212,126x7,0.02373680006712675
129,SNR_8db,ONMF,7,1,0.05,False,0.16383989602653332,7x212,126x7,0.0258046998642385
130,SNR_8db,ONMF,7,1,0.05,False,0.16594417589280072,7x212,126x7,0.02407749998383224
131,SNR_8db,ONMF,7,1,0.05,False,0.16571741732782802,7x212,126x7,0.024466499919071794
132,SNR_8db,ONMF,7,1,0.05,False,0.16634223863526376,7x212,126x7,0.025566800031811
133,SNR_8db,ONMF,7,1,0.05,False,0.16504235138594334,7x212,126x7,0.02782770013436675
134,SNR_8db,ONMF,7,1,0.05,False,0.16570052310625646,7x212,126x7,0.024865899933502078
135,SNR_8db,ONMF,7,1,0.05,False,0.16660783621185707,7x212,126x7,0.025879799854010344
136,SNR_8db,ONMF,7,1,0.05,False,0.16691465525309732,7x212,126x7,0.02470860001631081
137,SNR_8db,ONMF,7,1,0.05,False,0.16746995212799834,7x212,126x7,0.02306880010291934
138,SNR_8db,ONMF,7,1,0.05,False,0.16662832454189974,7x212,126x7,0.024381800089031458
139,SNR_8db,ONMF,7,1,0.05,False,0.1655551058195702,7x212,126x7,0.024861800018697977
140,SNR_8db,ONMF,7,1,0.05,False,0.16429793172160898,7x212,126x7,0.023885600036010146
141,SNR_8db,ONMF,7,1,0.05,False,0.1695558332797668,7x212,126x7,0.027062400011345744
142,SNR_8db,ONMF,7,1,0.05,False,0.1662961256959087,7x212,126x7,0.024120300076901913
143,SNR_8db,ONMF,7,1,0.05,False,0.1656741295619122,7x212,126x7,0.026739299995824695
144,SNR_8db,ONMF,7,1,0.05,False,0.16572268988578678,7x212,126x7,0.028335199924185872
145,SNR_8db,ONMF,7,1,0.05,False,0.16470610457389198,7x212,126x7,0.0240879999473691
146,SNR_8db,ONMF,7,1,0.05,False,0.16439782335762926,7x212,126x7,0.028559499885886908
147,SNR_8db,ONMF,7,1,0.05,False,0.16410607541744762,7x212,126x7,0.024405099917203188
148,SNR_8db,ONMF,7,1,0.05,False,0.1639229627928141,7x212,126x7,0.02982620010152459
