clase,archivo,ruta,variante_deep_onmf,F_001,F_002,F_003,F_004,F_005
AS,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_001.wav,afinidad_errores_por_base,1.1917993154247029,2.0788452701884417,2.080099922922195,2.094853282629856,2.1582697775924773
AS,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_002.wav,afinidad_errores_por_base,1.3045778512265944,2.1462765969518673,2.1775308856297313,2.187526144567167,2.211444117409006
AS,New_AS_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_003.wav,afinidad_errores_por_base,1.1684920960225533,2.0866937577633013,2.154683470019042,2.1339204628561457,2.178825989805343
AS,New_AS_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_004.wav,afinidad_errores_por_base,1.2308623635444154,2.1065168753061934,2.1631958533739075,2.154720035934636,2.223694535508328
AS,New_AS_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_005.wav,afinidad_errores_por_base,1.25388600344526,2.0567638886869632,2.10885761613918,2.159814684150089,2.1909849092142335
AS,New_AS_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_006.wav,afinidad_errores_por_base,1.153429657335795,2.160313131180692,2.135708461577416,2.156840939638725,2.153579162349919
AS,New_AS_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_007.wav,afinidad_errores_por_base,1.1558885974503814,2.063046249061735,2.094761925449857,2.1012763559269723,2.118477440114713
AS,New_AS_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_008.wav,afinidad_errores_por_base,1.245733163731647,2.151253047821334,2.1835150422272274,2.237759060441198,2.213250794200829
AS,New_AS_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_009.wav,afinidad_errores_por_base,1.2154295014691778,2.112871101796098,2.1405873845050776,2.1477145457058238,2.1663891023121926
AS,New_AS_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_010.wav,afinidad_errores_por_base,1.2187768763509703,2.095329070270285,2.150056651858565,2.172473226181056,2.212029486935695
AS,New_AS_011.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_011.wav,afinidad_errores_por_base,1.2254536117438695,2.124161735325337,2.179737972722118,2.1847599491138125,2.1873296429526343
AS,New_AS_012.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_012.wav,afinidad_errores_por_base,1.205421775611302,2.139517436993598,2.181499466059669,2.1873068316120823,2.217175948725971
AS,New_AS_013.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_013.wav,afinidad_errores_por_base,1.1827643989899408,2.102083493647708,2.0937626515050107,2.1540535318597427,2.1400303799728193
AS,New_AS_014.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_014.wav,afinidad_errores_por_base,1.2777346463207233,2.163666594713713,2.2109022844368047,2.2275171672732434,2.25165329132308
AS,New_AS_015.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_015.wav,afinidad_errores_por_base,1.2085412207123314,2.0737053310132203,2.1065561911275945,2.1037457632820233,2.148775699678753
AS,New_AS_016.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_016.wav,afinidad_errores_por_base,1.2750980299262964,2.1448155880303803,2.218774617389575,2.212778670022397,2.2426350114538165
AS,New_AS_017.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_017.wav,afinidad_errores_por_base,1.2953200602268118,2.1202769287830976,2.1749148506099294,2.214470379135735,2.2298022441942966
AS,New_AS_018.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_018.wav,afinidad_errores_por_base,1.2239172831778318,2.1383971722385966,2.1529578984209694,2.1441292526553783,2.1842624211442416
AS,New_AS_019.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_019.wav,afinidad_errores_por_base,1.1521788128567054,2.075130000588206,2.129027559537345,2.1248607157536563,2.1833529157907483
AS,New_AS_020.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_020.wav,afinidad_errores_por_base,1.2543185344270313,2.095154312630391,2.1543776730803486,2.1964764008984714,2.189035589824583
AS,New_AS_021.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_021.wav,afinidad_errores_por_base,1.2210310015384664,2.0545048341207472,2.117670318967401,2.123188213088245,2.119938959631231
AS,New_AS_022.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_022.wav,afinidad_errores_por_base,1.2088323793747724,2.136004109977139,2.1855052665085513,2.159123270053844,2.2002191467107015
AS,New_AS_023.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_023.wav,afinidad_errores_por_base,1.2155896455006496,2.0514509083585413,2.134325630581465,2.10635578937229,2.1312497694731896
AS,New_AS_024.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_024.wav,afinidad_errores_por_base,1.1848448580713986,2.1506703824573723,2.1794660247362194,2.1918532046327863,2.196698824488534
AS,New_AS_025.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_025.wav,afinidad_errores_por_base,1.167266870072349,2.1004253766798526,2.1248551409960497,2.1241348593486133,2.1532078608536716
AS,New_AS_026.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_026.wav,afinidad_errores_por_base,1.281391428925651,2.134529359828675,2.15856729091002,2.2492600235216114,2.249753123661122
AS,New_AS_027.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_027.wav,afinidad_errores_por_base,1.221042577287134,2.120117882284542,2.1479682998761542,2.2025816430005576,2.1812099752633873
