clase,archivo,tSNE_1,tSNE_2
AS,New_AS_001.wav,50.65525,-1.437601
AS,New_AS_002.wav,51.25807,-1.4998697
AS,New_AS_003.wav,50.36462,-2.416122
AS,New_AS_004.wav,50.37742,-2.4953322
AS,New_AS_005.wav,50.840714,-2.884767
AS,New_AS_006.wav,51.115383,-1.9766548
AS,New_AS_007.wav,50.648636,-2.8110738
AS,New_AS_008.wav,51.53304,-1.8002945
AS,New_AS_009.wav,51.265022,-2.762495
AS,New_AS_010.wav,50.494446,-2.0937405
AS,New_AS_011.wav,51.349216,-2.5286565
AS,New_AS_012.wav,50.72392,-1.6520301
AS,New_AS_013.wav,51.53061,-2.0766003
AS,New_AS_014.wav,51.08627,-3.0394785
AS,New_AS_015.wav,50.6491,-2.4517596
AS,New_AS_016.wav,50.740448,-1.8654621
AS,New_AS_017.wav,51.436832,-2.1579797
AS,New_AS_018.wav,51.67309,-1.7437721
AS,New_AS_019.wav,50.126965,-2.264273
AS,New_AS_020.wav,51.473644,-2.8381948
AS,New_AS_021.wav,50.83245,-2.8391297
AS,New_AS_022.wav,50.46797,-1.9890035
AS,New_AS_023.wav,51.029953,-2.18538
AS,New_AS_024.wav,51.266724,-1.617186
AS,New_AS_025.wav,27.62471,-18.954056
AS,New_AS_026.wav,24.961208,-15.099634
AS,New_AS_027.wav,23.544735,-18.592707
AS,New_AS_028.wav,24.0566,-15.202102
AS,New_AS_029.wav,24.480135,-15.807092
AS,New_AS_030.wav,24.763243,-15.07872
AS,New_AS_031.wav,24.220026,-17.264343
AS,New_AS_032.wav,24.5718,-15.241187
AS,New_AS_033.wav,26.27077,-18.238655
AS,New_AS_034.wav,26.310528,-16.85556
AS,New_AS_035.wav,21.53005,-15.686331
AS,New_AS_036.wav,25.623014,-16.707127
AS,New_AS_037.wav,24.25036,-18.391638
AS,New_AS_038.wav,25.015316,-15.339688
AS,New_AS_039.wav,26.162287,-16.85817
AS,New_AS_040.wav,26.159056,-17.279615
AS,New_AS_041.wav,23.545794,-17.546616
AS,New_AS_042.wav,27.700455,-16.754639
AS,New_AS_043.wav,26.104507,-14.534783
AS,New_AS_044.wav,23.776306,-14.862099
AS,New_AS_045.wav,23.18354,-16.989746
AS,New_AS_046.wav,25.412573,-16.839523
AS,New_AS_047.wav,23.390566,-18.214111
AS,New_AS_048.wav,24.420158,-19.925615
AS,New_AS_049.wav,-27.942163,-22.755878
AS,New_AS_050.wav,-28.658876,-21.48689
AS,New_AS_051.wav,-28.649029,-21.158352
AS,New_AS_052.wav,-28.88504,-21.037683
AS,New_AS_053.wav,-29.755735,-21.398445
AS,New_AS_054.wav,-29.20488,-20.93524
AS,New_AS_055.wav,-29.29877,-22.051056
AS,New_AS_056.wav,-29.680428,-21.287308
AS,New_AS_057.wav,-29.555576,-22.110195
AS,New_AS_058.wav,-29.487665,-21.773115
AS,New_AS_059.wav,-29.567463,-21.08351
AS,New_AS_060.wav,-29.26063,-21.367811
AS,New_AS_061.wav,-28.817368,-21.979244
AS,New_AS_062.wav,-28.166428,-22.163172
AS,New_AS_063.wav,-29.087334,-21.788374
AS,New_AS_064.wav,-28.932415,-22.47555
AS,New_AS_065.wav,-28.68987,-22.679155
AS,New_AS_066.wav,-28.778793,-21.931356
AS,New_AS_067.wav,-28.253296,-22.55042
AS,New_AS_068.wav,-27.779911,-22.18359
AS,New_AS_069.wav,-28.229996,-21.87058
AS,New_AS_070.wav,-27.9157,-21.490784
AS,New_AS_071.wav,-28.420717,-21.266401
AS,New_AS_072.wav,-28.467203,-21.595379
AS,New_AS_073.wav,-28.697594,-22.327314
AS,New_AS_074.wav,-29.235418,-22.605293
AS,New_AS_075.wav,-27.900282,-22.37448
AS,New_AS_076.wav,-28.592396,-21.479618
AS,New_AS_077.wav,25.7756,-15.844462
AS,New_AS_078.wav,25.205633,-16.116642
AS,New_AS_079.wav,27.72873,-19.103178
AS,New_AS_080.wav,21.275566,-16.417702
AS,New_AS_081.wav,22.421482,-16.671719
AS,New_AS_082.wav,26.034174,-20.046389
AS,New_AS_083.wav,27.102224,-15.561112
AS,New_AS_084.wav,24.536957,-18.811827
AS,New_AS_085.wav,24.322845,-19.226234
AS,New_AS_086.wav,25.240952,-15.383411
AS,New_AS_087.wav,27.784054,-18.275162
AS,New_AS_088.wav,23.317183,-17.525375
AS,New_AS_089.wav,22.191801,-15.566785
AS,New_AS_090.wav,24.669495,-16.68597
AS,New_AS_091.wav,23.858929,-15.305085
AS,New_AS_092.wav,23.665142,-18.611439
AS,New_AS_093.wav,21.74001,-15.3074465
AS,New_AS_094.wav,27.2939,-16.126272
AS,New_AS_095.wav,22.497679,-17.07004
AS,New_AS_096.wav,21.849781,-15.891374
AS,New_AS_097.wav,26.411707,-15.372268
AS,New_AS_098.wav,23.41275,-16.387598
AS,New_AS_099.wav,24.169691,-19.792185
AS,New_AS_100.wav,26.463339,-16.909319
AS,New_AS_101.wav,27.537987,-19.06304
AS,New_AS_102.wav,25.608616,-15.951611
AS,New_AS_103.wav,27.41148,-16.350496
AS,New_AS_104.wav,24.533579,-19.40854
AS,New_AS_105.wav,24.92394,-16.962708
AS,New_AS_106.wav,27.740719,-18.363943
AS,New_AS_107.wav,26.045647,-20.156954
AS,New_AS_108.wav,25.221703,-18.94354
AS,New_AS_109.wav,21.994543,-16.01173
AS,New_AS_110.wav,23.06027,-17.52884
AS,New_AS_111.wav,52.071083,-2.3010688
AS,New_AS_112.wav,51.89259,-2.7965703
AS,New_AS_113.wav,52.127563,-2.4594855
AS,New_AS_114.wav,51.969276,-2.8985863
AS,New_AS_115.wav,22.314068,-17.26419
AS,New_AS_116.wav,22.064785,-17.393875
AS,New_AS_117.wav,26.638039,-19.695333
AS,New_AS_118.wav,27.539341,-17.5959
AS,New_AS_119.wav,22.230455,-16.304462
AS,New_AS_120.wav,26.989817,-16.42991
AS,New_AS_121.wav,25.42931,-19.336655
AS,New_AS_122.wav,26.768112,-16.474787
AS,New_AS_123.wav,27.672897,-18.774586
AS,New_AS_124.wav,25.586369,-15.539922
AS,New_AS_125.wav,21.558226,-17.021748
AS,New_AS_126.wav,24.858358,-18.860514
AS,New_AS_127.wav,25.637915,-17.876091
AS,New_AS_128.wav,24.765633,-17.631392
AS,New_AS_129.wav,6.8673897,-2.9234624
AS,New_AS_130.wav,6.6916656,-3.1608815
AS,New_AS_131.wav,20.843454,-17.808731
AS,New_AS_132.wav,20.648996,-16.675695
AS,New_AS_133.wav,2.5343628,4.8839107
AS,New_AS_134.wav,28.464188,-17.275349
AS,New_AS_135.wav,-24.117796,-0.71824
AS,New_AS_136.wav,7.173969,-3.4391506
AS,New_AS_137.wav,6.793769,-3.5075734
AS,New_AS_138.wav,7.1271715,-2.824748
AS,New_AS_139.wav,7.424001,-2.6652937
AS,New_AS_140.wav,28.018206,-12.754511
AS,New_AS_141.wav,28.020555,-12.749816
AS,New_AS_142.wav,27.976748,-12.722866
AS,New_AS_143.wav,28.002964,-12.736859
AS,New_AS_144.wav,48.71986,-4.07788
AS,New_AS_145.wav,48.795807,-4.0347185
AS,New_AS_146.wav,48.746635,-4.0994444
AS,New_AS_147.wav,48.73992,-4.072778
AS,New_AS_148.wav,48.623013,-4.1719503
AS,New_AS_149.wav,48.750946,-4.0874968
AS,New_AS_150.wav,48.79728,-4.04563
AS,New_AS_151.wav,48.823956,-4.034465
AS,New_AS_152.wav,-4.049771,-7.9969974
AS,New_AS_153.wav,-4.037467,-8.028843
AS,New_AS_154.wav,-4.0578666,-7.983474
AS,New_AS_155.wav,-4.0508747,-8.018483
AS,New_AS_156.wav,7.0131297,-2.9754965
AS,New_AS_157.wav,6.250019,-2.963035
AS,New_AS_158.wav,6.9843335,-2.8208113
AS,New_AS_159.wav,7.4283104,-2.616538
AS,New_AS_160.wav,6.29546,-3.4355357
AS,New_AS_161.wav,6.0408397,-3.3856459
AS,New_AS_162.wav,6.2685347,-2.6368577
AS,New_AS_163.wav,6.6182847,-2.562488
AS,New_AS_164.wav,6.6434703,29.756626
AS,New_AS_165.wav,6.6432834,29.74652
AS,New_AS_166.wav,7.4229856,32.40148
AS,New_AS_167.wav,7.307171,32.510544
AS,New_AS_168.wav,7.2324133,32.425743
AS,New_AS_169.wav,7.177512,32.192078
AS,New_AS_170.wav,6.6474757,29.74338
AS,New_AS_171.wav,6.6473694,29.76612
AS,New_AS_172.wav,7.247721,32.106194
AS,New_AS_173.wav,7.155939,32.375175
AS,New_AS_174.wav,7.1305113,32.38519
AS,New_AS_175.wav,7.2757154,32.438847
AS,New_AS_176.wav,7.401127,32.30348
AS,New_AS_177.wav,7.5453935,32.207485
AS,New_AS_178.wav,7.409359,32.56603
AS,New_AS_179.wav,7.5868125,32.34134
AS,New_AS_180.wav,-14.597496,29.537775
AS,New_AS_181.wav,-14.594874,29.552147
AS,New_AS_182.wav,-14.591464,29.542294
AS,New_AS_183.wav,-14.586137,29.55341
AS,New_AS_184.wav,6.1650863,-3.0844765
AS,New_AS_185.wav,5.8829784,-3.1274981
AS,New_AS_186.wav,6.261348,-3.319411
AS,New_AS_187.wav,6.369906,-2.779207
AS,New_AS_188.wav,50.547447,0.017999146
AS,New_AS_189.wav,50.556625,-0.0021449267
AS,New_AS_190.wav,6.346992,28.894762
AS,New_AS_191.wav,6.3357735,28.827662
AS,New_AS_192.wav,28.972813,-13.550369
AS,New_AS_193.wav,28.94501,-13.536427
AS,New_AS_194.wav,29.61647,-13.323533
AS,New_AS_195.wav,29.605282,-13.318558
AS,New_AS_196.wav,-10.823357,9.258781
AS,New_AS_197.wav,-10.838644,9.25582
AS,New_AS_198.wav,-10.838857,9.260999
AS,New_AS_199.wav,-10.855613,9.246027
AS,New_AS_200.wav,-10.835733,9.27054
MR,New_MR_001.wav,27.515696,10.842914
MR,New_MR_002.wav,27.519293,10.858934
