clase,archivo,tSNE_1,tSNE_2
AS,New_AS_001.wav,10.909273,5.7309337
AS,New_AS_002.wav,8.875926,8.082167
AS,New_AS_003.wav,10.762242,4.051108
AS,New_AS_004.wav,10.735783,3.8857236
AS,New_AS_005.wav,10.546932,6.5956764
AS,New_AS_006.wav,7.7796474,10.5926285
AS,New_AS_007.wav,8.947376,6.4122033
AS,New_AS_008.wav,7.620995,12.611111
AS,New_AS_009.wav,7.545787,11.424759
AS,New_AS_010.wav,10.173557,6.28316
AS,New_AS_011.wav,7.934407,12.104678
AS,New_AS_012.wav,11.680546,7.4755263
AS,New_AS_013.wav,6.1886535,8.894656
AS,New_AS_014.wav,7.1552978,8.740875
AS,New_AS_015.wav,10.640139,4.468281
AS,New_AS_016.wav,8.926835,12.317414
AS,New_AS_017.wav,11.676792,6.524054
AS,New_AS_018.wav,12.073057,6.5715857
AS,New_AS_019.wav,11.326988,4.687053
AS,New_AS_020.wav,6.1908007,13.065285
AS,New_AS_021.wav,11.833717,7.012456
AS,New_AS_022.wav,10.976185,4.1056447
AS,New_AS_023.wav,11.253078,7.3318887
AS,New_AS_024.wav,7.7133737,11.307979
AS,New_AS_025.wav,7.0030804,7.33391
AS,New_AS_026.wav,4.96045,15.992299
AS,New_AS_027.wav,2.9924476,13.401015
AS,New_AS_028.wav,6.6652675,10.747878
AS,New_AS_029.wav,6.5541444,9.9074
AS,New_AS_030.wav,6.9848666,6.6490326
AS,New_AS_031.wav,6.903187,13.950457
AS,New_AS_032.wav,6.746762,10.394806
AS,New_AS_033.wav,10.301532,8.442589
AS,New_AS_034.wav,9.713049,6.306038
AS,New_AS_035.wav,5.791985,8.76207
AS,New_AS_036.wav,5.5321164,7.479989
AS,New_AS_037.wav,5.5165343,15.5569515
AS,New_AS_038.wav,9.876428,7.644366
AS,New_AS_039.wav,5.2733383,5.682453
AS,New_AS_040.wav,4.579021,6.189328
AS,New_AS_041.wav,6.9522977,12.4241905
AS,New_AS_042.wav,4.18308,10.265605
AS,New_AS_043.wav,6.482391,8.950588
AS,New_AS_044.wav,4.3975687,9.9633875
AS,New_AS_045.wav,4.8751965,15.319044
AS,New_AS_046.wav,4.4608703,7.5737424
AS,New_AS_047.wav,2.8933623,13.563436
AS,New_AS_048.wav,5.85665,14.809942
AS,New_AS_049.wav,-7.8213825,30.377802
AS,New_AS_050.wav,-7.764598,31.59364
AS,New_AS_051.wav,-3.609073,21.463346
AS,New_AS_052.wav,-6.128477,24.883568
AS,New_AS_053.wav,-7.622405,32.628784
AS,New_AS_054.wav,-4.685856,24.48516
AS,New_AS_055.wav,-7.416182,23.719704
AS,New_AS_056.wav,-7.6856356,30.37149
AS,New_AS_057.wav,-4.57485,23.867844
AS,New_AS_058.wav,-3.9075937,24.516165
AS,New_AS_059.wav,-8.180621,31.45149
AS,New_AS_060.wav,-5.219921,22.163557
AS,New_AS_061.wav,-4.0064397,25.177963
AS,New_AS_062.wav,-4.1112647,25.567675
AS,New_AS_063.wav,-9.598972,32.208675
AS,New_AS_064.wav,-5.7044106,22.41179
AS,New_AS_065.wav,-8.306958,31.080671
AS,New_AS_066.wav,-4.2734146,21.555023
AS,New_AS_067.wav,-6.4258595,24.612782
AS,New_AS_068.wav,-8.252378,24.766636
AS,New_AS_069.wav,-6.8187356,24.019129
AS,New_AS_070.wav,-7.4562025,31.844805
AS,New_AS_071.wav,-4.9814963,24.423965
AS,New_AS_072.wav,-6.120584,24.001188
AS,New_AS_073.wav,-5.03045,22.230968
AS,New_AS_074.wav,-5.4824533,23.015339
AS,New_AS_075.wav,-11.8654585,34.059013
AS,New_AS_076.wav,-5.411149,25.890747
AS,New_AS_077.wav,6.2224245,11.649484
AS,New_AS_078.wav,5.929502,8.463713
AS,New_AS_079.wav,8.405044,11.940036
AS,New_AS_080.wav,5.396889,16.221443
AS,New_AS_081.wav,3.4613006,14.35594
AS,New_AS_082.wav,4.2311134,11.168692
AS,New_AS_083.wav,5.423132,11.39448
AS,New_AS_084.wav,6.5360546,6.5564847
AS,New_AS_085.wav,5.397354,12.801289
AS,New_AS_086.wav,9.543605,8.4387865
AS,New_AS_087.wav,5.7140503,7.4747586
AS,New_AS_088.wav,2.8021812,13.963238
AS,New_AS_089.wav,2.6730347,14.3121195
AS,New_AS_090.wav,3.6566978,14.565505
AS,New_AS_091.wav,5.7058487,6.4586983
AS,New_AS_092.wav,7.3207045,8.957799
AS,New_AS_093.wav,4.553642,13.465075
AS,New_AS_094.wav,7.929696,7.3126435
AS,New_AS_095.wav,7.7463136,9.709503
AS,New_AS_096.wav,10.471906,6.5113688
AS,New_AS_097.wav,5.512311,4.982635
AS,New_AS_098.wav,4.307469,7.213385
AS,New_AS_099.wav,5.0666046,15.936189
AS,New_AS_100.wav,9.372369,7.7017508
AS,New_AS_101.wav,6.811087,12.814771
AS,New_AS_102.wav,10.430832,9.208681
AS,New_AS_103.wav,6.6514215,7.8273892
AS,New_AS_104.wav,5.1639647,14.422124
AS,New_AS_105.wav,7.6641417,6.794178
AS,New_AS_106.wav,7.148972,5.1170096
AS,New_AS_107.wav,5.047161,7.6538124
AS,New_AS_108.wav,4.000609,9.547213
AS,New_AS_109.wav,4.9724617,15.298346
AS,New_AS_110.wav,5.057649,13.440361
AS,New_AS_111.wav,1.2563947,3.7350752
AS,New_AS_112.wav,1.2598549,3.4053128
AS,New_AS_113.wav,3.2125309,4.556282
AS,New_AS_114.wav,1.0950526,3.621879
AS,New_AS_115.wav,5.0586343,11.420069
AS,New_AS_116.wav,3.17591,12.65035
AS,New_AS_117.wav,2.9434006,14.036518
AS,New_AS_118.wav,5.6841073,14.073799
AS,New_AS_119.wav,5.0877876,4.8619313
AS,New_AS_120.wav,4.6027927,5.3112535
AS,New_AS_121.wav,5.2266874,12.371053
AS,New_AS_122.wav,11.587806,7.5242033
AS,New_AS_123.wav,10.678742,9.455042
AS,New_AS_124.wav,5.451211,6.018159
AS,New_AS_125.wav,4.7893367,10.255673
AS,New_AS_126.wav,8.189954,12.1274605
AS,New_AS_127.wav,6.64989,14.637454
AS,New_AS_128.wav,5.221278,13.864825
AS,New_AS_129.wav,28.694265,-11.940971
AS,New_AS_130.wav,26.440754,-13.39437
AS,New_AS_131.wav,-15.205779,38.956493
AS,New_AS_132.wav,4.5419793,16.93684
AS,New_AS_133.wav,19.839973,-19.391195
AS,New_AS_134.wav,7.766737,14.295436
AS,New_AS_135.wav,19.917973,-19.288906
AS,New_AS_136.wav,28.206062,-12.044195
AS,New_AS_137.wav,29.373222,-12.594074
AS,New_AS_138.wav,28.577946,-12.51119
AS,New_AS_139.wav,30.259874,-12.303923
