clase,archivo,tSNE_1,tSNE_2
AS,New_AS_001.wav,-17.234102,10.466395
AS,New_AS_002.wav,-11.27207,13.735572
AS,New_AS_003.wav,-14.722399,15.978942
AS,New_AS_004.wav,-14.735459,15.969653
AS,New_AS_005.wav,-16.048153,13.637718
AS,New_AS_006.wav,-9.457043,13.456924
AS,New_AS_007.wav,-17.12428,11.908531
AS,New_AS_008.wav,-9.3553705,11.957593
AS,New_AS_009.wav,-12.340803,13.25676
AS,New_AS_010.wav,-15.442414,11.102255
AS,New_AS_011.wav,-10.581839,12.786848
AS,New_AS_012.wav,-14.112494,9.533969
AS,New_AS_013.wav,-14.046197,10.739028
AS,New_AS_014.wav,-9.792955,15.500381
AS,New_AS_015.wav,-16.426413,13.558311
AS,New_AS_016.wav,-11.02846,12.500988
AS,New_AS_017.wav,-11.842941,12.922879
AS,New_AS_018.wav,-15.059583,10.707893
AS,New_AS_019.wav,-17.034788,10.278778
AS,New_AS_020.wav,-8.634391,11.664372
AS,New_AS_021.wav,-16.09207,12.794244
AS,New_AS_022.wav,-15.013642,15.910323
AS,New_AS_023.wav,-15.295392,13.236874
AS,New_AS_024.wav,-9.641751,13.245989
AS,New_AS_025.wav,-15.374364,14.234128
AS,New_AS_026.wav,-8.441561,10.852839
AS,New_AS_027.wav,-8.294507,12.341835
AS,New_AS_028.wav,-15.677279,11.190731
AS,New_AS_029.wav,-14.632156,11.736009
AS,New_AS_030.wav,-9.728402,14.487738
AS,New_AS_031.wav,-15.648469,8.426427
AS,New_AS_032.wav,-10.104914,13.05573
AS,New_AS_033.wav,-16.618502,11.937236
AS,New_AS_034.wav,-14.8185835,12.035142
AS,New_AS_035.wav,-12.544337,15.263364
AS,New_AS_036.wav,-16.696863,11.52282
AS,New_AS_037.wav,-10.180731,9.012318
AS,New_AS_038.wav,-13.967233,12.140868
AS,New_AS_039.wav,-10.8095875,15.170108
AS,New_AS_040.wav,-12.420387,15.283686
AS,New_AS_041.wav,-12.383771,10.910517
AS,New_AS_042.wav,-16.561842,11.473792
AS,New_AS_043.wav,-13.406986,12.975447
AS,New_AS_044.wav,-12.804165,11.759718
AS,New_AS_045.wav,-8.415718,10.662241
AS,New_AS_046.wav,-16.862404,12.489775
AS,New_AS_047.wav,-9.97526,11.612954
AS,New_AS_048.wav,-12.749739,12.936808
AS,New_AS_049.wav,2.1045437,-2.6972752
AS,New_AS_050.wav,0.49665976,-8.214007
AS,New_AS_051.wav,-2.213634,-9.913676
AS,New_AS_052.wav,-2.426311,-10.363248
AS,New_AS_053.wav,0.47322866,-8.428879
AS,New_AS_054.wav,-1.1074313,-8.022237
AS,New_AS_055.wav,-2.8742836,-10.075204
AS,New_AS_056.wav,-2.2174299,-10.673181
AS,New_AS_057.wav,-1.3076092,-8.141754
AS,New_AS_058.wav,-1.0137182,-7.6458106
AS,New_AS_059.wav,-2.2829216,-10.791466
AS,New_AS_060.wav,-3.0997283,-10.912263
AS,New_AS_061.wav,0.5040812,-7.449696
AS,New_AS_062.wav,0.7155274,-7.1355515
AS,New_AS_063.wav,-2.4118414,-11.215004
AS,New_AS_064.wav,-2.774725,-10.642768
AS,New_AS_065.wav,2.1398165,-2.6571827
AS,New_AS_066.wav,-2.5990465,-10.223608
AS,New_AS_067.wav,-0.98707354,-7.6458936
AS,New_AS_068.wav,-1.7624314,-10.2115135
AS,New_AS_069.wav,2.5969741,-3.6408947
AS,New_AS_070.wav,0.8218712,-7.5902996
AS,New_AS_071.wav,-1.0747142,-7.109531
AS,New_AS_072.wav,-0.79454607,-7.4023323
AS,New_AS_073.wav,-1.2954129,-6.685589
AS,New_AS_074.wav,-2.8338645,-10.562367
AS,New_AS_075.wav,3.3738582,-2.406612
AS,New_AS_076.wav,-0.66464055,-7.6886587
AS,New_AS_077.wav,-14.059416,9.637895
AS,New_AS_078.wav,-13.477127,13.680942
AS,New_AS_079.wav,-11.107095,12.980539
AS,New_AS_080.wav,-10.342842,10.976456
AS,New_AS_081.wav,-13.022604,10.544571
AS,New_AS_082.wav,-9.525452,13.702977
AS,New_AS_083.wav,-15.445638,8.318968
AS,New_AS_084.wav,-16.742004,13.325741
AS,New_AS_085.wav,-9.867125,12.233185
AS,New_AS_086.wav,-14.106703,12.351545
AS,New_AS_087.wav,-10.111611,15.053881
AS,New_AS_088.wav,-8.23267,13.512235
AS,New_AS_089.wav,-7.727217,13.501677
AS,New_AS_090.wav,-8.119707,11.146806
AS,New_AS_091.wav,-16.870329,13.12327
AS,New_AS_092.wav,-12.582418,14.721191
AS,New_AS_093.wav,-12.930382,11.136802
AS,New_AS_094.wav,-14.660948,10.985909
AS,New_AS_095.wav,-17.922857,12.389719
AS,New_AS_096.wav,-13.968277,13.674337
AS,New_AS_097.wav,-13.760805,16.123943
AS,New_AS_098.wav,-12.141655,15.6809845
AS,New_AS_099.wav,-10.631851,10.1909485
AS,New_AS_100.wav,-16.317394,12.523477
AS,New_AS_101.wav,-10.997985,11.291809
AS,New_AS_102.wav,-14.897436,10.344503
AS,New_AS_103.wav,-15.238672,11.912871
AS,New_AS_104.wav,-8.765563,12.371204
AS,New_AS_105.wav,-15.340061,11.978638
AS,New_AS_106.wav,-16.390404,14.067616
AS,New_AS_107.wav,-8.744346,14.025805
AS,New_AS_108.wav,-13.13838,10.339289
AS,New_AS_109.wav,-8.109014,10.842208
AS,New_AS_110.wav,-9.368779,14.0436945
AS,New_AS_111.wav,-9.92505,18.581112
AS,New_AS_112.wav,-9.641974,18.793945
AS,New_AS_113.wav,-10.091016,18.799084
AS,New_AS_114.wav,-9.858033,18.83754
AS,New_AS_115.wav,-12.611463,11.060764
AS,New_AS_116.wav,-13.177953,9.166595
