clase,archivo,tSNE_1,tSNE_2
AS,New_AS_001.wav,21.02973,-38.297924
AS,New_AS_002.wav,21.733261,-37.41725
AS,New_AS_003.wav,22.220793,-37.70868
AS,New_AS_004.wav,22.072422,-38.39517
AS,New_AS_005.wav,21.978746,-38.79072
AS,New_AS_006.wav,21.37317,-37.749557
AS,New_AS_007.wav,21.265654,-37.796127
AS,New_AS_008.wav,22.076002,-37.651512
AS,New_AS_009.wav,22.110857,-37.523014
AS,New_AS_010.wav,21.724092,-38.603626
AS,New_AS_011.wav,22.15596,-38.24739
AS,New_AS_012.wav,21.192816,-38.14303
AS,New_AS_013.wav,21.38563,-38.652065
AS,New_AS_014.wav,22.290833,-38.090572
AS,New_AS_015.wav,21.624617,-37.53405
AS,New_AS_016.wav,21.913673,-38.86835
AS,New_AS_017.wav,22.188658,-38.563976
AS,New_AS_018.wav,21.243076,-37.778786
AS,New_AS_019.wav,21.150188,-38.24549
AS,New_AS_020.wav,22.454302,-37.845463
AS,New_AS_021.wav,21.908003,-37.881298
AS,New_AS_022.wav,21.35901,-38.496037
AS,New_AS_023.wav,22.068933,-38.740757
AS,New_AS_024.wav,21.586252,-38.24401
AS,New_AS_025.wav,-2.1128948,-36.436436
AS,New_AS_026.wav,-0.23067832,-33.80543
AS,New_AS_027.wav,-0.96594816,-33.236065
AS,New_AS_028.wav,-2.4436123,-35.382797
AS,New_AS_029.wav,-4.302579,-35.72171
AS,New_AS_030.wav,-2.0837188,-35.596275
AS,New_AS_031.wav,-3.8677378,-37.260193
AS,New_AS_032.wav,-0.04454798,-35.51877
AS,New_AS_033.wav,-1.4754113,-35.27097
AS,New_AS_034.wav,-4.684124,-36.336784
AS,New_AS_035.wav,-4.6912756,-33.00277
AS,New_AS_036.wav,-2.7670255,-37.145206
AS,New_AS_037.wav,-3.3771648,-36.970314
AS,New_AS_038.wav,-0.8056775,-36.29406
AS,New_AS_039.wav,-1.5454413,-34.150787
AS,New_AS_040.wav,-3.4348538,-33.84276
AS,New_AS_041.wav,-3.8291702,-34.906174
AS,New_AS_042.wav,-2.7058916,-36.598606
AS,New_AS_043.wav,-1.5993972,-37.644844
AS,New_AS_044.wav,-0.8469516,-33.957844
AS,New_AS_045.wav,-1.3537282,-35.735348
AS,New_AS_046.wav,-4.3123903,-33.970753
AS,New_AS_047.wav,-2.4828265,-34.20609
AS,New_AS_048.wav,-5.9067264,-33.65665
AS,New_AS_049.wav,-21.196684,-27.40854
AS,New_AS_050.wav,-21.08618,-26.04768
AS,New_AS_051.wav,-21.703476,-26.482708
AS,New_AS_052.wav,-22.244152,-25.840014
AS,New_AS_053.wav,-21.49473,-25.470764
AS,New_AS_054.wav,-22.095354,-25.578066
AS,New_AS_055.wav,-20.539774,-26.23801
AS,New_AS_056.wav,-21.077972,-25.33112
AS,New_AS_057.wav,-20.978033,-25.27716
AS,New_AS_058.wav,-21.624008,-25.717318
AS,New_AS_059.wav,-21.639338,-25.154877
AS,New_AS_060.wav,-21.630136,-25.107273
AS,New_AS_061.wav,-21.841324,-25.530321
AS,New_AS_062.wav,-21.02418,-27.026545
AS,New_AS_063.wav,-21.811586,-26.13677
AS,New_AS_064.wav,-21.064756,-26.285074
AS,New_AS_065.wav,-20.870987,-27.04653
AS,New_AS_066.wav,-21.23852,-26.614697
AS,New_AS_067.wav,-21.097271,-26.253
AS,New_AS_068.wav,-21.521126,-27.160461
AS,New_AS_069.wav,-21.437426,-27.206778
AS,New_AS_070.wav,-22.035412,-26.310427
AS,New_AS_071.wav,-21.312634,-25.984163
AS,New_AS_072.wav,-21.71548,-26.522728
AS,New_AS_073.wav,-21.018103,-26.725492
AS,New_AS_074.wav,-20.771261,-25.640371
AS,New_AS_075.wav,-21.447268,-27.25841
AS,New_AS_076.wav,-22.216785,-26.46017
AS,New_AS_077.wav,-1.5345528,-37.64452
AS,New_AS_078.wav,-0.111506484,-34.702553
AS,New_AS_079.wav,-0.68358535,-36.730988
AS,New_AS_080.wav,-5.2288404,-33.04587
AS,New_AS_081.wav,-4.056249,-33.106247
AS,New_AS_082.wav,-3.091332,-33.41603
AS,New_AS_083.wav,-4.619134,-37.454567
AS,New_AS_084.wav,-0.8631324,-35.44733
AS,New_AS_085.wav,-1.2505649,-33.94765
AS,New_AS_086.wav,-4.911588,-37.02353
AS,New_AS_087.wav,-3.380443,-38.248043
AS,New_AS_088.wav,-2.1103365,-32.404938
AS,New_AS_089.wav,-2.218836,-32.56325
AS,New_AS_090.wav,-0.2743734,-33.925007
AS,New_AS_091.wav,0.4985818,-33.869053
AS,New_AS_092.wav,-4.285626,-34.74359
AS,New_AS_093.wav,-3.7506795,-33.197178
AS,New_AS_094.wav,-2.2604222,-37.085453
AS,New_AS_095.wav,-5.1917167,-36.9493
AS,New_AS_096.wav,-0.7978849,-34.67016
AS,New_AS_097.wav,-0.39460483,-35.406597
AS,New_AS_098.wav,-2.5299168,-33.92395
AS,New_AS_099.wav,-4.567583,-35.743458
AS,New_AS_100.wav,-5.9248085,-33.90371
AS,New_AS_101.wav,-1.5384058,-37.149147
AS,New_AS_102.wav,-0.87635386,-35.7175
AS,New_AS_103.wav,0.008781971,-36.01157
AS,New_AS_104.wav,-3.4257646,-34.71225
AS,New_AS_105.wav,-4.2193923,-35.938828
AS,New_AS_106.wav,-2.067279,-36.030163
AS,New_AS_107.wav,-3.215114,-33.270813
AS,New_AS_108.wav,-0.7526532,-33.736504
