clase,archivo,tSNE_1,tSNE_2
AS,New_AS_001.wav,-5.081696,11.86691
AS,New_AS_002.wav,-13.215431,7.6949596
AS,New_AS_003.wav,-12.624327,5.886145
AS,New_AS_004.wav,-4.7429256,1.1844635
AS,New_AS_005.wav,-8.059901,9.397336
AS,New_AS_006.wav,-15.649644,7.4019704
AS,New_AS_007.wav,-10.358645,9.718318
AS,New_AS_008.wav,-11.116974,11.887931
AS,New_AS_009.wav,-16.04783,7.9051847
AS,New_AS_010.wav,-7.627761,9.40345
AS,New_AS_011.wav,-15.797607,8.468359
AS,New_AS_012.wav,-5.6170897,13.92888
AS,New_AS_013.wav,-15.968469,7.528169
AS,New_AS_014.wav,-13.395122,8.080228
AS,New_AS_015.wav,-11.758713,6.399401
AS,New_AS_016.wav,-12.601277,6.8909445
AS,New_AS_017.wav,-10.0643425,11.8276
AS,New_AS_018.wav,-12.043405,13.457676
AS,New_AS_019.wav,-5.076478,11.800296
AS,New_AS_020.wav,-10.065222,10.807986
AS,New_AS_021.wav,-11.050396,10.168791
AS,New_AS_022.wav,-14.443021,6.225712
AS,New_AS_023.wav,-14.860493,6.6413007
AS,New_AS_024.wav,-15.303121,8.188172
AS,New_AS_025.wav,-14.31139,6.7184772
AS,New_AS_026.wav,-1.74181,20.178734
AS,New_AS_027.wav,-13.419655,11.446294
AS,New_AS_028.wav,-11.579811,10.939703
AS,New_AS_029.wav,-9.4952345,11.822719
AS,New_AS_030.wav,-11.322686,8.232149
AS,New_AS_031.wav,-5.8995013,17.457447
AS,New_AS_032.wav,-7.5423994,13.530618
AS,New_AS_033.wav,-10.676637,8.800524
AS,New_AS_034.wav,-10.819588,7.3006015
AS,New_AS_035.wav,-10.60243,6.567796
AS,New_AS_036.wav,-8.2622385,11.358075
AS,New_AS_037.wav,-6.0127726,20.630405
AS,New_AS_038.wav,-8.200045,10.563239
AS,New_AS_039.wav,-12.846005,8.323878
AS,New_AS_040.wav,-12.800963,7.5060773
AS,New_AS_041.wav,-10.38675,12.461802
AS,New_AS_042.wav,-6.1986923,14.759204
AS,New_AS_043.wav,-1.7027186,20.645834
AS,New_AS_044.wav,-8.423428,12.242668
AS,New_AS_045.wav,-5.495461,18.243383
AS,New_AS_046.wav,-9.619162,8.949787
AS,New_AS_047.wav,-11.32986,11.905458
AS,New_AS_048.wav,-11.296128,13.914707
AS,New_AS_049.wav,-1.0758876,32.1009
AS,New_AS_050.wav,-2.7268932,32.25897
AS,New_AS_051.wav,-12.435406,14.554498
AS,New_AS_052.wav,-8.484059,26.98655
AS,New_AS_053.wav,-3.6377888,31.986559
AS,New_AS_054.wav,-5.223826,23.366426
AS,New_AS_055.wav,-8.362317,26.843233
AS,New_AS_056.wav,-7.210984,28.990854
AS,New_AS_057.wav,-6.3887243,21.2477
AS,New_AS_058.wav,-7.4744887,24.955511
AS,New_AS_059.wav,-7.1789303,29.163874
AS,New_AS_060.wav,-8.666575,26.195864
AS,New_AS_061.wav,-2.430713,31.827261
AS,New_AS_062.wav,-2.2712858,32.1438
AS,New_AS_063.wav,-7.260884,29.198236
AS,New_AS_064.wav,-8.726162,26.925995
AS,New_AS_065.wav,0.3066817,30.955702
AS,New_AS_066.wav,-9.547517,25.832388
AS,New_AS_067.wav,-3.3012109,31.15415
AS,New_AS_068.wav,-7.5414963,27.725275
AS,New_AS_069.wav,-2.5721052,22.774054
AS,New_AS_070.wav,-1.6058797,32.855125
AS,New_AS_071.wav,-6.2382436,21.889673
AS,New_AS_072.wav,-6.00871,21.95217
AS,New_AS_073.wav,-6.9118257,18.621517
AS,New_AS_074.wav,-8.47612,27.652494
AS,New_AS_075.wav,1.5757791,30.530153
AS,New_AS_076.wav,-6.260804,21.970001
AS,New_AS_077.wav,-5.477516,13.287288
AS,New_AS_078.wav,-7.1526046,8.599561
AS,New_AS_079.wav,-9.173176,13.228564
AS,New_AS_080.wav,-4.963957,18.789637
AS,New_AS_081.wav,-9.001626,12.59085
AS,New_AS_082.wav,-15.6788435,8.188633
AS,New_AS_083.wav,-1.7334319,21.39742
AS,New_AS_084.wav,-8.850993,12.462739
AS,New_AS_085.wav,-14.933866,8.963403
AS,New_AS_086.wav,-10.401601,8.552691
AS,New_AS_087.wav,-9.069387,7.12907
AS,New_AS_088.wav,-13.695398,11.06441
AS,New_AS_089.wav,-10.023806,13.724736
AS,New_AS_090.wav,-5.1345115,17.746902
AS,New_AS_091.wav,-6.503839,13.32239
AS,New_AS_092.wav,-8.915413,8.628491
AS,New_AS_093.wav,-9.362798,9.924774
AS,New_AS_094.wav,-5.707871,13.573729
AS,New_AS_095.wav,-8.305318,10.72618
AS,New_AS_096.wav,-10.309515,7.8942804
AS,New_AS_097.wav,-8.01619,7.943848
AS,New_AS_098.wav,-8.26705,8.014744
AS,New_AS_099.wav,-5.305204,18.5258
AS,New_AS_100.wav,-7.618195,11.048676
AS,New_AS_101.wav,-6.0359306,16.533316
AS,New_AS_102.wav,-6.039491,13.5762615
AS,New_AS_103.wav,-6.7228026,13.705282
AS,New_AS_104.wav,-9.1753,10.911698
AS,New_AS_105.wav,-11.378317,9.706878
AS,New_AS_106.wav,-12.172807,5.9981055
AS,New_AS_107.wav,-16.03563,8.451816
AS,New_AS_108.wav,-11.893335,12.813192
AS,New_AS_109.wav,-8.094974,14.144554
