clase,archivo,tSNE_1,tSNE_2
AS,New_AS_001.wav,-7.2003245,19.797747
AS,New_AS_002.wav,7.322549,17.925035
AS,New_AS_003.wav,-1.901307,21.728956
AS,New_AS_004.wav,1.0137326,20.666971
AS,New_AS_005.wav,-4.2600036,21.615667
AS,New_AS_006.wav,2.5030887,17.709393
AS,New_AS_007.wav,-6.949507,20.470985
AS,New_AS_008.wav,7.050885,17.31889
AS,New_AS_009.wav,2.1743636,19.618261
AS,New_AS_010.wav,-3.2459333,19.94418
AS,New_AS_011.wav,5.1770835,17.260569
AS,New_AS_012.wav,0.80966026,18.15679
AS,New_AS_013.wav,-2.2571602,19.442965
AS,New_AS_014.wav,8.367699,16.516457
AS,New_AS_015.wav,-5.754097,21.74026
AS,New_AS_016.wav,6.755479,17.500353
AS,New_AS_017.wav,3.1850805,19.383759
AS,New_AS_018.wav,-2.4619873,19.040949
AS,New_AS_019.wav,-6.3416224,19.724798
AS,New_AS_020.wav,5.494832,19.611498
AS,New_AS_021.wav,-4.345341,20.703354
AS,New_AS_022.wav,1.3231126,18.3381
AS,New_AS_023.wav,-3.4113417,20.4146
AS,New_AS_024.wav,4.4543467,16.959044
AS,New_AS_025.wav,-3.4193506,19.51008
AS,New_AS_026.wav,4.7854705,20.265207
AS,New_AS_027.wav,5.0503263,18.846256
AS,New_AS_028.wav,-4.095261,20.486568
AS,New_AS_029.wav,-2.8884292,20.724289
AS,New_AS_030.wav,5.907724,17.823948
AS,New_AS_031.wav,-6.60083,20.027096
AS,New_AS_032.wav,5.9414,18.453876
AS,New_AS_033.wav,-5.6833587,20.476326
AS,New_AS_034.wav,-1.7557074,19.97183
AS,New_AS_035.wav,2.027824,20.440712
AS,New_AS_036.wav,-6.5024915,20.575365
AS,New_AS_037.wav,-1.3552816,19.535067
AS,New_AS_038.wav,-1.0962939,20.434698
AS,New_AS_039.wav,5.9111805,19.286692
AS,New_AS_040.wav,1.7876688,20.224537
AS,New_AS_041.wav,1.8377632,19.392138
AS,New_AS_042.wav,-6.4074407,20.649347
AS,New_AS_043.wav,-1.8160108,20.98118
AS,New_AS_044.wav,-1.1699207,20.751823
AS,New_AS_045.wav,7.9046187,17.38862
AS,New_AS_046.wav,-6.0039296,21.16541
AS,New_AS_047.wav,4.818577,18.598606
AS,New_AS_048.wav,-1.1392335,20.902077
AS,New_AS_049.wav,-6.3655906,-1.1575015
AS,New_AS_050.wav,-13.477717,-1.6221465
AS,New_AS_051.wav,-20.51862,-3.0015867
AS,New_AS_052.wav,-21.526415,-3.0227914
AS,New_AS_053.wav,-13.821449,-1.8335462
AS,New_AS_054.wav,-15.815084,0.15891631
AS,New_AS_055.wav,-23.100813,-2.9195426
AS,New_AS_056.wav,-21.328047,-3.2755637
AS,New_AS_057.wav,-16.08024,0.46582374
AS,New_AS_058.wav,-14.968872,0.41711715
AS,New_AS_059.wav,-21.396076,-3.3039863
AS,New_AS_060.wav,-23.476707,-3.7812998
AS,New_AS_061.wav,-13.370304,-0.52821994
AS,New_AS_062.wav,-12.07871,-0.8687497
AS,New_AS_063.wav,-21.9577,-3.0965347
AS,New_AS_064.wav,-22.66482,-3.1618562
AS,New_AS_065.wav,-6.32835,-1.1628287
AS,New_AS_066.wav,-21.624289,-2.9241161
AS,New_AS_067.wav,-15.497457,0.022693241
AS,New_AS_068.wav,-19.45557,-3.0647225
AS,New_AS_069.wav,-13.255617,0.9489385
AS,New_AS_070.wav,-12.094221,-1.010127
AS,New_AS_071.wav,-14.131092,0.75877243
AS,New_AS_072.wav,-14.488903,0.16120063
AS,New_AS_073.wav,-14.648604,0.81057537
AS,New_AS_074.wav,-22.530945,-3.2678359
AS,New_AS_075.wav,-5.909936,-1.3400859
AS,New_AS_076.wav,-14.340475,-0.009675915
AS,New_AS_077.wav,0.5608968,19.509892
AS,New_AS_078.wav,-3.0227854,22.503054
AS,New_AS_079.wav,4.142011,20.249006
AS,New_AS_080.wav,5.064753,18.90557
AS,New_AS_081.wav,-0.120254,19.7261
AS,New_AS_082.wav,4.36359,17.362062
AS,New_AS_083.wav,-6.674183,19.89842
AS,New_AS_084.wav,-5.8748064,21.466482
AS,New_AS_085.wav,6.0018063,17.115164
AS,New_AS_086.wav,-2.7390096,21.257057
AS,New_AS_087.wav,6.4849663,18.252539
AS,New_AS_088.wav,4.390951,18.780416
AS,New_AS_089.wav,8.711526,15.409814
AS,New_AS_090.wav,6.725817,19.443037
AS,New_AS_091.wav,-6.0903287,21.891191
AS,New_AS_092.wav,0.37969124,20.835545
AS,New_AS_093.wav,1.4380265,19.37748
AS,New_AS_094.wav,-2.772564,19.764309
AS,New_AS_095.wav,-6.356937,21.187983
AS,New_AS_096.wav,-2.7079282,22.27756
AS,New_AS_097.wav,0.5550247,21.286499
AS,New_AS_098.wav,5.786087,18.523943
AS,New_AS_099.wav,3.419177,20.117466
AS,New_AS_100.wav,-5.048659,20.532415
AS,New_AS_101.wav,3.9404962,17.767218
AS,New_AS_102.wav,-2.3172638,20.096823
AS,New_AS_103.wav,-4.8915687,21.4978
AS,New_AS_104.wav,8.099092,16.373041
AS,New_AS_105.wav,-3.009094,20.117256
AS,New_AS_106.wav,-4.0541816,20.042294
AS,New_AS_107.wav,7.099312,16.334467
AS,New_AS_108.wav,2.1421676,19.10202
AS,New_AS_109.wav,7.4922915,18.013456
AS,New_AS_110.wav,6.7623143,16.796062
AS,New_AS_111.wav,1.1484183,14.685393
AS,New_AS_112.wav,1.218353,14.676652
AS,New_AS_113.wav,1.1285177,14.671337
AS,New_AS_114.wav,1.1443254,14.656605
AS,New_AS_115.wav,3.2894464,18.458813
AS,New_AS_116.wav,-1.2700559,18.358524
AS,New_AS_117.wav,7.6865234,16.390718
AS,New_AS_118.wav,6.875331,16.940264
AS,New_AS_119.wav,-1.2031846,21.499634
AS,New_AS_120.wav,-0.6911819,21.331953
AS,New_AS_121.wav,4.652993,18.352314
AS,New_AS_122.wav,-4.2264333,20.047674
AS,New_AS_123.wav,-6.633716,19.713774
AS,New_AS_124.wav,6.17434,19.285963
AS,New_AS_125.wav,-2.6013057,21.48094
AS,New_AS_126.wav,4.1946354,17.545176
AS,New_AS_127.wav,3.1481624,18.337124
AS,New_AS_128.wav,4.8221736,17.914133
AS,New_AS_129.wav,-37.6179,-13.627456
AS,New_AS_130.wav,-37.882126,-13.5209255
AS,New_AS_131.wav,-11.81961,23.137367
AS,New_AS_132.wav,-19.20798,-0.48558816
AS,New_AS_133.wav,-24.996254,-26.82325
AS,New_AS_134.wav,-0.5187429,19.234507
AS,New_AS_135.wav,-24.629513,-27.16577
AS,New_AS_136.wav,-37.1408,-14.126798
AS,New_AS_137.wav,-38.62344,-13.476841
AS,New_AS_138.wav,-38.177338,-13.36443
AS,New_AS_139.wav,-37.939255,-14.12382
AS,New_AS_140.wav,8.85937,17.91822
AS,New_AS_141.wav,-0.044816054,22.43848
AS,New_AS_142.wav,9.290508,14.910485
AS,New_AS_143.wav,9.471672,14.601732
AS,New_AS_144.wav,-9.897205,21.736399
AS,New_AS_145.wav,-9.882961,22.004139
AS,New_AS_146.wav,-8.827485,22.001516
AS,New_AS_147.wav,-9.19784,22.000261
AS,New_AS_148.wav,-8.776304,21.94811
AS,New_AS_149.wav,-10.102471,21.736986
AS,New_AS_150.wav,-8.401598,22.07892
AS,New_AS_151.wav,-9.871592,21.843481
AS,New_AS_152.wav,-30.773232,11.001906
AS,New_AS_153.wav,-30.805515,11.065676
AS,New_AS_154.wav,-30.76294,10.985035
AS,New_AS_155.wav,-30.8284,10.988147
AS,New_AS_156.wav,-37.125694,-14.10611
AS,New_AS_157.wav,-38.495907,-13.678846
AS,New_AS_158.wav,-38.91808,-12.557009
AS,New_AS_159.wav,-38.28611,-13.857225
AS,New_AS_160.wav,-39.302544,-12.252508
AS,New_AS_161.wav,-40.15572,-11.724808
AS,New_AS_162.wav,-38.994263,-12.422299
AS,New_AS_163.wav,-40.00715,-11.855417
AS,New_AS_164.wav,-23.03692,-28.365442
AS,New_AS_165.wav,-23.29854,-28.12772
AS,New_AS_166.wav,-25.343092,-26.01005
AS,New_AS_167.wav,-25.049246,-25.390951
AS,New_AS_168.wav,-25.282427,-25.778425
AS,New_AS_169.wav,-24.254038,-27.224136
AS,New_AS_170.wav,-23.561243,-27.960367
AS,New_AS_171.wav,-23.226156,-28.154324
AS,New_AS_172.wav,-24.686745,-26.572779
AS,New_AS_173.wav,-24.940117,-25.881752
AS,New_AS_174.wav,-24.859741,-25.546597
AS,New_AS_175.wav,-25.261473,-26.343142
AS,New_AS_176.wav,-24.619598,-26.067568
AS,New_AS_177.wav,-24.973745,-26.317808
AS,New_AS_178.wav,-25.295948,-25.322977
AS,New_AS_179.wav,-25.224926,-25.682085
AS,New_AS_180.wav,-23.92366,-28.169138
AS,New_AS_181.wav,-23.34442,-28.697262
AS,New_AS_182.wav,-23.959642,-27.96895
AS,New_AS_183.wav,-23.792719,-28.5789
AS,New_AS_184.wav,-38.23686,-13.012796
AS,New_AS_185.wav,-40.02849,-11.811872
AS,New_AS_186.wav,-38.27534,-12.973185
AS,New_AS_187.wav,-39.29277,-12.574455
AS,New_AS_188.wav,-11.447593,2.320804
AS,New_AS_189.wav,-10.499679,2.6104372
AS,New_AS_190.wav,-22.848158,-28.990433
AS,New_AS_191.wav,-23.310251,-29.094507
AS,New_AS_192.wav,-9.8078575,22.826956
AS,New_AS_193.wav,-9.721471,22.876001
AS,New_AS_194.wav,-8.195259,22.7667
AS,New_AS_195.wav,-10.516755,22.29655
AS,New_AS_196.wav,-29.264524,-21.290205
AS,New_AS_197.wav,-28.688646,-22.215149
AS,New_AS_198.wav,-28.809704,-22.29399
AS,New_AS_199.wav,-28.261726,-22.658628
AS,New_AS_200.wav,-28.508871,-22.528593
MR,New_MR_001.wav,7.9553366,18.99473
MR,New_MR_002.wav,3.8500285,21.234741
MR,New_MR_003.wav,-7.6633725,21.903975
MR,New_MR_004.wav,-6.670916,22.612469
MR,New_MR_005.wav,-14.853717,-0.39829502
MR,New_MR_006.wav,-5.5856514,-1.5696872
MR,New_MR_007.wav,-13.213524,-0.10575433
MR,New_MR_008.wav,-5.6065397,-1.5308274
MR,New_MR_009.wav,-13.131728,-0.1320291
MR,New_MR_010.wav,-5.5261874,-1.5566397
MR,New_MR_011.wav,-28.077307,-1.878154
MR,New_MR_012.wav,-26.719568,-2.5279188
MR,New_MR_013.wav,-25.783245,-4.7875457
MR,New_MR_014.wav,-27.122519,-2.2204428
MR,New_MR_015.wav,-28.202303,9.597354
MR,New_MR_016.wav,-27.613861,9.750362
MR,New_MR_017.wav,-29.458889,8.364672
MR,New_MR_018.wav,-28.456053,9.434952
MR,New_MR_019.wav,-28.04591,9.671201
MR,New_MR_020.wav,-28.39915,9.402766
MR,New_MR_021.wav,3.2788482,-7.533826
MR,New_MR_022.wav,6.9737735,2.2879498
MR,New_MR_023.wav,5.138632,1.3894464
MR,New_MR_024.wav,11.917144,3.5460641
MR,New_MR_025.wav,6.5827503,2.0912507
MR,New_MR_026.wav,-36.082214,5.0087657
MR,New_MR_027.wav,-39.275707,7.578011
MR,New_MR_028.wav,-36.682453,2.2063146
MR,New_MR_029.wav,-34.73426,-3.1204126
MR,New_MR_030.wav,-35.40052,14.575128
MR,New_MR_031.wav,-36.20688,6.916544
MR,New_MR_032.wav,-38.26111,5.91785
MR,New_MR_033.wav,-36.43388,1.270985
MR,New_MR_034.wav,-40.994545,-14.0599785
MR,New_MR_035.wav,-41.110916,-13.467289
MR,New_MR_036.wav,-40.16859,-14.382622
MR,New_MR_037.wav,-40.00974,-14.198704
