clase,archivo,tSNE_1,tSNE_2
AS,New_AS_001.wav,26.358946,36.523838
AS,New_AS_002.wav,26.61448,37.526207
AS,New_AS_003.wav,26.91217,37.51385
AS,New_AS_004.wav,27.158789,36.918716
AS,New_AS_005.wav,27.49424,36.44892
AS,New_AS_006.wav,26.5266,36.931507
AS,New_AS_007.wav,26.376692,36.92095
AS,New_AS_008.wav,27.110228,37.361908
AS,New_AS_009.wav,26.965593,37.529087
AS,New_AS_010.wav,27.304611,36.491585
AS,New_AS_011.wav,27.545475,37.037785
AS,New_AS_012.wav,26.708899,36.41814
AS,New_AS_013.wav,27.044004,36.254524
AS,New_AS_014.wav,27.334682,37.419872
AS,New_AS_015.wav,26.407442,37.224876
AS,New_AS_016.wav,27.613758,36.522488
AS,New_AS_017.wav,27.610823,36.87
AS,New_AS_018.wav,26.859169,36.34396
AS,New_AS_019.wav,26.449734,36.551502
AS,New_AS_020.wav,27.37575,37.570614
AS,New_AS_021.wav,26.741486,37.243633
AS,New_AS_022.wav,26.693758,36.60654
AS,New_AS_023.wav,27.589819,36.599567
AS,New_AS_024.wav,27.149183,36.743137
AS,New_AS_025.wav,-18.529491,29.644287
AS,New_AS_026.wav,-21.272764,29.182043
AS,New_AS_027.wav,-21.773968,27.688103
AS,New_AS_028.wav,-18.725536,28.12409
AS,New_AS_029.wav,-17.81468,27.313494
AS,New_AS_030.wav,-20.338724,28.6645
AS,New_AS_031.wav,-17.167233,29.25145
AS,New_AS_032.wav,-20.624136,30.026026
AS,New_AS_033.wav,-19.521885,29.443632
AS,New_AS_034.wav,-17.53424,27.21553
AS,New_AS_035.wav,-19.557577,25.388563
AS,New_AS_036.wav,-17.455225,29.534275
AS,New_AS_037.wav,-17.506487,28.956076
AS,New_AS_038.wav,-19.76067,30.34233
AS,New_AS_039.wav,-20.946852,27.69237
AS,New_AS_040.wav,-20.074951,26.501423
AS,New_AS_041.wav,-19.322266,27.314186
AS,New_AS_042.wav,-17.6622,29.540005
AS,New_AS_043.wav,-18.16731,30.707565
AS,New_AS_044.wav,-21.689974,28.303204
AS,New_AS_045.wav,-19.94777,28.808594
AS,New_AS_046.wav,-19.096842,25.933172
AS,New_AS_047.wav,-20.661877,26.335104
AS,New_AS_048.wav,-18.170294,25.03226
AS,New_AS_049.wav,-31.209593,2.294109
AS,New_AS_050.wav,-30.392208,1.235147
AS,New_AS_051.wav,-30.63709,0.79975027
AS,New_AS_052.wav,-30.089426,0.349566
AS,New_AS_053.wav,-29.866882,0.9087177
AS,New_AS_054.wav,-29.662283,1.009957
AS,New_AS_055.wav,-31.026075,0.20661475
AS,New_AS_056.wav,-30.156944,0.22245821
AS,New_AS_057.wav,-29.845312,0.5404006
AS,New_AS_058.wav,-29.985672,1.1221113
AS,New_AS_059.wav,-29.782581,0.30152878
AS,New_AS_060.wav,-29.983644,-0.18174168
AS,New_AS_061.wav,-29.790863,1.3429749
AS,New_AS_062.wav,-30.959599,1.9854186
AS,New_AS_063.wav,-30.451923,0.26162204
AS,New_AS_064.wav,-30.796606,0.27956423
AS,New_AS_065.wav,-31.145685,2.1620955
AS,New_AS_066.wav,-30.895502,0.6208814
AS,New_AS_067.wav,-30.687138,1.1806797
AS,New_AS_068.wav,-31.169748,1.027963
AS,New_AS_069.wav,-31.058075,1.973161
