clase,archivo,tSNE_1,tSNE_2
AS,New_AS_001.wav,-11.407095,9.400361
AS,New_AS_002.wav,-17.922419,11.562885
AS,New_AS_003.wav,-18.92253,10.431341
AS,New_AS_004.wav,-14.980426,9.767199
AS,New_AS_005.wav,-9.442887,11.687202
AS,New_AS_006.wav,-18.430107,12.899461
AS,New_AS_007.wav,-13.974654,11.937923
AS,New_AS_008.wav,-17.14674,14.100484
AS,New_AS_009.wav,-19.417776,12.496656
AS,New_AS_010.wav,-13.418687,11.476634
AS,New_AS_011.wav,-19.161976,12.693216
AS,New_AS_012.wav,-15.592619,13.076864
AS,New_AS_013.wav,-11.487696,16.675503
AS,New_AS_014.wav,-15.930784,10.585573
AS,New_AS_015.wav,-14.747417,10.500845
AS,New_AS_016.wav,-17.767416,12.380578
AS,New_AS_017.wav,-13.922482,12.892433
AS,New_AS_018.wav,-15.559255,13.288388
AS,New_AS_019.wav,-15.6342325,12.717823
AS,New_AS_020.wav,-10.3688345,15.814347
AS,New_AS_021.wav,-19.452585,12.2112665
AS,New_AS_022.wav,-19.620499,10.627755
AS,New_AS_023.wav,-19.1087,11.98146
AS,New_AS_024.wav,-15.429629,14.516458
AS,New_AS_025.wav,-16.690697,12.559131
AS,New_AS_026.wav,-10.903955,15.63038
AS,New_AS_027.wav,-9.958675,15.936804
AS,New_AS_028.wav,-14.009911,13.263553
AS,New_AS_029.wav,-13.583805,14.596331
AS,New_AS_030.wav,-15.250868,10.36309
AS,New_AS_031.wav,-15.535322,15.340282
AS,New_AS_032.wav,-15.073755,11.116104
AS,New_AS_033.wav,-14.236698,12.242377
AS,New_AS_034.wav,-14.186275,11.888354
AS,New_AS_035.wav,-7.80943,11.093532
AS,New_AS_036.wav,-10.637998,11.730673
AS,New_AS_037.wav,-19.535303,13.217051
AS,New_AS_038.wav,-11.380711,12.874645
AS,New_AS_039.wav,-12.47025,11.94535
AS,New_AS_040.wav,-9.362081,11.285919
AS,New_AS_041.wav,-14.051228,13.557868
AS,New_AS_042.wav,-12.564792,13.532785
AS,New_AS_043.wav,-14.206988,11.114237
AS,New_AS_044.wav,-11.906853,13.460118
AS,New_AS_045.wav,-13.998092,15.982774
AS,New_AS_046.wav,-9.463753,11.968831
AS,New_AS_047.wav,-11.417175,15.303737
AS,New_AS_048.wav,-18.596321,12.241141
AS,New_AS_049.wav,8.25202,28.971767
AS,New_AS_050.wav,-0.4760658,32.598034
AS,New_AS_051.wav,-2.7448277,31.113129
AS,New_AS_052.wav,-3.3788867,30.939358
AS,New_AS_053.wav,0.9896246,34.151947
AS,New_AS_054.wav,-0.37144333,32.145905
AS,New_AS_055.wav,-0.39315856,32.225986
AS,New_AS_056.wav,-2.6615016,31.242207
AS,New_AS_057.wav,-3.1111975,31.009726
AS,New_AS_058.wav,-2.1951196,31.174795
AS,New_AS_059.wav,-3.088593,31.060705
AS,New_AS_060.wav,-3.275108,30.9793
AS,New_AS_061.wav,0.14324348,33.012466
AS,New_AS_062.wav,-0.9010349,31.989012
AS,New_AS_063.wav,-0.4303619,32.64921
AS,New_AS_064.wav,-1.7650449,31.631565
AS,New_AS_065.wav,8.030004,29.707104
AS,New_AS_066.wav,-3.0756924,31.039722
AS,New_AS_067.wav,0.40095013,33.075367
AS,New_AS_068.wav,-0.5437302,32.443512
AS,New_AS_069.wav,4.5803194,23.42707
AS,New_AS_070.wav,-1.0589035,32.088108
AS,New_AS_071.wav,-1.2026521,30.692347
AS,New_AS_072.wav,0.34604734,32.915737
AS,New_AS_073.wav,2.6673398,22.520496
AS,New_AS_074.wav,-3.7434409,30.809
AS,New_AS_075.wav,8.76276,25.36625
AS,New_AS_076.wav,0.6440854,33.384193
AS,New_AS_077.wav,-10.264446,12.111648
AS,New_AS_078.wav,-8.407461,11.891942
AS,New_AS_079.wav,-17.224712,11.706946
AS,New_AS_080.wav,-13.260465,15.797786
AS,New_AS_081.wav,-10.282755,16.267118
AS,New_AS_082.wav,-18.167097,11.385925
AS,New_AS_083.wav,-7.567795,14.396375
AS,New_AS_084.wav,-14.172679,10.805614
AS,New_AS_085.wav,-19.132574,13.300452
AS,New_AS_086.wav,-12.423628,11.766988
AS,New_AS_087.wav,-16.333654,10.690717
AS,New_AS_088.wav,-9.929221,13.663556
AS,New_AS_089.wav,-9.538505,15.531805
AS,New_AS_090.wav,-9.630688,15.627274
AS,New_AS_091.wav,-7.8034773,11.282888
AS,New_AS_092.wav,-9.068222,11.75208
AS,New_AS_093.wav,-13.599099,13.884598
AS,New_AS_094.wav,-10.404027,11.148029
AS,New_AS_095.wav,-14.331533,14.454367
