indice_interno,base,metodo,distribucion,numero_capas,penalizacion_ortogonal,error_final,forma_h,forma_w,segundos
0,SNR_0db,ONMF,28-13-6,3,0.05,0.3607513487971028,6x212,126x6,0.03665050002746284
1,SNR_0db,ONMF,28-13-6,3,0.05,0.35156913895461034,6x212,126x6,0.034249400021508336
2,SNR_0db,ONMF,28-13-6,3,0.05,0.3640721406088288,6x212,126x6,0.03484940005000681
3,SNR_0db,ONMF,28-13-6,3,0.05,0.35712380436680186,6x212,126x6,0.03417140000965446
4,SNR_0db,ONMF,28-13-6,3,0.05,0.35154460675496485,6x212,126x6,0.03544859995599836
5,SNR_0db,ONMF,28-13-6,3,0.05,0.36167847751604415,6x212,126x6,0.03516750002745539
6,SNR_0db,ONMF,28-13-6,3,0.05,0.3619948715963381,6x212,126x6,0.03243550006300211
7,SNR_0db,ONMF,28-13-6,3,0.05,0.3585296728790809,6x212,126x6,0.03454200003761798
8,SNR_0db,ONMF,28-13-6,3,0.05,0.35500861762145824,6x212,126x6,0.03402520006056875
9,SNR_0db,ONMF,28-13-6,3,0.05,0.364513256090181,6x212,126x6,0.034190099919214845
10,SNR_0db,ONMF,28-13-6,3,0.05,0.35780786461427005,6x212,126x6,0.03336280002258718
11,SNR_0db,ONMF,28-13-6,3,0.05,0.361516781546682,6x212,126x6,0.03445719997398555
12,SNR_0db,ONMF,28-13-6,3,0.05,0.3594231976103244,6x212,126x6,0.032214899896644056
13,SNR_0db,ONMF,28-13-6,3,0.05,0.35312710329035857,6x212,126x6,0.03259070008061826
14,SNR_0db,ONMF,28-13-6,3,0.05,0.36398081317536796,6x212,126x6,0.0356755000539124
15,SNR_0db,ONMF,28-13-6,3,0.05,0.3590162133313936,6x212,126x6,0.03685679996851832
16,SNR_0db,ONMF,28-13-6,3,0.05,0.3635914944756165,6x212,126x6,0.04012490005698055
17,SNR_0db,ONMF,28-13-6,3,0.05,0.3604892525839729,6x212,126x6,0.040926899993792176
18,SNR_0db,ONMF,28-13-6,3,0.05,0.3568133734932804,6x212,126x6,0.03659110004082322
19,SNR_0db,ONMF,28-13-6,3,0.05,0.357409024987555,6x212,126x6,0.03907289996277541
20,SNR_0db,ONMF,28-13-6,3,0.05,0.3597184484854763,6x212,126x6,0.03925529995467514
21,SNR_0db,ONMF,28-13-6,3,0.05,0.3601742721094311,6x212,126x6,0.03764699993189424
22,SNR_0db,ONMF,28-13-6,3,0.05,0.35932183202388784,6x212,126x6,0.036128100007772446
23,SNR_0db,ONMF,28-13-6,3,0.05,0.35840734551618497,6x212,126x6,0.03477980010211468
24,SNR_0db,ONMF,28-13-6,3,0.05,0.3629868392378103,6x212,126x6,0.033812400070019066
25,SNR_0db,ONMF,28-13-6,3,0.05,0.3575647903799584,6x212,126x6,0.03516780002973974
26,SNR_0db,ONMF,28-13-6,3,0.05,0.35358890033855633,6x212,126x6,0.033437500009313226
27,SNR_0db,ONMF,28-13-6,3,0.05,0.354518432507862,6x212,126x6,0.034984400030225515
28,SNR_0db,ONMF,28-13-6,3,0.05,0.36037176711056473,6x212,126x6,0.03501069999765605
29,SNR_0db,ONMF,28-13-6,3,0.05,0.3556140175357145,6x212,126x6,0.03568279999308288
30,SNR_0db,ONMF,28-13-6,3,0.05,0.35666814844649786,6x212,126x6,0.03233489999547601
31,SNR_0db,ONMF,28-13-6,3,0.05,0.3573629090835575,6x212,126x6,0.03335809998679906
32,SNR_0db,ONMF,28-13-6,3,0.05,0.35984243913147307,6x212,126x6,0.034135099966079
33,SNR_0db,ONMF,28-13-6,3,0.05,0.35732805803975115,6x212,126x6,0.033026899909600616
34,SNR_0db,ONMF,28-13-6,3,0.05,0.3525170051648069,6x212,126x6,0.031775400042533875
35,SNR_0db,ONMF,28-13-6,3,0.05,0.3549768372392508,6x212,126x6,0.0351661000167951
36,SNR_0db,ONMF,28-13-6,3,0.05,0.2849610079576812,6x212,126x6,0.03472280001733452
37,SNR_0db,ONMF,28-13-6,3,0.05,0.35729211910037195,6x212,126x6,0.033932099933736026
38,SNR_0db,ONMF,28-13-6,3,0.05,0.36175649911773416,6x212,126x6,0.035431699943728745
39,SNR_0db,ONMF,28-13-6,3,0.05,0.36129089643534723,6x212,126x6,0.033304300042800605
40,SNR_0db,ONMF,28-13-6,3,0.05,0.3523413930595686,6x212,126x6,0.03420120000373572
41,SNR_0db,ONMF,28-13-6,3,0.05,0.3607455056968787,6x212,126x6,0.035923499963246286
42,SNR_0db,ONMF,28-13-6,3,0.05,0.3510324768865646,6x212,126x6,0.036670099943876266
43,SNR_0db,ONMF,28-13-6,3,0.05,0.3560557860183636,6x212,126x6,0.03482309996616095
44,SNR_0db,ONMF,28-13-6,3,0.05,0.35542013689709806,6x212,126x6,0.0341460999334231
45,SNR_0db,ONMF,28-13-6,3,0.05,0.34935270188004425,6x212,126x6,0.03604169993195683
46,SNR_0db,ONMF,28-13-6,3,0.05,0.35277739853794793,6x212,126x6,0.034321899991482496
47,SNR_0db,ONMF,28-13-6,3,0.05,0.35577142638798637,6x212,126x6,0.03670719999354333
48,SNR_0db,ONMF,28-13-6,3,0.05,0.35690718416975137,6x212,126x6,0.035211200010962784
49,SNR_0db,ONMF,28-13-6,3,0.05,0.3553502999094092,6x212,126x6,0.0339938000543043
50,SNR_0db,ONMF,28-13-6,3,0.05,0.35340740550775285,6x212,126x6,0.03997820010408759
51,SNR_0db,ONMF,28-13-6,3,0.05,0.3548186292792928,6x212,126x6,0.0350722000002861
52,SNR_0db,ONMF,28-13-6,3,0.05,0.35860143868455496,6x212,126x6,0.03422060003504157
53,SNR_0db,ONMF,28-13-6,3,0.05,0.35422530041008016,6x212,126x6,0.03280120005365461
54,SNR_0db,ONMF,28-13-6,3,0.05,0.356929215557098,6x212,126x6,0.03534540010150522
55,SNR_0db,ONMF,28-13-6,3,0.05,0.35587227697466284,6x212,126x6,0.03245729999616742
56,SNR_0db,ONMF,28-13-6,3,0.05,0.35121650391085363,6x212,126x6,0.03272260003723204
57,SNR_0db,ONMF,28-13-6,3,0.05,0.3569138906010901,6x212,126x6,0.03506210003979504
58,SNR_0db,ONMF,28-13-6,3,0.05,0.35718811984568827,6x212,126x6,0.032964800018817186
59,SNR_0db,ONMF,28-13-6,3,0.05,0.3514035602169609,6x212,126x6,0.03321310004685074
60,SNR_0db,ONMF,28-13-6,3,0.05,0.358493448004556,6x212,126x6,0.032609299989417195
61,SNR_0db,ONMF,28-13-6,3,0.05,0.3563833748096777,6x212,126x6,0.03437569993548095
62,SNR_0db,ONMF,28-13-6,3,0.05,0.3538268476394622,6x212,126x6,0.031935199978761375
63,SNR_0db,ONMF,28-13-6,3,0.05,0.35545478628341043,6x212,126x6,0.03292269993107766
64,SNR_0db,ONMF,28-13-6,3,0.05,0.3504990700626211,6x212,126x6,0.03245149995200336
65,SNR_0db,ONMF,28-13-6,3,0.05,0.3553149525375477,6x212,126x6,0.03238450002390891
66,SNR_0db,ONMF,28-13-6,3,0.05,0.3567624835439837,6x212,126x6,0.03344299993477762
67,SNR_0db,ONMF,28-13-6,3,0.05,0.3606031578909592,6x212,126x6,0.032744299969635904
68,SNR_0db,ONMF,28-13-6,3,0.05,0.35471727366243083,6x212,126x6,0.03332020004745573
69,SNR_0db,ONMF,28-13-6,3,0.05,0.351857820840267,6x212,126x6,0.03260749997571111
70,SNR_0db,ONMF,28-13-6,3,0.05,0.3602015832312225,6x212,126x6,0.03257160005159676
71,SNR_0db,ONMF,28-13-6,3,0.05,0.3586208102442207,6x212,126x6,0.03418670000974089
72,SNR_0db,ONMF,28-13-6,3,0.05,0.3548022764409488,6x212,126x6,0.033844899968244135
73,SNR_0db,ONMF,28-13-6,3,0.05,0.3584588534942348,6x212,126x6,0.03339080000296235
74,SNR_0db,ONMF,28-13-6,3,0.05,0.35532809312797287,6x212,126x6,0.033821500022895634
75,SNR_0db,ONMF,28-13-6,3,0.05,0.3542836460394949,6x212,126x6,0.03393080004025251
76,SNR_0db,ONMF,28-13-6,3,0.05,0.35862273280397305,6x212,126x6,0.03496180009096861
77,SNR_0db,ONMF,28-13-6,3,0.05,0.35934174953312853,6x212,126x6,0.03233299998100847
78,SNR_0db,ONMF,28-13-6,3,0.05,0.35934097356565203,6x212,126x6,0.03343549999408424
79,SNR_0db,ONMF,28-13-6,3,0.05,0.3566898987097851,6x212,126x6,0.035666099982336164
80,SNR_0db,ONMF,28-13-6,3,0.05,0.3554322641327617,6x212,126x6,0.03458029998000711
81,SNR_0db,ONMF,28-13-6,3,0.05,0.3584379501709555,6x212,126x6,0.034612399991601706
82,SNR_0db,ONMF,28-13-6,3,0.05,0.354589433054855,6x212,126x6,0.03412190009839833
83,SNR_0db,ONMF,28-13-6,3,0.05,0.3541902526915275,6x212,126x6,0.03232610004488379
84,SNR_0db,ONMF,28-13-6,3,0.05,0.35452517813376516,6x212,126x6,0.03324540005996823
85,SNR_0db,ONMF,28-13-6,3,0.05,0.35269141197442966,6x212,126x6,0.034070200053974986
86,SNR_0db,ONMF,28-13-6,3,0.05,0.35761228536503814,6x212,126x6,0.03356069989968091
87,SNR_0db,ONMF,28-13-6,3,0.05,0.3592924769534035,6x212,126x6,0.03160069999285042
88,SNR_0db,ONMF,28-13-6,3,0.05,0.35262892374923954,6x212,126x6,0.03487299999687821
89,SNR_0db,ONMF,28-13-6,3,0.05,0.3580691738891208,6x212,126x6,0.03367079992312938
90,SNR_0db,ONMF,28-13-6,3,0.05,0.3565756782023344,6x212,126x6,0.03325269999913871
91,SNR_0db,ONMF,28-13-6,3,0.05,0.3547301045287603,6x212,126x6,0.036047999979928136
92,SNR_0db,ONMF,28-13-6,3,0.05,0.3535099745661967,6x212,126x6,0.0342277999734506
93,SNR_0db,ONMF,28-13-6,3,0.05,0.3609009447811474,6x212,126x6,0.03497200005222112
94,SNR_0db,ONMF,28-13-6,3,0.05,0.3610023233020473,6x212,126x6,0.03359369991812855
95,SNR_0db,ONMF,28-13-6,3,0.05,0.35325162182834835,6x212,126x6,0.03385170002002269
96,SNR_0db,ONMF,28-13-6,3,0.05,0.35755294424493544,6x212,126x6,0.034298399928957224
97,SNR_0db,ONMF,28-13-6,3,0.05,0.3581457547743795,6x212,126x6,0.03388250002171844
98,SNR_0db,ONMF,28-13-6,3,0.05,0.35053277330904076,6x212,126x6,0.03441279998514801
99,SNR_0db,ONMF,28-13-6,3,0.05,0.3634993593828399,6x212,126x6,0.035138499923050404
100,SNR_0db,ONMF,28-13-6,3,0.05,0.3515374743081814,6x212,126x6,0.032148700091056526
101,SNR_0db,ONMF,28-13-6,3,0.05,0.35647625228191204,6x212,126x6,0.03249740006867796
102,SNR_0db,ONMF,28-13-6,3,0.05,0.3521741907018333,6x212,126x6,0.03344889997970313
103,SNR_0db,ONMF,28-13-6,3,0.05,0.3598771875070762,6x212,126x6,0.032538500032387674
104,SNR_0db,ONMF,28-13-6,3,0.05,0.3588532525144165,6x212,126x6,0.03636790008749813
105,SNR_0db,ONMF,28-13-6,3,0.05,0.3578682311029122,6x212,126x6,0.03401659999508411
106,SNR_0db,ONMF,28-13-6,3,0.05,0.3603785825652078,6x212,126x6,0.03408430004492402
107,SNR_0db,ONMF,28-13-6,3,0.05,0.3630603312307179,6x212,126x6,0.03241360001266003
108,SNR_0db,ONMF,28-13-6,3,0.05,0.3474137721421907,6x212,126x6,0.03227119997609407
