indice_interno,base,metodo,distribucion,numero_capas,penalizacion_ortogonal,error_final,forma_h,forma_w,segundos
0,original,ONMF,22-15-10,3,0.05,0.1843907342908499,10x212,126x10,0.03639450005721301
1,original,ONMF,22-15-10,3,0.05,0.1826497729092292,10x212,126x10,0.032501299981959164
2,original,ONMF,22-15-10,3,0.05,0.1842088903731947,10x212,126x10,0.03392750001512468
3,original,ONMF,22-15-10,3,0.05,0.18354706893194966,10x212,126x10,0.032495099934749305
4,original,ONMF,22-15-10,3,0.05,0.18363240650861679,10x212,126x10,0.03274970001075417
5,original,ONMF,22-15-10,3,0.05,0.18463849125613438,10x212,126x10,0.034444999997504056
6,original,ONMF,22-15-10,3,0.05,0.18246110362334508,10x212,126x10,0.037865999969653785
7,original,ONMF,22-15-10,3,0.05,0.18247603587267988,10x212,126x10,0.03675009997095913
8,original,ONMF,22-15-10,3,0.05,0.18522676481854497,10x212,126x10,0.037036199937574565
9,original,ONMF,22-15-10,3,0.05,0.18503012637301974,10x212,126x10,0.032804999966174364
10,original,ONMF,22-15-10,3,0.05,0.1829191549663392,10x212,126x10,0.034667600062675774
11,original,ONMF,22-15-10,3,0.05,0.1843657974310885,10x212,126x10,0.035083399969153106
12,original,ONMF,22-15-10,3,0.05,0.18808568602053546,10x212,126x10,0.03834440000355244
13,original,ONMF,22-15-10,3,0.05,0.18382448833977288,10x212,126x10,0.034707300015725195
14,original,ONMF,22-15-10,3,0.05,0.18670214367799018,10x212,126x10,0.0361776000354439
15,original,ONMF,22-15-10,3,0.05,0.1832346955643067,10x212,126x10,0.0344578999793157
16,original,ONMF,22-15-10,3,0.05,0.18653129679596803,10x212,126x10,0.03196689998731017
17,original,ONMF,22-15-10,3,0.05,0.18508494340018836,10x212,126x10,0.032281899941153824
18,original,ONMF,22-15-10,3,0.05,0.1846513772972558,10x212,126x10,0.031397599959746
19,original,ONMF,22-15-10,3,0.05,0.18469057993590948,10x212,126x10,0.032170700025744736
20,original,ONMF,22-15-10,3,0.05,0.18212552621591752,10x212,126x10,0.032035900047048926
21,original,ONMF,22-15-10,3,0.05,0.18274510175953643,10x212,126x10,0.03277259995229542
22,original,ONMF,22-15-10,3,0.05,0.18426657039655256,10x212,126x10,0.03082919993903488
23,original,ONMF,22-15-10,3,0.05,0.18516253010594297,10x212,126x10,0.03373419994022697
24,original,ONMF,22-15-10,3,0.05,0.18680844243403477,10x212,126x10,0.03218450001440942
25,original,ONMF,22-15-10,3,0.05,0.18708228159384388,10x212,126x10,0.032175500062294304
26,original,ONMF,22-15-10,3,0.05,0.1845428577231912,10x212,126x10,0.03317589999642223
27,original,ONMF,22-15-10,3,0.05,0.1823787036862731,10x212,126x10,0.031779800076037645
28,original,ONMF,22-15-10,3,0.05,0.18736670069461195,10x212,126x10,0.031856700079515576
29,original,ONMF,22-15-10,3,0.05,0.18575096582966083,10x212,126x10,0.03388920007273555
30,original,ONMF,22-15-10,3,0.05,0.1850905468966779,10x212,126x10,0.030522300046868622
31,original,ONMF,22-15-10,3,0.05,0.1856407524190393,10x212,126x10,0.03160739992745221
32,original,ONMF,22-15-10,3,0.05,0.1855758807170774,10x212,126x10,0.032746999990195036
33,original,ONMF,22-15-10,3,0.05,0.18481827524750594,10x212,126x10,0.03232130000833422
34,original,ONMF,22-15-10,3,0.05,0.1842796070388553,10x212,126x10,0.030250500072725117
35,original,ONMF,22-15-10,3,0.05,0.1860381981174165,10x212,126x10,0.0327601000899449
36,original,ONMF,22-15-10,3,0.05,0.1784908005221703,10x212,126x10,0.03289180004503578
37,original,ONMF,22-15-10,3,0.05,0.17824758218418657,10x212,126x10,0.03385500004515052
38,original,ONMF,22-15-10,3,0.05,0.178916291310439,10x212,126x10,0.03116250003222376
39,original,ONMF,22-15-10,3,0.05,0.1783258861752919,10x212,126x10,0.033278799965046346
40,original,ONMF,22-15-10,3,0.05,0.1785044866381035,10x212,126x10,0.033413699944503605
41,original,ONMF,22-15-10,3,0.05,0.17945626477490678,10x212,126x10,0.033879199996590614
42,original,ONMF,22-15-10,3,0.05,0.17862122399720515,10x212,126x10,0.031628299970179796
43,original,ONMF,22-15-10,3,0.05,0.17798453444352508,10x212,126x10,0.03401129995472729
44,original,ONMF,22-15-10,3,0.05,0.18058294910425643,10x212,126x10,0.03344609995838255
45,original,ONMF,22-15-10,3,0.05,0.1788939424810097,10x212,126x10,0.03532869997434318
46,original,ONMF,22-15-10,3,0.05,0.17824872259825214,10x212,126x10,0.031424400047399104
47,original,ONMF,22-15-10,3,0.05,0.18125238065334062,10x212,126x10,0.03403869993053377
48,original,ONMF,22-15-10,3,0.05,0.1776047098179287,10x212,126x10,0.03327399992849678
49,original,ONMF,22-15-10,3,0.05,0.17875209288146066,10x212,126x10,0.03364170005079359
50,original,ONMF,22-15-10,3,0.05,0.18045114852160946,10x212,126x10,0.03320410009473562
51,original,ONMF,22-15-10,3,0.05,0.1785416649674639,10x212,126x10,0.03282070008572191
52,original,ONMF,22-15-10,3,0.05,0.17872246029524463,10x212,126x10,0.033322100061923265
53,original,ONMF,22-15-10,3,0.05,0.17801613758693374,10x212,126x10,0.03228540008421987
54,original,ONMF,22-15-10,3,0.05,0.17788964311381805,10x212,126x10,0.032225699978880584
55,original,ONMF,22-15-10,3,0.05,0.18021336410810262,10x212,126x10,0.03281000000424683
56,original,ONMF,22-15-10,3,0.05,0.1783547470315522,10x212,126x10,0.0320324000203982
