indice_interno,base,metodo,distribucion,numero_capas,penalizacion_ortogonal,error_final,forma_h,forma_w,segundos
0,original,ONMF,26,1,0.05,0.07935525077302276,26x212,126x26,0.03199849999509752
1,original,ONMF,26,1,0.05,0.07040694358489993,26x212,126x26,0.029618400032632053
2,original,ONMF,26,1,0.05,0.07727050732900909,26x212,126x26,0.028277500066906214
3,original,ONMF,26,1,0.05,0.07509095213791389,26x212,126x26,0.030172100057825446
4,original,ONMF,26,1,0.05,0.07440201191279035,26x212,126x26,0.035821700002998114
5,original,ONMF,26,1,0.05,0.07917243469453092,26x212,126x26,0.030375499976798892
6,original,ONMF,26,1,0.05,0.07133710792184562,26x212,126x26,0.026269400026649237
7,original,ONMF,26,1,0.05,0.06924728173247056,26x212,126x26,0.026531999930739403
8,original,ONMF,26,1,0.05,0.0731449552532992,26x212,126x26,0.02925839996896684
9,original,ONMF,26,1,0.05,0.08076726624331221,26x212,126x26,0.02616050001233816
10,original,ONMF,26,1,0.05,0.07180344275917333,26x212,126x26,0.02487179997842759
11,original,ONMF,26,1,0.05,0.07109855593854772,26x212,126x26,0.025531399995088577
12,original,ONMF,26,1,0.05,0.07865175995983273,26x212,126x26,0.028792800032533705
13,original,ONMF,26,1,0.05,0.07497787734758295,26x212,126x26,0.029915599967353046
14,original,ONMF,26,1,0.05,0.07533660441748896,26x212,126x26,0.027382400003261864
15,original,ONMF,26,1,0.05,0.07336668727009217,26x212,126x26,0.026669300044886768
16,original,ONMF,26,1,0.05,0.07711211052400425,26x212,126x26,0.027854599989950657
17,original,ONMF,26,1,0.05,0.07727486918138197,26x212,126x26,0.030286299996078014
18,original,ONMF,26,1,0.05,0.07960259350177978,26x212,126x26,0.03278160002082586
19,original,ONMF,26,1,0.05,0.07866814219875559,26x212,126x26,0.031549999956041574
20,original,ONMF,26,1,0.05,0.07163200536710074,26x212,126x26,0.03117139998357743
21,original,ONMF,26,1,0.05,0.07407706314095903,26x212,126x26,0.03584629995748401
22,original,ONMF,26,1,0.05,0.0705137192775476,26x212,126x26,0.027326199924573302
23,original,ONMF,26,1,0.05,0.07315459493347604,26x212,126x26,0.029831400024704635
24,original,ONMF,26,1,0.05,0.07852201946866105,26x212,126x26,0.02824220003094524
25,original,ONMF,26,1,0.05,0.07557941561281939,26x212,126x26,0.027912399964407086
26,original,ONMF,26,1,0.05,0.07404442015070102,26x212,126x26,0.02898459997959435
27,original,ONMF,26,1,0.05,0.07477881959209434,26x212,126x26,0.028967899968847632
28,original,ONMF,26,1,0.05,0.07235943798295214,26x212,126x26,0.028290599933825433
29,original,ONMF,26,1,0.05,0.07657506818736615,26x212,126x26,0.027192600071430206
30,original,ONMF,26,1,0.05,0.07666633229719787,26x212,126x26,0.028810600051656365
31,original,ONMF,26,1,0.05,0.07716394292367001,26x212,126x26,0.030238399980589747
32,original,ONMF,26,1,0.05,0.07242113294541005,26x212,126x26,0.03183100000023842
33,original,ONMF,26,1,0.05,0.07530513029951912,26x212,126x26,0.047652099980041385
34,original,ONMF,26,1,0.05,0.075071159101948,26x212,126x26,0.037452599965035915
35,original,ONMF,26,1,0.05,0.07427722769866252,26x212,126x26,0.03520729998126626
36,original,ONMF,26,1,0.05,0.06746698347343272,26x212,126x26,0.03439739998430014
37,original,ONMF,26,1,0.05,0.06821549905382061,26x212,126x26,0.03257890010718256
38,original,ONMF,26,1,0.05,0.06746553793599917,26x212,126x26,0.032428800011985004
39,original,ONMF,26,1,0.05,0.06706068871889777,26x212,126x26,0.03755579993594438
40,original,ONMF,26,1,0.05,0.0646155715867471,26x212,126x26,0.0322423999896273
41,original,ONMF,26,1,0.05,0.06470416348585979,26x212,126x26,0.033972600009292364
42,original,ONMF,26,1,0.05,0.06516726802834126,26x212,126x26,0.0322852999670431
43,original,ONMF,26,1,0.05,0.06290215262009298,26x212,126x26,0.03148689994122833
44,original,ONMF,26,1,0.05,0.0676308562834682,26x212,126x26,0.03079629992134869
45,original,ONMF,26,1,0.05,0.0650681477839293,26x212,126x26,0.03314389998558909
46,original,ONMF,26,1,0.05,0.06479234677843167,26x212,126x26,0.039870699984021485
47,original,ONMF,26,1,0.05,0.0728029656420627,26x212,126x26,0.03106499998830259
48,original,ONMF,26,1,0.05,0.06115728566386469,26x212,126x26,0.027884299983270466
49,original,ONMF,26,1,0.05,0.06627152220831262,26x212,126x26,0.0285521000623703
50,original,ONMF,26,1,0.05,0.07191996995532207,26x212,126x26,0.028019100078381598
51,original,ONMF,26,1,0.05,0.06422866816052825,26x212,126x26,0.026524499990046024
52,original,ONMF,26,1,0.05,0.06621437272785047,26x212,126x26,0.02591620001476258
53,original,ONMF,26,1,0.05,0.06440513269514335,26x212,126x26,0.02960999996867031
54,original,ONMF,26,1,0.05,0.06289162033000527,26x212,126x26,0.030130599974654615
55,original,ONMF,26,1,0.05,0.06438702450662133,26x212,126x26,0.02759159996639937
56,original,ONMF,26,1,0.05,0.06428658146200837,26x212,126x26,0.02805419999640435
57,original,ONMF,26,1,0.05,0.06256848198728801,26x212,126x26,0.028614399954676628
58,original,ONMF,26,1,0.05,0.06538776843090391,26x212,126x26,0.029735299991443753
59,original,ONMF,26,1,0.05,0.06838586436791068,26x212,126x26,0.028625299921259284
60,original,ONMF,26,1,0.05,0.0646279619899153,26x212,126x26,0.030516300001181662
61,original,ONMF,26,1,0.05,0.0632096492587912,26x212,126x26,0.02676489995792508
62,original,ONMF,26,1,0.05,0.06414762022000152,26x212,126x26,0.027390899951569736
63,original,ONMF,26,1,0.05,0.06313358646527023,26x212,126x26,0.02824240003246814
64,original,ONMF,26,1,0.05,0.06430474067208147,26x212,126x26,0.025996600044891238
65,original,ONMF,26,1,0.05,0.062265076583582074,26x212,126x26,0.026687499950639904
66,original,ONMF,26,1,0.05,0.06139547314828748,26x212,126x26,0.028283099993132055
67,original,ONMF,26,1,0.05,0.06591594915571833,26x212,126x26,0.029778700089082122
68,original,ONMF,26,1,0.05,0.06958423850170706,26x212,126x26,0.025131599977612495
69,original,ONMF,26,1,0.05,0.06979439217644622,26x212,126x26,0.024775800062343478
70,original,ONMF,26,1,0.05,0.06604615516440122,26x212,126x26,0.02394430001731962
71,original,ONMF,26,1,0.05,0.07025834203755761,26x212,126x26,0.026862300001084805
72,original,ONMF,26,1,0.05,0.06963950724863588,26x212,126x26,0.026002999977208674
73,original,ONMF,26,1,0.05,0.066179387386453,26x212,126x26,0.026189099997282028
74,original,ONMF,26,1,0.05,0.06911063939196191,26x212,126x26,0.025382400024682283
75,original,ONMF,26,1,0.05,0.07230882594336442,26x212,126x26,0.02558699995279312
76,original,ONMF,26,1,0.05,0.06609910637312674,26x212,126x26,0.024902299977838993
77,original,ONMF,26,1,0.05,0.06488908066594734,26x212,126x26,0.022913499968126416
78,original,ONMF,26,1,0.05,0.07014329659961992,26x212,126x26,0.02813999995123595
79,original,ONMF,26,1,0.05,0.07053525734465038,26x212,126x26,0.02316209999844432
80,original,ONMF,26,1,0.05,0.07291934031251653,26x212,126x26,0.022947499994188547
81,original,ONMF,26,1,0.05,0.06436653702294115,26x212,126x26,0.025231899926438928
82,original,ONMF,26,1,0.05,0.07179701438340134,26x212,126x26,0.02434000000357628
83,original,ONMF,26,1,0.05,0.0670065767413999,26x212,126x26,0.026342400000430644
84,original,ONMF,26,1,0.05,0.0662945762662828,26x212,126x26,0.023020799970254302
85,original,ONMF,26,1,0.05,0.07266564075059494,26x212,126x26,0.0252358999568969
86,original,ONMF,26,1,0.05,0.06924948379934781,26x212,126x26,0.02475189999677241
87,original,ONMF,26,1,0.05,0.0684302580948141,26x212,126x26,0.02556340000592172
88,original,ONMF,26,1,0.05,0.06676191025974328,26x212,126x26,0.029255200061015785
89,original,ONMF,26,1,0.05,0.07001767814007988,26x212,126x26,0.023852599901147187
90,original,ONMF,26,1,0.05,0.06969782717812471,26x212,126x26,0.026381300063803792
91,original,ONMF,26,1,0.05,0.06503935892620881,26x212,126x26,0.025173100060783327
92,original,ONMF,26,1,0.05,0.0667340252555861,26x212,126x26,0.024413199978880584
93,original,ONMF,26,1,0.05,0.06992342876575579,26x212,126x26,0.02499609999358654
94,original,ONMF,26,1,0.05,0.0676312769951507,26x212,126x26,0.02733690000604838
95,original,ONMF,26,1,0.05,0.07363683319813685,26x212,126x26,0.02632659999653697
96,original,ONMF,26,1,0.05,0.07175288784628767,26x212,126x26,0.02513540000654757
97,original,ONMF,26,1,0.05,0.06944712349563763,26x212,126x26,0.022530000074766576
98,original,ONMF,26,1,0.05,0.06489861867319091,26x212,126x26,0.025930500007234514
99,original,ONMF,26,1,0.05,0.06265888663794317,26x212,126x26,0.02492340002208948
100,original,ONMF,26,1,0.05,0.062289236757003395,26x212,126x26,0.02647599996998906
101,original,ONMF,26,1,0.05,0.0629050249424079,26x212,126x26,0.023261499940417707
102,original,ONMF,26,1,0.05,0.06339895976430175,26x212,126x26,0.025173299945890903
103,original,ONMF,26,1,0.05,0.0646727929586413,26x212,126x26,0.023505000048317015
104,original,ONMF,26,1,0.05,0.06200236093829008,26x212,126x26,0.025915800011716783
105,original,ONMF,26,1,0.05,0.06484903921050526,26x212,126x26,0.024854999966919422
106,original,ONMF,26,1,0.05,0.06257636518065877,26x212,126x26,0.024706500000320375
107,original,ONMF,26,1,0.05,0.06722187873792645,26x212,126x26,0.025727499974891543
108,original,ONMF,26,1,0.05,0.06052366521313804,26x212,126x26,0.025497399969026446
109,original,ONMF,26,1,0.05,0.06459626614119722,26x212,126x26,0.0246835999423638
110,original,ONMF,26,1,0.05,0.06069902741395293,26x212,126x26,0.024432500009424984
111,original,ONMF,26,1,0.05,0.06231360880986639,26x212,126x26,0.02359600004274398
112,original,ONMF,26,1,0.05,0.06337822747442998,26x212,126x26,0.023310699965804815
113,original,ONMF,26,1,0.05,0.06978625965794444,26x212,126x26,0.02424179995432496
